fact,part_vi_claim_affected,where,effect,source_ids,evidence_label,confidence,demand_evidence_type
"Avant's Singapore unit (Avant Proteins) declared voluntary winding-up on 26 January 2026, citing liabilities; the Hong Kong parent remains registered and now sells Zellulin, a skincare ingredient from cultivated fish cells.",Vinh Hoan took a stake in Avant Meats (2021) ... we found no later news; Vinh Hoan and Minh Phu are the domestic strategic co-investors for seafood,ch24.1; ch24.6 (investors bullet); ch29.3 T8,updates,AIS-34,VN-adjacent,Medium,revealed
"Umami Bioworks (merged with Shiok Meats) sells cultivated seafood as pet food (EU registration; Singapore launch, 2025) and signed a skincare and supplements partnership with Nippon Barrier Free of Japan at the end of 2025; it has no human-food sale.","No cultivated seafood approved for human food anywhere in Asia; exporters hold options, not demand",ch24.1; ch29.3 T8,strengthens,AIS-35; AIS-36,VN-adjacent,Medium,revealed
"Seven CP Meat Zero chay SKUs (minced, roast pork, bologna; 90 g to 1 kg) are listed on Kamereo, a B2B supplier to 4,000+ restaurants, cafes and hotels in Vietnam: 1 kg minced at VND 244,000 and 200 g roast at VND 35,000 (metadata only; stock and date not visible).",CP Meat Zero: no evidence retrieved; no Meat Zero listing found in the 2026 audit,data/launches_exits.csv LE-09; Appendix AB.4; OQ-192,contradicts,AIS-25; AIS-26,VN-direct,Low,revealed
"Angel Yeast's yeast protein was introduced to Vietnamese food and nutrition makers by its distributor ACC at a seminar on 23 May 2025, with sampling and planned Innovation Days at customer sites.",We found no Vietnamese food company piloting mycoprotein ... ; competition framed as Chinese commodity plant protein,ch26.5; ch26.6; TPP-06,adds,AIS-38,VN-direct,Medium,revealed
"Emmay, a Vietnamese startup, reports 1.5 to 2 t a month of mushroom and mycelium foods, 30+ products and exports of about 10% of revenue to the UK, Australia, India and the Netherlands; its profile describes shiitake mycoprotein made by fermentation.","We found no Vietnamese food company piloting mycoprotein, precision-fermented dairy protein or a novel-protein hybrid",ch26.6,contradicts,AIS-39,VN-direct,Low,revealed
VMEAT earned 70% of its revenue from F&B (its founders also run a chay noodle restaurant chain) and imported over 90% of its raw materials (2021).,Sell to kitchens and factories before shelves; chay makers are import-dependent,ch25.7; ch26.3,strengthens,AIS-41,VN-direct,Low,revealed
Emmay took 80% of revenue from wholesale distribution and supermarkets (2022); its CEO said plant-based meat cost 50 to 70% more than meat.,Price gap and channel findings,ch23.4; ch25.6,strengthens,AIS-40,VN-direct,Low,stated
TiNDLE (Singapore-founded) announced in November 2025 a move to private label only from 2026 and the divestment of its US business; its co-founder said there is 'no real underlying consumer demand to shift away from meat' and its CEO that products were still 50% dearer than meat (July 2025).,Do not launch premium imported-style analogues expecting mass uptake; private label drives European volume,ch23.7; ch29.5; ch27.2; TPP-08,strengthens,AIS-28; AIS-29,general,Medium,revealed
"Green Rebel (Indonesia) raised USD 12.5 million (PPTI) or USD 10.5 million (DealStreetAsia) in January to February 2026, with growth driven by foodservice partners and regional dishes.",Products for familiar dishes; foodservice and business buyers first,ch23.9; ch25.2; ch25.6,strengthens,AIS-30; AIS-31,VN-adjacent,Medium,revealed
"Temasek's Nurasa co-developed Q Protein, soy-enhanced beef and chicken sold through a meat importer's retail channels in Singapore (September 2025); GFI APAC lists large-scale blended rollouts in Asian foodservice as a 2026 watch item.",Blends are the most likely entry route; TPP-03 hybrid extender,ch24.4; ch29.2 TPP-03,adds,AIS-10; AIS-06,VN-adjacent,Medium,revealed
"VinaCapital operates the VND 500 billion Ho Chi Minh City venture fund (HCM VIF); its CEO is Hoang Duc Trung, the VinaCapital partner quoted on the 2024 INNOHAS plant-based deal; the fund targets Series A and B and had about 50 proposals by August 2026, with first investments planned for Q4 2026.",Who else is here: new state venture funds in Ho Chi Minh City (VND 500 billion),brief-investors; brief-startups 'Money',adds,AIS-16; AIS-17; AIS-18,VN-direct,Medium,"n/a (capital, not demand)"
"Thai Union's Strategy 2030 (November 2024) puts alternative proteins in its third pillar, exploring new frontiers, not in its growth pillars.","Strategic acquirers by fit include feed, dairy, seafood and amino-acid groups; exits are trade sales",brief-investors (Part I basis),adds,AIS-23,VN-adjacent,Medium,revealed
Monde Nissin halted a fifth Quorn fermentation plant and closed plants in 2024 ('a declining market ... we built all the capacity'); Quorn revenue fell a further 2.9% at constant currency in 2025.,Mycoprotein has not proved itself with Asian consumers (sales to 2024),ch24.3,updates,AIS-44; AIS-48,general,Medium,revealed
Beyond Meat suspended its China operations by the end of Q2 2025 to cut costs.,Asia with a vegetarian tradition did not become an analogue market,ch23.7,strengthens,AIS-45,VN-adjacent,Medium,revealed
"Investors in 2025 to 2026 state that they fund offtake, contracted revenue and unit economics: GFI-based reporting cites 'strong offtake agreements' and 'contracted revenue'; AgFunder cites 'real unit economics'; the Vietnam private capital report cites 'clearer unit economics'.","Look for offtake, not surveys; underwrite cost per gram of protein and repeat orders",brief-investors demand section; ch29.6,strengthens,AIS-01; AIS-02; AIS-15; AIS-47,general,Medium,stated
"Ong Tempeh opened a Hanoi branch in September 2025 and names Sheraton, Vindo restaurant and iVegan as customers.","Hotels are a showcase, not a volume channel; domestic startups have no confirmed current scale",ch25.4; Part I ch04,adds,AIS-43,VN-direct,Low,revealed
"Vow shifted from in-house food production to co-manufacturing in 2026 after layoffs in 2024, 2025 and May 2026.",Revealed demand for cultivated meat in Asia is tiny,ch24.1,strengthens,AIS-37,VN-adjacent,Medium,revealed
