record_id,category,metric,value,unit,year,geography,method_quality,source_ids,evidence_label,confidence,demand_evidence_type,notes
CMK-001,soy foods,"Soybeans used for food (whole beans: tofu, soy milk, sauces and other foods)","540,000",tonnes of soybeans,2024/25 (Jan to Dec 2025 market year),Vietnam,Medium: USDA Post estimate from trade balance; method not itemised,CHY-45,VN-direct,Medium,revealed,USDA official and Post agree
CMK-002,soy foods,Soybeans used for food,"550,000",tonnes of soybeans,2025/26 (forecast),Vietnam,Medium: Post forecast,CHY-45,VN-direct,Medium,revealed,Driven by food service and tourism per USDA
CMK-003,soy foods,Soybeans used for food,"570,000",tonnes of soybeans,2026/27 (forecast),Vietnam,Medium: Post forecast,CHY-45,VN-direct,Medium,revealed,
CMK-004,soy foods,Soybean food use per person,about 5.4,kg soybeans per person per year,2025/26,Vietnam,"Low: our derivation, 550,000 t divided by an assumed population of about 101 million",CHY-45,VN-direct,Low,inferred,"Population is our round assumption, not re-sourced here; about 15 g beans a day"
CMK-005,soy foods,Soy milk plus tofu consumed,"286,000",tonnes (basis not stated),2023,Vietnam,"Low: industry body summary, method not public, interested party",CHY-46,VN-direct,Low,revealed,"89% soy beverage, 11% tofu"
CMK-006,soy foods,"Soy milk plus tofu consumed, forecast","299,000",tonnes,2026,Vietnam,Low: industry forecast,CHY-46,VN-direct,Low,inferred,'Growth is slow'
CMK-007,tofu,"Tofu consumed, implied by USSEC split","about 31,500",tonnes,2023,Vietnam,"Low: our derivation 11% of 286,000 t; conflicts with craft village evidence",CHY-46,VN-direct,Low,inferred,Probably covers packaged or industrial tofu only; see disagreements
CMK-008,tofu,"Soybeans processed per tofu household, Vong La village (Dong Anh, Hanoi)",150,kg soybeans per household per day,2020,Hanoi,Medium: municipal culture department page,CHY-49,VN-direct,Medium,revealed,"Over 80% of households make tofu; supplies industrial zone canteens, schools, restaurants, supermarkets"
CMK-009,tofu,"Soybeans processed per day, Hong Ha commune (333 tofu households)",20 to 30,tonnes of soybeans per day,2017,Hanoi,Low: press report,CHY-48,VN-direct,Low,revealed,"About 1,000 workers; one commune alone implies thousands of tonnes a year"
CMK-010,tofu,"Tofu price per block, Mo village (Hanoi)","2,500",VND per block (weight not stated),2025,Hanoi,Low: press,CHY-50,VN-direct,Low,revealed,"Soy milk VND 5,000 per bag"
CMK-011,tofu,Tofu wholesale price by size (10 to 30 pieces per kg),"about 20,000 to 30,000",VND per kg,2017,Hanoi,Low: our derivation from per-piece prices,CHY-48,VN-direct,Low,inferred,"Large 2,000 x 10; medium 1,500 x 18 to 20; small 800 x 30"
CMK-012,tofu,"Retail tofu price per 100 g protein, modern retail","66,000",VND per 100 g protein,2026 (September),Nha Trang and Ho Chi Minh City,Medium: supply study retail audit,FORM-01,VN-direct,Medium,revealed,"Supply study figure, cited by ID"
CMK-013,tofu,Tofu output change in Vu Lan versus normal days (one Ho Chi Minh City shop),+15 to +20,percent,2026,Ho Chi Minh City,Low: single shop quote,CHY-19,VN-direct,Low,revealed,Price held unchanged
CMK-014,soy milk,Vinasoy output claim,more than 1 billion,products (units) a year,2026,Vietnam,"Low: company claim, unit undefined",CHY-47,VN-direct,Low,revealed,"Supply study gives about 80% soy milk share and VND 4,100 billion revenue 2024"
CMK-015,mushrooms,Mushroom production,"250,000 to 270,000",tonnes a year,2025,Vietnam,Low: press citing unnamed research institutions and Ken Research,CHY-51,VN-direct,Low,revealed,Domestic consumption not stated; Vietnam also a large importer of processed mushrooms
CMK-016,mushrooms,Straw mushroom price in Vu Lan,"about 160,000",VND per kg,2026 (August),Ho Chi Minh City,Low: press market check,CHY-22,VN-direct,Low,revealed,"Normal days 80,000 to 100,000 per kg"
CMK-017,mushrooms,King oyster (dui ga) mushroom price in Vu Lan,"150,000",VND per kg,2026 (August),Ho Chi Minh City,Low: press market check,CHY-22,VN-direct,Low,revealed,"Normal days 80,000 to 100,000 per kg"
CMK-018,industrial do chay,Vissan processed food output target (meat and chay combined),"20,350",tonnes,2026 (plan),Vietnam,Medium: AGM target reported by press,CHY-30,VN-direct,Medium,inferred,We found no separate chay target
CMK-019,industrial do chay,Vissan chay ha cao 250 g launch price (20% promotion),"20,800","VND per pack (about 83,200 per kg)",2026 (August),Ho Chi Minh City,Medium: press report of company launch,CHY-29,VN-direct,Medium,revealed,Per kg is our derivation
CMK-020,industrial do chay,Vissan chay hoanh thanh 200 g launch price (20% promotion),"19,200","VND per pack (about 96,000 per kg)",2026 (August),Ho Chi Minh City,Medium,CHY-29,VN-direct,Medium,revealed,Per kg is our derivation
CMK-021,industrial do chay,"Frozen or chilled do chay price range, modern retail (22 SKUs with weight)","5,580 to 17,292",VND per 100 g of product,2026 (September),Nha Trang,"Medium: supply study field log, some price pairings flagged",FORM-01,VN-direct,Medium,revealed,"Equals about VND 56,000 to 173,000 per kg"
CMK-022,industrial do chay,Chay versus meat equivalent price difference (5 logged pairs),19% dearer to 52% cheaper,percent,2026 (September),Nha Trang,Medium: supply study field log,FORM-01,VN-direct,Medium,revealed,"Clean same-brand pairs from retailer online prices: Vissan 38% cheaper, CJ Cau Tre 17% cheaper; Nha Trang field log is part of FORM-01"
CMK-023,industrial do chay,Chinese canned soy 'plant based' luncheon meat,"30,811 to 35,000",VND per 100 g,2026 (September),Nha Trang,Medium: supply study field log,FORM-01,VN-direct,Medium,revealed,About 2 to 6 times the per-kg price of domestic chay
CMK-024,industrial do chay,"Label protein, Coop Select chay gyoza with noodles",4.2,g protein per 100 g,2026,Nha Trang,High: back label photographed,FORM-01,VN-direct,High,revealed,Contains egg in noodles and garlic in filling
CMK-025,industrial do chay,Unlabelled market mock meat ('ba khong'),"60,000 to 250,000",VND per kg,2026 (August),Ho Chi Minh City,Low: press market check,CHY-23,VN-direct,Low,revealed,"Mock meat 60,000 to 70,000; frozen 150,000 to 170,000; roast mock poultry 100,000 to 150,000"
CMK-026,industrial do chay,"Market chay prices, Hanoi (nem, gio, chay fish or shrimp)","60,000 to 300,000",VND per kg,2026 (August),Hanoi,Low: press market check,CHY-20,VN-direct,Low,revealed,"Nem chay 60,000 to 70,000; gio chay 60,000 to 90,000; chay fish or shrimp 100,000 to 300,000"
CMK-027,industrial do chay,"Chinese textured soy protein seized, declared value","about 68,000","VND per kg (our derivation, 34 million VND for 500 kg)",2022,Dong Thap,Low: enforcement report,CHY-60,VN-direct,Low,revealed,Sold as 'suon non chay'; no Vietnamese sub-label
CMK-028,industrial do chay,Au Lac branch network claim,more than 80,branches,2026,Vietnam,Low: company claim,CHY-67,VN-direct,Low,revealed,
CMK-029,industrial do chay,Vegan or vegetarian food market size (IMARC),103 to 112,USD million,2024 to 2025,Vietnam,"Rejected: paid report, method not visible",CHY-13; CHY-18,VN-direct,Low,inferred,Listed only so readers can see it was reviewed and not used
CMK-030,demand spike,Chay shop sales in Vu Lan versus previous months,about 2 times; one shop 3 times,ratio,2024,Ho Chi Minh City,Low: shop owner quotes,CHY-16,VN-direct,Low,revealed,
CMK-031,demand spike,Go! hypermarket chay product sales month on month in Vu Lan,+20 to +40,percent,2024,Ho Chi Minh City,Low: retailer quote to press,CHY-16,VN-direct,Low,revealed,
CMK-032,demand spike,Saigon Co.op chay inventory increase for Vu Lan,+40,percent,2024,Saigon Co.op system,Low: retailer quote to press,CHY-16,VN-direct,Low,revealed,"Stocking, not sales"
CMK-033,demand spike,Saigon Co.op chay sales versus normal,+20,percent,2024,Saigon Co.op system,Low: retailer quote to press,CHY-17,VN-direct,Low,revealed,
CMK-034,demand spike,NFC Food chay volume year on year to 15 August,3.5 times,ratio,2024,Vietnam,Low: company quote,CHY-17,VN-direct,Low,revealed,"Instant noodles, freeze-dried broths"
CMK-035,demand spike,Binh Tay Food chay orders versus normal periods,+200,percent,2024,Vietnam,Low: company quote,CHY-17,VN-direct,Low,revealed,Company targeting USD 50 million revenue 2024 (all products)
CMK-036,demand spike,Saigon Chay chay meal and cake sales in two weeks of Vu Lan,"nearly 15,000",units,2024,Ho Chi Minh City,Low: company quote,CHY-16,VN-direct,Low,revealed,About double normal
CMK-037,demand spike,"Vu Lan demand versus normal, Saigon Chay chairman",2 to 3 times,ratio,2025,Ho Chi Minh City,Low: company quote,CHY-18,VN-direct,Low,revealed,
CMK-038,demand spike,"Vu Lan chay sales volume, Hanoi sellers",2 to 3 times,ratio,2026,Hanoi,Low: press,CHY-20,VN-direct,Low,revealed,Orders peak lunar 10th to 15th of month 7
CMK-039,demand spike,"Chay purchases month on month in Vu Lan, Can Tho",about +20,percent,2026,Can Tho,Low: press,CHY-27,VN-direct,Low,revealed,
CMK-040,demand spike,"Chay offering-tray orders year on year, one Hai Phong restaurant",-20 to -30,percent,2026,Hai Phong,Low: single business,CHY-21,VN-direct,Low,revealed,Input costs up 15 to 20%
CMK-041,demand spike,"First lunar month chay demand versus normal days, rising to 2 to 3 times near full moon",+15 to +20,percent,2026 (February),Can Tho,Low: press,CHY-25,VN-direct,Low,revealed,
CMK-042,demand spike,Pre-made chay food sales at supermarkets in Vu Lan,+5 to +10,percent,2020,Ho Chi Minh City,Low: government press centre report,CHY-28,VN-direct,Low,revealed,Restaurant traffic 3 to 4 times
