record_id,name,type,owner,location_current,location_former,capabilities,scale,food_grade,accreditation,access_model,url,source_ids,evidence_label,confidence,notes,province_current,province_former
PL-001,FIRI Food Production Pilot and Technology Transfer Center (FTET),pilot plant,"Food Industries Research Institute (FIRI), Ministry of Industry and Trade",Hanoi (Khuong Dinh ward),Hanoi (Thanh Xuan district),"Pilot-scale production experiments and technology transfer; transferred processes for bottled juice, soymilk, tofu, pressed tofu, fruit and vegetable powders; automatic bag-filling line in pilot workshop",not published (5 professional staff),not stated,not stated,"Technology transfer and pilot trials on request (production@firi.vn, 024 38582619); no public price list",https://www.firi.vn/FTET,INF-01; INF-02,VN-direct,High,"Soy/tofu process know-how is the closest to plant-protein work. No fermenter, extruder or dryer sizes published. Call to confirm",Ha Noi,Ha Noi
PL-002,FIRI National Center for Food Analysis and Certification (NACEFA),testing lab,"FIRI, Ministry of Industry and Trade",Hanoi (Khuong Dinh ward),Hanoi (Thanh Xuan district),"300+ parameters: proximate (moisture, protein, lipid, carbohydrate), additives, heavy metals (AAS), mycotoxins (aflatoxin, OTA, DON, ZEA), pesticide and antibiotic residues (LC-MS/MS Agilent 6460), microbiology (E. coli, coliforms, Salmonella); 4 HPLC, 3 GC",n/a,n/a,"ISO/IEC 17025, VILAS 259 (100+ parameters in scope); MAE-designated lab for imported feed ingredients (QCVN 01-190:2020, QCVN 01-183:2016); MOIT-designated for imported food","Fee-for-service (nacefa@firi.vn, 024 38582752)",https://www.firi.vn/NACEFA,INF-03,VN-direct,High,Feed-ingredient designation matters for any novel feed protein import or conformity test. No amino-acid analyser or digestibility assay listed,Ha Noi,Ha Noi
PL-003,FIRI Industrial Microbiology Center (CIM) and culture collection,R&D lab,"FIRI, Ministry of Industry and Trade",Hanoi (Khuong Dinh ward),Hanoi (Thanh Xuan district),"Industrial microorganism collection; fermentation, enzyme and protein technology departments",lab scale,n/a,not stated,Contract R&D and strain supply (terms not published),https://firi.vn,INF-01,VN-direct,Medium,"Departments: Microbial Biotechnology, Fermentation Technology, Enzyme and Protein Technology, Carbohydrate Technology. HCMC branch also exists",Ha Noi,Ha Noi
PL-004,HCMC Biotechnology Center,public R&D and pilot centre,HCMC People's Committee (under Saigon Hi-Tech Park management),Ho Chi Minh City (Trung My Tay ward; 2374 Do Muoi),Ho Chi Minh City (District 12),"Nine divisions: medical/pharma, aquaculture, microbial, plant, crop experimentation, animal, environmental, materials/nano, food biotechnology. Sells biofertiliser, biological treatments, shrimp-disease PCR kits; transfers tissue-culture, fish-fingerling and aquatic-vaccine protocols; lab design consulting",not published,not stated,not stated on site,"Technology transfer and consulting on request (ttcnsh.shtp@tphcm.gov.vn, 028 37153792)",https://www.hcmbiotech.com.vn,INF-04; INF-05,VN-direct,High,"No fermenter volumes, food-grade line or contract fermentation offer published. Listed services are agri/aqua, not food protein. Phone call needed",Ho Chi Minh City,Ho Chi Minh City
PL-005,SHTP Labs (Saigon Hi-Tech Park R&D Center),shared R&D lab,Saigon Hi-Tech Park Management Board,"Ho Chi Minh City (Tang Nhon Phu ward; Lot I3, N2 road)",Ho Chi Minh City (former Thu Duc City / District 9),Research and technology implementation services (detail not retrievable),not published,not stated,not verified,"Service contracts (ttrd.shtp@tphcm.gov.vn, 028 37360889)",http://shtplabs.org/,INF-06; INF-07,VN-direct,Low,shtplabs.org returned metadata only on 2026-09-23,Ho Chi Minh City,Ho Chi Minh City
PL-006,SHTP Incubator (SHTP-IC),incubator,Saigon Hi-Tech Park Management Board,"Ho Chi Minh City (Tang Nhon Phu ward; Lot E2a-10, D2b road)",Ho Chi Minh City (former Thu Duc City / District 9),"Startup incubation, training, partnerships",n/a,n/a,n/a,Incubation programme (vudn.shtp@tphcm.gov.vn),https://shtpic.org/vi/,INF-06,VN-direct,Medium,,Ho Chi Minh City,Ho Chi Minh City
PL-007,National Institute for Food Control (NIFC),testing lab,Ministry of Health,Hanoi (Phu Dien ward; 65 Pham Than Duat); HCMC branch at Tan Cang-Cat Lai port,Hanoi (Bac Tu Liem district),"Food testing (pesticides, additives, vitamins, toxins, antibiotics), microbiology with reference strains, heavy metals, feed and water, proficiency testing, calibration, training",n/a,n/a,"ISO/IEC 17025:2017; designated by MOH, MOIT, MAE; BoA list shows NIFC also holds OECD GLP (program GLP 002)",Fee-for-service,https://nifc.gov.vn/kiem-nghiem,INF-10; INF-09,VN-direct,High,Reference lab for MOH. GMO and amino acid profile not listed on homepage; check scope,Ha Noi; Ho Chi Minh City,Ha Noi; Ho Chi Minh City
PL-008,"Livestock and Veterinary Testing Centre (Central) I - Trung tam Khao nghiem, Kiem nghiem chan nuoi va thu y Trung uong I",feed trial and testing centre,"Department of Livestock Production and Animal Health (Cuc Chan nuoi va Thu y), MAE",Hanoi,Hanoi,"Feed trials (khao nghiem) and testing (kiem nghiem) of livestock feed; method development; reference standards and samples; conformity assessment and certification; departments: Certification, Trials and Testing, Experimental Testing",n/a,n/a,not stated in decision,Public service unit; may sell services 'consistent with its capacity' incl. feed quality verification and consulting,https://thuvienphapluat.vn/van-ban/Bo-may-hanh-chinh/Quyet-dinh-3064-QD-BNNMT-2026-chuc-nang-Trung-tam-Khao-nghiem-chan-nuoi-thu-y-Trung-uong-I-722048.aspx,INF-18,VN-direct,High,"Created by merging the Central Livestock Trial, Testing and Inspection Centre I with the Central Veterinary Drug Testing Centre I. Decision 3064/QD-BNNMT of 4 Aug 2026, effective 1 Oct 2026. The state route for feed trials of a new ingredient (e.g. bacterial SCP) for pigs and poultry",Ha Noi,Ha Noi
PL-009,"Livestock and Veterinary Testing Centre (Central) II - Trung tam Khao nghiem, Kiem nghiem chan nuoi va thu y Trung uong II",feed trial and testing centre,"Department of Livestock Production and Animal Health, MAE",not read (probably Ho Chi Minh City; verify),not read,Parallel unit to Centre I for the south (functions assumed similar; decision not read),n/a,n/a,not read,Public service unit,https://thuvienphapluat.vn/van-ban/Bo-may-hanh-chinh/Quyet-dinh-3065-QD-BNNMT-2026-chuc-nang-Trung-tam-Khao-nghiem-chan-nuoi-thu-y-Trung-uong-II-722047.aspx,INF-17,VN-direct,Low,Decision 3065/QD-BNNMT of 4 Aug 2026. Title seen in search listing only; location not verified,,
PL-010,"Aquatic Products Trial, Testing and Inspection Centre Region II - Trung tam Khao nghiem, Kiem nghiem, Kiem dinh thuy san Vung II",aquafeed trial and testing centre,"Aquatic Products Trial, Testing and Inspection Centre (under the Department of Fisheries and Fisheries Control, MAE)",Ho Chi Minh City,Ho Chi Minh City,"Trials, testing and inspection of aquafeed and other aquaculture inputs; conformity assessment services for aquafeed; technical and consulting services to enterprises. Covers South Central Coast, Central Highlands and Southeast",n/a,n/a,not stated,Services to enterprises; no independent legal status (acts through parent centre),https://thuvienphapluat.vn/van-ban/Bo-may-hanh-chinh/Quyet-dinh-174-QD-TSKN-2025-chuc-nang-Trung-tam-Khao-nghiem-Kiem-dinh-thuy-san-Vung-II-658280.aspx,INF-19,VN-direct,High,"Decision 174/QD-TSKN of 19 May 2025. A Region I centre also exists (Decision 173/QD-TSKN 2025; location not read), under a national parent centre (Decision 1109/QD-BNNMT 2025). The state entry point for aquafeed trials of SCP, insect or algae meals",Ho Chi Minh City,Ho Chi Minh City
