fact,part_vi_claim_affected,where,effect (contradicts|updates|strengthens|adds),source_ids,evidence_label,confidence,demand_evidence_type
"Nova Vista Foundation's USD 10 million Protein Innovation RFP (announced 7 August 2026, closed 15 September 2026) funds market shaping defined as public procurement of innovative protein products, advance market commitments and retailer protein-ratio targets, and excludes whole-food plant-based interventions, culture change and consumer awareness campaigns, individual diet change and shifts to smaller animals.",International funders should 'fund measurement first'; a funder whose goal is fewer animals raised should test canteen chay days or promotion of chay practice.,ch28.6; ch29.4; brief-international (the demand side),updates,AFN-04; AFN-05,general,High,stated
"The USD 10 million alternative-protein policy and market-shaping RFP is Nova Vista Foundation's; its priority geographies for added policy staff are 'high-innovation Asian economies (including but not limited to Japan and South Korea)', Germany and the Nordics. Vietnam is not named.",Grant windows are episodic and need a ready proposal; no Navigation Fund alternative-protein request found (supply-side capital section).,ch07 7.6; app-m M.9; brief-international,adds,AFN-04; AFN-05; AFN-06,general,High,stated
"A Stanford Humane and Sustainable Food Lab analysis of 1.2 million transactions in seven restaurants (US, Canada, Australia; August 2026) found 'essentially no evidence' that modern alternative proteins reduced meat purchases.",Little displacement: consumer analogues have not measurably displaced meat; R5 displacement factor 0.2.,ch23.7; ch28.2 R5; app-ag-global-benchmarks,strengthens,AFN-07,general,Medium,revealed
"Decision 973/QĐ-TTg (1 June 2026) approved the School Health Programme 2026 to 2035, which scales a school meal model built by MOET, NIN and TH Group with 400 standard menus and one carton of fresh milk a day, and requires food-safety and nutrition management in all schools serving meals by 2030.","School meals are price-capped, in a trust crisis and guided by an old animal-protein target; the state-driven protein route is target, domestic production condition, co-payment and tender.",ch25.3; app-ad AD.4; DMV-17,adds,AFN-44; AFN-45,VN-direct,Medium,revealed
"Ajinomoto Vietnam, NIN and MOET run a School Meal Project offering 120+ nutritionally balanced menus and 360+ dishes (page updated 25 September 2026), a second menu gatekeeper for public schools.",Entry to schools is framed around tenders and Dispatch 64 supplier documents; no menu-template owner is named.,ch25.3; ch25.6,adds,AFN-46,VN-direct,Medium,revealed
Humane World for Animals reports training 370+ chefs and 570+ nutritionists in 2025 across seven countries including Viet Nam as part of plant-based menu work (26 November 2025).,"Wave-6 note that Humane World's Viet Nam page 'lists no plant-based or meat-reduction programme' (CHY-63), used to support a small organised movement.",working-papers/wave6/chay/chay.md; app-b row on Vietnamese vegan organisations,updates,AFN-23; AFN-22,VN-direct,Medium,revealed
"ARE's Asia Protein Buyers 100 (19 February 2026) assessed five Vietnamese listed buyers (Vinamilk, Masan, Vinh Hoan, Minh Phu, Nam Viet); Vinamilk reached Tier 3. Across 100 Asian buyers, protein diversification averaged 7.4%, 48 offer plant-protein products and only 2 publish alternative-protein sourcing targets and volumes.","Corporate interest in novel protein is a clean negative; the buyer map is built from labels, trade data and company pages.",ch26.3; ch26.6; ch26.7,adds,AFN-18,VN-direct,High,revealed
FAIRR's 2024 Protein Producer Index reports Vinamilk's plant-based products at 1.30% of its product range and no timebound protein-diversification target.,Plant milk is the modern plant category that sells; Vinamilk names high-protein and plant milks among revenue drivers.,ch23.5; ch26.3,adds,AFN-21,VN-direct,High,revealed
Accor's Good Food Policy (November 2024) commits all managed and franchised hotels to 50% vegetarian or plant-based dishes in menus by 2030; Accor operated 43 hotels in Vietnam in October 2024 and signed a Mercure in Nha Trang.,"Nha Trang's hotels are a showcase, not a volume channel; untested whether hotel F&B managers want plant-based protein.",ch25.4; DMV-10; OQ-218,adds,AFN-40; AFN-41,VN-direct,Medium,stated
As of 2024 all 17 Korean metropolitan and provincial education offices recommend plant-based school meals once or twice a month; in June 2023 Seoul's plant-based menus in 313 schools carried 26.7 g of protein against 29.9 g for regular menus (standard 13.8 g).,"Institutional evidence comes from the US, UK, Denmark and France; 'no Asian trials were found' (OQ-261).",app-ag AG.4; ch25.3; ch28.2 R4; OQ-261,adds,AFN-42,VN-adjacent,High,revealed
"Lever Foundation reports 175+ Asian corporate sourcing commitments, including Chinese hotel groups moving 30 to 70% of menus to plant-based and 29 million corporate meals shifted; in July 2026 it expanded plant-based procurement-ratio work to India and Thailand, not Vietnam.",Foodservice chains trial meat-free items without disclosed success; no corporate commitment route is described.,ch25.2; app-ag AG.4,adds,AFN-38; AFN-39,VN-adjacent,Medium,stated
"GFI APAC expects 'Asia's first large-scale rollouts' of meat enhanced with plant proteins in 2026, foodservice first and at price parity; a Temasek-backed plant-enhanced meat range launched in Singapore in September 2025.",Blends are the most likely entry route; no Vietnamese processor interest found.,ch24.4; ch24.6,strengthens,AFN-11; AFN-13,VN-adjacent,Medium,stated
"An ORF and GFI India roundtable (August 2026) set out building plant and fermented proteins from local crops into India's PM-POSHAN and ICDS schemes on protein-quality and cost grounds, with budgets under INR 10 per student per day.","The upland child protein gap needs cheap, high-quality protein through institutional meals, a separate brief.",ch21.2; ch21.8; brief-international,adds,AFN-14,VN-adjacent,Medium,stated
"Diet-change and school-meal funding currently bypasses Vietnam: the 2026 ReRoot Asia Fund excludes Vietnam, ACE's July 2025 Movement Grants had no Vietnamese grantee, Vietnam is not a School Meals Coalition member, Rockefeller's school meals work does not name Vietnam, and GFI APAC lists no Vietnam staff.","Public goods fit technical assistance, research grants and first-loss finance through existing channels at modest cost.",brief-international; ch29.4,adds,AFN-29; AFN-28; AFN-33; AFN-32; AFN-12,VN-direct,Medium,revealed
