record_id,source,year,geography,population_group,food_group,value,unit,basis,measure_type,source_ids,evidence_label,confidence,demand_evidence_type,notes
DPI-001,FAOSTAT Food Balance Sheets (2010 to 2023 series),2010,Vietnam,whole population,All foods,79.67,g protein per person per day,food supply available for consumption (not intake; includes household waste),supply,DIE-07,VN-direct,High,revealed,"Protein supply quantity, element 674."
DPI-002,FAOSTAT Food Balance Sheets (2010 to 2023 series),2010,Vietnam,whole population,All animal foods,30.48,g protein per person per day,food supply available for consumption (not intake; includes household waste),supply,DIE-07,VN-direct,High,revealed,"Protein supply quantity, element 674."
DPI-003,FAOSTAT Food Balance Sheets (2010 to 2023 series),2010,Vietnam,whole population,All plant foods,49.19,g protein per person per day,food supply available for consumption (not intake; includes household waste),supply,DIE-07,VN-direct,High,revealed,"Protein supply quantity, element 674."
DPI-004,FAOSTAT Food Balance Sheets (2010 to 2023 series),2010,Vietnam,whole population,Meat (all),16.89,g protein per person per day,food supply available for consumption (not intake; includes household waste),supply,DIE-07,VN-direct,High,revealed,"Protein supply quantity, element 674."
DPI-005,FAOSTAT Food Balance Sheets (2010 to 2023 series),2010,Vietnam,whole population,Meat (all),40.97,kg per person per year,"food supply, primary equivalent; meat in carcass weight, fish in live weight",supply,DIE-07,VN-direct,High,revealed,"Food supply quantity, element 645."
DPI-006,FAOSTAT Food Balance Sheets (2010 to 2023 series),2010,Vietnam,whole population,Pork,9.76,g protein per person per day,food supply available for consumption (not intake; includes household waste),supply,DIE-07,VN-direct,High,revealed,"Protein supply quantity, element 674."
DPI-007,FAOSTAT Food Balance Sheets (2010 to 2023 series),2010,Vietnam,whole population,Pork,25.24,kg per person per year,"food supply, primary equivalent; meat in carcass weight, fish in live weight",supply,DIE-07,VN-direct,High,revealed,"Food supply quantity, element 645."
DPI-008,FAOSTAT Food Balance Sheets (2010 to 2023 series),2010,Vietnam,whole population,Poultry,5.32,g protein per person per day,food supply available for consumption (not intake; includes household waste),supply,DIE-07,VN-direct,High,revealed,"Protein supply quantity, element 674."
DPI-009,FAOSTAT Food Balance Sheets (2010 to 2023 series),2010,Vietnam,whole population,Poultry,11.87,kg per person per year,"food supply, primary equivalent; meat in carcass weight, fish in live weight",supply,DIE-07,VN-direct,High,revealed,"Food supply quantity, element 645."
DPI-010,FAOSTAT Food Balance Sheets (2010 to 2023 series),2010,Vietnam,whole population,Beef,1.56,g protein per person per day,food supply available for consumption (not intake; includes household waste),supply,DIE-07,VN-direct,High,revealed,"Protein supply quantity, element 674."
DPI-011,FAOSTAT Food Balance Sheets (2010 to 2023 series),2010,Vietnam,whole population,Beef,3.36,kg per person per year,"food supply, primary equivalent; meat in carcass weight, fish in live weight",supply,DIE-07,VN-direct,High,revealed,"Food supply quantity, element 645."
DPI-012,FAOSTAT Food Balance Sheets (2010 to 2023 series),2010,Vietnam,whole population,Offal,1.81,g protein per person per day,food supply available for consumption (not intake; includes household waste),supply,DIE-07,VN-direct,High,revealed,"Protein supply quantity, element 674."
DPI-013,FAOSTAT Food Balance Sheets (2010 to 2023 series),2010,Vietnam,whole population,Offal,4.32,kg per person per year,"food supply, primary equivalent; meat in carcass weight, fish in live weight",supply,DIE-07,VN-direct,High,revealed,"Food supply quantity, element 645."
