reporter,partner,flow,hs_code,hs_label,year,month,value_usd,net_weight_t,unit_value_usd_per_kg,weight_estimated,lunar_calendar_note,source_ids,evidence_label,confidence,demand_evidence_type,notes
China,World,export,110900,wheat gluten (1109),2019,1,9509716,6678.7,1.42,no,,BRD-05,VN-adjacent,High,revealed,China-reported FOB exports by month of export
China,World,export,110900,wheat gluten (1109),2019,2,9397631,6762.8,1.39,no,Tet month (lunar 1/1 on 2019-02-05),BRD-05,VN-adjacent,High,revealed,China-reported FOB exports by month of export
China,World,export,110900,wheat gluten (1109),2019,3,9746427,7054.6,1.38,no,,BRD-05,VN-adjacent,High,revealed,China-reported FOB exports by month of export
China,World,export,110900,wheat gluten (1109),2019,4,9676197,7335.9,1.32,no,,BRD-05,VN-adjacent,High,revealed,China-reported FOB exports by month of export
China,World,export,110900,wheat gluten (1109),2019,5,13521051,9980.5,1.35,no,,BRD-05,VN-adjacent,High,revealed,China-reported FOB exports by month of export
China,World,export,110900,wheat gluten (1109),2019,6,12029749,9403.3,1.28,no,,BRD-05,VN-adjacent,High,revealed,China-reported FOB exports by month of export
China,World,export,110900,wheat gluten (1109),2019,7,10176338,8145.7,1.25,no,,BRD-05,VN-adjacent,High,revealed,China-reported FOB exports by month of export
China,World,export,110900,wheat gluten (1109),2019,8,12652485,9633.5,1.31,no,Vu Lan month (lunar 7/15 on 2019-08-15),BRD-05,VN-adjacent,High,revealed,China-reported FOB exports by month of export
China,World,export,110900,wheat gluten (1109),2019,9,9542617,7620.2,1.25,no,,BRD-05,VN-adjacent,High,revealed,China-reported FOB exports by month of export
China,World,export,110900,wheat gluten (1109),2019,10,9529730,8220.9,1.16,no,,BRD-05,VN-adjacent,High,revealed,China-reported FOB exports by month of export
China,World,export,110900,wheat gluten (1109),2019,11,8972343,7664.8,1.17,no,,BRD-05,VN-adjacent,High,revealed,China-reported FOB exports by month of export
China,World,export,110900,wheat gluten (1109),2019,12,7258032,6094.4,1.19,no,,BRD-05,VN-adjacent,High,revealed,China-reported FOB exports by month of export
China,World,export,110900,wheat gluten (1109),2020,1,7330592,5724.2,1.28,no,Tet month (lunar 1/1 on 2020-01-25),BRD-05,VN-adjacent,High,revealed,China-reported FOB exports by month of export
China,World,export,110900,wheat gluten (1109),2020,2,2675611,2134.9,1.25,no,,BRD-05,VN-adjacent,High,revealed,China-reported FOB exports by month of export
China,World,export,110900,wheat gluten (1109),2020,3,7202511,6113.0,1.18,no,,BRD-05,VN-adjacent,High,revealed,China-reported FOB exports by month of export
China,World,export,110900,wheat gluten (1109),2020,4,5640354,4456.3,1.27,no,,BRD-05,VN-adjacent,High,revealed,China-reported FOB exports by month of export
China,World,export,110900,wheat gluten (1109),2020,5,5336641,4346.8,1.23,no,,BRD-05,VN-adjacent,High,revealed,China-reported FOB exports by month of export
China,World,export,110900,wheat gluten (1109),2020,6,11826880,9654.8,1.22,no,,BRD-05,VN-adjacent,High,revealed,China-reported FOB exports by month of export
China,World,export,110900,wheat gluten (1109),2020,7,11709222,9105.7,1.29,no,,BRD-05,VN-adjacent,High,revealed,China-reported FOB exports by month of export
China,World,export,110900,wheat gluten (1109),2020,8,10634491,8125.6,1.31,no,,BRD-05,VN-adjacent,High,revealed,China-reported FOB exports by month of export
China,World,export,110900,wheat gluten (1109),2020,9,9491083,7350.7,1.29,no,Vu Lan month (lunar 7/15 on 2020-09-02),BRD-05,VN-adjacent,High,revealed,China-reported FOB exports by month of export
China,World,export,110900,wheat gluten (1109),2020,10,14530244,11060.3,1.31,no,,BRD-05,VN-adjacent,High,revealed,China-reported FOB exports by month of export
China,World,export,110900,wheat gluten (1109),2020,11,9822069,7410.3,1.33,no,,BRD-05,VN-adjacent,High,revealed,China-reported FOB exports by month of export
China,World,export,110900,wheat gluten (1109),2020,12,16219280,12077.6,1.34,no,,BRD-05,VN-adjacent,High,revealed,China-reported FOB exports by month of export
