record_id,product_type,route,authority,documented_agency_time,main_open_risk,legal_basis,precedent_in_vn,wave1_product_type,wave1_route,changed_in_wave2,wave2_changes,origin,source_ids,evidence_label,confidence,notes
RT-001,Plant-based food from known ingredients,"Self-declaration (Decree 15/2018). Under the new law (vote considered at the May 2027 session): likely ""declare applied standard"" or ""no declaration""; drafters rejected mandatory registration for all packaged food",Provincial authority,Immediate after filing,Transition rules of the new law; no allergen list or naming rule to rely on,"Law 55/2010; Decree 15/2018 Art 4-5; Decree 37/2026 (goods labels, replacing Decree 43/2017 and 111/2021)","Many (do chay brands, soy and nut milks)","Plant-based food from known ingredients (tofu, textured soy, gluten, jackfruit, do chay, plant milks)",Self-declaration (tu cong bo san pham) with lab test report within 12 months; food-safe facility; labelling,yes,"From 2027 (draft law): likely ""declare applied standard"" or ""no declaration""; drafters rejected mandatory registration for all packaged food | no allergen list or naming rule to rely on",wave 2 REG2 route table (as of 23 Sep 2026); matched to wave 1 row,REG2-05; REG2-06; REG2-24; REG2-25; REG-01; REG-02; REG-06; REG-07; REG-26,VN-direct,High (current); Medium (2027),"source_ids combine the matched wave 1 route row with REG2 sources for the wave 2 changes, assigned by the consolidation step from regulation2.md detailed findings. Wave 1 notes: Lowest legal risk route Wave 1 open questions: New Food Safety Law may convert some self-declaration into registration (direction shown by suspended Decree 46/2026 and Res 66.13/2026); no rule on meat/milk terms | Version 0.4: the National Assembly takes first comments in October 2026 and considers passage in May 2027 (APR-07); labels now under Decree 37/2026 (LBL-06)."
RT-002,Koji or traditional mould fermentation,As above,Provincial authority,Immediate,Strain and mycotoxin documentation,Decree 15/2018 Art 4-5,"Traditional products (tuong, nuoc tuong) exist; no alt-protein koji product verified","Koji or traditional mould fermentation on a food substrate (A. oryzae, Rhizopus)",Self-declaration as processed food,no,,wave 2 REG2 route table (as of 23 Sep 2026); matched to wave 1 row,REG-02,VN-direct,Medium,"source_ids combine the matched wave 1 route row with REG2 sources for the wave 2 changes, assigned by the consolidation step from regulation2.md detailed findings. Wave 1 notes: Long history of use lowers Art 5(1) risk Wave 1 open questions: Strain documentation expected by inspectors; mycotoxin testing"
RT-003,Fungal biomass or mycoprotein food,As above; no ingredient pre-clearance,Provincial authority; VFA for advice,Immediate (legal risk remains),Art 5(1) and Art 55(1)(c) of the current law; no sign the draft law adds a clearance route,Decree 15/2018 Art 4-5; risk under Law 55/2010 Art 5(1) and Art 55(1)(c),None found,"Fungal biomass food (mycoprotein, mycelium)",Self-declaration is the only mechanism; no pre-approval route for the ingredient,yes,no sign the draft law adds a clearance route,wave 2 REG2 route table (as of 23 Sep 2026); matched to wave 1 row,REG2-04; REG2-05; REG2-06; REG-01; REG-02,VN-direct,Medium,"source_ids combine the matched wave 1 route row with REG2 sources for the wave 2 changes, assigned by the consolidation step from regulation2.md detailed findings. Wave 1 notes: Edible-mushroom species lower risk than novel strains (e.g. Fusarium venenatum) Wave 1 open questions: Would an inspector treat a new strain as 'not a food-type raw material' or a 'new-technology product not yet permitted'? No procedure to obtain permission"
RT-004,Microalgae food,"Self-declaration, or health-supplement registration at MOH (21 working days)",Provincial authority; MOH,Immediate or 21 working days,New species as for fungal biomass,"Decree 15/2018 Art 4-8, 11-12",Spirulina products on market (prior lead: Vinh Hao; not verified this wave),"Microalgae food (spirulina, chlorella; novel species)",(a) Self-declaration as food; or (b) registration as health supplement (thuc pham bao ve suc khoe),no,,wave 2 REG2 route table (as of 23 Sep 2026); matched to wave 1 row,REG-02,VN-direct,Medium,"source_ids combine the matched wave 1 route row with REG2 sources for the wave 2 changes, assigned by the consolidation step from regulation2.md detailed findings. Wave 1 open questions: Novel species face same uncertainty as fungal biomass"
RT-005,"Precision-fermented protein, imported",Self-declaration or own-use exemption; GM label above 5% of ingredients unless neither the gene nor its product is detectable; VFA registration if used as an unlisted additive,Provincial authority; VFA; MAE,Immediate; 7 working days (additive),No rule on GMO-derived products; definition still covers the protein,"Decree 15/2018 Art 4(2), 6, 10; Decree 69/2010 as amended by 43/2026 (definition of product of GMO); Circular 24/2019",None found,Precision-fermented protein food (imported ingredient),"Importer self-declares, or exempt if used only for own production; GM labelling if >5% of product; registration at VFA if used as additive not on MOH list",yes,No rule on GMO-derived products; definition still covers the protein,wave 2 REG2 route table (as of 23 Sep 2026); matched to wave 1 row,REG2-11; REG-02; REG-18; REG-19; REG-25,VN-direct,Medium,"source_ids combine the matched wave 1 route row with REG2 sources for the wave 2 changes, assigned by the consolidation step from regulation2.md detailed findings. Wave 1 notes: New definition covers products with 'protein from modified gene' Wave 1 open questions: Does a purified recombinant protein need a GMO food-use certificate (Art 32-33) in addition to labelling? Import inspection mode under new law | Version 0.4: Joint Circular 45/2015 Art 1 exempts undetectable products; lactoferrin-type uses (about 0.08%) fall below the 5% trigger (LBL-10; LBL-25)."
RT-006,"Precision-fermented protein, made in Vietnam","Closed-production certificate: Forms 32 and 33, OECD/G20 contained-use standards, environmental licence for waste; then food route",MAE (decree); possibly province (procedure list),Not published in the texts read,"Timeline, fee, issuing level; food-use certificate question",Decree 69/2010 Art 37a (added by Decree 43/2026); Decree 15/2018; Law on Environmental Protection and Decree 08/2022,None found,Precision-fermented protein food (made in Vietnam with GM microbe),MAE certificate for GMO used in closed production (new Art 37a) + food route as above + environmental permit,yes,"Closed-production certificate: Forms 32 and 33, OECD/G20 contained-use standards, environmental licence for waste | MAE (decree); possibly province (procedure list) | Not published in the texts read",wave 2 REG2 route table (as of 23 Sep 2026); matched to wave 1 row,REG2-11; REG2-12; REG-18; REG-58,VN-direct,Medium,"source_ids combine the matched wave 1 route row with REG2 sources for the wave 2 changes, assigned by the consolidation step from regulation2.md detailed findings. Wave 1 notes: Also qualifies as priority high-tech (Decision 23/2026 items 60, 92) for CIT incentives Wave 1 open questions: Art 37a dossier and timeline; whether MOH must also clear the product"
RT-007,Cultivated meat or seafood,No national route. Most concrete option: Hanoi sandbox (biotech priority field; Resolution 29/2025/NQ-HĐND; Decision 6150/QĐ-UBND),"Hanoi People's Committee, with MOH consulted",Not read,Whether a city sandbox can set aside national food law,"Law 55/2010 Art 5(1), 55(1)(c); Decree 69/2010 as amended; possible sandbox under Law 93/2025 Art 21",None,Cultivated meat or seafood,"No workable route; theoretically self-declaration, but Law 55/2010 Art 55(1)(c) implies 'permission' for new-technology food with no procedure; GM cell lines add GMO issues",yes,Most concrete option: Hanoi sandbox (biotech priority field; Resolution 29/2025/NQ-HĐND; Decision 6150/QĐ-UBND) | Hanoi People's Committee,wave 2 REG2 route table (as of 23 Sep 2026); matched to wave 1 row,REG2-13; REG2-15; REG2-16; REG2-17; REG-01; REG-18; REG-48,VN-direct,Medium,"source_ids combine the matched wave 1 route row with REG2 sources for the wave 2 changes, assigned by the consolidation step from regulation2.md detailed findings. Wave 1 notes: Singapore requires pre-market approval (REG-63) Wave 1 open questions: Which ministry would approve a sandbox; whether new Food Safety Law will address it"
RT-008,"Insect meal, livestock feed","Listed (""côn trùng""): no trial; factory certificate; conformity with QCVN 01-190:2020",Province; DLPAH,Factory: 10 + 20 + 5 working days,None major,"Law on Animal Husbandry Art 32, 36, 38-39; Circular 21/2019 App VI I.1.2; QCVN 01-190:2020; Decree 136/2025; Decree 32/2026","Entobel (commercial plant 2019, Dat Do IZ, Ho Chi Minh City (former Ba Ria-Vung Tau))",Insect meal for livestock and poultry feed,Listed raw material ('con trung'): no trial; certified feed factory; declared standard and conformity (hop quy) vs QCVN 01-190:2020; label,no,,wave 2 REG2 route table (as of 23 Sep 2026); matched to wave 1 row,REG-29; REG-30; REG-32; REG-36; REG-41; REG-44,VN-direct,High,"source_ids combine the matched wave 1 route row with REG2 sources for the wave 2 changes, assigned by the consolidation step from regulation2.md detailed findings. Wave 1 notes: Insects are a benchmark, not a recommended play Wave 1 open questions: Entobel's portal entries not checked"
RT-009,"Insect meal, aquafeed",Not on the aquafeed list; the list has no raw-material section. Formally a trial may be needed (Fisheries Law Art 35(1)),DFFI (list); province (trial recognition),20 days appraisal + trial + 10 working days,Ask DFFI in writing whether a trial is required,"Law on Fisheries Art 31, 35, 36; Decree 26/2019 Art 31-32; Decree 136/2025 Art 18-19; Circular 16/2026",Not verified,Insect meal for aquafeed,Check aquafeed permitted list (Circular 16/2026 App II); if not listed: aquafeed trial then recognition,yes,Not on the aquafeed list; the list has no raw-material section. Formally a trial may be needed (Fisheries Law Art 35(1)) | Ask DFFI in writing whether a trial is required,wave 2 REG2 route table (as of 23 Sep 2026); matched to wave 1 row,REG2-01; REG2-02; REG-37; REG-38; REG-40; REG-41,VN-direct,High (text); Medium (practice),"source_ids combine the matched wave 1 route row with REG2 sources for the wave 2 changes, assigned by the consolidation step from regulation2.md detailed findings. Wave 1 notes: Gap: list raw-material section unreadable Wave 1 open questions: Is insect meal on the aquafeed list?"
RT-010,"Duckweed or algae meal, livestock","Listed (""bèo"", ""tảo"")",Province; DLPAH,As insect meal,Heavy metals if grown on effluent,Circular 21/2019 App VI I.2; QCVN 01-190:2020,Research only (prior lead: Can Tho 1990s); no commercial registration found,Duckweed meal for feed,Listed raw material ('beo' among aquatic plants): no trial for livestock; conformity vs QCVN 01-190:2020; certified factory,no,,wave 2 REG2 route table (as of 23 Sep 2026); matched to wave 1 row,REG2-07; REG2-09; REG-32; REG-36,VN-direct,High,"source_ids combine the matched wave 1 route row with REG2 sources for the wave 2 changes, assigned by the consolidation step from regulation2.md detailed findings. Wave 1 notes: Food use of duckweed is a separate, uncertain food route Wave 1 open questions: Heavy metals and pathogens if grown on effluent; aquafeed listing unknown"
