record_id,instrument,number,date,issuer,domain,target_text_vi,target_text_en,metric,value,unit,horizon_year,relevance_to_protein_supply,status,foresight_type,source_ids,evidence_label,confidence,notes
NT-001,"Resolution on biotechnology development to 2030, vision 2045",36-NQ/TW,2023-01-30,Party Central Committee (Politburo),biotechnology,Công nghiệp sinh học ... đóng góp 7% vào GDP,Biotech industry contributes 7% of GDP,Biotech industry share of GDP,7,% of GDP,2030,2,in force,projection,NTS-01; REG-51,VN-direct,High,Official target. No national statistical definition of 'biotech industry value added' found; progress cannot be tracked from published statistics.
NT-002,"Resolution on biotechnology development to 2030, vision 2045",36-NQ/TW,2023-01-30,Party Central Committee (Politburo),biotechnology,thay thế ít nhất 50% sản phẩm công nghệ sinh học nhập khẩu,Replace at least 50% of imported biotech products,Import replacement of biotech products,at least 50,% of imported biotech products,2030,3,in force,projection,NTS-01; REG-51,VN-direct,High,"Import-substitution framing fits feed additives, enzymes, amino acids and microbial protein. Base year and product list not defined."
NT-003,"Resolution on biotechnology development to 2030, vision 2045",36-NQ/TW,2023-01-30,Party Central Committee (Politburo),biotechnology,Doanh nghiệp công nghiệp sinh học tăng 50% về quy mô đầu tư và quy mô tăng trưởng,Biotech industry enterprises grow 50% in investment scale and growth scale,Biotech enterprise investment scale,+50,% vs 2023 (base implied),2030,2,in force,projection,NTS-01,VN-direct,Medium,Wording read via page extraction; base year not stated.
NT-004,"Resolution on biotechnology development to 2030, vision 2045",36-NQ/TW,2023-01-30,Party Central Committee (Politburo),biotechnology,một trong 10 quốc gia hàng đầu Châu Á về sản xuất và dịch vụ thông minh công nghệ sinh học,One of the top 10 countries in Asia for smart biotech production and services,Regional ranking,top 10 in Asia,rank,2030,1,in force,projection,NTS-01,VN-direct,High,No ranking method named.
NT-005,"Resolution on biotechnology development to 2030, vision 2045",36-NQ/TW,2023-01-30,Party Central Committee (Politburo),biotechnology,Công nghiệp sinh học đóng góp 10 - 15% vào GDP,Biotech industry contributes 10 to 15% of GDP,Biotech industry share of GDP,10 to 15,% of GDP,2045,2,in force,projection,NTS-01; REG-51,VN-direct,High,"Vision, not a legally binding target. Very high by international comparison; treat as aspiration."
NT-006,"Resolution on biotechnology development to 2030, vision 2045",36-NQ/TW,2023-01-30,Party Central Committee (Politburo),biotechnology,"Việt Nam là quốc gia có nền công nghệ sinh học phát triển trên thế giới, trung tâm sản xuất và dịch vụ thông minh",Vietnam has a developed biotechnology base by world standards and is a centre of smart production and services,Qualitative vision,n/a,n/a,2045,2,in force,projection,NTS-01,VN-direct,High,Vision statement.
NT-007,"Resolution on biotechnology development to 2030, vision 2045",36-NQ/TW,2023-01-30,Party Central Committee (Politburo),biotechnology,"Khởi nghiệp, đổi mới sáng tạo về công nghệ sinh học thuộc nhóm dẫn đầu khu vực Châu Á",Biotech start-ups and innovation among the leading group in Asia,Regional ranking of biotech start-ups,leading group in Asia,rank,2045,2,in force,projection,NTS-01,VN-direct,Medium,Wording read via page extraction.
NT-008,"Resolution on biotechnology development to 2030, vision 2045",36-NQ/TW,2023-01-30,Party Central Committee (Politburo),biotechnology; processing,"Phát triển, ứng dụng, hiện đại hoá công nghệ sinh học trong công nghiệp chế biến các sản phẩm an toàn, hiệu quả, có giá trị cao từ nguồn nguyên liệu trong nước","Develop and modernise biotech in processing industry to make safe, high-value products from domestic raw materials",Direction (no metric),n/a,n/a,2030,3,in force,projection,NTS-01,VN-direct,Medium,"Closest text to a mandate for converting domestic side streams (cassava, rice bran, seafood by-products) into ingredients. No mention of alternative protein, fermentation for food, or feed protein."
NT-009,Government action programme for Resolution 36-NQ/TW,189/NQ-CP,2023-11-16,Government,biotechnology,Xây dựng Đề án phát triển công nghiệp sinh học ngành nông nghiệp,"Build a scheme to develop the biotech industry in agriculture (MARD, now MAE; due Q4 2024)",Task and deadline,Q4 2024,deadline,2030,2,in force,projection,NTS-02; REG-52,VN-direct,Medium,"No numeric targets in the programme itself. Parallel schemes for industry (MOIT, Q4 2024), health (MOH, Q4 2024), environment (MONRE, Q2 2024), standards and IP (MOST, Q4 2024), human resources (MOET, Q2 2024), genetic resources programme 2026 to 2030 (Q1 2025). Delivery status of each not verified."
NT-010,"Resolution on breakthroughs in science, technology, innovation and national digital transformation",57-NQ/TW,2024-12-22,Politburo,science and technology,"Kinh phí chi cho nghiên cứu phát triển (R&D) đạt 2% GDP, trong đó kinh phí từ xã hội chiếm hơn 60%","R&D spending reaches 2% of GDP, over 60% from non-state sources",Gross R&D expenditure,2,% of GDP,2030,2,in force,projection,NTS-03; REG-50,VN-direct,High,"Carried in edition 1.0; re-read. Vietnam's GERD was about 0.4 to 0.5% of GDP in the early 2020s (agent knowledge, not verified this round)."
NT-011,"Resolution on breakthroughs in science, technology, innovation and national digital transformation",57-NQ/TW,2024-12-22,Politburo,science and technology,"Bố trí ít nhất 3% tổng chi ngân sách hằng năm cho phát triển khoa học, công nghệ, đổi mới sáng tạo, chuyển đổi số","At least 3% of total annual state budget spending to S&T, innovation and digital transformation",Budget share for S&T,at least 3,% of state budget,2030,2,in force,projection,NTS-03; REG-50,VN-direct,High,
NT-012,"Resolution on breakthroughs in science, technology, innovation and national digital transformation",57-NQ/TW,2024-12-22,Politburo,science and technology,"Nguồn nhân lực nghiên cứu khoa học, phát triển công nghệ, đổi mới sáng tạo đạt 12 người trên một vạn dân","Research, technology development and innovation workforce of 12 per 10,000 people","Researchers per 10,000 people",12,"persons per 10,000 population",2030,1,in force,projection,NTS-03,VN-direct,Medium,
NT-013,"Resolution on breakthroughs in science, technology, innovation and national digital transformation",57-NQ/TW,2024-12-22,Politburo,science and technology,"Số lượng đơn đăng ký sáng chế, văn bằng bảo hộ sáng chế tăng trung bình 16 - 18%/năm, tỉ lệ khai thác thương mại đạt 8 - 10%",Patent applications and grants grow 16 to 18% a year; commercialisation rate 8 to 10%,Patent growth; commercialisation rate,16 to 18; 8 to 10,% per year; %,2030,1,in force,projection,NTS-03,VN-direct,Medium,Relevant as a signpost for biotech IP.
