record_id,scenario,year,route,indicator,label,value,unit,foresight_type,evidence_label,confidence,source_ids,notes
DMO-0001,D-DRIFT,2025,context,meat_protein_kt,"Meat protein demand (S-BASE, carcass basis x 0.15)",1012.8,kt protein,calibration (2025 base),VN-direct,Low,demand_assumptions.csv; balance_outputs.csv,"What-if scenario result, not a forecast."
DMO-0002,D-DRIFT,2025,context,meat_protein_g_per_person_day,Meat protein per person per day (supply basis),27.31,g per person per day,calibration (2025 base),VN-direct,Low,demand_assumptions.csv; balance_outputs.csv,"What-if scenario result, not a forecast."
DMO-0003,D-DRIFT,2025,R1,R1_pool_protein_kt,Food plant-protein ingredient pool (imports today),26.0,kt protein,calibration (2025 base),VN-direct,Low,demand_assumptions.csv; balance_outputs.csv,"What-if scenario result, not a forecast."
DMO-0004,D-DRIFT,2025,R1,R1_delivered,Ingredient import substitution: protein delivered by domestic or novel protein,0.0,kt protein,calibration (2025 base),VN-direct,Low,demand_assumptions.csv; balance_outputs.csv,"What-if scenario result, not a forecast."
DMO-0005,D-DRIFT,2025,R1,R1_displaced,Ingredient import substitution: meat protein displaced,0.0,kt protein,calibration (2025 base),VN-direct,Low,demand_assumptions.csv; balance_outputs.csv,"What-if scenario result, not a forecast."
DMO-0006,D-DRIFT,2025,R2,R2_chay_day_share,Chay days as a share of all person-days (assumption),0.0247,share of person-days,calibration (2025 base),VN-direct,Low,demand_assumptions.csv; balance_outputs.csv,"What-if scenario result, not a forecast."
DMO-0007,D-DRIFT,2025,R2,R2_baseline_meat_avoided_kt,Meat protein already avoided by existing chay days (in the baseline),24.99,kt protein,calibration (2025 base),VN-direct,Low,demand_assumptions.csv; balance_outputs.csv,"What-if scenario result, not a forecast."
DMO-0008,D-DRIFT,2025,R2,R2_delivered,Chay occasions: protein delivered by domestic or novel protein,0.0,kt protein,calibration (2025 base),VN-direct,Low,demand_assumptions.csv; balance_outputs.csv,"What-if scenario result, not a forecast."
DMO-0009,D-DRIFT,2025,R2,R2_displaced,Chay occasions: meat protein displaced,0.0,kt protein,calibration (2025 base),VN-direct,Low,demand_assumptions.csv; balance_outputs.csv,"What-if scenario result, not a forecast."
DMO-0010,D-DRIFT,2025,R3,R3_processed_meat_protein_kt,Protein in processed meat products,50.64,kt protein,calibration (2025 base),VN-direct,Low,demand_assumptions.csv; balance_outputs.csv,"What-if scenario result, not a forecast."
DMO-0011,D-DRIFT,2025,R3,R3_delivered,Hybrid processed meat: protein delivered by domestic or novel protein,0.0,kt protein,calibration (2025 base),VN-direct,Low,demand_assumptions.csv; balance_outputs.csv,"What-if scenario result, not a forecast."
DMO-0012,D-DRIFT,2025,R3,R3_displaced,Hybrid processed meat: meat protein displaced,0.0,kt protein,calibration (2025 base),VN-direct,Low,demand_assumptions.csv; balance_outputs.csv,"What-if scenario result, not a forecast."
DMO-0013,D-DRIFT,2025,R4,R4_meal_protein_pool_kt,Protein in canteen and school protein dishes,36.0,kt protein,calibration (2025 base),VN-direct,Low,demand_assumptions.csv; balance_outputs.csv,"What-if scenario result, not a forecast."
DMO-0014,D-DRIFT,2025,R4,R4_delivered,Institutional meals: protein delivered by domestic or novel protein,0.0,kt protein,calibration (2025 base),VN-direct,Low,demand_assumptions.csv; balance_outputs.csv,"What-if scenario result, not a forecast."
DMO-0015,D-DRIFT,2025,R4,R4_displaced,Institutional meals: meat protein displaced,0.0,kt protein,calibration (2025 base),VN-direct,Low,demand_assumptions.csv; balance_outputs.csv,"What-if scenario result, not a forecast."
DMO-0016,D-DRIFT,2025,R5,R5_urban_population_m,Urban population (trend assumption),39.42,million people,calibration (2025 base),VN-direct,Low,demand_assumptions.csv; balance_outputs.csv,"What-if scenario result, not a forecast."
DMO-0017,D-DRIFT,2025,R5,R5_regular_buyers_m,Regular (monthly) buyers of modern analogues,0.0394,million people,calibration (2025 base),VN-direct,Low,demand_assumptions.csv; balance_outputs.csv,"What-if scenario result, not a forecast."
DMO-0018,D-DRIFT,2025,R5,R5_delivered,Household modern analogues: protein delivered by domestic or novel protein,0.0177,kt protein,calibration (2025 base),VN-direct,Low,demand_assumptions.csv; balance_outputs.csv,"What-if scenario result, not a forecast."
DMO-0019,D-DRIFT,2025,R5,R5_displaced,Household modern analogues: meat protein displaced,0.0035,kt protein,calibration (2025 base),VN-direct,Low,demand_assumptions.csv; balance_outputs.csv,"What-if scenario result, not a forecast."
DMO-0020,D-DRIFT,2025,R6,R6_plant_milk_ml,Plant milk volume,300.0,million litres,calibration (2025 base),VN-direct,Low,demand_assumptions.csv; balance_outputs.csv,"What-if scenario result, not a forecast."
DMO-0021,D-DRIFT,2025,R6,R6_delivered,High-protein plant milks: protein delivered by domestic or novel protein,0.09,kt protein,calibration (2025 base),VN-direct,Low,demand_assumptions.csv; balance_outputs.csv,"What-if scenario result, not a forecast."
DMO-0022,D-DRIFT,2025,R6,R6_displaced,High-protein plant milks: meat protein displaced,0.0,kt protein,calibration (2025 base),VN-direct,Low,demand_assumptions.csv; balance_outputs.csv,"What-if scenario result, not a forecast."
DMO-0023,D-DRIFT,2025,R7,R7_delivered,Exports: protein delivered by domestic or novel protein,0.0,kt protein,calibration (2025 base),VN-direct,Low,demand_assumptions.csv; balance_outputs.csv,"What-if scenario result, not a forecast."
DMO-0024,D-DRIFT,2025,R7,R7_displaced,Exports: meat protein displaced,0.0,kt protein,calibration (2025 base),VN-direct,Low,demand_assumptions.csv; balance_outputs.csv,"What-if scenario result, not a forecast."
DMO-0025,D-DRIFT,2025,all,total_delivered,"Total protein delivered by domestic or novel protein, all routes",0.1077,kt protein,calibration (2025 base),VN-direct,Low,demand_assumptions.csv; balance_outputs.csv,"What-if scenario result, not a forecast."
DMO-0026,D-DRIFT,2025,all,domestic_delivered,Protein delivered in Vietnam (R1 to R6),0.1077,kt protein,calibration (2025 base),VN-direct,Low,demand_assumptions.csv; balance_outputs.csv,"What-if scenario result, not a forecast."
DMO-0027,D-DRIFT,2025,all,total_displaced,"Meat protein displaced, all routes",0.0035,kt protein,calibration (2025 base),VN-direct,Low,demand_assumptions.csv; balance_outputs.csv,"What-if scenario result, not a forecast."
DMO-0028,D-DRIFT,2025,all,displaced_share_of_meat_protein,Meat protein displaced as a share of meat protein demand,0.0,share,calibration (2025 base),VN-direct,Low,demand_assumptions.csv; balance_outputs.csv,"What-if scenario result, not a forecast."
DMO-0029,D-DRIFT,2025,context,salt_food_requirement_kt,Part IV S-ALT: meat protein replaced by plant-based and fermented foods,0.0,kt protein,calibration (2025 base),VN-direct,Low,demand_assumptions.csv; balance_outputs.csv,"What-if scenario result, not a forecast."
DMO-0030,D-DRIFT,2025,context,salt_feed_microbial_kt,Part IV S-ALT: microbial protein in feed (for comparison),0.0,kt protein,calibration (2025 base),VN-direct,Low,demand_assumptions.csv; balance_outputs.csv,"What-if scenario result, not a forecast."
DMO-0031,D-DRIFT,2025,context,salt_share,Part IV S-ALT share of meat protein replaced,0.0,share,calibration (2025 base),VN-direct,Low,demand_assumptions.csv; balance_outputs.csv,"What-if scenario result, not a forecast."
DMO-0032,D-DRIFT,2025,all,ingredient_value_usd_m,Ingredient value of protein delivered (order of magnitude),0.3232,USD million,calibration (2025 base),VN-direct,Low,demand_assumptions.csv; balance_outputs.csv,"What-if scenario result, not a forecast."
DMO-0033,D-DRIFT,2025,all,ingredient_product_kt_r1_r4,Ingredient product for R1 to R4 at 60% protein,0.0,kt product,calibration (2025 base),VN-direct,Low,demand_assumptions.csv; balance_outputs.csv,"What-if scenario result, not a forecast."
DMO-0034,D-DRIFT,2025,all,line_equivalents_r1_r4,Equivalent 1 t/h textured-protein lines for R1 to R4,0.0,lines,calibration (2025 base),VN-direct,Low,demand_assumptions.csv; balance_outputs.csv,"What-if scenario result, not a forecast."
DMO-0035,D-DRIFT,2030,context,meat_protein_kt,"Meat protein demand (S-BASE, carcass basis x 0.15)",1178.89,kt protein,estimate,VN-direct,Low,demand_assumptions.csv; balance_outputs.csv,"What-if scenario result, not a forecast."
DMO-0036,D-DRIFT,2030,context,meat_protein_g_per_person_day,Meat protein per person per day (supply basis),31.0,g per person per day,estimate,VN-direct,Low,demand_assumptions.csv; balance_outputs.csv,"What-if scenario result, not a forecast."
DMO-0037,D-DRIFT,2030,R1,R1_pool_protein_kt,Food plant-protein ingredient pool (imports today),31.63,kt protein,estimate,VN-direct,Low,demand_assumptions.csv; balance_outputs.csv,"What-if scenario result, not a forecast."
DMO-0038,D-DRIFT,2030,R1,R1_delivered,Ingredient import substitution: protein delivered by domestic or novel protein,0.6327,kt protein,estimate,VN-direct,Low,demand_assumptions.csv; balance_outputs.csv,"What-if scenario result, not a forecast."
DMO-0039,D-DRIFT,2030,R1,R1_displaced,Ingredient import substitution: meat protein displaced,0.0,kt protein,estimate,VN-direct,Low,demand_assumptions.csv; balance_outputs.csv,"What-if scenario result, not a forecast."
DMO-0040,D-DRIFT,2030,R2,R2_chay_day_share,Chay days as a share of all person-days (assumption),0.0247,share of person-days,estimate,VN-direct,Low,demand_assumptions.csv; balance_outputs.csv,"What-if scenario result, not a forecast."
DMO-0041,D-DRIFT,2030,R2,R2_baseline_meat_avoided_kt,Meat protein already avoided by existing chay days (in the baseline),29.08,kt protein,estimate,VN-direct,Low,demand_assumptions.csv; balance_outputs.csv,"What-if scenario result, not a forecast."
DMO-0042,D-DRIFT,2030,R2,R2_delivered,Chay occasions: protein delivered by domestic or novel protein,0.1877,kt protein,estimate,VN-direct,Low,demand_assumptions.csv; balance_outputs.csv,"What-if scenario result, not a forecast."
DMO-0043,D-DRIFT,2030,R2,R2_displaced,Chay occasions: meat protein displaced,0.0,kt protein,estimate,VN-direct,Low,demand_assumptions.csv; balance_outputs.csv,"What-if scenario result, not a forecast."
DMO-0044,D-DRIFT,2030,R3,R3_processed_meat_protein_kt,Protein in processed meat products,58.94,kt protein,estimate,VN-direct,Low,demand_assumptions.csv; balance_outputs.csv,"What-if scenario result, not a forecast."
DMO-0045,D-DRIFT,2030,R3,R3_delivered,Hybrid processed meat: protein delivered by domestic or novel protein,0.0295,kt protein,estimate,VN-direct,Low,demand_assumptions.csv; balance_outputs.csv,"What-if scenario result, not a forecast."
