record_id,signal,date,place,type,domain,direction,relevance_to_vn,strength,source_ids,evidence_label,confidence,notes
SIG-001,Precision-fermentation and recombinant food-protein papers jump from 62 (2024) to 188 (2025) and 234 (2026 to 24 Sep),2024 to 2026,Global,science,precision fermentation,up,Medium: the field Vietnam's Pichia groups could enter; Vietnam has 2 papers 2015 to 2025,strong,HSC-01,general,Medium,OpenAlex articles and reviews; about 65% precision in a random sample.
SIG-002,"AI or machine learning with food or alternative protein: 30 papers (2024), 89 (2025), 127 (2026 to Sep)",2024 to 2026,Global,science,AI protein design,up,Medium: Vietnam has 3 papers; compute is available (FTB-11),strong,HSC-01; FTB-10,general,Medium,Consistent with FTB-10 on a slightly different query.
SIG-003,"Wave of Vietnamese food-technology papers from applied universities in Ho Chi Minh City (jackfruit meat analogue, high-moisture meat analogue, gac-seed protein concentrate, spirulina protein seasoning, hot-melt extruded proteins)",2025 to 2026,"Ho Chi Minh City, Vietnam",science,plant-based food technology,up,"High: new domestic groups (IUH, HUIT, HCMUTE) that edition 1.0 did not find",weak,HSC-01,VN-direct,Medium,11 of 40 screened Vietnamese core works are from 2026 alone; about 70% have no foreign co-author.
SIG-004,High-moisture meat analogue experiment with all authors at IUH (10.1007/s11694-026-04231-y),2026-03-07,"Ho Chi Minh City, Vietnam",science,extrusion,up,"High: may indicate a food extruder in Vietnam, which edition 1.0 could not find",weak,HSC-01,VN-direct,Low,Methods not read (closed access); the extrusion may have been done elsewhere or on purchased material. Verify.
SIG-005,"First Vietnamese characterisation of bovine adipose-derived stem cells (VAST, 10.25073/2588-1140/vnunst.5789)",2025,"Hanoi, Vietnam",science,cultivated meat (adjacent),up,Medium: first livestock-cell work relevant to cultivated meat,weak,HSC-01,VN-direct,Medium,Biomedical framing likely; not a food project.
SIG-006,"Single-cell protein from yeasts isolated from Vietnamese fermented foods (Phenikaa University, NIFC journal)",2026,"Hanoi, Vietnam",science,single-cell protein,up,Medium: new group; food-safety journal venue,weak,HSC-01,VN-direct,Medium,10.47866/2615-9252/vjfc.4672.
SIG-007,"Dalat University duckweed genomics with Salk Institute and IPK Gatersleben (triploidy in Lemna minor complex, Communications Biology 2026)",2026,"Lam Dong (Dalat), Vietnam",science,duckweed,up,Medium: germplasm and genomics partner for duckweed protein; no protein work yet,weak,HSC-01,VN-direct,Medium,10.1038/s42003-026-10294-w; Vietnam has 1 duckweed-protein paper against Thailand's 39.
SIG-008,Gene-edited Fusarium venenatum strain (FCPD) with thinner cell walls; claims 44% less sugar per unit protein and 70% less land than livestock (Jiangnan University),reported 2026-01-24,"Wuxi, China",science,mycoprotein,up,Medium: sets the cost bar for any Vietnamese mycoprotein on cassava sugar,moderate,HSC-16,VN-adjacent,Low,Press report in Vietnamese; journal paper not located in OpenAlex. Claims.
SIG-009,"Recombinant genotype I/II ASF strains circulating in Vietnam since 2023; licensed live attenuated vaccines give homologous protection only, with reversion and shedding concerns",2026-03-23 (review),Vietnam,shock,animal disease,mixed,"High: pig herd, feed demand and protein-import need depend on ASF control",strong,HSC-31,VN-direct,Medium,"Three LAVs licensed (ASFV-G-deltaI177L, deltaI177L/deltaLVR, deltaMGF)."
SIG-010,"European organisations published more than 5,000 alternative-protein patents 2015 to 2024 (up 960% in a decade); plant-based dominates",2025-02,Europe,patent,all,up,Low: Vietnam absent from all patent reports read,moderate,HSC-02; HSC-03,general,Medium,"GFI Europe analysis; Switzerland 1,232, Netherlands 884, France 751."
