record_id,rule_id,instrument,issuer,date_issued,in_force,binding_status,topic,what_it_says,what_it_does_not_say,part_vi_items_affected,source_ids,evidence_label,confidence,demand_evidence_type,notes
LR-01,LR-01,Circular 30/2026/TT-BYT (replaced Circular 29/2023/TT-BYT on 10 Jul 2026),MOH,2026-07-09,"yes, from 10 Jul 2026; the 29/2023 deadline of 1 Jan 2026 carried over",mandatory,nutrition labelling,"Pre-packaged foods must declare energy, protein, carbohydrate, fat and sodium per 100 g, 100 ml, serving or pack; percentage of the 50 g protein reference value optional; stock labelled before 1 Jan 2026 may be sold to expiry; tolerances per Decree 37/2026 Art 49(1)",No conditions for nutrient content or health claims; exempts single-ingredient foods and foods made by small food businesses,TPP-02; TPP-05; OQ-171; app-s9 S9.7,LBL-01; LBL-02,VN-direct,High,revealed,Read as extracts. Wet-market and household chay makers are exempt as small food businesses (our reading of Art 1(2)(m)).
LR-02,LR-02,TCVN 14429:2025 (CAC/GL 23-1997 rev 2013),MOST,2025,published 2025,voluntary national standard,nutrient content and health claims,Protein source claim at 10% of NRV per 100 g (solids) or 5% per 100 kcal or 10% per serving; high (cao) claim at twice source; comparative claims need 25% difference; claims require a nutrition panel; health claims need acceptance by the national authority,No per 100 ml protein condition and no synonym list seen in extracts; not referenced by any MOH circular we read,TPP-02; TPP-05; ch13.8; DMV-04,LBL-03,VN-direct,High,revealed,With the 50 g protein NRV: source 5 g and high 10 g per 100 g; 2.5 g and 5 g per 100 kcal (our calculation).
LR-03,LR-03,TCVN 7088:2025 (CXG 2-1985 rev 2021),MOST,2025,published 2025,voluntary national standard,nutrition labelling guideline,NRV-R protein 50 g for the general population over 36 months; points to TCVN 14429:2025 for claims,Not a claim rule itself,TPP-02,LBL-04,VN-direct,High,revealed,Same 50 g value as Appendix II of Circular 30/2026.
LR-04,LR-04,Circular 43/2014/TT-BYT Art 8,MOH,2014-11-24,listed in force,mandatory,claims for added micronutrients (supplemented foods),"Claims for added vitamins, minerals, amino acids and similar only at 10% RNI or more; health claims need 10% RNI and specific scientific evidence",Protein is not named; no approval route for health claims on ordinary foods,TPP-02; ch13.8,LBL-05,VN-direct,High,revealed,Supports avoiding function claims such as builds muscle on chay foods (our reading).
LR-05,LR-05,Decree 37/2026/ND-CP (replaced Decree 43/2017 and Decree 111/2021 on goods labels),Government,2026-01-23,"yes, from 23 Jan 2026; transition in Art 98",mandatory,"goods labels: truthfulness, product name, quantitative ingredients, GM wording","Carries the Decree 43/2017 rules: labels truthful and reflecting the true nature of goods; name must not mislead about nature, use or composition; an ingredient named in the product name must be quantified; GM ingredients marked biến đổi gen beside the ingredient name with its content","No reserved names for meat, milk or cheese; no definition of chay; no allergen list (package S9.7)",DMV-13; DMV-14; DMV-15; TPP-03; PO-024,LBL-06; LBL-07; LBL-08; LBL-09; REG-26,VN-direct,Medium,revealed,"Decree 43/2017 wording read in full extracts; its carry-over into Decree 37/2026 rests on exact-phrase index matches and a customs letter, not a read of chapter IV."
LR-06,LR-06,Decree 15/2018/ND-CP Art 4 to 10 and 26,Government,2018-02-02,yes (Resolution 15/2026 keeps it until the new law),mandatory,"declarations, GM threshold, advertising confirmation","Processed pre-packaged foods, including supplemented foods, are self-declared; registration only for health supplements, medical and special-diet foods, products for children to 36 months and some additives; GM information on the label when a GM ingredient is more than 5% of total ingredients; advertising content confirmation only for the registered categories",No link between a nutrient claim and registration,TPP-02; DMV-16; ch14.2,REG-02; REG-06,VN-direct,High,revealed,A protein claim on a chay food triggers neither registration nor advertising confirmation (our reading).
LR-07,LR-07,Joint Circular 45/2015/TTLT-BNNPTNT-BKHCN,MARD (now MAE) and MOST,2015-11-23,listed in force,mandatory,GM labelling of pre-packaged food,"Applies above 5% GM ingredient; not to GM food in which neither the modified gene nor its product can be detected, nor to fresh or unpackaged GM food; wording biến đổi gen beside the ingredient name",Does not say whether a recombinant protein identical to a native protein counts as a detectable product of the modified gene,DMV-16; ch14.2; OQ-201; OQ-240,LBL-10,VN-direct,High,revealed,Issued under the pre-2017 label decree; still listed in force.
LR-08,LR-08,TCVN 7049:2020 heat-treated processed meat,MOST,2020,published 2020,voluntary national standard,"product standard (giò, chả, xúc xích and other cooked meat products)","Main material chilled or frozen meat; optional seasonings; limits on ammonia, peroxide, benzo(a)pyrene and microbes",No minimum meat or protein content; no limit on or naming duty for added plant protein,TPP-03; T9; DMV-14,LBL-11,VN-direct,High,revealed,Canned meat excluded (see LR-10).
LR-09,LR-09,TCVN 7050:2020 processed meat not heat treated,MOST,2020,published 2020,voluntary national standard,product standard (ready-to-eat products not cooked above 70 C),Main material meat; optional seasonings; ammonia and peroxide limits,No minimum meat content; plant proteins not mentioned,TPP-03,LBL-13,VN-direct,High,revealed,
LR-10,LR-10,TCVN 7048:2020 canned meat,MOST,2020,published 2020,voluntary national standard,"product standard (canned meat, pate in cans)",The maker self-declares the meat share by weight,No minimum meat content,TPP-03,LBL-12,VN-direct,High,revealed,
LR-11,LR-11,TCVN 14416:2025 (ISO 23722:2021) meat vocabulary,MOST,2025,published 2025,voluntary national standard,vocabulary,Defines meat and meat product,"No term for meat analogue, extender or meat content seen",TPP-03; ch13.8,LBL-14,VN-direct,Medium,revealed,Extract only.
LR-12,LR-12,TCVN 13625:2023 (ISO 23662:2021) vegetarian and vegan,MOST (Decision 586/QD-BKHCN),2023,published 2023,voluntary national standard,definition of vegetarian (chay) and vegan (thuần chay) claims,"Vegetarian allows egg, milk (lacto types), honey and bee products; vegan excludes all animal-derived inputs; GMP against unintended presence; claim terms beside the trade name",No allium rule; no Buddhist sense of chay; no DNA test method; not referenced by any regulation we found,DMV-13; DMV-07; TPP-02; ch12.4,LBL-15; CHY-57,VN-direct,High,revealed,One extract lists sản phẩm chay among the covered label terms; CHY-57 confirms.
LR-13,LR-13,TCVN 12443:2018 soy milk,MOST,2018,published 2018,voluntary national standard,product name for soy milk,The name sữa đậu nành requires at least 2.0 g protein per 100 ml; lower-protein products are soybean drinks,"Nothing on nut, oat or rice drinks",TPP-05; ch13.8,FTR-06; LBL-21,VN-direct,Medium,revealed,Vinasoy declares Fami against it; Fami Canxi sits at 2.0 g (FTR-19).
LR-14,LR-14,TCVN 11216:2015 milk and milk products vocabulary,MOST,2015,published 2015,voluntary national standard,dairy terms,Milk is a mammary secretion,No Codex STAN 206 style restriction on dairy terms for non-dairy products,TPP-05; DMV-15; ch13.8,FTR-07,VN-direct,Medium,revealed,Re-read in this line for the restriction clause.
LR-15,LR-15,QCVN 28:2026/BCT liquid milk products (Circular 09/2026/TT-BCT),MOIT,2026-02-26,"yes, from 1 Sep 2026",mandatory,dairy composition and principal-label type statement,"Fresh milk groups at least 90% raw milk; principal label states the product type; reconstituted, recombined and composite milk named in capitals",No mention of plant drinks; does not reserve sữa,TPP-05; DMV-15,LBL-16; LBL-17,VN-direct,Medium,revealed,Whether it replaces QCVN 5-1:2010/BYT was not stated in the text read.
