site,company,province_current,province_former,sector,co2_t_per_yr,purity_note,source_ids,evidence_label,confidence,notes
Dung Quat Steel Complex (phases 1 and 2),Hoa Phat Group,Quang Ngai,Quang Ngai,"Integrated steel (blast furnace, basic oxygen furnace)","about 17,000,000 (our derivation)",Blast-furnace gas is dilute (CO2 and CO mixed with N2); BOF gas is CO-rich; off-gases are already burned for power (90% self-sufficiency),FTG-20,VN-direct,Low,Derived as 75% (Dung Quat share of group crude-steel capacity) x 22.54 Mt group Scope 1 (2025). Not a reported site figure. BOF gas is the stream Chinese CAP plants use.
Hai Duong (Kinh Mon) Steel Complex,Hoa Phat Group,Hai Phong,Hai Duong,Integrated steel,"about 5,600,000 (our derivation)",As above; 80% power self-sufficiency from off-gases,FTG-20,VN-direct,Low,Remainder of group Scope 1 after the Dung Quat share; includes other group sites.
Formosa Ha Tinh Steel,Formosa Ha Tinh Steel Corporation,Ha Tinh,Ha Tinh,Integrated steel,Not found,Blast-furnace and BOF gases,none,VN-direct,Low,Large emitter; no verified figure this round.
Phu My Fertilizer Plant,PetroVietnam Fertilizer and Chemicals (PVFCCo),Ho Chi Minh City,Ba Ria-Vung Tau,Gas-based ammonia and urea,Not found,"Ammonia plants separate high-purity CO2, but most is consumed in urea synthesis",FTG-21,VN-direct,Low,Named as a CO2 source in a Petrovietnam-linked review; no volume.
Ca Mau Fertilizer Plant,PetroVietnam Ca Mau Fertilizer (PVCFC),Ca Mau,Ca Mau,Gas-based ammonia and urea,Not found,As Phu My,FTG-21,VN-direct,Low,Named as a CO2 source; no volume.
Ha Bac Fertilizer Plant,Ha Bac Nitrogenous Fertilizer and Chemicals (Vinachem),Bac Ninh,Bac Giang,Coal-based ammonia and urea,Not found,"Coal-based ammonia usually yields more pure CO2 than urea needs (our inference, not verified)",FTG-21,VN-direct,Low,Possible surplus of high-purity CO2; verify with plant data.
Ninh Binh Fertilizer Plant,Ninh Binh Nitrogenous Fertilizer (Vinachem),Ninh Binh,Ninh Binh,Coal-gasification ammonia and urea,Not found,"As Ha Bac (our inference, not verified)",FTG-21,VN-direct,Low,Possible surplus of high-purity CO2.
Dung Quat Refinery,Binh Son Refining and Petrochemical (BSR),Quang Ngai,Quang Ngai,Refinery (hydrogen unit),Not found,Steam-methane reforming units emit a concentrated CO2 stream,FTG-21,VN-direct,Low,BSR is researching low-carbon methanol from captured CO2 (edition 1.0 FS-09).
Nghi Son Refinery,Nghi Son Refinery and Petrochemical,Thanh Hoa,Thanh Hoa,Refinery,Not found,As Dung Quat,FTG-21,VN-direct,Low,Named sector only.
Dung Quat bioethanol plant,BSR-BF (Petrovietnam group),Quang Ngai,Quang Ngai,Fuel ethanol (fermentation),"about 82,000 (our estimate)","Fermentation CO2, typically over 95% before cleaning",FS-09; IND-19 (edition 1.0),VN-direct,Low,330 m3 ethanol per day x 0.789 t per m3 x 330 days x 0.957 t CO2 per t ethanol. Moving part of feedstock to imported corn from Q3 2026.
Dai Tan ethanol plant,Quang Nam Ethanol JSC,Da Nang,Quang Nam,Fuel ethanol (fermentation),"about 75,000 (our estimate)",As above,FS-09; IND-20 (edition 1.0),VN-direct,Low,300 m3 per day; runs on imported corn.
Tung Lam ethanol plant,Tung Lam,Dong Nai,Dong Nai,Fuel ethanol (fermentation),"about 50,000 (our estimate)",As above,FS-09; IND-18 (edition 1.0),VN-direct,Low,200 m3 per day.
An Khe ethanol plant (planned),Quang Ngai Sugar (QNS),Gia Lai,Gia Lai,"Fuel ethanol (molasses), planned Q1 2028","about 50,000 (our estimate, if built)",As above,FS-09 (edition 1.0),VN-direct,Low,200 m3 per day planned.
"High-CO2 gas fields (Ca Voi Xanh; Kim Long-Ac Quy-Ca Voi, Block B; Block 15; Su Tu Bien)",Petrovietnam and partners,Offshore (landfall provinces not verified),n/a,Gas processing (CO2 separation),Not found,Separated reservoir CO2 would be concentrated,FTG-21,VN-direct,Low,Under development; would create large pure CO2 streams at landfall.
Cement plants (sector),"Vicem, Nghi Son Cement and others",Several,Several,Cement,Not found,"Kiln flue gas about 15 to 25% CO2 (general engineering range, not sourced)",none,general,Low,Largest industrial CO2 sector after power; dilute.
Cassava-starch wastewater biogas (sector),Starch factories,Tay Ninh; Gia Lai; Dak Lak; Dong Nai; Son La; Thanh Hoa,Tay Ninh; Binh Dinh and Gia Lai; Phu Yen and Dak Lak; Binh Phuoc and Dong Nai; Son La; Thanh Hoa,Biogas (CH4 plus CO2),Not quantified nationally,Methane source for methanotrophs; CO2 fraction about 35 to 50%,FS-04; FS-06 (edition 1.0),VN-direct,Low,About 2 m3 wastewater per t roots; mostly treated in biogas lagoons.
Breweries (sector),"Sabeco, Heineken Vietnam, Habeco and others",Several,Several,Brewing (fermentation),Not found,"Fermentation CO2, largely recovered for carbonation",none,VN-direct,Low,"Small, already used on site."
Theoretical CO2 storage capacity (national),n/a,Offshore basins,n/a,Storage,12 Gt CO2 capacity (not an emission),Saline aquifers over 10 Gt; oil and gas fields 1.15 Gt,FTG-21,VN-direct,Medium,"Context for CCUS; one CO2-EOR pilot (Rang Dong, 2011)."
