where,current,proposed,evidence_source_ids,strength,type
target_product_profiles.csv TPP-03 price_target; ch29.2 TPP table,"Cost to the processor per kg below the lean meat it replaces (lean pork about VND 132,000 per kg retail); 20 to 30% replacement, up to 50%. Table: Below the cost of the lean meat replaced","At or below hydrated soy for the extension job: about USD 2.5 to 2.7 per kg of protein (VND 10,000 to 15,000 per kg hydrated to 18% protein; about USD 0.7 to 1.2 per kg dry at 45% protein). Lean trimmings (VND 83,000 to 141,000 per kg, 2019 to 2026) are a ceiling that never binds. A higher price needs proof of more undetected replacement than soy (1.2 to 1.4 times soy level at egg white parity) or a label benefit; for the binder job see TPP-06",HXE-10; TIC-12; BUY-07; DIE-25; AIB-15,strong,corrects
target_product_profiles.csv TPP-03 replacement level and format_and_function,"20 to 30% replacement, up to 50%; fungal or plant","10 to 20% in fine emulsions (gio, cha, xuc xich) as a fine isolate, concentrate or paste, not granules; up to 30% in coarse mince (xiu mai, fillings, nuggets); 50% not supported for pork products",HXE-01; HXE-04; HXE-06; HXE-07; HXE-08; HXE-09,moderate,corrects
target_product_profiles.csv TPP-03 demand_evidence,Revealed: 31% of Vissan meat formulations list soy protein; tested (VN-adjacent): Singapore blind test,"Add: seven commercial Vietnamese emulsion sausages contained soy and were as well liked as alternatives; Vietnamese cha lua liking falls with graininess; value lines cut cost with chicken, skin, starch and water",HXE-01; HXE-02; BUY-05,moderate,adds
target_product_profiles.csv TPP-03 cheapest_first_test; open_questions.csv OQ-197,Blind central-location test of a 20 to 30% fungal or fermented blend in gio lua,"Blind test at equal processor saving against the processor own soy-extended formula (for example 25% fungal against 20% soy at egg white parity pricing), in one fine emulsion and one coarse format",HXE-01; HXE-08; model,moderate,updates
play_demand_check.csv T9 change and demand_kill_test; ch29.3,unchanged (3 if a processor pilots a fungal extender); Blind tests of a 20 to 30% fungal blend in gio lua or xuc xich score below the all-meat product,"3 only if a processor pilots a fungal extender priced above hydrated-soy parity or in a soy-free or dam nam line. Kill test: at the replacement level that gives the same saving as soy, the fungal blend scores below the processor soy-extended formula, or no processor will pay above hydrated-soy parity (about USD 1.2 per kg dry at 45% protein)",BUY-02; TIC-12; model,moderate,corrects
ch24.4 bullet It tolerates price,an extender replacing 20 to 30% of the meat only has to cost the processor less than the lean meat it replaces,"Any extender clears the lean-meat test: hydrated soy costs a sixth to a twelfth of lean trimmings at every hog price since 2019. A new extender must beat hydrated soy and the chicken, skin, starch and water value lines already use",DIE-25; TIC-12; BUY-05,strong,corrects
ch24.4 bullet on pork prices,It fits a cost motive processors already have: pork prices can rise 70% in a year,"A 20% soy extension saves VND 9,100 to 16,600 per kg of cha lua at 2019 and 2020 hog prices; the cycle changes the size of the saving, not whether extension pays, and extension trims only about a sixth of a recipe exposure to a pork shock",DIE-25; model,strong,corrects
ch24.4 paragraph Vietnam already eats blends,"31% of Vissan formulations list soy, mostly in value lines","Add soy in seven commercial Vietnamese sausages (HXE-02); Vissan soy in the higher-lean DHA nutrition sausage and in head-meat and skin gio; the cheapest gio lua (VND 124,200 per kg, below retail lean) uses chicken and starch, not soy",HXE-02; BUY-05; COST-39,moderate,adds
ch24.6 item 1 and Manufacturers bullet,costs the processor less per kilogram than the lean meat replaced; pilot a mushroom or mycelium extender at 20 to 30% in one value SKU,"priced near hydrated soy for extension or against egg and milk protein for binding; pilot a fungal extender against your soy formula at equal saving, in a coarse format first",model; HXE-01; HXE-08,moderate,corrects
ch26.7 fungal biomass first customers; ch26.8 Startups,"Price against egg and dairy proteins, not soy; never on protein cost against soy","Split by job: binder (1 to 3%, tens of tonnes, egg and milk protein parity USD 3.3 to 4.6 per kg dry); extender (10 to 30% of lean, hundreds of tonnes, soy parity about USD 0.7 to 1.2 per kg dry unless it allows more replacement)",BUY-02; TIC-12; model,moderate,corrects
