record_id,market,product_type,hs_code,rule,requirement,mfn_tariff,vietnam_tariff,competitor_tariff,legal_basis,source_ids,evidence_label,confidence,demand_evidence_type,notes
MA-01,EU,"Textured protein and protein concentrates (no milkfat, sugar, starch)",2106 10 20 90,Tariff,Import duty,12.8%,0% (since 1 Jan 2023),Thailand and China pay MFN 12.8% (no EU FTA),EVFTA (Decision D0753/20),EXP-23,VN-direct,High,"n/a (rule or tariff, not demand)",Soy protein concentrate (2106 10 20 20) and pea protein (2106 10 20 40) sub-lines exist; low-value consignment duty EUR 3 per consignment listed from 1 Jul 2026.
MA-02,EU,"Food preparations n.e.s. (typical plant-based meat analogues, prepared chay foods)",2106 90 98,Tariff,Import duty,9% + agricultural component (EA),0% (since 1 Jan 2023),MFN for Thailand and China,EVFTA,EXP-23,VN-direct,High,"n/a (rule or tariff, not demand)","Checked sub-lines 2106909815, 2106909833, 2106909842, 2106909860."
MA-03,EU,"Food preparations n.e.s. without milkfat, sugar or starch",2106 90 92,Tariff,Import duty,12.8%,0% (since 1 Aug 2020),MFN for Thailand and China,EVFTA,EXP-23,VN-direct,High,"n/a (rule or tariff, not demand)",Includes protein hydrolysates and pea protein sub-lines.
MA-04,EU,"Soy, nut, cereal and other plant drinks",2202 99 11 to 2202 99 19,Tariff,Import duty,9.6%,0% (since 1 Jan 2025),MFN for Thailand and China,EVFTA,EXP-23,VN-direct,High,"n/a (rule or tariff, not demand)",Staged elimination completed in 2025.
MA-05,EU,Cashew kernels,0801 32,Tariff,Import duty,0%,0%,0% for all,EU MFN,EXP-23,VN-direct,High,"n/a (rule or tariff, not demand)",No EVFTA margin on raw kernels.
MA-06,EU,"Prepared tropical nuts incl. cashew (roasted, flavoured, pastes)",2008 19 12; 2008 19 93,Tariff,Import duty,7% (bulk); 10.2% (retail packs),0% (since 1 Aug 2020),MFN for Thailand and China,EVFTA,EXP-23,VN-direct,High,"n/a (rule or tariff, not demand)","Relevant to cashew spreads, cream and cheese bases if classified here."
MA-07,EU,Other protein substances (e.g. collagen peptides),3504 00 90,Tariff,Import duty,3.4%,0% (since 1 Aug 2020),MFN,EVFTA,EXP-23,VN-direct,High,"n/a (rule or tariff, not demand)",
MA-08,EU,"Stuffed pasta, cooked (dumplings, some spring rolls)",1902 20 91,Tariff,Import duty,8.3% + EUR 6.10 per 100 kg,0% (since 1 Aug 2020),MFN,EVFTA,EXP-23; ORG-02; ORG-01,VN-direct,High,"n/a (rule or tariff, not demand)","Classification of chay spring rolls depends on composition. Version 0.4: uncooked line 1902 20 99 is 8.3% + EUR 17.10 per 100 kg MFN, also 0% for Vietnam; the zero rate needs non-originating flour, starch or rice at most 20% of weight (MA-27)."
MA-09,EU,Soy sauce,2103 10,Tariff,Import duty,7.7%,0% (since 1 Aug 2020),MFN,EVFTA,EXP-23,VN-direct,High,"n/a (rule or tariff, not demand)",
MA-10,EU,Cassava starch,1108 14,Tariff,Import duty,EUR 166 per tonne,not verified (EVFTA tariff-rate quota not checked),MFN,EU MFN,EXP-23,VN-direct,Medium,"n/a (rule or tariff, not demand)",Preferential quota for Vietnamese cassava starch under EVFTA not verified in this stream.
