record_id,market,tariff_line,product,mfn_rate_2026,vietnam_rate_2026,vietnam_route,china_rate,thailand_rate,recipe_condition_for_vietnam_rate,duty_at_stake_if_origin_fails,source_ids,evidence_label,confidence,demand_evidence_type,notes
TAS-01,EU,"1902 20 91 (stuffed pasta, other, cooked)","Vegetable or plant-protein dumpling, cooked",8.3% + EUR 6.10 per 100 kg,0% (since 1 Aug 2020),EVFTA,MFN,MFN,"Non-originating flour, starch or rice at most 20% of weight",USD 0.42 to 0.56 per kg (9.5 to 9.9%) at USD 4.27 to 5.87 per kg (our calculation),ORG-02; ORG-15; XBA-28; XBA-29,VN-direct,High,"n/a (rule or tariff, not demand)","EUR converted at USD 1.1367 per EUR (ECB, 24 Sep 2026). Value basis: Viet Nam FOB world 2023 (XBA-29) and EU27 CIF from Viet Nam 2025 (XBA-28)."
TAS-02,EU,"1902 20 99 (stuffed pasta, other, not cooked)",Raw frozen vegetable or plant-protein dumpling,8.3% + EUR 17.10 per 100 kg,0%,EVFTA,MFN,MFN,As TAS-01,USD 0.55 to 0.68 per kg (11.6 to 12.9%) (our calculation),ORG-02; ORG-15; XBA-28; XBA-29,VN-direct,High,"n/a (rule or tariff, not demand)",
TAS-03,EU,1902 20 10 (more than 20% fish or crustaceans),"Shrimp dumpling, prawn gyoza",8.5%,"1.0% (2026, staged)",EVFTA,MFN,MFN,As TAS-01; non-originating shrimp at most 20% of weight,7.5 points,ORG-02,VN-direct,High,"n/a (rule or tariff, not demand)",Viet Nam is listed for EU entry of fishery products (ORG-11).
TAS-04,EU,1902 20 30 (more than 20% meat),Pork or chicken dumpling,EUR 54.30 per 100 kg (USD 0.62 per kg),"EUR 6.787 per 100 kg (USD 0.08 per kg, 2026, staged)",EVFTA,MFN,MFN,As TAS-01; non-originating meat at most 20% of weight,USD 0.54 per kg (our calculation),ORG-02; ORG-15; ORG-10,VN-direct,High,"n/a (rule or tariff, not demand)","Viet Nam is not on the EU list for entry of meat products (Implementing Regulation 2021/404 Annex XV as adopted), so this line is closed to Vietnamese meat fillings in practice."
TAS-05,EU,"2106 90 98 (food preparations n.e.s., other)","Chay food preparation, plant-based meat analogue",9% + agricultural component (EA),0% (since 1 Jan 2023),EVFTA,MFN,MFN,Imported textured soy at most 10% of weight or ex-works price,USD 0.38 to 0.53 per kg plus EA at USD 4.27 to 5.87 per kg (our calculation),ORG-02; EXP-23; XBA-28,VN-direct,High,"n/a (rule or tariff, not demand)","EA depends on milkfat, milk protein, starch and sugar content; not calculated."
TAS-06,EU,2106 10 20 (textured protein),"Dry textured soy, seasoned soy pieces",12.8%,0%,EVFTA,MFN,MFN,Must change heading: seasoning imported textured soy does not qualify,12.8 points,ORG-02; EXP-23,VN-direct,High,"n/a (rule or tariff, not demand)",Already MA-01.
TAS-07,EU,1905 90 20 10 (rice paper),Banh trang rice paper,4.5% + EUR 60.50 per 100 kg,0% (since 1 Jan 2023),EVFTA,MFN,MFN,Chapter 19 caps (Vietnamese rice is originating),n/a,ORG-02,VN-direct,High,"n/a (rule or tariff, not demand)",
TAS-08,EU,2004 90 98 (other prepared frozen vegetables and mixtures),Vegetable mixes; some vegetable rolls,17.6%,0%,EVFTA,MFN,MFN,Change of heading; sugar at most 20%,17.6 points,ORG-02,VN-direct,High,"n/a (rule or tariff, not demand)",Sub-line 2004 90 98 60 covers products with 3 to 20% meat.
TAS-09,United Kingdom,"1902 20 99 90 (stuffed pasta, other, not cooked)",Vegetable or plant-protein dumpling,8% + GBP 14.00 per 100 kg,0% (UKVFTA); 0% (CPTPP),UKVFTA or UK-CPTPP,UK Global Tariff,UK Global Tariff,None if claimed under CPTPP (change of chapter),0 (CPTPP route),ORG-03; ORG-04,VN-direct,High,"n/a (rule or tariff, not demand)",Cooked line 1902 20 91 90: 8% + GBP 5.10 per 100 kg; also 0% under both.
TAS-10,United Kingdom,1902 20 10 99 (more than 20% fish),Prawn gyoza,8%,1.00% (UKVFTA); 0% (CPTPP),UK-CPTPP,UK Global Tariff,UK Global Tariff,CPTPP change of chapter,0 (CPTPP route),ORG-03,VN-direct,High,"n/a (rule or tariff, not demand)",
