fact_id,topic,claim,value,unit,year_of_data,scope,source_ids,evidence,confidence,quote,notes
C-F01,investment,"Alternative protein companies raised USD 881 million in 2025, the first year below USD 1 billion since 2018, according to GFI's analysis of Net Zero Insights data.",881,USD million,2025,global,CAP-51; HSC-10,general,High,The alternative protein industry raised $881 million in investments in 2025,GFI is an advocacy organisation; it warns that recent figures may differ from earlier ones as the dataset is refined. Down about 20% on 2024 (HSC-10).
C-F02,investment,"In 2025 plant-based companies raised USD 450 million, fermentation companies USD 357 million and cultivated meat and seafood companies USD 74 million.",450; 357; 74,USD million,2025,global,CAP-51; PRC-01; FTB-24; HSC-10,general,High,"In 2025, plant-based companies raised $450 million, fermentation companies raised $357 million, and cultivated meat and seafood companies raised $74 million.","USD 100 million of the plant-based total was one debt round for Beyond Meat; without it plant-based growth was about 2% (HSC-10). Cultivated is USD 73.9 million in FTB-24 text. Europe-headquartered companies raised USD 418 million against USD 347 million for North America, the second year Europe led (HSC-10)."
C-F03,investment,"Investment peaked in 2021 at about USD 7 billion; GFI's current series gives about USD 6.9 billion, against USD 5.0 billion that GFI reported at the time.",6.9 (current series); 5.0 (as first published),USD billion,2021,global,HSC-10; PRC-04; PRC-02; PRC-03; FTB-17; FTB-24,general,Medium,global alternative protein companies secured $5 billion in disclosed investments in 2021,"Current pillar charts give 3.8 + 1.8 + 1.5 = about 7.1 billion (rounded values). The upward revision mainly adds money raised by publicly traded companies (USD 1.5 billion of plant-based in 2021, PRC-02). Give both figures; do not average. Plant-based alone peaked at about USD 3.8 billion in 2021 (PRC-02). Later years were also revised: 2023 was first published as USD 1.6 billion (907, 515 and 226 million by pillar, PRC-03) and now reads about USD 1.58 billion (854, 456 and 267 million)."
C-F04,investment,"In the first half of 2026 alternative protein companies raised USD 359 million (fermentation 252, plant-based 65, cultivated 42), taking the total since 2017 to over USD 19.5 billion (plant-based about 10.7, fermentation 5.4, cultivated 3.4 billion).",359; 252; 65; 42; 19.5; 10.7; 5.4; 3.4,USD million (H1 2026); USD billion (cumulative),2026 H1; 2017 to 2026 H1,global,PRC-01; CAP-51; FTB-17,general,High,bringing total investments since 2017 to over $19.5 billion,"H1 and cumulative pillar values read from GFI's summary table image (PRC-01); Q2 2026 alone was USD 197 million. Table header reads 2017 to Q1 2026 while page text includes H1 2026; our sum of annual values is about 19.6 billion, consistent within rounding. Privately held companies raised 16.7 billion and publicly traded 2.7 billion since 2016 (FTB-17)."
C-F05,investment,"Cultivated meat and seafood investment rose from USD 60 million in 2019 to about USD 1.5 billion in 2021, then fell to USD 74 million in 2025, about 95% below the peak.",60; 1500; 74,USD million,2019; 2021; 2025,global,FTB-24,general,High,Companies operating primarily in the cultivated meat ecosystem raised $73.9 million in 2025,2019 and 2021 values read from GFI's chart (2021 printed as $1.5B). Percentage is our calculation. All cultivated capital was raised by privately held companies.
C-F06,investment,"Fermentation companies raised about USD 1.8 billion in 2021 and USD 357 million in 2025, but precision fermentation's share of fermentation funding rose from 33% in 2023 to 66% in 2025.",1800; 357; 33; 66,USD million; percent,2021; 2023; 2025,global,FTB-17,general,High,increased their share of fermentation funding from 33 percent in 2023 to 66 percent in 2025,"2021 read from GFI's chart ($1.8B). Cumulative fermentation investment since 2016 USD 5.2 billion. Largest 2025 deals: EVERY USD 55 million, Formo USD 36 million, The Protein Brewery USD 35 million."
C-F07,investment,Asia-Pacific companies attract a small share of private alternative protein money: in 2025 APAC fermentation companies raised USD 12 million and APAC cultivated companies USD 4.7 million.,12; 4.7,USD million,2025,Asia-Pacific,FTB-17; FTB-24,VN-adjacent,Medium,APAC $12MM (2025 invested capital); $229MM (2016-2024),Read from GFI regional charts (fermentation). Cultivated APAC 2016 to 2024: USD 227 million. No APAC plant-based investment figure for 2025 was found; GFI APAC totals are behind a download form (CAP-52).
C-F08,market,"The Impossible Burger, a plant-based burger coloured with a fermentation-made heme protein, first went on sale at Momofuku Nishi in New York on 27 July 2016.",27 Jul 2016,date,2016,United States,PRC-09,general,High,"it will introduce the Impossible Burger on Wednesday, July 27, at Momofuku Nishi in Manhattan",Company press release dated 26 July 2016. The heme protein (soy leghemoglobin) is made by precision fermentation (FTB-17 GRAS table).
C-F09,market,Beyond Meat priced its initial public offering at USD 25 a share on 1 May 2019 and began trading on Nasdaq on 2 May 2019.,25,USD per share,2019,United States,PRC-08,general,High,$25.00 per share,"9,625,000 shares offered. First-day price movement not checked in this wave."
C-F10,market,"Beyond Meat's net revenue fell from a peak of USD 464.7 million in 2021 to USD 326.5 million in 2024 and USD 275.5 million in 2025, down 15.6% in a year and about 41% below the peak.",464.7; 326.5; 275.5,USD million,2021; 2024; 2025,company (global),PRC-06; GLB-46; AIS-45,general,High,"Net revenues were $275.5 million, a decrease of 15.6% year-over-year","2021 peak from GLB-46 (StockAnalysis, from SEC filings; Medium). The 41% fall is our calculation. Beyond Meat also stopped operating in China in 2025 (USD 5.8 million cessation expenses, PRC-06; AIS-45) and is repositioning as 'Beyond The Plant Protein Company'."
