source_id,citation,title,author_or_publisher,date,url,doi,source_type,accessed,notes
CHN-01,"USDA FAS GAIN (Nguyen, M.). Vietnam: Retail Foods Annual, report VM2025-0034. 19 Nov 2025. https://apps.fas.usda.gov/newgainapi/api/Report/DownloadReportByFileName?fileName=Retail+Foods+Annual_Ho+Chi+Minh+City_Vietnam_VM2025-0034.pdf",Vietnam: Retail Foods Annual (VM2025-0034),USDA Foreign Agricultural Service,2025-11-19,https://apps.fas.usda.gov/newgainapi/api/Report/DownloadReportByFileName?fileName=Retail+Foods+Annual_Ho+Chi+Minh+City_Vietnam_VM2025-0034.pdf,,gov/statistics,2026-09-24,"Full PDF read. Euromonitor channel shares 2024, food retail USD 55.5 bn, chain list, Decision 2269/QD-BCT, Lotte Mart 15 stores, AEON 8 malls."
CHN-02,"USDA FAS GAIN (Nguyen, M.). Vietnam: Retail Foods Annual, report VM2024-0032. 8 Oct 2024. https://apps.fas.usda.gov/newgainapi/api/Report/DownloadReportByFileName?fileName=Retail+Foods+Annual_Ho+Chi+Minh+City_Vietnam_VM2024-0032.pdf",Vietnam: Retail Foods Annual (VM2024-0032),USDA Foreign Agricultural Service,2024-10-08,https://apps.fas.usda.gov/newgainapi/api/Report/DownloadReportByFileName?fileName=Retail+Foods+Annual_Ho+Chi+Minh+City_Vietnam_VM2024-0032.pdf,,gov/statistics,2026-09-24,"Full PDF read. 665,000 food retail outlets 2023; traditional 84%; retail sales by channel 2018 to 2023 (Euromonitor); NielsenIQ Q1 2024 cook-at-home 62%; Central Retail and Emart expansion."
CHN-03,"USDA FAS GAIN (Nguyen, M.). Vietnam: Food Service - Hotel Restaurant Institutional Annual, report VM2025-0052. 30 Dec 2025. https://apps.fas.usda.gov/newgainapi/api/Report/DownloadReportByFileName?fileName=Food+Service+-+Hotel+Restaurant+Institutional+Annual_Ho+Chi+Minh+City_Vietnam_VM2025-0052.pdf",Vietnam: Food Service - Hotel Restaurant Institutional Annual (VM2025-0052),USDA Foreign Agricultural Service,2025-12-30,https://apps.fas.usda.gov/newgainapi/api/Report/DownloadReportByFileName?fileName=Food+Service+-+Hotel+Restaurant+Institutional+Annual_Ho+Chi+Minh+City_Vietnam_VM2025-0052.pdf,,gov/statistics,2026-09-24,"Full PDF read. Euromonitor foodservice USD 26.6 bn and 323,000 outlets 2024 by format; iPOS and Nestle Professional closures H1 2025; top 10 operators. Sub-sector attachment not retrievable (403)."
CHN-04,"USDA FAS GAIN (Nguyen, M.). Vietnam: Food Service - Hotel Restaurant Institutional Annual, report VM2024-0038. 18 Dec 2024. https://apps.fas.usda.gov/newgainapi/api/Report/DownloadReportByFileName?fileName=Food+Service+-+Hotel+Restaurant+Institutional+Annual_Ho+Chi+Minh+City_Vietnam_VM2024-0038.pdf",Vietnam: Food Service - Hotel Restaurant Institutional Annual (VM2024-0038),USDA Foreign Agricultural Service,2024-12-18,https://apps.fas.usda.gov/newgainapi/api/Report/DownloadReportByFileName?fileName=Food+Service+-+Hotel+Restaurant+Institutional+Annual_Ho+Chi+Minh+City_Vietnam_VM2024-0038.pdf,,gov/statistics,2026-09-24,"Full PDF read. HRI USD 26.9 bn 2023 (GSO basis); 304,700 outlets after 30,000 closures H1 2024 (iPOS); Momentum Works delivery USD 1.4 bn 2023; KFC over 200 stores; Decision Lab F&B Trends 2024."
CHN-05,"USDA FAS GAIN (Vo, K.). Vietnam: Exporter Guide Annual, report VM2025-0024. 3 Jul 2025. https://apps.fas.usda.gov/newgainapi/api/Report/DownloadReportByFileName?fileName=Exporter+Guide+Annual_Hanoi_Vietnam_VM2025-0024.pdf",Vietnam: Exporter Guide Annual (VM2025-0024),USDA Foreign Agricultural Service,2025-07-03,https://apps.fas.usda.gov/newgainapi/api/Report/DownloadReportByFileName?fileName=Exporter+Guide+Annual_Hanoi_Vietnam_VM2025-0024.pdf,,gov/statistics,2026-09-24,Full PDF read. Wet markets and household groceries over 80% of retail revenue; Resolution 198/2025/QH15 and Decree 70/2025/ND-CP effects on traditional vs modern trade; middle class 17% (2024) to 26% (2026 projected).
CHN-06,"Q&Me (Asia Plus Inc.). Vietnam retail store (Modern Trade) trend 2025. Store enumeration as of March 2025, desktop research. https://sinhvien.dinhtienminh.net/wp-content/uploads/2025/05/viet_nam_retail_store_modern_trade_trend_2025.pdf (report page https://qandme.net/en/report/viet-nam-retail-store-modern-trade-trend-2025.html)",Vietnam retail store (Modern Trade) trend 2025,Q&Me / Asia Plus Inc.,2025-03,https://qandme.net/en/report/viet-nam-retail-store-modern-trade-trend-2025.html,,market research,2026-09-24,"Full PDF read (mirror copy). Store counts by chain for supermarkets, convenience and minimarts, fast food, coffee, hotpot and BBQ, casual dining; GSO accommodation and catering revenue 2024."
CHN-07,"The Investor. ""Vietnam's convenience store boom shifts beyond major cities as chains race for scale."" 21 May 2026. https://theinvestor.vn/vietnams-convenience-store-boom-shifts-beyond-major-cities-as-chains-race-for-scale-d19128.html",Vietnam's convenience store boom shifts beyond major cities as chains race for scale,The Investor,2026-05-21,https://theinvestor.vn/vietnams-convenience-store-boom-shifts-beyond-major-cities-as-chains-race-for-scale-d19128.html,,press,2026-09-24,"Reports Q&Me Vietnam modern trade retail trends 2026: 9,671 convenience and minimart outlets (up 23.89%), GS25 318, FamilyMart 172, 7-Eleven 148."
CHN-08,"CafeF. ""Mang luoi cua hang 24h: Circle K ap dao voi quy mo gap doi GS25, 7-Eleven cong FamilyMart cung moi bang nua."" 7 Dec 2025. https://cafef.vn/mang-luoi-cua-hang-24h-circle-k-ap-dao-voi-quy-mo-gap-doi-gs25-7-eleven-cong-familymart-cung-moi-bang-nua-188251207105559594.chn",Mạng lưới cửa hàng 24h: Circle K áp đảo với quy mô gấp đôi GS25,CafeF,2025-12-07,https://cafef.vn/mang-luoi-cua-hang-24h-circle-k-ap-dao-voi-quy-mo-gap-doi-gs25-7-eleven-cong-familymart-cung-moi-bang-nua-188251207105559594.chn,,press,2026-09-24,"Cites SHS consumer retail report (Nov 2025): Circle K about 447, GS25 about 245, FamilyMart about 160, 7-Eleven 99 stores."
CHN-09,"The Investor. ""Vietnam's retail grocery chain Bach Hoa Xanh reaches record store count."" 24 Jun 2025. https://theinvestor.vn/vietnams-retail-grocery-chain-bach-hoa-xanh-reaches-record-store-count-d16113.html",Vietnam's retail grocery chain Bach Hoa Xanh reaches record store count,The Investor,2025-06-24,https://theinvestor.vn/vietnams-retail-grocery-chain-bach-hoa-xanh-reaches-record-store-count-d16113.html,,press,2026-09-24,"2,180 stores in May 2025; 410 opened Jan to May 2025; revenue Jan to May VND 18.9 trillion."
CHN-10,"Tin nhanh chung khoan. ""MWG lap ky luc doanh thu 2025, chuoi The Gioi Di Dong va Dien May Xanh tang truong 18%."" 23 Jan 2026. https://www.tinnhanhchungkhoan.vn/mwg-lap-ky-luc-doanh-thu-2025-chuoi-the-gioi-di-dong-va-dien-may-xanh-tang-truong-18-post384225.html",MWG lập kỷ lục doanh thu 2025,Tin nhanh chung khoan (Dau tu),2026-01-23,https://www.tinnhanhchungkhoan.vn/mwg-lap-ky-luc-doanh-thu-2025-chuoi-the-gioi-di-dong-va-dien-may-xanh-tang-truong-18-post384225.html,,press,2026-09-24,"Bach Hoa Xanh 2025 revenue about VND 46.9 trillion (up 14%); 789 new stores in 2025; online about VND 2.3 trillion (nearly 5%, up 150%). Company results reported by press."
