instrument_name,number,type,issuer,date_issued,effective_date,status,topic,relevance_to_alt_protein,key_provisions,url,source_ids,evidence_label,confidence,notes
Law on Food Safety,55/2010/QH12,law,National Assembly,2010-06-17,2011-07-01,in force (amended 2018 by Law 28/2018/QH14; replacement in draft),food safety framework,High: sets the only legal gate for any new food; no novel food concept,Art 5(1) bans raw materials 'not of the type used for food'; Art 5(5)(h) bans unregistered food where registration required; Art 15 GM food; Art 55(1)(c) recall of 'food that is a new-technology product not yet permitted for circulation',https://thuvienphapluat.vn/van-ban/Thuong-mai/Luat-an-toan-thuc-pham-2010-108074.aspx,REG-01;REG-17,VN-direct,High,Art 55(1)(c) has no implementing procedure; latent legal risk for novel foods
Draft Law on Food Safety (amended / replacement),draft (no number),draft,Ministry of Health (drafting); Government; National Assembly,2026-03-26 (first public draft); 2026-08-03 (WTO notice),target 2027-01-01 (per trade source),draft,food safety framework,High: only near-term chance to create a novel food route; none found in summaries,"8 chapters, 71 articles; risk-based, supply-chain management; shift to post-market control; digital data; MOH as single focal point; product declaration restructured",https://gpcgateway.com/news/detail/vietnam-notifies-draft-law-overhauling-national-food-safety-framework/MjYxMg==,REG-08;REG-10;REG-11;REG-12;REG-13;REG-14;REG-16,VN-direct,Medium,"WTO G/SPS/N/VNM/187, comments to 2026-08-17; NA second 2026 session; full text not read"
Government Resolution adding Food Safety Law to 2026 legislative programme,14/NQ-CP,resolution,Government,2026-01-16,2026-01-16,in force (spent),legislative programme,Medium: sets timing,MOH leads; target first/second session of 16th NA,https://baochinhphu.vn/bo-sung-du-an-luat-an-toan-thuc-pham-sua-doi-vao-chuong-trinh-lap-phap-nam-2026-102260116173546446.htm,REG-09,VN-direct,Medium,Gov press report
Decree detailing the Law on Food Safety,15/2018/ND-CP,decree,Government,2018-02-02,2018-02-02,in force (reinstated by Res 09/2026 and 15/2026 pending new law),"product declaration, registration, GM food, import inspection",High: the operative route for any food product today,"Art 4-5 self-declaration (packaged food, additives, aids, packaging; exempt if for own production/export); Art 6-8 registration (health supplements 21 working days at MOH; medical/special diet/infant and new additives 7 working days); Art 9-10 GM food and >5% labelling; Art 13 import inspection exemptions",https://thuvienphapluat.vn/van-ban/The-thao-Y-te/Nghi-dinh-15-2018-ND-CP-huong-dan-Luat-an-toan-thuc-pham-341254.aspx,REG-02;REG-05;REG-06,VN-direct,High,thuvienphapluat status tag shows 'expired 16/4/2026' but Res 15/2026 keeps it in effect
Decree detailing the Law on Food Safety (replacement of Decree 15/2018),46/2026/ND-CP,decree,Government,2026-01-26,2026-01-26 (suspended from Feb 2026),suspended,"product declaration, import inspection, HACCP roadmap","Medium: shows MOH direction (more registration, less self-declaration)","Registration of conformity declarations for packaged foods, additives, aids, packaging; 3-year validity; HACCP-type systems by 2026-12-31; tighter import inspection; e-commerce liability; no novel food provision",https://english.luatvietnam.vn/decree-no-46-2026-nd-cp-dated-january-26-2026-of-the-government-detailing-the-implementation-of-a-number-of-articles-and-measures-for-organizing-gu-425104-doc1.html,REG-03;REG-04;REG-05;REG-06;REG-08,VN-direct,High,Suspended by Res 09/2026/NQ-CP then Res 15/2026/NQ-CP until new law and decree take effect
Resolution on declaration and registration of food products,66.13/2026/NQ-CP,resolution,Government,2026-01-27,2026-01-27 (suspended),suspended,product declaration and registration,Medium: signals tightening of self-declaration,Would replace self-declaration with registration for several categories; up to 90 days processing; 24-month transition,https://thuvienphapluat.vn/van-ban/Thuong-mai/Nghi-quyet-66-13-2026-NQ-CP-dang-ky-san-pham-thuc-pham-692582.aspx,REG-07;REG-06,VN-direct,Medium,Database page shows 'in effect'; government press says suspended by Res 15/2026
Resolution suspending Decree 46/2026 (first),09/2026/NQ-CP,resolution,Government,2026-02-04,2026-02-04,spent (superseded by 15/2026),suspension,Medium,Suspended Decree 46/2026 to 2026-04-15; Decree 15/2018 applies meanwhile,https://baochinhphu.vn/tam-ngung-hieu-luc-va-dieu-chinh-thoi-han-ap-dung-nghi-dinh-so-46-2026-nd-cp-102260205184324295.htm,REG-05,VN-direct,High,Gov press
Resolution continuing suspension of Decree 46/2026 and Res 66.13/2026,15/2026/NQ-CP,resolution,Government,2026-04-06,2026-04-06,in force,suspension,High: fixes Decree 15/2018 as operative rule until new law,Suspends Decree 46/2026 and Res 66.13/2026 until amended Food Safety Law and its decree take effect; Decree 15/2018 continues,https://baochinhphu.vn/tiep-tuc-ap-dung-nghi-dinh-15-2018-nd-cp-ve-an-toan-thuc-pham-cho-den-khi-co-quy-dinh-moi-102260408123934123.htm,REG-06,VN-direct,High,Gov press
"Decree on biosafety of GMOs, genetic specimens and GMO products","69/2010/ND-CP (as amended by 108/2011, 118/2020, 43/2026)",decree,Government,2010-06-21,2010-08-05 (original),amended,"GMO biosafety, food/feed use certificate",High: governs GM food/feed and GM microbes used in production (precision fermentation),Art 32-33 (as amended 2026): single MAE certificate for GMO use as food and feed; Art 37a (new): certificate for GMO used in closed production,https://vanban.chinhphu.vn/?docid=95222&pageid=27160,REG-18;REG-21;REG-23,VN-direct,High,Original effective date from background; not re-read
Decree amending decrees on nature conservation and biodiversity,43/2026/ND-CP,decree,Government,2026-01-26,2026-01-26,in force,"GMO, gene editing, closed-production certificate",High: defines 'product of GMO' to include 'protein from modified gene'; closed-production certificate for GM microbes,"Amends Decree 65/2010 and 69/2010; gene-edited organisms: self-determination plus notification to MAE, records 10 years; merged food/feed certificate: 5+67+5 working days (council) or 5+17+5 (approved in >=5 developed OECD/G20 countries); food approval implies feed",https://thuvienphapluat.vn/van-ban/Tai-nguyen-Moi-truong/Nghi-dinh-43-2026-ND-CP-sua-doi-cac-Nghi-dinh-trong-linh-vuc-da-dang-sinh-hoc-692586.aspx,REG-18;REG-19;REG-20;REG-21;REG-22;REG-23;REG-24,VN-direct,High,USDA gives 45/90 working days end-to-end incl. comment period; Art 37a timeline not read
