where,current,proposed,evidence_source_ids,strength,type
ch27-export-demand 27.1 table; app-af-export AF.1; data/export_base.csv,No row for stuffed pasta (HS 1902.20); instant noodles (1902.30) is the only chapter 19 line,"Add: Stuffed pasta (dumplings, wontons; 1902.20), USD 128.2 million, 30,013 t (2023); US 22.7%, Australia 21.8%, UK 7.6%, Korea 7.1%, Canada 6.1%, Japan 5.8%, Netherlands 5.6%; relevance: the existing export base for TPP-08 formats; vegetarian share not identifiable at six digits",XBA-29,strong,adds
"ch27-export-demand 27.1, paragraph 'Three points stand out'","'the businesses that already hold foreign buyers, certifications and cold or dry export logistics are cashew, seafood and processed-food exporters, not plant-based brands'","Add: 'Vietnam already sells wrapped foods at scale. In 2025 partner-reported imports of stuffed pasta from Vietnam were USD 48.1 million (US), 32.4 million (EU27), 15.5 million (Japan), 14.8 million (UK), 13.3 million (Korea) and 10.6 million (Australia); Vietnam out-supplied China and Thailand in the UK, US and Korea and was second to China in the EU. The EU tariff edge is used in wrapped foods but not in textured protein: EU27 imports of 2106.10 from Vietnam were USD 0.01 million in 2025 against USD 42.6 million from China.'",XBA-28,strong,updates
ch27-export-demand 27.2 (table and paragraph on private label); data/destination_markets.csv (new rows from data_retailer_protein_split.csv),Retail sales by market; 'private label drives European volume',"Add retailer protein-split rows and: 'Retailer protein targets are real in the Netherlands (six chains, 60% by 2030) and Germany (Rewe 60% by 2035), but progress is flat (Lidl NL 42.7% to 43.1%, 2023 to 2024; Sainsbury's 14% to 13%, 2022/23 to 2025/26), the largest UK and French retailers (Tesco, Sainsbury's, Carrefour) set no split targets (Lidl GB targets 25% by 2030), and retailers meet targets with pulses, price parity and hybrids made in Europe (Albert Heijn's 15 hybrids; Lidl's 60/40 beef and pea mince). The targets are not a pull for Asian-made analogues.'",XBA-01; XBA-02; XBA-08; XBA-11; XBA-12; XBA-14,moderate,adds
"ch27-export-demand 27.2 table, Japan row; data/destination_markets.csv DM-23 and DM-24",'Small finished market; real ingredient demand',"Add: Otsuka Foods ended production of its three listed Zero Meat products between January and July 2025; Japan's imports of textured protein from Vietnam were USD 0.14 to 0.25 million in 2024 to 2025 against USD 11.5 to 12.8 million from China; Fuji Oil, Japan's leading soy protein maker, has added textured soy capacity in Chiba",XBA-17; XBA-18; XBA-28,strong,updates
ch27-export-demand 27.6 bullet 'For Japanese and Korean manufacturers'; 27.7 Startups; data/open_questions.csv OQ-245,'duty-free functional plant or fungal proteins made to their specifications'; OQ-245: 'the most plausible B2B export entry',"Downgrade: 'Weakly evidenced. Despite a 6.6 point edge over China in Japan, imports of textured protein from Vietnam were under USD 0.35 million a year in Japan and Korea in 2024 to 2025 while China supplied USD 11.5 to 32.0 million; the leading Japanese maker is expanding at home and a leading finished brand exited. Keep this route only for specified fungal or fermented proteins with a named buyer; drop plain textured soy.'",XBA-28; XBA-18; XBA-17; EXP-41,moderate,corrects
data/target_product_profiles.csv TPP-08 first_buyers and channel; ch27-export-demand 27.6 EU bullet; 27.7 Startups; ch29 TPP table,'EU and UK retailers' private label through Vietnamese co-packers (seafood and cashew processors)',"'EU and UK importers and brand owners of Asian wrapped foods that hold retailer contracts (Lidl's 2025 food supplier list has no Asian suppliers but names European importers and traders), and brand owners already making wrapped foods in Vietnam (CJ's Kizuna plant; the co-packer of Australia's Mr Chen's). First product: a vegetable or plant-protein version of a dumpling, bun or rice-paper roll these buyers already take from Vietnam.'",XBA-06; XBA-07; XBA-20; XBA-25; XBA-26,moderate,corrects
ch27-export-demand 27.3 (new 'Barrier 4: rules of origin'); data/market_access.csv (new MA rows from data_origin_rules.csv); TPP-08 avoid; data/open_questions.csv OQ-244,Tariff edge stated without origin conditions; OQ-244 open,"'The zero rate depends on the recipe. Under the UK-Vietnam agreement a food preparation (2106.90) loses origin if more than 10% of its weight is imported textured soy or concentrate (same heading 2106); stuffed pasta may contain at most 20% non-originating flour, starch or rice, and flour milled from imported wheat is non-originating. UK-CPTPP rules are looser. EU rules are expected to match the UK-Vietnam rules (not verified). Design export recipes around rice-paper or rice-flour wrappers and isolate, gluten or domestic textured-soy fillings.' Close OQ-244 for the UK; keep open for the EU text",XBA-30; EXP-23; EXP-24,strong,adds
data/target_product_profiles.csv TPP-08 label_and_claims; ch27-export-demand 27.7 Manufacturers,'retailer food-safety certification',"'IFS Food or BRCGS certification: Lidl requires IFS or BRC with annual audits; 74.8% of Carrefour-brand plants were IFS or BRC certified in 2025 and 7.3% Carrefour-audited. FSSC 22000 alone (held by CJ's Kizuna plant, claimed by Au Lac) is not what these buyers name.'",XBA-04; XBA-11; XBA-20; EXP-38,moderate,adds
data/target_product_profiles.csv TPP-08 cheapest_first_test; data/demand_moves.csv DMV-11; ch27.7 International organisations and funders,"'Survey of ten EU and UK private-label buyers' (USD 20,000 to 40,000)","'Quote requests for one vegetable and one plant-protein wrapped SKU from three EU importers of Asian frozen foods and two brand owners already sourcing wrapped foods from Vietnam, with their certification and origin requirements. Retailer targets need no survey: they are published.'",XBA-07; XBA-12; XBA-20,moderate,updates
ch27-export-demand 27.7 Investors,'export demand justifies co-packing capacity with EU and Japanese food-safety certification more than a greenfield brand',"Add: 'CJ, the largest foreign owner of Vietnamese wrapped-food export capacity, is building a Hungarian dumpling plant to supply Europe from H2 2026; price this near-shoring risk and prefer buyers without EU plants.'",XBA-20; XBA-23,moderate,adds
