where,current,proposed,evidence_source_ids,strength,type
ch28-demand-sizing 28.4 (new table after the displacement table); new data file data/demand_funder_units.csv,Displacement is reported only in kt of meat protein and as a share of meat protein.,"Add 'The same routes in funder units': animals spared by species, net CO2e avoided and meal-equivalents shifted for D-BENCH and D-STRETCH in 2030, 2035 and 2050. D-BENCH 2035: about 2.7 million animals a year (2.4 to 3.0 million), 94% chickens and ducks, about 142,000 pigs; about 0.14 Mt CO2e (0.08 to 0.25); 36.6 million canteen and 4.0 million school meal-equivalents. State that R1 spares no animals and avoids about no CO2e.",FUF-03; FUF-04; FUF-05; FUF-07; FUF-08; demand_outputs.csv; balance_outputs.csv,moderate,adds
"ch28-demand-sizing 28.6, bullet 'Count two kinds of demand separately'",Delivered protein is what an ingredient maker sells; displaced meat protein is what the supply-security and welfare cases need. The first is about eight times the second on the benchmark path in 2035.,"Count three things separately: protein delivered (what an ingredient maker sells), meat protein displaced (supply security) and animals spared and CO2e avoided (what welfare and climate funders count). Import substitution is 60% of delivered protein in 2035 but spares no animals and avoids about no CO2e. Nearly all animals spared are chickens and ducks; about half the CO2e comes from the 8.5% of meat that is beef and buffalo.",FUF-03; FUF-04; FUF-05; demand_outputs.csv,moderate,updates
"ch28-demand-sizing 28.6, 'For each reader', International organisations and funders",A funder whose goal is fewer animals raised should test the cheapest-looking route first: whether canteen chay days or promotion of chay practice add meat-free occasions without compensation.,"Match the route to your unit and your rules. Welfare funders: canteens spare the most animals per tonne of protein (about 1,100 at the national dish mix, about 2,800 if chicken dishes are replaced, about 80 if pork dishes are); added chay days spare the most in total but are unmeasured. The funders we checked that pay for menu or chay-day work either do not cover Vietnam (ReRoot Asia, Lever, Sinergia, Good Food Fund) or exclude diet change (ACE Movement Grants from September 2026; Nova Vista); Humane World is the one implementer with Vietnam staff. Market-shaping funders: procurement of a canteen protein ingredient and naming and GMO rules, not chay days. Climate funders: totals are small (about 0.14 Mt CO2e a year by 2035). Development finance: import substitution for its import bill and industrial value, not for displacement.",AFN-05; AFN-23; AFN-26; AFN-27; AFN-29; AFN-39; FUF-01; FUF-02; data_funder_units.csv; data_impact_per_tonne.csv,strong,corrects
"ch29-demand-to-frontier 29.4 'Measure (for funders, researchers and statistics bodies)' and demand_moves.csv (new column who_would_pay)",Moves are addressed to 'funders' in general; the who column lists 'funders' for eight moves.,"Add who would pay, from data_funder_fit.csv. Only 4 of 19 moves have an external funder whose stated scope fits and that accepts Vietnam: DMV-03 and DMV-04 (Bezos Centre at NUS, consumer-acceptance platform) and DMV-15 and DMV-16 (Nova Vista, naming and novel-food pathways; ACE Movement Grants for small organisations, policy only, deadline 18 October 2026). DMV-01 has no philanthropic payer (culture change excluded by Nova Vista, diet change by ACE, Vietnam by ReRoot): route it to national survey budgets (NSO, NIN) or GAIN's Diet Quality Questionnaire. DMV-06, DMV-09, DMV-11 and DMV-19 are for industry and trade bodies.",AFN-05; AFN-15; AFN-16; AFN-29; AFN-49; APR-36; FUF-01; FUF-02,strong,corrects
ch29-demand-to-frontier 29.4 and demand_moves.csv DMV-05,"Canteen trial with one large caterer (chay days or a protein extender), measuring served meals and intake the next day; who: caterers, researchers, funders.","Split into DMV-05a (extender or canteen protein ingredient: partly fits Nova Vista's procurement lever and the Bezos Centre's hybrid research) and DMV-05b (chay-day menu: implementer Humane World Viet Nam; no current funder both covers Vietnam and funds diet change). Record the dish species replaced and protein per dish, since animals spared per meal differ about 34-fold between a pork and a chicken dish.",AFN-05; AFN-16; AFN-23; FUF-01; FUF-03,strong,corrects
ch29-demand-to-frontier 29.4 and demand_moves.csv DMV-17,Base school and public-meal protein guidance on protein quality and cost rather than an animal share; publish the supplier documents required under Dispatch 64.,"Write two versions: (a) a procurement standard for innovative protein in public and state-enterprise canteens, the form a market-shaping funder can back; (b) a protein-quality and cost basis in the school food standards UNICEF will help strengthen in 2027 to 2031. Note that MOH school guidance already caps animal-free school days at about one in five (animal protein 4 to 5 days a week, plant protein at least twice).",AFN-05; APR-27; APR-04,moderate,updates
"ch29-demand-to-frontier 'For each reader', International organisations and funders","Fund the measurement moves first; they decide whether meat displacement in Vietnam is a matter of technology, of institutions or of the chay calendar.","Fund what fits your unit and your rules: welfare funders, a canteen trial with Humane World focused on chicken dishes; market-shaping funders, canteen procurement and naming and GMO rules; R&D funders, isolate and fungal functionality and Vietnamese blind tests; nutrition agencies, a protein-quality basis for school food. Measurement no funder covers (the chay-day survey item) belongs in national surveys.",data_funder_fit.csv; data_funder_route_guide.csv,strong,corrects
ch29-demand-to-frontier 29.5 'What not to do',No item on how impact is presented to funders.,"Add: do not present import substitution or protein upgrades on existing chay days to welfare or climate funders as meat displaced, animals spared or CO2e avoided; they deliver none.",demand_outputs.csv; data_impact_per_tonne.csv,strong,adds
"brief-international, 'The demand side (edition 1.2)', bullets 2 and 3","Where meat displacement could come from: the cheapest route is cultural (chay occasions); fund measurement first (chay-day question, canteen trial, choice experiment, label test).","Replace with: (1) in funder units, the displacing routes spare about 2.7 million animals a year by 2035 on the benchmark path (94% chickens and ducks) and avoid about 0.14 Mt CO2e (0.08 to 0.25); import substitution spares none. (2) Who pays for what: welfare funders, canteens and chicken dishes; market-shaping funders, procurement and rules; R&D funders, ingredient functionality and Vietnamese sensory tests; development finance, import substitution and feed; nutrition agencies, protein quality in school food. (3) Why the chay route is hard to fund: culture-change and diet-change work is excluded by Nova Vista and ACE Movement Grants, and ReRoot, Lever, Sinergia and Good Food Fund do not work in Vietnam.",AFN-05; AFN-26; AFN-29; AFN-39; FUF-01; FUF-02; data_funder_units.csv,strong,corrects
"brief-international, 'Motivations and framing'","Climate and animal welfare are motivations for many international funders; livestock was about 5.8% of national emissions in 2016, so climate claims need care.","Add: the documented demand routes avoid about 0.01 to 0.05 Mt CO2e a year by 2030 and 0.08 to 0.25 Mt by 2035 on the benchmark path (0.33 to 0.99 Mt on the stretch path), about half from displacing beef and buffalo. Treat climate as a co-benefit, not the case; welfare impact is overwhelmingly in chickens and ducks.",FUF-04; FUF-05; FUF-07; data_funder_units.csv,moderate,strengthens
"brief-investors, 'The demand side (edition 1.2)' and 'What would make this more investable'","Look for offtake, not surveys; T1 and T10 have the strongest demand evidence; a development-finance first-loss tranche for a first fermentation-feed plant.","Add an impact-screen note: T1 import substitution spares about no animals and avoids about no CO2e (soy replaces soy), so it will not count towards climate-screened targets such as ADB Ventures' 80% strong climate impact; pitch it to development finance on the import bill (about USD 16 to 23 million of imports replaced a year by 2035 on the benchmark path, gross), jobs and value added. Per tonne of protein delivered, a hybrid extender avoids about 57 t CO2e and spares about 540 animals; a canteen ingredient about 45 t and 1,100 animals. Climate or welfare money fits blends and canteen ingredients, not T1.",AIS-20; AIS-22; CAP-41; CAP-45; data_impact_per_tonne.csv; data_funder_units.csv,moderate,adds
app-ah-demand-model (new section AH.7 Funder units); tools/demand_model.py,"No conversion of displaced protein into animals, CO2e or meals.","Add AH.7 with the conversion factors (data_conversion_factors.csv), method and results; optionally add a funder-unit block to the model so the numbers move with the assumptions.",FUF-03; FUF-04; FUF-05; FUF-07; FUF-08; QNT-10,moderate,adds
app-ag-global-benchmarks AG.4; ch28.2 R4 assumption note,"Institutional benchmarks are US, UK, Danish and French; the D-BENCH canteen share (3% of canteen protein by 2035) is not checked against what programmes deliver.","Add ACE's Sinergia estimate (998,000 meals in 2023; 3.4 meals and 0.5 animals per USD; about 0.13 animals per meal). Note that D-BENCH's 36.6 million canteen meal-equivalents in 2035 is about 37 times Sinergia's 2023 total and 16 times Humane World's 2025 new commitments worldwide, so it can only come from caterers' own commercial use of plant or novel protein, not from NGO menu campaigns.",AFN-23; AFN-26; demand_assumptions.csv,moderate,adds
data/open_questions.csv (new rows after OQ-269),"No questions on dish species, processed-meat species mix, fish on chay days or funder eligibility.","Add the eight questions in this line's open_questions.csv, led by canteen dish species and who would pay for a canteen trial.",FUF-01; FUF-03; AFN-05,moderate,adds
data/key-numbers.json,No key number in funder units.,"Add kn-animals-spared-2035 (about 2.7 million a year, 94% poultry) and kn-co2e-avoided-2035 (about 0.14 Mt CO2e, 0.08 to 0.25), both D-BENCH, what-if estimates.",data_funder_units.csv,moderate,adds
