record_id,firm_id,firm,home_base,founded,category,firm_type,vietnam_link,first_channel,first_channel_class,revenue_model_2026,funding_disclosed,funding_usd_m,status_2026,status_basis,reason_given,last_evidence,in_startup_base_rate,package_link,source_ids,evidence_label,confidence,demand_evidence_type,notes
FO-01,FO-01,VMEAT (Cay De Food),Vietnam (Ho Chi Minh City),2018 (R&D start),plant-based meat analogue,startup,Vietnam-founded,Foodservice: F&B customers gave 70% of 2021 revenue; founders also run a chay noodle chain; some direct and small retail sales,foodservice,unknown,Founders VND 3 billion (2018 to 2022); VND 4 billion for 49% from two Shark Tank investors (2021),0.27,dormant,No evidence of activity after 2022: package found none; VnExpress site search for VMEAT returned no result; vmeat.vn did not respond (25 Sep 2026),none found,2022,yes,launches_exits.csv LE-12; companies.csv CO-003,AIS-41; ECO-19; ECO-17; BRD-18,VN-direct,Low,revealed,"Funding in USD at 26,000 VND per USD (our calculation: VND 7 billion). Over 90% of inputs imported (AIS-41). Dormant means no evidence found, not proof of closure."
FO-02,FO-02,Emmay (brand Nam Tuoi Cuoi),Vietnam (Ho Chi Minh City),2017,"mushroom and mycelium foods (floss, pate, fillings)",startup,Vietnam-founded,"Own consumer brand through distributors and supermarkets: about 230 points of sale, 7 distributors, 80% of revenue from wholesale and supermarket chains (2022)",b2c_brand,b2c_brand plus small exports,"About USD 250,000 cumulative from three angel rounds and US foundation grants to 2021; sought at least USD 1.5 million (2021), outcome unknown",0.25,active,"Donor case study dated Dec 2025: 1.5 to 2 t a month, 30+ products, exports about 10% of revenue since Q3 2023",Founder constraint: advisers in target import countries and capital (2025),2025-12,yes,companies.csv CO-001; deals.csv DL-011; not in launches_exits.csv,AIS-39; AIS-40; CAP-15,VN-direct,Low,revealed,Nam Tuoi Cuoi is Emmay brand (AIS-40 text). All volumes company-reported.
FO-03,FO-03,Kashew,Vietnam (Ho Chi Minh City),2020,fermented cashew cheese and plant dairy,small maker,Vietnam-founded,"Own delis and online, with wholesale to restaurants, hotels, cafes and caterers (order of channels not documented)",mixed,b2c_brand plus foodservice wholesale,none disclosed,,active,On shelf in the Sept 2026 audit; wholesale page live,none given,2026-09,yes,launches_exits.csv LE-26; companies.csv CO-053,AIS-42; FORM-01; ECO-49; ECO-50,VN-direct,Medium,revealed,
FO-04,FO-04,Ong Tempeh,Vietnam (Ho Chi Minh City; Hanoi branch),2023,tempeh (fungal fermented legumes),small maker,Vietnam-founded,"Direct to the vegetarian community, then e-commerce; named business customers Sheraton, Vindo, iVegan",b2c_brand,b2c_brand plus foodservice,none disclosed,,active,Hanoi branch opened Sept 2025; storefronts on Lazada and Shopee,none given,2025-09,yes,companies.csv CO-059; not in launches_exits.csv,AIS-43,VN-direct,Medium,revealed,First channel read from the company history page through a fetch summary.
FO-05,FO-05,Is It Meat?,Vietnam (Ho Chi Minh City; expat-founded),2020,plant-based meat analogue,startup,Vietnam-founded,Foodservice only: nuggets and sausages sold to Ho Chi Minh City restaurants,foodservice,unknown,none found,,dormant,Single 2022 blog source; no later evidence; isitmeat.com did not respond (25 Sep 2026),none found,2022,yes,launches_exits.csv LE-13; companies.csv CO-006,ECO-15; BRD-19,VN-direct,Low,revealed,
FO-06,FO-06,Yukino Foods,Vietnam (Ho Chi Minh City; Japan-linked claim),2016 (claimed),plant-based meat analogue and ready foods,small maker,Vietnam-founded,One shop plus online (2022),b2c_brand,unknown,none found,,dormant,Single 2022 blog source; no later evidence,none found,2022,yes,launches_exits.csv LE-13; companies.csv CO-007,ECO-15,VN-direct,Low,revealed,
FO-07,FO-07,Bien Phuong,Vietnam,2020,plant-based seafood analogue,startup,Vietnam-founded,not documented,unknown,unknown,none found,,dormant,No evidence after 2022 (package),none found,2022,status only (channel unknown),companies.csv CO-004,ECO-17; ECO-19,VN-direct,Low,revealed,
FO-08,FO-08,INNOHAS,South Korea,not found,plant-based meat analogue (OEM),startup,Vietnamese VC investor; planned Vietnam products,"OEM and private label for food companies and retailers, plus own brand",oem_private_label,oem_private_label (Korea),"VinaCapital Ventures minority stake (2024), amount undisclosed",,active,Company claims profitability since 2021 and 90% growth in 2023; site live; no Vietnam launch found by Sept 2026,none given for the missing Vietnam launch,2026-09,yes,launches_exits.csv LE-14; deals.csv DL-010,AIS-16; VCO-31; ECO-65,VN-direct,Low,revealed,Active as a firm; its Vietnam entry has not happened (Vietnam lens: not entered).
FO-09,FO-09,OmniFoods (Green Monday),Hong Kong,2018,plant-based meat and seafood analogue,scale-up,Entered Vietnam (gourmet retail 2022; Starbucks limited menu 2023),"Branded supply to restaurant and cafe chains (for example Starbucks, Bafang Yunji dumplings in Taiwan) alongside own Green Common retail; in Vietnam, gourmet retail first",foodservice,unknown,not retrieved,,dormant,Latest dated news found: March 2024 US product launch; brand sites did not respond (Sept 2026); absent from the Vietnam audit,none found,2024-03,yes,launches_exits.csv LE-02; companies.csv CO-009,ECO-20; GLB-59; BRD-15; FORM-01,VN-adjacent,Low,revealed,Dormant is a weak call: US retail presence in 2024 may continue.
FO-10,FO-10,Next Meats,Japan,about 2020,plant-based meat analogue,startup,"Entered Vietnam (Classic Fine Foods deli, 2022)","Restaurant and retail partners (IKEA Japan; a Singapore restaurant, 2021); in Vietnam a deli distributor",foodservice,unknown,not retrieved,,dormant,No trade-press item after June 2022 in the archive we searched; English site path returned 404; absent from the Vietnam audit,none found,2022-06,yes,launches_exits.csv LE-03; companies.csv CO-011,ECO-15; BRD-13; FORM-01,VN-adjacent,Low,revealed,Firm-level status in Japan not verified.
