actor_id,actor,audience,type,country_or_region,stated_interests,key_quote,vietnam_or_sea_focus,demand_relevance,source_ids,evidence_label,confidence,notes
AIS-A01,Temasek and Nurasa (Asia Sustainable Foods Platform),investors,sovereign investor and food-tech platform,Singapore; Asia,"ASFP (2021) set up to commercialise sustainable foods in Asia through pilot infrastructure (FTIC; ScaleUp Bio JV with ADM; CREMER JV for plant protein) and investments. In Sep 2025 Nurasa co-developed Q Protein, soy-enhanced beef and chicken sold through a meat importer's retail channels in Singapore. The Temasek Review 2025 briefing says nothing on food.","Our TPCs also see opportunities to invest in Southeast Asia, such as in Vietnam and Malaysia. (Temasek Review 2025; not about food)",Asia-wide; Vietnam named only generically,"High for the blend route (TPP-03): the Temasek food arm now backs protein-enhanced meat inside a meat brand, not a stand-alone analogue. Would need a Vietnamese processor partner and blend acceptance data.",AIS-07; AIS-08; AIS-09; AIS-10,VN-adjacent,Medium,A 2020 Temasek article on consumer-led demand was found but not used (pre-2024). A DealStreetAsia headline tags Nurasa with Growthwell (Jul 2026) but is paywalled and not used as a fact.
AIS-A02,Big Idea Ventures,investors,accelerator and venture fund,New York; Paris; Singapore,"Invests in alternative proteins, ingredients, fats, sweeteners, flavourings and new crops; accelerator ticket USD 200,000 (125,000 cash, 75,000 in kind), follow-on up to USD 2.5 to 3.5 million; cohorts every January and July; asks for a minimum viable product.","Minimum Viable Product in the alternative protein, ingredients or new crops space",Singapore programme; no Vietnam mention on its 2026 site,"Medium: the realistic seed route for a Vietnamese ingredient founder; its entry bar is product, not market proof, so demand evidence matters more at follow-on.",AIS-11,VN-adjacent,Medium,Package INV-018 records a 2021 statement that Vietnam was a target market; not re-verified. Latest dated portfolio item is December 2025.
AIS-A03,AgFunder (research and venture capital),investors,venture capital and research publisher,Global; Asia-Pacific portfolio,"Global report 2026: agrifoodtech funding USD 16.2 billion in 2025; capital directed to companies with real unit economics and paths to revenue. Invests in Green Rebel (Southeast Asian, locally inspired meat alternatives) and Meatiply (B2B co-development with manufacturers). No Asia-Pacific report after the 2024 edition.","Investors are writing checks more selectively, directing capital towards companies with tangible science, real unit economics, and clear paths to revenue.",Southeast Asia portfolio; no Vietnam deal found,"High: its screen (unit economics, path to revenue) is exactly what Part VI does not quantify for its target product profiles.",AIS-02; AIS-03; AIS-32; AIS-46,general,Medium,Clean negative: no AgFunder Asia-Pacific agrifoodtech report for 2025 or 2026 on the research index (25 Sep 2026).
AIS-A04,Better Bite Ventures,investors,pre-seed and seed venture capital,Singapore; Asia-Pacific,"Backs early-stage Asia-Pacific food and alternative-protein startups; says investors want stronger fundamentals, diligence is longer and valuations lower (2023); thesis that Asia will become the manufacturing base for alternative protein (2022); avoids locally focused brands that cannot scale regionally.",investors are looking for companies with stronger fundamentals,Asia-Pacific; no Vietnam deal found,High: a Vietnam-only chay ingredient business may fail its regional-scale test; it would ask for evidence of regional or export buyers.,AIS-12; AIS-13,VN-adjacent,Medium,"No 2024 to 2026 statement retrieved; package INV-019 lists portfolio (Green Rebel, TiNDLE, Meatiply)."
AIS-A05,Openspace Ventures,investors,Southeast Asian venture capital and multi-strategy manager,Singapore; Southeast Asia,"Backed Nutrition Technologies (insect feed made in Johor, sold across Asia including Vietnam) because it delivers at scale at a globally competitive price. We found no food-protein deal.",Nutrition Technologies has led the way in delivering black soldier fly solutions at scale and at a price that is competitive on the global markets.,Southeast Asia; Vietnam is a customer market of its portfolio company,Medium: revealed preference for B2B feed ingredients priced against incumbents; insect is a benchmark only in this package.,AIS-14,VN-adjacent,Medium,Statement is from 2022; no 2024 to 2026 food statement found.
AIS-A06,"Do Ventures (Vietnam Innovation and Private Capital Report, with NIC and VPCA)",investors,Vietnamese venture capital and report publisher,Vietnam,Tracks Vietnamese private capital: USD 4.5 billion across 149 deals and USD 509 million of venture capital in 2025; AI funding up 13 times from 2023 to 2025; says capital is available for stronger founders with clearer unit economics. No food or protein theme on the report page.,"capital is still available, but investors are concentrating on stronger founders, clearer unit economics, and more mature opportunities.",Vietnam,High: sets the evidence bar a Vietnamese protein venture must clear; no alternative-protein deal in its data.,AIS-15,VN-direct,Medium,Package CAP-21 records agriculture at about USD 1 million of 2025 venture capital.
AIS-A07,"VinaCapital Ventures (and HCM VIF, which VinaCapital operates)",investors,venture capital arm; manager of a public-private city venture fund,Vietnam (Ho Chi Minh City),"Invested in INNOHAS (Korean plant-based OEM) in July 2024 to bring its products to Vietnam and Southeast Asia. VinaCapital is founding shareholder and operating unit of the VND 500 billion HCM VIF (Series A and B; core technology, green solutions; biotechnology among 2035 sectors); Hoang Duc Trung, the VinaCapital partner quoted on INNOHAS, is its CEO; about 50 proposals; 1 to 2 investments planned in Q4 2026.",We are proud to invest in INNOHAS and help them introduce their healthy and delicious products to Vietnam.,Vietnam,High: the only Vietnamese VC with a plant-based deal now steers the largest new public-private fund; its INNOHAS thesis (localised OEM products) shows no Vietnam launch two years on.,AIS-16; AIS-17; AIS-18,VN-direct,Medium,Package notes INNOHAS's site did not mention Vietnam on 23 Sep 2026.
AIS-A08,Mekong Capital,investors,growth private equity,Vietnam,"Growth capital in large minority stakes; sectors consumer, education, healthcare, biotechnology and agricultural technology; led Entobel's USD 25 million round (2022) with a seafood exporter as customer; 2025 to 2026 activity is listings of consumer and finance holdings.",primarily a growth capital firm specializing in large minority investments,Vietnam,"High: the Entobel template (B2B product, named anchor buyer) is what it backs; it would need revenue scale and offtake, not surveys.",AIS-19,VN-direct,Medium,No 2024 to 2026 food-protein deal found.
AIS-A09,International Finance Corporation (IFC),investors,development finance institution,Global; Vietnam office,"Co-invested USD 2.5 million in Entobel (2023, package); latest alternative-protein rationale found (ProNuvo, 2024) cites a USD 11 billion aquafeed and pet-food opportunity, lower footprint and circularity. We found no 2024 to 2026 Vietnam alternative-protein statement.",(none demand-specific found),Global; Vietnam precedent is Entobel only,Medium: needs an anchor feed buyer and a competitiveness case; the insect sector's 2024 to 2025 failures raise the bar.,AIS-20; AIS-21,general,Medium,"Feed, not food. Insect is a benchmark only."
AIS-A10,ADB Ventures,investors,development finance venture arm,Emerging Asia (Manila),"Sustainable Agriculture and Food is one of six sectors; expects 80% of investments to have strong climate impact, 75% strong female participation and 100% to crowd in capital. 2025 to 2026 news covers energy and fintech.",80% of the investments are expected to have a strong climate mitigation and/or adaptation impact,Emerging Asia; no Vietnamese agrifood deal (package),High: its impact tests make meat or emissions displaced per tonne decisive; by Part VI's own model import substitution displaces no meat.,AIS-22,VN-adjacent,Medium,Ticket USD 0.1 to 4 million per package CAP-45.
