name,funder,type,eligibility_for_VN_applicants,amount_range,deadline_or_status_2026,focus,url,source_ids,evidence_label,confidence,notes
Alternative Protein R&D RFP (Rounds 1 and 2),Coefficient Giving (formerly Open Philanthropy),"grant (for-profits eligible, subject to due diligence)","Yes in principle: universities, research institutes, companies of any size and public research bodies; international applicants welcome, with restrictions in certain jurisdictions",Round 1: USD 100K to 1M; Round 2: USD 1M to 5M; up to USD 30M total,Round 1 closed 10 Aug 2026 (decisions by 30 Nov 2026); Round 2 closed 15 Sep 2026 (decisions by 31 Dec 2026). Both closed as of 23 Sep 2026.,Off-flavour reduction; fat alternatives; egg replacement; fish flavour characterisation,https://coefficientgiving.org/funds/farm-animal-welfare/request-for-proposals-alternative-protein-rd/,CAP-56;CAP-57,general,High,Fund landing page says 'up to $10 million'; RFP page says up to USD 30M across two rounds. RFP page is more specific and later (Round 2 added 23 Jul 2026).
GFI Research Grant Program,Good Food Institute,grant,Yes in principle (global; past grants in 25+ countries),not stated on page,"Closed; 'not currently accepting submissions', no reopening date","Plant-based, fermentation, cultivated; cost, scale, sensory; open-access research",https://gfi.org/researchgrants/,CAP-50,general,High,
Navigation Fund: farm animal welfare grants,The Navigation Fund,grant,Not stated,not stated,No alternative-protein or alt-protein-policy RFP found on grants pages as of 23 Sep 2026,"Factory farming reduction (advocacy, policy, capacity)",https://www.navigation.org/grants/farm-animal-welfare,CAP-58,general,Medium,The brief's 'alt protein policy RFP' could not be located; may be closed or on another page.
ProVeg Incubator,ProVeg International,equity + in-kind,Not explicitly restricted,up to USD 300K incl. USD 75K in-kind,Accepting applications for 'next cohort'; dates not stated,Alt-protein startups,https://provegincubator.com,CAP-59,general,Medium,
Big Idea Ventures accelerator,Big Idea Ventures,equity + in-kind,Yes (Singapore hub),USD 200K (125K cash + 75K in-kind); follow-on up to USD 2.5M to 3.5M,Cohorts historically January and July; 2026 status unclear,"Proteins, fats, ingredients",https://bigideaventures.com,CAP-62,VN-adjacent,Low,Website content may be out of date.
Better Bite Ventures seed cheques,Better Bite Ventures,equity (SAFE),Yes (APAC focus),USD 100K to 200K+,Rolling,Alt protein and food climate tech,https://www.betterbite.vc,CAP-63,VN-adjacent,Medium,
ADB Ventures (VC and SEED Capital+),Asian Development Bank,equity / quasi-equity,Yes (ADB developing member country),USD 0.1M to 4M (Fund 1),Active; no fixed deadline found,"Sustainable agriculture and food, circular economy, climate",https://ventures.adb.org,CAP-45;CAP-46,VN-adjacent,High,"Portfolio precedents: INSEACT (insect protein), Terra Oleo (microbial oils)."
"NATIF interest-rate subsidy, Round 1/2026",National Technology Innovation Fund (MOST),loan interest subsidy,"Yes (VN enterprises with a bank loan, profitable last year, no bad debt in 24 months, loan term 12+ months left)","Up to 50% of interest, max 6%/yr, up to 5 years; round budget VND 50bn (~USD 2M)",Deadline 20 Sep 2026 (closed); further rounds likely but not announced,"Technology transfer, equipment, prototypes, certification",https://natif.vn,CAP-38,VN-direct,Medium,"Suits incumbents (feed/food manufacturers) adding a line, not pre-revenue startups. Partner banks include VPBank and BIDV."
NATIF grants and innovation tasks,National Technology Innovation Fund (MOST),grant,Yes (VN organisations and enterprises),not stated,Operating under Decree 77/2026/ND-CP (17 Mar 2026),"Technology innovation, IP, productivity, startup support",https://natif.vn,CAP-37,VN-direct,Medium,Eligibility and caps not extracted this wave.
National Venture Capital Fund,Government of Vietnam (MOST as owner representative),equity / fund-of-funds / co-investment,Yes (VN startups; can also invest abroad),"Fund: min VND 500bn initial state capital; VND 2,000bn target in 5 years",Being set up; proposal stage as of 16 Jun 2026,"High, digital, strategic tech; green and circular economy",https://thuvienphapluat.vn/van-ban/Dau-tu/Nghi-dinh-264-2025-ND-CP-Quy-dau-tu-mao-hiem-quoc-gia-quy-dau-tu-mao-hiem-dia-phuong-677210.aspx,CAP-29;CAP-30;CAP-31,VN-direct,High,Decree 264/2025/ND-CP signed and effective 14 Oct 2025; 50% loss threshold; 10 to 15 year cycles.
