source_id,citation,title,author_or_publisher,date,url,doi,source_type,accessed,notes
TRU-01,VietNamNet (reprinted from Tuoi tre & Doi song). Do chay gia man doc hai tran ve tu Dai Loan. 9 February 2015.,Đồ chay giả mặn độc hại tràn về từ Đài Loan,VietNamNet,2015-02-09,https://vietnamnet.vn/do-chay-gia-man-doc-hai-tran-ve-tu-dai-loan-220959.html,,press,2026-09-25,Read in full in the browser. Relays a Taiwanese consumer-group test (15 of 21 imitation-meat samples with animal ingredients) and a Taiwan FDA test (4 of 15 loose samples with pork or chicken; labelled packs mostly compliant). Says many Vietnamese chay restaurants import Taiwanese mock meat and most Ho Chi Minh City market chay is unlabelled; lists chay prices; asks regulators to make makers disclose substances. Taiwanese figures are relayed without a source; a mad-cow anecdote in it is unverifiable.
TRU-02,CDC Quang Ninh (republishing Dan Tri). Cach nhan biet gio cha an toan ngay Tet. 9 February 2015.,Cách nhận biết giò chả an toàn ngày Tết,Trung tâm Kiểm soát bệnh tật tỉnh Quảng Ninh (provincial CDC),2015-02-09,https://www.quangninhcdc.vn/cach-nhan-biet-gio-cha-an-toan-ngay-tet/,,gov/statistics,2026-09-25,Read in full in the browser. Says bought giò chả may be poor quality and contain much starch; giò lụa without air holes has been mixed with starch and made with poor meat; crumbly giò has been mixed with starch; unusually springy giò has borax; turmeric-paper borax test. Source line: dantri.com.vn.
TRU-03,Lao Dong (L.V.). Gio cha 'tu cung' de doi pho gia thit lon qua cao. 18 December 2019.,"Giò chả ""tự cung"" để đối phó giá thịt lợn quá cao",Lao Động,2019-12-18,https://laodong.vn/kinh-doanh/gio-cha-tu-cung-de-doi-pho-gia-thit-lon-qua-cao-773032.ldo,,press,2026-09-25,"Read in full in the browser. Giò lụa rose from VND 130,000 to 150,000 to 200,000 per kg; sellers added more starch, fat, skin and wood-ear mushroom and some added tapioca and corn starch to hold prices; a Me Linh (Hanoi) shopper calls them dishonest (không đứng đắn) and makes her own giò; a Mai Dich seller of 20 years says customers fell by nearly half; many make giò at home to avoid giò độn bột."
TRU-04,"VnExpress (Hong Chau, Thanh Thu). Tran lan do chay khong nhan mac. About 2 September 2020.",Tràn lan đồ chay không nhãn mác,VnExpress,2020-09-02,https://vnexpress.net/tran-lan-do-chay-khong-nhan-mac-4155672.html,,press,2026-09-25,"Read in full in the browser. Date from the Google News listing; the page shows no date and refers to the Minh Chay botulism case (13 July to 18 August 2020). Unlabelled chay giả mặn sold in markets and online at VND 70,000 to 250,000 per kg; a market-surveillance official promises tighter control; Vissan deputy general director Phan Van Dung says meat-eating families turn to chay to reduce meat and fish protein and add fibre. No meat testing mentioned."
TRU-05,VnExpress (Thuy Quynh). Hai thuc pham hay tron han the can canh giac. 24 November 2024.,Hai thực phẩm hay trộn hàn the cần cảnh giác,VnExpress,2024-11-24,https://vnexpress.net/hai-thuc-pham-hay-tron-han-the-can-canh-giac-4819704.html,,press,2026-09-25,Read in full in the browser. Borax in giò chả and bún (HUST expert Nguyen Duy Thinh); advice to make giò at home or buy from reputable makers with labels and stated origin. No mention of starch or soy fillers.
TRU-06,"Dan Tri. Vu gio cha chua han the o Ha Noi: Cua hang van mo cua, co khach mua. 20 January 2026.","Vụ giò chả chứa hàn the ở Hà Nội: Cửa hàng vẫn mở cửa, có khách mua",Dân trí,2026-01-20,https://dantri.com.vn/doi-song/vu-gio-cha-chua-han-the-o-ha-noi-cua-hang-van-mo-cua-co-khach-mua-20260120200913251.htm,,press,2026-09-25,"Read via fetch tool (summary). Yen Hien shop, 5B Nguyen Thien Thuat, Hanoi: about 300 kg borax-treated giò chả seized; owner admitted borax use since 2022; about 300 t sold. Next day the shop was open; 5 to 7 customers in 20 minutes; regulars cited habit (ăn quen) and taste."
TRU-07,"Dan Tri site search for 'giò chả hàn the', run 25 September 2026.",Dân trí search results: giò chả hàn the,Dân trí,2026-09-25,https://dantri.com.vn/tim-kiem/gi%C3%B2+ch%E1%BA%A3+h%C3%A0n+the.htm,,database,2026-09-25,"401 results. First page (12 headlines): prosecutions (khởi tố) of giò chả makers dated 15 Feb, 27 Feb (more than 1 t), 16 Mar (chả bò), 3 Jun, 26 Jun and 29 Aug 2026 (147 kg); Hanoi 300 kg case 20 Jan 2026; Ninh Binh nearly 100 kg of borax found 10 May 2026; a 13 Feb 2026 case of hundreds of kg of giò chả and ham; a May 2025 reader piece. Headlines only."
TRU-08,"Dan Tri. Cha bong don... bot mi, hoa chat. 21 October 2015.","Chà bông độn... bột mì, hóa chất",Dân trí,2015-10-21,https://dantri.com.vn/kinh-doanh/cha-bong-don-bot-mi-hoa-chat-20151021071707346.htm,,press,2026-09-25,"Read via fetch tool (summary). Unlicensed pork-floss maker in Vinh Loc A, Binh Chanh, Ho Chi Minh City (20 October 2015): wheat flour at about twice the weight of the meat and sodium cyclamate from China; about 750 kg seized and burned the same day; facility closed."
TRU-09,Dan Tri. Hai vo chong 'ho bien' thit heo thanh bo vien. 29 April 2018.,"Hai vợ chồng ""hô biến"" thịt heo thành bò viên",Dân trí,2018-04-29,https://dantri.com.vn/suc-khoe/hai-vo-chong-ho-bien-thit-heo-thanh-bo-vien-20180429075429346.htm,,press,2026-09-25,"Read via fetch tool (summary). Inspection 6 January 2017 in Binh Chanh, Ho Chi Minh City: packaged beef balls labelled with 70% or more beef; the city's forensic centre found pork DNA and no beef; about 1 t seized, nearly 7 t sold to Tien Giang (now Dong Thap) and 350 kg or more to Tra Vinh (now Vinh Long) for VND 290 million; director and husband charged with making and selling counterfeit food. Reported ingredients also include buffalo meat, starch and additives."
TRU-10,"Dan Tri (Bao Anh). Thit lon lam tu dau nanh, vao nha hang coi chung dinh 'cu lua'. 12 May 2020.","Thịt lợn làm từ đậu nành, vào nhà hàng coi chừng dính 'cú lừa'",Dân trí,2020-05-12,https://dantri.com.vn/kinh-doanh/thit-lon-lam-tu-dau-nanh-vao-nha-hang-coi-chung-dinh-cu-lua-20200512063026691.htm,,press,2026-09-25,"Read via fetch tool (summary). Headline warns diners of a trick; body is favourable to plant-based meat (Impossible, Beyond; land, water, emissions). No mention of blends or labels."
TRU-11,Dan Tri. Thit nhan tao khong the thay duoc 'thit that' o Viet Nam. 12 May 2020.,Thịt nhân tạo không thể thay được 'thịt thật' ở Việt Nam,Dân trí,2020-05-12,https://dantri.com.vn/kinh-doanh/thit-nhan-tao-khong-the-thay-duoc-thit-that-o-viet-nam-20200512190821708.htm,,press,2026-09-25,Read via fetch tool (summary). Quotes a poultry farmer and a Hanoi consumer; says most Vietnamese fear products labelled nhân tạo (artificial) and prefer natural foods.
TRU-12,Dan Tri (Ban doc). 'Hoa phep' thit bo gia tai TPHCM: Khong co thit bo nao gia 118.000 dong/kg. 25 December 2025.,"""Hóa phép"" thịt bò giả tại TPHCM: Không có thịt bò nào giá 118.000 đồng/kg",Dân trí,2025-12-25,https://dantri.com.vn/ban-doc/hoa-phep-thit-bo-gia-tai-tphcm-khong-co-thit-bo-nao-gia-118000-dongkg-20251225231917171.htm,,press,2026-09-25,"Read via fetch tool (summary). Pork treated with sodium metabisulfite sold as beef at VND 118,000 to 140,000 per kg; about 600 kg a day to about 75 restaurants; 7 arrested for making and selling counterfeit food. Readers: no real beef sells at that price. A different, earlier case from NOV-72."
TRU-13,Dan Tri. An thit 'gia' co lam tang nguy co dot quy? 10 July 2024.,"Ăn thịt ""giả"" có làm tăng nguy cơ đột quỵ?",Dân trí,2024-07-10,https://dantri.com.vn/khoa-hoc/an-thit-gia-co-lam-tang-nguy-co-dot-quy-20240710111650347.htm,,press,2026-09-25,Read via fetch tool (summary). Uses thịt giả for plant-based meat; relays a UK Biobank study on ultra-processed plant foods; conclusion inconclusive.
TRU-14,"Dan Tri. Dong Nai kiem tra cac co so san xuat, kinh doanh thuc pham chay. 31 August 2020.","Đồng Nai kiểm tra các cơ sở sản xuất, kinh doanh thực phẩm chay",Dân trí,2020-08-31,https://dantri.com.vn/suc-khoe/dong-nai-kiem-tra-cac-co-so-san-xuat-kinh-doanh-thuc-pham-chay-20200831190601995.htm,,press,2026-09-25,Read via fetch tool (summary). Inter-agency team at Au Lac Bien Hoa: rapid borax tests on 4 products; chả lụa chay and tôm chay negative; two tofu-skin products positive. No meat or animal test.
TRU-15,Dan Tri. Canh bao nguy hai tu phu gia trong thuc pham chay gia man. 6 September 2020.,Cảnh báo nguy hại từ phụ gia trong thực phẩm chay giả mặn,Dân trí,2020-09-06,https://dantri.com.vn/suc-khoe/canh-bao-nguy-hai-tu-phu-gia-trong-thuc-pham-chay-gia-man-20200906112603078.htm,,press,2026-09-25,"Read via fetch tool (summary). Head of the Ho Chi Minh City Food Safety Management Board (Pham Khanh Phong Lan) on additives, flavourings and botulism risk in mock meat; no mention of meat in chay."
TRU-16,Dan Tri. Phat hien hon 6.500 kg cha don chay su dung han the. 26 January 2022.,Phát hiện hơn 6.500 kg chả đòn chay sử dụng hàn the,Dân trí,2022-01-26,https://dantri.com.vn/suc-khoe/phat-hien-hon-6500-kg-cha-don-chay-su-dung-han-the-20220126154444924.htm,,press,2026-09-25,"Read via fetch tool (summary). An Giang inter-agency team held 6,573 kg of chay rolls with borax; case sent to the provincial agriculture department. No meat test mentioned."
TRU-17,Dan Tri. Bat mot co so san xuat thuc pham chay su dung chat cam. 5 February 2020.,Bắt một cơ sở sản xuất thực phẩm chay sử dụng chất cấm,Dân trí,2020-02-05,https://dantri.com.vn/suc-khoe/bat-mot-co-so-san-xuat-thuc-pham-chay-su-dung-chat-cam-20200205204546788.htm,,press,2026-09-25,"Read via fetch tool (summary). Phu Tan, An Giang: 50 kg chả đòn chay made with borax; 4 kg unused borax seized; administrative record. No meat test mentioned."
