record_id,type,move,who,indicative_cost,why_it_matters,timing,source_ids,who_would_pay
DMV-01,measurement,"Measure chay days. First, ask the Global Diet Quality Project or Gallup to tabulate the 2021 flesh-free share (7.9% of adults ate no meat, poultry or fish on the previous day) by the lunar date of the recall day; then add a chay-day question to a probability survey (household living standards or nutrition survey)",Global Diet Quality Project and Gallup (tabulation); NSO; National Institute of Nutrition,Very low for the tabulation; low (tens of thousands of USD) for a survey item,Sizes Vietnam's largest plant-protein occasion and the cheapest displacement route; the 2021 data already cap chay person-days at about 8%,2026 to 2027,CHY-06; APR-36; BRD-03,"No philanthropic payer found: Nova Vista excludes culture change, ACE Movement Grants now exclude diet change and ReRoot Asia excludes Vietnam. National survey budgets (NSO, NIN) or GAIN's Diet Quality Questionnaire, which already covers Vietnam"
DMV-02,measurement,"Analyse declaration-level customs data for HS 3504, 2106.10, 1109 and 2102.20.10 (yeast for animal feeding), 2024 to 2025, by importer and description",Researchers; MOF customs data; funders,Low,"Splits food from feed, sizes the textured share of 2106.10 (the pool a T1 line serves) and names the buyers of imported plant protein and of feed yeast (T2)",2026 to 2027,BUY-01; BUY-02; FBA-17,No full fit. Partial: Nova Vista (open data only as the evidence base for a procurement or market-commitment outcome); World Bank or ADB technical assistance. Otherwise industry (a would-be T1 or T2 owner)
DMV-03,measurement,Build Vietnamese sensory and choice-test capacity: blind tests of higher-protein chay and 20 to 30% blends; a price choice experiment,"Universities (HUST, NIN, Can Tho); funders","USD 30,000 to 80,000",First tested evidence on acceptance and willingness to pay in Vietnam,2027,RD-32; NOV-02,"Bezos Centre for Sustainable Protein at NUS (consumer-acceptance platform covering East and Southeast Asia), with a Vietnamese institute. Partial: Coefficient Giving and GFI research grants (2026 rounds closed)"
DMV-04,measurement,"Run a randomised label and name test (chay, thuần chay, thực vật, giàu đạm; thịt nuôi cấy, thịt tế bào, thịt nhân tạo; lên men, vi sinh, biến đổi gen)",Researchers; funders,"USD 20,000 to 50,000",Decides what to call new products before launch,2027,NOV-69; NOV-81; CON-37,Bezos Centre for Sustainable Protein at NUS (fits). Partial: Nova Vista (naming as an input to a market-shaping outcome)
DMV-05,measurement,"Canteen and school trial with one large caterer, as one move with three arms: (a) an extender or canteen protein ingredient in minced and processed-meat dishes (17% of canteen protein dishes); (b) a chay-day menu; (c) a school plant-slot and minced-dish arm, in which one caterer that writes one menu for several schools serves a textured-soy or blended dish in the plant slot and in one minced-meat or fish-cake dish, with daily published menus (Directive 33) as controls. Log the dish species replaced, protein per dish, served portions, plate waste and intake the next day","Contract caterers (for example Haseca, Hoang Kim, Hoa Sua); researchers; Humane World Viet Nam as implementer of the chay-day arm","USD 30,000 to 60,000","Tests the largest price-set channel and the lasting diet effect. Animals spared per meal differ about 34-fold between a pork and a chicken dish, and chicken leads only 13% of canteen protein dishes, so the result depends on the dish species logged",2027,CHN-41; GLB-39; UPL-27; UPL-32; PMR-02; PMR-24; FUF-01; FUF-03,"Arm (a): partly Nova Vista's procurement lever and the Bezos Centre's hybrid research. Arm (b): Humane World Viet Nam fits as implementer, but no current funder both covers Vietnam and funds diet change (Navigation Fund partial). Arm (c): no external payer found"
DMV-06,measurement,"In-store test of a protein-upgraded chay product in 20 minimarts, measuring price response and repeat",A chay maker; a chain; funders,"USD 20,000 to 40,000",Revealed repeat purchase at a known price,2027,CHN-12; CHN-15,Industry: a chay maker and a chain (no external payer found)
DMV-07,public good,"Chay safety and composition survey: test borax, preservatives, microbes and protein first, and add animal DNA as a low-cost PCR screen (QUATEST 3 tests 86 species at 0.001%); publish with VFA, publish methods and do not name small makers",Can Tho University; QUATEST 3; Vietnam Food Administration,"USD 30,000 to 60,000","Chay's live trust problems are borax, microbes and unlabelled origin (no confirmed case of meat in chay from 2015 to 2026); gives makers protein targets; the 2016 fish-sauce survey, which named makers, led to delistings and a backlash against the testers",2027,CHY-61; FORM-01; TRU-24; TRU-14; LBL-23,"No full fit. Partial: Bezos Centre at NUS, UNICEF Viet Nam, ACIAR; food-safety authorities' own budgets"
DMV-08,public good,"Standing panel of 10 to 15 research and procurement buyers (specifications, minimum orders, qualification times)",An industry association; AltProtein Vietnam,Low,Answers the most important unknown for a founder: how long qualification takes,2026 to 2027,BUY-33,"No full fit. Partial: Nova Vista, Coefficient Giving. Otherwise industry (an industry association)"
DMV-09,measurement,"Estimate the share of meat eaten as processed products (giò, chả, sausages, canned, fillings)",Meat processors' association; NSO,Low,The second most influential assumption in the demand model,2027,BUY-04,Industry: meat processors' association; NSO's own budget (no external payer found)
DMV-10,measurement,"Hotel and menu audit in Nha Trang (20 food-and-beverage managers, 30 menus)",AltProtein Vietnam,Low,Tests the tourism hypothesis cheaply,2026,CHN-47,"Humane World Viet Nam fits as implementer, not funder. Partial: Nova Vista, Navigation Fund. Otherwise AltProtein Vietnam's own budget"
