record_id,food,ghg_kg_co2e_per_100g_protein,land_m2_per_100g_protein,statistic,source_ids,evidence_label,confidence,notes
PFP-001,Beef (beef herd),49.89,163.6,global mean,FUF-07; PRB-02; PRB-01,general,High,"Poore and Nemecek (2018) via Our World in Data; global means (medians are lower, beef median about 25 kg CO2e); land is area times years occupied and includes grazing land"
PFP-002,Lamb and mutton,19.85,184.8,global mean,FUF-07; PRB-02; PRB-01,general,High,"Poore and Nemecek (2018) via Our World in Data; global means (medians are lower, beef median about 25 kg CO2e); land is area times years occupied and includes grazing land"
PFP-003,Cheese,10.82,39.8,global mean,FUF-07; PRB-02; PRB-01,general,High,"Poore and Nemecek (2018) via Our World in Data; global means (medians are lower, beef median about 25 kg CO2e); land is area times years occupied and includes grazing land"
PFP-004,Pig meat,7.61,10.7,global mean,FUF-07; PRB-02; PRB-01,general,High,"Poore and Nemecek (2018) via Our World in Data; global means (medians are lower, beef median about 25 kg CO2e); land is area times years occupied and includes grazing land"
PFP-005,Poultry meat,5.70,7.1,global mean,FUF-07; PRB-02; PRB-01,general,High,"Poore and Nemecek (2018) via Our World in Data; global means (medians are lower, beef median about 25 kg CO2e); land is area times years occupied and includes grazing land"
PFP-006,Fish (farmed),5.98,3.7,global mean,FUF-07; PRB-02; PRB-01,general,High,"Poore and Nemecek (2018) via Our World in Data; global means (medians are lower, beef median about 25 kg CO2e); land is area times years occupied and includes grazing land"
PFP-007,Prawns (farmed),18.19,2.0,global mean,FUF-07; PRB-02; PRB-01,general,High,"Poore and Nemecek (2018) via Our World in Data; global means (medians are lower, beef median about 25 kg CO2e); land is area times years occupied and includes grazing land"
PFP-008,Eggs,4.21,5.7,global mean,FUF-07; PRB-02; PRB-01,general,High,"Poore and Nemecek (2018) via Our World in Data; global means (medians are lower, beef median about 25 kg CO2e); land is area times years occupied and includes grazing land"
PFP-009,Tofu,1.98,2.2,global mean,FUF-07; PRB-02; PRB-01,general,High,"Poore and Nemecek (2018) via Our World in Data; global means (medians are lower, beef median about 25 kg CO2e); land is area times years occupied and includes grazing land"
PFP-010,Peas,0.44,3.4,global mean,FUF-07; PRB-02; PRB-01,general,High,"Poore and Nemecek (2018) via Our World in Data; global means (medians are lower, beef median about 25 kg CO2e); land is area times years occupied and includes grazing land"
PFP-011,Nuts,0.26,7.9,global mean,FUF-07; PRB-02; PRB-01,general,High,"Poore and Nemecek (2018) via Our World in Data; global means (medians are lower, beef median about 25 kg CO2e); land is area times years occupied and includes grazing land"
PFP-012,Beef (dairy herd),16.87,21.9,global mean,FUF-07; PRB-02; PRB-01,general,High,"Poore and Nemecek (2018) via Our World in Data; global means (medians are lower, beef median about 25 kg CO2e); land is area times years occupied and includes grazing land"
PFP-013,Groundnuts,1.23,3.5,global mean,FUF-07; PRB-02; PRB-01,general,High,"Poore and Nemecek (2018) via Our World in Data; global means (medians are lower, beef median about 25 kg CO2e); land is area times years occupied and includes grazing land"
PFP-014,Other pulses,0.84,7.3,global mean,FUF-07; PRB-02; PRB-01,general,High,"Poore and Nemecek (2018) via Our World in Data; global means (medians are lower, beef median about 25 kg CO2e); land is area times years occupied and includes grazing land"
