record_id,date,company,company_country,category,round_or_type,amount_usd,currency_original,investors_or_acquirer,source_ids,evidence_label,confidence,notes
DL-001,2019-10-14,Cricket One,Vietnam,insect protein (food ingredient),Seed,undisclosed,USD,500 Startups (co-lead); Masik Enterprises (co-lead),CAP-11,VN-direct,High,Amount not disclosed. Cricket powder for bakeries/snacks; claimed sales to 10 countries (company claim).
DL-002,2020-11-23,Cricket One,Vietnam,insect protein (food ingredient),Pre-Series A,"undisclosed (reported as 'seven-figure', i.e. USD 1M to 9.9M)",USD,"Corecam Capital Partners (lead, Singapore family office); Masik Enterprises; two unnamed angels",CAP-12; CAP-14,VN-direct,Medium,"'Seven-figure' is a company/press characterisation, not a disclosed amount. Claimed processing of 100M+ crickets per month (company claim)."
DL-003,2023-09-25,Cricket One,Vietnam,insect protein (food ingredient),Series A,undisclosed (reported as 'seven-figure'),USD,Robert Alexander Stone (lead); Cub Capital; a Singapore-based family office,CAP-13,VN-direct,Medium,"Linked to opening of a cricket processing facility in Binh Phuoc (now Dong Nai after 1 July 2025 merger; mapping not independently verified by CAPITAL). Claimed 1,000 t/yr initial, target 10,000 t/yr in 5 years (company claim)."
DL-004,2022-01-07,Entobel (Entobel Holding Pte Ltd),Singapore HQ; production in Vietnam,insect protein (feed),Proposed IFC equity in USD 30M Series B (IFC project 45769),"10,000,000 (proposed)",USD,IFC (proposed),CAP-03,VN-direct,Medium,"Disclosure date 7 Jan 2022, board date 9 Feb 2022 (per EWS mirror of IFC data). Final round closed with Mekong and Dragon only; IFC later entered via a USD 2.5M upstream project in 2023. Treat as proposed, not completed, at this size."
DL-005,2022-05-09,Entobel,Singapore HQ; production in Vietnam,insect protein (feed),Series B,"25,000,000",USD,Mekong Enterprise Fund IV (Mekong Capital),CAP-01; CAP-02; CAP-10,VN-direct,High,"Lead investor. MEF IV fund size USD 246M (CAP-02). Stake and valuation not disclosed. Proceeds for 10,000 t/yr plant at Dat Do I IP, Ba Ria-Vung Tau (now part of Ho Chi Minh City after July 2025 merger; mapping not independently verified by CAPITAL)."
DL-006,2022-05-09,Entobel,Singapore HQ; production in Vietnam,insect protein (feed),Series B,"5,000,000",USD,Dragon Capital,CAP-02,VN-direct,Medium,Amount from press (The Investor); Mekong release names Dragon as co-investor without amount.
DL-007,2023-02-23,Entobel,Singapore HQ; production in Vietnam,insect protein (feed),"IFC upstream investment ('CnC-Entobel', IFC project 46903), part of Series B","2,500,000",USD,IFC,CAP-04; CAP-05; CAP-06; CAP-07; CAP-08,VN-direct,Medium,"Board 23 Feb 2023, disclosed 7 Apr 2023, total project cost USD 32.5M. Instrument reported as equity (SeafoodSource) under an 'upstream collaboration agreement'. Entobel describes the Series B as USD 33M from Mekong, Dragon and IFC. Petfood Industry's '~USD 10M' IFC figure is not supported by IFC data."
DL-008,2021 (first half; exact date not found),Shiok Meats,Singapore,cultivated seafood,Strategic minority in a round of ~USD 18M (reported as Series B by VN press),undisclosed,USD,"Vinh Hoan (VN investor); co-investors Woowa Brothers Asia Holdings, CJ CheilJedang",CAP-16; CAP-17,VN-direct,Low,"Outbound investment by a Vietnamese pangasius exporter. Round naming and size unverified against primary source. Shiok later merged into Umami Bioworks (2024, not verified this wave)."
DL-009,2021 (exact date not found),Avant Meats,Hong Kong / Singapore,cultivated fish,Strategic minority,undisclosed,USD,Vinh Hoan (VN investor),CAP-16; CAP-17,VN-direct,Low,Outbound investment reported by VN press; not confirmed on Avant's site (CAP-16 fetch of avantmeats.com shows no investor list).
DL-010,2024-07-02,INNOHAS,South Korea,plant-based meat,Undisclosed minority,undisclosed,USD,VinaCapital Ventures,CAP-18,VN-direct,Medium,Stated purpose: help INNOHAS enter Vietnam and Southeast Asia. INNOHAS claimed 90% revenue growth in 2023 (company claim).
DL-011,2017 to 2021 (cumulative),Emmay JSC ('Ruoc Nam' mushroom floss / mushroom-based meat substitutes),Vietnam,mushroom-based plant protein,Three angel rounds plus US foundation grants,"250,000 (cumulative)",USD,Undisclosed angels; unnamed US foundations,CAP-15,VN-direct,Low,"Company claim at ThinkZone Virtual Investment Day, May 2021, where it sought at least USD 1.5M; outcome of that raise not found. Claimed ~USD 800K revenue to Q1 2021."
DL-012,2025-02-28,Techcoop,Vietnam,agrifood supply chain / ag-fintech (adjacent),Series A (equity plus debt),"70,000,000 (28M equity + 42M debt)",USD,"TNB Aura (Singapore) and Ascend Vietnam Ventures (equity leads); HSBC, Lendable and Vietnamese banks (debt)",CAP-19; CAP-20; CAP-25,VN-direct,Medium,Largest VN agrifood-adjacent round found. Counted in 2024 by Do Ventures (drives the USD 74M 2024 agritech figure) and as ~71% of 2024 climate-tech capital by the CT-FE 2025 report. Not alt protein.
DL-013,2021-12-20,Mavin Group,Vietnam,animal feed and livestock (adjacent),Proposed IFC quasi-equity and loan,"90,600,000 (proposed; incl. 52,000,000 quasi-equity)",USD,IFC (proposed),CAP-44,VN-direct,Low,'IFC considers' per DealStreetAsia headline; closing not verified this wave. Indicates DFI appetite and ticket size for VN feed incumbents.
