name,type,owner,owner_country,location_province_current,location_province_former,capacity,capacity_unit,year,relevant_capability,open_to_third_parties,source_ids,evidence_label,confidence,notes
Vedan Vietnam Phuoc Thai complex (MSG / glutamic acid fermentation),fermentation,"Vedan Vietnam Enterprise Corp. (Vedan International Holdings, HKEX-listed)",Taiwan,Dong Nai,"Dong Nai (Long Thanh district, Phuoc Thai commune; province unchanged by 2025 merger)",700,m3 per fermentation tank (tank count not disclosed),2026 (website),"Large aerobic stirred-tank amino-acid fermentation (MSG, PGA broth), cassava starch and molasses feedstock, own port (10,000-12,000 DWT), co-generation, ISO/IEC 17025 lab, food application lab",unknown,IND-01; IND-02; IND-04; IND-07,VN-direct,Medium,"Tank size is a company claim. Current MSG capacity not published; historic nameplates: MSG refinery 36,000 t/yr (1994), GA fermentation 36,000 t/yr (1995), fermentation expansion 1998. 120 ha site; ~3,830 staff (2024). No contract fermentation offer found."
Vedan Vietnam lysine plant,fermentation,Vedan Vietnam Enterprise Corp.,Taiwan,Dong Nai,Dong Nai,15000,t/yr lysine (nameplate after phase II),1998,Aerobic amino-acid fermentation for feed-grade lysine,unknown,IND-04; IND-02,VN-direct,Medium,"Nameplate from company milestones (phase I 7,200 t/yr 1996; phase II to 15,000 t/yr 1998). Current capacity not published; may have changed."
Vedan Vietnam glucose syrup plant,starch,Vedan Vietnam Enterprise Corp.,Taiwan,Dong Nai,Dong Nai,140000,t/yr glucose syrup (nameplate),1995,Cassava-based glucose/maltose syrup (incl. EU-organic grade): ready carbon source for fermentation,unknown,IND-04; IND-01,VN-direct,Medium,1995 nameplate; current capacity not published. Sells glucose syrup to third parties (product listed on website).
Vedan Vietnam starch and modified starch lines (Phuoc Thai),starch,Vedan Vietnam Enterprise Corp.,Taiwan,Dong Nai,Dong Nai,72000 native starch; 40000 modified starch,t/yr (nameplates),1994-2000,Native and modified tapioca starch; wet starch line 200 t/day (2004),unknown,IND-04,VN-direct,Medium,"Historic nameplates from company milestones; later starch lines (36,000 t/yr in 2000 and 2001) location not stated."
Vedan Phuoc Long tapioca starch plant,starch,Vedan Vietnam Enterprise Corp.,Taiwan,Dong Nai,Binh Phuoc (Phu Rieng),72000,"t/yr native starch (two lines, nameplate)",1998,"Cassava starch in cassava-growing zone; side streams (pulp, wastewater) at source",unknown,IND-04; IND-01; IND-05,VN-direct,Medium,"Company website now gives address as 'Phu Rieng Village, Dong Nai City'."
Ajinomoto Vietnam Bien Hoa plant,fermentation,"Ajinomoto Vietnam Co., Ltd. (Ajinomoto Co., Inc.)",Japan,Dong Nai,Dong Nai (Bien Hoa Industrial Park 1),150000,t/yr MSG,2023,Aerobic glutamate fermentation from cassava starch and cane molasses; new fermentation technology since 2020; broth co-products sold as liquid/solid feed ingredients and fertiliser,unknown,IND-08; IND-09; IND-10,VN-direct,Medium,"Capacity from EIA consultation reported in press (Dec 2023); MSG capacity unchanged in expansion. Feed-ingredient lines: liquid 30,000 to 50,000 m3/yr, solid 5,000 to 10,000 t/yr (proposed). Rice-husk biomass boiler ~100,000 t husk/yr. Permit 379/GPMT-BTNMT (9 Oct 2023)."
Ajinomoto Vietnam Long Thanh plant,other,"Ajinomoto Vietnam Co., Ltd.",Japan,Dong Nai,Dong Nai (Long Thanh Industrial Park),19000 (proposed 30000),t/yr liquid seasoning,2023,"Seasoning, bone broth (about 8 t bone and pork per day), seasoning cubes; food-grade blending and packing",unknown,IND-08; IND-09,VN-direct,Medium,Capacities from 2023 EIA consultation as reported in press.
Daesang Vietnam (Miwon) Viet Tri MSG plant,fermentation,"Daesang Vietnam Co., Ltd. (Daesang Corp.)",South Korea,Phu Tho,Phu Tho (Viet Tri),35000,"t/yr fermented seasoning (MSG), approximate",2020 (report),Glutamate and nucleotide fermentation from tapioca starch and molasses,unknown,IND-11; IND-12; IND-13; IND-14,VN-direct,Low,"Capacity only from a 2020 Korean press item that mislabels plant locations (Bac Giang, Thai Nguyen); Daesang Vietnam's own site says Viet Tri (1995) and Tay Ninh starch (2005). Daesang VN also lists L-lysine, arginine, histidine, DHA biomass and Chlorella feed products; whether made in Vietnam is not stated."
Daesang Vietnam Tay Ninh starch plant,starch,"Daesang Vietnam Co., Ltd.",South Korea,Tay Ninh,Tay Ninh,not published,,2005,Tapioca starch and maltose syrup,unknown,IND-11; IND-12,VN-direct,Medium,Capacity not found.
Daesang Vietnam Hai Duong food plant,other,"Daesang Vietnam Co., Ltd.",South Korea,Hai Phong,Hai Duong,14000,"t/yr ambient foods (sauces, tteokbokki, seaweed)",2020,"Food processing and packing; expanded by 7,500 m2 from July 2023",unknown,IND-13; IND-11,VN-direct,Low,Investment KRW 15 bn.
