record_id,funder_id,funder,type,scope,exclusions,geography,metric,status_2026,source_ids,evidence_label,confidence,demand_evidence_type,notes
F01,F01,Nova Vista Foundation (Protein Innovation RFP),market-shaping and policy philanthropy (climate),"Policy (public R&D funding, novel-food pathways, labelling defence); market shaping (public procurement of innovative protein products, advance market commitments, retailer and corporate protein-ratio commitments, blended finance, prizes); open data. Products: plant-based meat, fermentation-derived protein, cultivated meat; dairy and eggs",Direct R&D; culture change and consumer awareness; ultra-processed food policy; whole-food plant-based; shifts to smaller animals; regenerative agriculture; farm transitions; individual diet change; direct private investment,"Funds globally; priority Japan, South Korea, Germany, Nordics; Vietnam not named, not excluded","Outcomes in the world with a named decision-maker, a reason and a window; climate and food-security case","USD 10 million; USD 100,000 to 750,000 a year; phase 1 closed 15 Sep 2026; decisions Nov to Dec 2026",AFN-04; AFN-05,general,Medium,stated,From the funder's own pages as read by the wave 7 actor check or this line.
F02,F02,Coefficient Giving (Alternative Protein R&D RFP),R&D philanthropy (animal welfare),"Ingredient R&D: off-flavour reduction, fat alternatives, egg replacement, fish flavours (tilapia, milkfish, carp, catfish); applicants must show a credible pathway to industry uptake",None stated beyond topic list,Global; for-profits and international applicants eligible; movement building in emerging economies is a separate fund priority,Taste and price parity; industry uptake,"Up to USD 30 million, USD 0.1 to 5 million grants; closed 10 Aug and 15 Sep 2026; decisions by 31 Dec 2026",AFN-01; AFN-02; AFN-03,general,Medium,stated,From the funder's own pages as read by the wave 7 actor check or this line.
F03,F03,Good Food Institute (Research Grant Program),open-access research grants,"Open-access research on organoleptic quality, cost and scale-up; 2025 round on fermentation functionality and cell lines",None stated; no consumer research funded in 2025,Global (26 countries funded),Research outputs that lower cost or improve taste,Closed in 2026 with no reopening date,AFN-08; AFN-09,general,Medium,stated,From the funder's own pages as read by the wave 7 actor check or this line.
F04,F04,Bezos Centre for Sustainable Protein at NUS (Bezos Earth Fund),regional research centre and startup prize,"Microalgae and biomass fermentation, cultivated, plant and hybrid proteins; platforms for nutrition in Asian populations, safety and consumer acceptance; SGD 1 million prize per growth-stage startup at TRL 7 to 9",None stated,"East and Southeast Asia, run from Singapore; Vietnam not named",Taste and price parity; commercial viability,USD 30 million centre (2024); prize call January 2026,AFN-15; AFN-16; AFN-17,general,Medium,stated,From the funder's own pages as read by the wave 7 actor check or this line.
F05,F05,ACE Movement Grants (12th round),small grants for animal advocacy,"Policy, standards and certification; farmer and producer engagement; culturally grounded welfare messaging; talent; organisational health; research with defined end users. Priority animals: aquatic, insects, wild, farmed amphibians, reptiles and birds",Diet change and meat reduction programmes in any region; alternative proteins except policy; awareness without defined audiences; undirected research; projects that plausibly increase animals farmed,Worldwide; especially Africa and Asia,Not stated in the call,"Grants of USD 100,000 or less; organisations under 3 years old or budgets under USD 500,000; deadline 18 Oct 2026",FUF-01; FUF-02,general,Medium,stated,From the funder's own pages as read by the wave 7 actor check or this line.
F06,F06,ACE-recommended institutional programmes (Sinergia Animal; Good Food Fund),implementers funded through ACE recommendations,"Institutional meat reduction in schools, universities and companies; certification of institutions at least 60% plant-based (China)",n/a,"Argentina, Colombia, Indonesia, Thailand (Sinergia); China (Good Food Fund); not Vietnam","Meals replaced per USD (3.4 for Sinergia), animals spared per USD (0.5), suffering-adjusted days",Ongoing,AFN-25; AFN-26; AFN-27,general,Medium,stated,From the funder's own pages as read by the wave 7 actor check or this line.
F07,F07,Animal Alliance Asia ReRoot Asia Fund,regional regranter (diet change),"Projects that bring diet change, including institutional menu offerings, through local advocates",n/a,"2026: Taiwan, Philippines, Indonesia, Nepal, Pakistan, Japan; Vietnam not eligible",Diet change achieved,2026 round closed,AFN-29,general,Medium,stated,From the funder's own pages as read by the wave 7 actor check or this line.
F08,F08,Humane World for Animals (Viet Nam office; Forward Food),implementer with Vietnam staff,"In Viet Nam: cage-free hens, dog and cat meat, wildlife, disasters. Globally: Forward Food chef and nutritionist training and plant-based menu commitments; 2025 training included Viet Nam",n/a,Active in Viet Nam,"Meals shifted to plant-based (2.3 million a year committed in 2025, all countries)",Ongoing; not known as a grantmaker in Vietnam,AFN-22; AFN-23; AFN-24,general,Medium,stated,From the funder's own pages as read by the wave 7 actor check or this line.
F09,F09,Lever Foundation,corporate engagement NGO,"Corporate sourcing policies: cage-free and plant-based procurement ratios with hotels, foodservice and retailers",n/a,"Hong Kong, China, Malaysia, Singapore, Philippines, Korea, India, Thailand; Vietnam not named",Commitments secured; meals shifted (29 million claimed),July 2026 expansion to India and Thailand,AFN-38; AFN-39,general,Medium,stated,From the funder's own pages as read by the wave 7 actor check or this line.
F10,F10,Rockefeller Foundation school meals and the School Meals Coalition,school-meal philanthropy and coalition,Nutritious school meals; local and regenerative procurement; financing,n/a,"Global, Bangkok office; Vietnam not named and not a coalition member",Children reached; financing mobilised,USD 100 million pledge (March 2025),AFN-32; AFN-33; APR-38,general,Medium,stated,From the funder's own pages as read by the wave 7 actor check or this line.
F11,F11,ADB Ventures,development-finance venture investor,Early-stage companies in six sectors including sustainable agriculture and food; tickets USD 0.1 to 4 million,"Portfolio targets: 80% strong climate mitigation or adaptation impact, 75% strong female participation, 100% crowding in capital",Emerging Asia; Vietnam eligible,Climate impact per investment; gender; crowding in,Ongoing,AIS-22; CAP-45,general,Medium,stated,From the funder's own pages as read by the wave 7 actor check or this line.
F12,F12,IFC (World Bank Group),development finance for companies,Agribusiness value chains and jobs; climate finance; Entobel insect-feed precedent (USD 2.5 million),n/a,Vietnam office; active in Vietnamese agribusiness,"Commercial viability, jobs, climate co-benefits",Ongoing,AIS-20; CAP-41; CAP-42; ECO-03,general,Medium,stated,From the funder's own pages as read by the wave 7 actor check or this line.
