record_id,metric,value,query_or_oql,source_ids,evidence_label,confidence,notes
VRP-001,"VN core basket works, raw, 2015 to 2026-09-24",91,"works where institution country is (VN) and retracted is (false) and year >= (2015) and year <= (2026) and title/abstract has (stemmed ""algal protein"" or stemmed ""alternative protein"" or stemmed ""alternative proteins"" or stemmed ""cell-based meat"" or stemmed ""cultivated meat"" or stemmed ""cultured meat"" or stemmed ""fish meal replacement"" or stemmed ""fishmeal replacement"" or stemmed ""lab-grown meat"" or stemmed ""meat alternative"" or stemmed ""meat analog"" or stemmed ""meat analogue"" or stemmed ""meat substitute"" or stemmed ""microalgae protein"" or stemmed ""microalgal protein"" or stemmed ""microbial protein"" or stemmed ""molecular farming"" or stemmed ""mycelial protein"" or mycoprotein or stemmed ""novel protein"" or stemmed ""plant-based meat"" or stemmed ""precision fermentation"" or stemmed ""replace fish meal"" or stemmed ""replace fishmeal"" or stemmed ""replacing fish meal"" or stemmed ""replacing fishmeal"" or stemmed ""single cell protein"" or stemmed ""single-cell protein"" or stemmed ""spirulina protein"" or stemmed ""textured vegetable protein"") and type is (article or review)",HSC-01,VN-direct,Medium,"Raw OpenAlex count before screening. By year: 4, 6, 2, 1, 4, 9, 6, 8, 5, 10, 17, 19 (2015 to 2026)."
VRP-002,"VN core basket works, raw, 2015 to 2025",72,"works where institution country is (VN) and retracted is (false) and year >= (2015) and year <= (2025) and title/abstract has (stemmed ""algal protein"" or stemmed ""alternative protein"" or stemmed ""alternative proteins"" or stemmed ""cell-based meat"" or stemmed ""cultivated meat"" or stemmed ""cultured meat"" or stemmed ""fish meal replacement"" or stemmed ""fishmeal replacement"" or stemmed ""lab-grown meat"" or stemmed ""meat alternative"" or stemmed ""meat analog"" or stemmed ""meat analogue"" or stemmed ""meat substitute"" or stemmed ""microalgae protein"" or stemmed ""microalgal protein"" or stemmed ""microbial protein"" or stemmed ""molecular farming"" or stemmed ""mycelial protein"" or mycoprotein or stemmed ""novel protein"" or stemmed ""plant-based meat"" or stemmed ""precision fermentation"" or stemmed ""replace fish meal"" or stemmed ""replace fishmeal"" or stemmed ""replacing fish meal"" or stemmed ""replacing fishmeal"" or stemmed ""single cell protein"" or stemmed ""single-cell protein"" or stemmed ""spirulina protein"" or stemmed ""textured vegetable protein"") and type is (article or review)",HSC-01,VN-direct,Medium,Used for country comparison (same window as other countries).
VRP-003,"VN core basket works after manual screen (genuine VN author, on-topic supply side)",40 of 91 (44%),"works where institution country is (VN) and retracted is (false) and year >= (2015) and year <= (2026) and title/abstract has (stemmed ""algal protein"" or stemmed ""alternative protein"" or stemmed ""alternative proteins"" or stemmed ""cell-based meat"" or stemmed ""cultivated meat"" or stemmed ""cultured meat"" or stemmed ""fish meal replacement"" or stemmed ""fishmeal replacement"" or stemmed ""lab-grown meat"" or stemmed ""meat alternative"" or stemmed ""meat analog"" or stemmed ""meat analogue"" or stemmed ""meat substitute"" or stemmed ""microalgae protein"" or stemmed ""microalgal protein"" or stemmed ""microbial protein"" or stemmed ""molecular farming"" or stemmed ""mycelial protein"" or mycoprotein or stemmed ""novel protein"" or stemmed ""plant-based meat"" or stemmed ""precision fermentation"" or stemmed ""replace fish meal"" or stemmed ""replace fishmeal"" or stemmed ""replacing fish meal"" or stemmed ""replacing fishmeal"" or stemmed ""single cell protein"" or stemmed ""single-cell protein"" or stemmed ""spirulina protein"" or stemmed ""textured vegetable protein"") and type is (article or review)",HSC-01,VN-direct,Medium,HSC screened titles and first five authors on 2026-09-24. Other categories: consumer or legal studies 4; insect studies 5 (benchmark only); doubtful VN link 4; off-topic or foreign-only false VN tag 38.
VRP-004,Screened VN core works by period,2015-2019: 7; 2020-2022: 9; 2023-2025: 13; 2026 to Sep: 11,"works where institution country is (VN) and retracted is (false) and year >= (2015) and year <= (2026) and title/abstract has (stemmed ""algal protein"" or stemmed ""alternative protein"" or stemmed ""alternative proteins"" or stemmed ""cell-based meat"" or stemmed ""cultivated meat"" or stemmed ""cultured meat"" or stemmed ""fish meal replacement"" or stemmed ""fishmeal replacement"" or stemmed ""lab-grown meat"" or stemmed ""meat alternative"" or stemmed ""meat analog"" or stemmed ""meat analogue"" or stemmed ""meat substitute"" or stemmed ""microalgae protein"" or stemmed ""microalgal protein"" or stemmed ""microbial protein"" or stemmed ""molecular farming"" or stemmed ""mycelial protein"" or mycoprotein or stemmed ""novel protein"" or stemmed ""plant-based meat"" or stemmed ""precision fermentation"" or stemmed ""replace fish meal"" or stemmed ""replace fishmeal"" or stemmed ""replacing fish meal"" or stemmed ""replacing fishmeal"" or stemmed ""single cell protein"" or stemmed ""single-cell protein"" or stemmed ""spirulina protein"" or stemmed ""textured vegetable protein"") and type is (article or review)",HSC-01,VN-direct,Medium,"Year detail of screened set: 2015 3, 2016 3, 2017 0, 2018 0, 2019 1, 2020 4, 2021 2, 2022 3, 2023 3, 2024 3, 2025 7, 2026 11. 18 of 40 screened works appeared in 2025 to Sep 2026."
VRP-005,False VN tags in raw core set (foreign-only author lists),11 of 91 (12%),"works where institution country is (VN) and retracted is (false) and year >= (2015) and year <= (2026) and title/abstract has (stemmed ""algal protein"" or stemmed ""alternative protein"" or stemmed ""alternative proteins"" or stemmed ""cell-based meat"" or stemmed ""cultivated meat"" or stemmed ""cultured meat"" or stemmed ""fish meal replacement"" or stemmed ""fishmeal replacement"" or stemmed ""lab-grown meat"" or stemmed ""meat alternative"" or stemmed ""meat analog"" or stemmed ""meat analogue"" or stemmed ""meat substitute"" or stemmed ""microalgae protein"" or stemmed ""microalgal protein"" or stemmed ""microbial protein"" or stemmed ""molecular farming"" or stemmed ""mycelial protein"" or mycoprotein or stemmed ""novel protein"" or stemmed ""plant-based meat"" or stemmed ""precision fermentation"" or stemmed ""replace fish meal"" or stemmed ""replace fishmeal"" or stemmed ""replacing fish meal"" or stemmed ""replacing fishmeal"" or stemmed ""single cell protein"" or stemmed ""single-cell protein"" or stemmed ""spirulina protein"" or stemmed ""textured vegetable protein"") and type is (article or review)",HSC-01,general,Medium,"Mostly caused by two mis-mapped OpenAlex institution IDs: I4210134375 (Research Institute for Aquaculture No1) absorbs Indian authors; I4210119377 (Department of Animal Health) absorbs Danish, Brazilian and other animal-health departments. Also one Taiwan-only extrusion paper (10.1093/ijfood/vvae080) tagged VN."
VRP-006,Share of raw core works with international co-authors,61.5% (56 of 91),"works where institution country is (VN) and retracted is (false) and year >= (2015) and year <= (2026) and title/abstract has (stemmed ""algal protein"" or stemmed ""alternative protein"" or stemmed ""alternative proteins"" or stemmed ""cell-based meat"" or stemmed ""cultivated meat"" or stemmed ""cultured meat"" or stemmed ""fish meal replacement"" or stemmed ""fishmeal replacement"" or stemmed ""lab-grown meat"" or stemmed ""meat alternative"" or stemmed ""meat analog"" or stemmed ""meat analogue"" or stemmed ""meat substitute"" or stemmed ""microalgae protein"" or stemmed ""microalgal protein"" or stemmed ""microbial protein"" or stemmed ""molecular farming"" or stemmed ""mycelial protein"" or mycoprotein or stemmed ""novel protein"" or stemmed ""plant-based meat"" or stemmed ""precision fermentation"" or stemmed ""replace fish meal"" or stemmed ""replace fishmeal"" or stemmed ""replacing fish meal"" or stemmed ""replacing fishmeal"" or stemmed ""single cell protein"" or stemmed ""single-cell protein"" or stemmed ""spirulina protein"" or stemmed ""textured vegetable protein"") and type is (article or review) and countries count > (1)",HSC-01,VN-direct,Low,"Inflated by false tags. By year: 4, 5, 1, 1, 3, 7, 6, 5, 4, 5, 11, 4 (2015 to 2026)."
VRP-007,"Share of screened works with international co-authors, 2015 to 2024",about 60% (about 13 of 22),"works where institution country is (VN) and retracted is (false) and year >= (2015) and year <= (2026) and title/abstract has (stemmed ""algal protein"" or stemmed ""alternative protein"" or stemmed ""alternative proteins"" or stemmed ""cell-based meat"" or stemmed ""cultivated meat"" or stemmed ""cultured meat"" or stemmed ""fish meal replacement"" or stemmed ""fishmeal replacement"" or stemmed ""lab-grown meat"" or stemmed ""meat alternative"" or stemmed ""meat analog"" or stemmed ""meat analogue"" or stemmed ""meat substitute"" or stemmed ""microalgae protein"" or stemmed ""microalgal protein"" or stemmed ""microbial protein"" or stemmed ""molecular farming"" or stemmed ""mycelial protein"" or mycoprotein or stemmed ""novel protein"" or stemmed ""plant-based meat"" or stemmed ""precision fermentation"" or stemmed ""replace fish meal"" or stemmed ""replace fishmeal"" or stemmed ""replacing fish meal"" or stemmed ""replacing fishmeal"" or stemmed ""single cell protein"" or stemmed ""single-cell protein"" or stemmed ""spirulina protein"" or stemmed ""textured vegetable protein"") and type is (article or review)",HSC-01,VN-direct,Low,"Manual count from author lists. Mostly Australian aquafeed networks (Curtin, Sunshine Coast, Murdoch, Deakin)."
VRP-008,"Share of screened works with international co-authors, 2025 to Sep 2026",about 28% (5 of 18),"works where institution country is (VN) and retracted is (false) and year >= (2015) and year <= (2026) and title/abstract has (stemmed ""algal protein"" or stemmed ""alternative protein"" or stemmed ""alternative proteins"" or stemmed ""cell-based meat"" or stemmed ""cultivated meat"" or stemmed ""cultured meat"" or stemmed ""fish meal replacement"" or stemmed ""fishmeal replacement"" or stemmed ""lab-grown meat"" or stemmed ""meat alternative"" or stemmed ""meat analog"" or stemmed ""meat analogue"" or stemmed ""meat substitute"" or stemmed ""microalgae protein"" or stemmed ""microalgal protein"" or stemmed ""microbial protein"" or stemmed ""molecular farming"" or stemmed ""mycelial protein"" or mycoprotein or stemmed ""novel protein"" or stemmed ""plant-based meat"" or stemmed ""precision fermentation"" or stemmed ""replace fish meal"" or stemmed ""replace fishmeal"" or stemmed ""replacing fish meal"" or stemmed ""replacing fishmeal"" or stemmed ""single cell protein"" or stemmed ""single-cell protein"" or stemmed ""spirulina protein"" or stemmed ""textured vegetable protein"") and type is (article or review)",HSC-01,VN-direct,Low,"New wave is mostly domestic: IUH, HUIT, HCMUTE, Phenikaa, Lac Hong, Duy Tan, VAST, CTU with RIA1."
VRP-009,"VN overall international co-authorship share, all fields, 2015 to 2025","50.4% (88,839 of 176,303)",works where institution country is (VN) and retracted is (false) and year >= (2015) and year <= (2025) and type is (article or review),HSC-01,VN-direct,High,Benchmark for the topic shares. Company co-author share 3.6%.
VRP-010,"VN adjacent set works, raw, 2015 to 2026-09-24",301,"CORE terms plus OR ""spirulina"" OR ""Arthrospira"" OR ""Pichia pastoris"" OR ""Komagataella"" OR ""duckweed"" OR ""Lemna"" OR ""Wolffia"" OR ""protein isolate"" OR ""protein concentrate"" OR ""yeast protein"" OR ""Aspergillus oryzae""; country VN; 2015 to 2026-09-24; article or review; title and abstract; retracted excluded",HSC-01,VN-direct,Medium,"By year: 12, 12, 13, 13, 18, 31, 32, 41, 20, 30, 42, 37. International share 52.2%; company co-author 3.0%; top-10% cited share 17.9% (random set about 10%)."
