species,novel_ingredient,max_replacement_without_loss,basis,country,doi,source_ids,evidence_label,confidence,notes
Whiteleg shrimp (L. vannamei),low-fishmeal formulation (plant proteins plus amino acids/phytase),"fishmeal 25% -> 10% of diet (60% of fishmeal removed)",8-week tank trial; growth not affected (but feed efficiency and survival higher in the 25% FM control),not stated (likely China),10.1111/anu.12657,FM-08,general,Medium,"Protein replacement. Note: authors flag lower antioxidant status on low-FM diets."
Whiteleg shrimp (L. vannamei),yellow mealworm meal (Tenebrio molitor),50% of fishmeal (best growth and FCR at 50%),tank trial; also 76.9% lower mortality after challenge at 50%,not stated (company product),10.3390/ani9050258,FM-26,general,Medium,"Mixes protein replacement with a FUNCTIONAL effect (disease survival). Company-linked product (Ynsect)."
Whiteleg shrimp (L. vannamei),black soldier fly larvae meal,tested 10 to 30% of fishmeal protein (control 25% FM),tank trial; abstract reports lipid metabolism effects not growth limit,not stated (likely China),10.1017/s0007114521004670,FM-27,general,Low,No growth-limit stated in abstract; do not quote as a threshold.
Whiteleg shrimp (L. vannamei),fresh BSF larvae replacing commercial feed (wet weight),25% of commercial feed; >=75% significantly worse,45-day trial,not stated (likely China),10.1155/2022/9130400,FM-28,general,Medium,Replaces whole feed not fishmeal; relevant to farm-made feeding only.
Whiteleg shrimp (L. vannamei),insect protein hydrolysate (BSF),"1 to 2% of diet as palatability enhancer",palatability test,not stated,10.3390/molecules26061582,FM-45,general,Medium,FUNCTIONAL (attractant) use. Not protein replacement.
Whiteleg shrimp (L. vannamei),Clostridium autoethanogenum protein (CAP),not established as a threshold; improved growth and pathogen-challenge survival vs control at 15 to 45 ppt salinity,tank trial,not stated (likely China),10.3389/fimmu.2022.1034994,FM-20,general,Medium,"Mainly a FUNCTIONAL/immunity result. Replacement level not stated in abstract."
Whiteleg shrimp (L. vannamei),soy protein concentrate,"33, 66 and 100% of fishmeal tested; no difference in taste of shrimp",sensory evaluation only,Brazil (journal),10.21708/avb.2023.17.1.11410,FM-29,general,Low,Does not report growth. Shows product-quality acceptance only.
Striped catfish (pangasius),black soldier fly larvae meal,"60% of fishmeal (174 g/kg diet); 100% (292 g/kg) cut growth",juvenile tank trial,not stated,10.1111/are.15739,FM-22,general,Medium,Protein replacement.
Striped catfish (pangasius),corn gluten meal,about 25% of fishmeal protein (optimum by quadratic regression),12-week recirculating trial,not stated (likely Vietnam or Thailand),10.1111/j.1365-2095.2012.00953.x,FM-39,general,Medium,Plant-protein benchmark; the fishmeal-based control is far above commercial practice.
Striped catfish (pangasius),beta-glucan (yeast-derived) additive,n/a (additive),12-week winter trial; survival 95.0% vs 78.3% control,Pakistan (implied),10.1111/jwas.13010,FM-31,general,Medium,"FUNCTIONAL effect only (cold stress survival). Not protein replacement."
Snakehead (Channa striata),two-spotted cricket meal,100% of fishmeal protein without growth loss (ANPU improved),10-week trial,not stated,10.3390/life13020594,FM-23,general,Medium,Protein replacement; insect benchmark.
Snakehead (Channa striata),cricket meal,CM at 45% of diet performed as well as fishmeal control,trial,not stated (Indonesia or Vietnam; not verified),10.1088/1755-1315/1118/1/012020,FM-24,general,Low,Conference paper.
"Fish (meta-analysis, several species)",black soldier fly meal,<30% of fishmeal generally without growth loss,meta-analysis,global,10.3920/jiff2021.0159,FM-25,general,Medium,Species-specific; >30% often reduced performance.
Largemouth bass,CAP,67.1 to 68.0% of fishmeal (broken-line on growth and FCR); 100% reduced growth,12-week trial; basal diet 70% fishmeal,China,10.3390/metabo12111088,FM-21,general,Medium,Carnivore benchmark; high-FM diet makes percentages look large.
Large yellow croaker,CAP,15% of fishmeal; 30 to 45% reduced growth,8-week trial,China,10.3390/fishes7050228,FM-18,general,Medium,
Black sea bream,FeedKind (M. capsulatus),up to 24.8% of fishmeal protein with no loss; 8.27% improved growth,70-day trial; basal 40% FM,China,10.3389/fmars.2021.778301,FM-17,general,Medium,FeedKind protein 75.14%.
Largemouth bass,FeedKind,"FK 3 to 6% of diet (FM 42% -> 26 to 29%) equal to control; 9% worse",10-week trial,China,10.3390/antiox11081479,FM-16,general,Medium,Also higher survival and antioxidant markers (FUNCTIONAL).
Barramundi fry,methanotroph SCP (M. capsulatus),"0% (25% and 50% replacement both harmful: enteritis, lower survival)",21-day fry trial,Australia (implied),10.1111/jfd.13985,FM-19,general,Medium,Negative result; warns against extrapolating SCP results to early life stages.
Rainbow trout (reference for fermented SBM),fermented soybean meal,40% of fishmeal (250 g/kg FM control); 60% reduced growth,trial,China,10.1111/anu.12965,FM-30,general,Medium,Incumbent-substitute benchmark; not a Vietnamese species.
Tilapia,SCP / yeast / CAP,not found in this wave,n/a,n/a,n/a,,general,Low,"GAP: no tilapia SCP threshold retrieved; CAP study in 10.1111/are.15454 replaced soybean meal (5 to 20%), species not confirmed from abstract."
