record_id,product_archetype,rank,channel,why,price_or_spec_to_meet,main_barrier,evidence_strength,source_ids,evidence_label,confidence,demand_evidence_type,notes
CRK-001,a_textured_plant_protein_ingredient,1,Do chay and processed-meat manufacturers (B2B),"All local products with 10 g or more protein already use imported textured soy, soy protein or gluten",Near Chinese landed textured protein (USD 1.29 to 1.38 per kg in 2025; 0% duty from China under ACFTA and RCEP); consistent specification; traceable,Switching cost from cheap Chinese supply; no tariff shelter; the delivered price of food-grade defatted soy flour,M,FORM-01; TIC-12; FTR-32,VN-direct,Medium,revealed,Supply-side fact from the supply study. Version 0.4: price corrected from about USD 1.6 per kg before freight and duty.
CRK-002,a_textured_plant_protein_ingredient,2,"Contract caterers for factory canteens, reached through makers of dry chay pieces and HoReCa distributors (Kamereo, MM Mega Market)","Up to about 1.2 billion meals a year; protein budget VND 7,500 to 14,000 per meal","Beat domestic dry soy-gluten pieces (VND 135,000 per kg, about VND 20,000 to 25,000 per 100 g of protein) and tofu (about VND 36,000 to 48,000 per 100 g of protein) on cost per gram of protein or on function, inside the VND 7,500 to 14,000 dish budget; bulk-cook tolerant",Commissions to purchasing staff; post-2026 traceability demands,L,CHN-37; CHN-39; CHN-41; CPC-12; CPC-13; UPL-27; UPL-32; UPL-34,VN-direct,Low,inferred,"No caterer interviewed. Version 0.4: caterers' published menus (five caterers, 172 protein dishes, 2023 to 2025) lead with pork 33%, fish 26%, chicken 13%, egg 10%, tofu 9% (plant-only 3%) and beef 6%; minced or processed meat is 17% of protein dishes; none names textured soy or mock meat; price tiers run from VND 17,000 to 50,000; the Hai Phong 2026 average is about VND 27,000 (west) to 31,000 (east)."
CRK-003,a_textured_plant_protein_ingredient,3,Traditional distribution of dry chay ingredients to wet-market stalls and street food,"Only no-cold-chain route into 650,000 traditional outlets and 152,000 street stalls","Dry, shelf-stable, small packs",No data on volumes; price competition,VL,CHN-02; CHN-03,VN-direct,Low,inferred,
CRK-004,b_higher_protein_chay_product,1,"Incumbent chay brands in modern frozen chay sections (Bach Hoa Xanh, WinCommerce, Co.op, Lotte, GO!)","Frozen chay already shelved; two chains reach about 8,750 stores",At or below meat equivalent price; 10 g or more protein per 100 g,Listing fees and margins unknown,M,FORM-01; CHN-12; CHN-15,VN-direct,Medium,revealed,Version 0.4: joint first route with retailer private label (CRK-015).
CRK-005,b_higher_protein_chay_product,2,"Lunar-calendar foodservice (QSR limited-time items, chay restaurants, canteen chay days)","KFC 2018 timed to lunar July; Lotteria 2025 at VND 39,000","Price parity with core items (VND 39,000 at QSR)",No disclosed outcomes; limited-time pattern,L,CHN-22; CHN-24,VN-direct,Low,revealed,
CRK-006,b_higher_protein_chay_product,3,"Convenience ready meals (7-Eleven, GS25, Circle K, FamilyMart)",Chains growing 14% to 35%; SG Food already supplies 7-Eleven fresh food,Ready-to-eat formats at convenience prices,"Small store base (about 1,300 chain stores, our calculation)",L,CHN-07; FORM-01,VN-direct,Low,inferred,
CRK-007,c_premium_modern_analogue,1,Premium HoReCa and cafe chains in Ho Chi Minh City and Hanoi,"Only channel where imported analogues have appeared (2019, 2023)",Chef-grade performance in named dishes,"Trials ended; imported cost VND 542,000 to 622,000 per 100 g protein",L,CHN-03; ECO-16; ECO-20; AIS-25; CPC-12,VN-direct,Low,revealed,"Version 0.4: not first either: B2B foodservice distribution. CP Meat Zero, imported from Thailand, was listed on Kamereo at VND 175,000 to 378,000 per kg against CP minced pork at VND 114,450, showed 386 units sold across 8 SKUs and was not orderable on 25 September 2026."
CRK-008,c_premium_modern_analogue,2,"Premium import-led retail (AEON, Lotte, Annam, Tops) and e-commerce",Under 150 foreign-owned hyper and supermarkets; e-commerce about 1% of food retail,Premium price acceptable,Small base; cold chain for delivery,L,CHN-01; CHN-06,VN-direct,Low,inferred,
CRK-009,c_premium_modern_analogue,3,"Four and five star hotels in tourist cities, Nha Trang included","70,500 rooms in Khanh Hoa, over 40% four and five star",Buffet and menu formats,"Visitor mix Korea, China, Russia; small volume",VL,CHN-47; CHN-48; AFN-40; AFN-41,VN-direct,Low,inferred,"Showcase, not volume. Version 0.4: Accor is the one hotel group whose published target binds its Vietnamese hotels: 50% vegetarian or plant-based dishes by 2030 (Novotel 25% by 2026), 43 hotels in October 2024; the metric counts dishes and can be met with vegetables and tofu."
CRK-010,d_hybrid_meat_and_plant,1,Integrated meat-and-retail groups (Masan MEATDeli in WinCommerce; C.P. Vietnam shops; Vissan),"Own brand trust, cold chain and stores","Cheaper per serving than all-meat, same taste, honest label",Incumbent interest unknown,L,CHN-15; CHN-17,VN-direct,Low,inferred,
CRK-011,d_hybrid_meat_and_plant,2,Factory canteens,"Meal floors rising to VND 20,000 to 35,000 squeeze protein cost",Lower cost per protein portion,Trust and commissions,L,CHN-39; CHN-41,VN-direct,Low,inferred,
CRK-012,d_hybrid_meat_and_plant,3,"QSR and convenience formats (nuggets, sausages, meatballs)",Central buying; national listing,"VND 39,000 price point",No outcomes from meat-free trials,VL,CHN-06; CHN-24,VN-direct,Low,inferred,
CRK-013,e_cultivated_or_fermentation_derived,1,B2B functional ingredient into hybrid products via large manufacturers,Smallest regulatory exposure per unit sold,Function per VND,No novel-food route; precision-fermented proteins probably treated as GMO,VL,supply study,VN-direct,Low,inferred,Later horizon
CRK-014,e_cultivated_or_fermentation_derived,2,Premium HoReCa showcase in Ho Chi Minh City and Hanoi,Michelin Guide Vietnam in third year; chefs seek novelty,Showcase dishes,Regulation first,VL,CHN-03,VN-direct,Low,inferred,Later horizon
