question,why_it_matters,cheapest_way_to_close,owner_org_to_ask,priority
"Do Vietnamese consumers accept a sausage, giò lụa or dumpling filling in which 20 to 30 percent of the meat is replaced by a fungal or fermented protein, at the same price and protein level, in a blind test?",This is the most likely entry route and no Vietnamese tasting data exist. A single central-location test would move the evidence from stated to tested.,Blind central-location test with 100 to 150 consumers in Hanoi and Ho Chi Minh City using existing processor recipes; a university sensory lab can run it for a few thousand USD.,HUST School of Biotechnology and Food Technology (authors of RD-32 and NOV-02); Nha Trang University; a processor such as Vissan or CJ Foods Vietnam,High
"Which Vietnamese name for cultivated meat is least damaging: thịt nuôi cấy, thịt tế bào, thịt nhân tạo, or a benefit phrase?","Press uses thịt nhân tạo (artificial) for both plant-based and cell-based products, and 'fake food' scandals are live. Names change acceptance in other markets.",Add a randomised name-and-frame module to any planned online survey (n about 1000); cost is low if added to an existing omnibus.,"Q&Me, Decision Lab or Cimigo omnibus; SMU team behind NOV-32 for method",High
"What share of each country's sample, including Vietnam, fell into each segment in Lin et al. 2026, and what exact adoption-readiness items were used?",It is the only multi-country Asian study with Vietnamese cultivated meat data; we could read only the abstract.,Email the corresponding author for the country table.,"Bioeconomy Science Institute, New Zealand (Mao-Tang Lin)",High
"What are the Vietnam-only (Ho Chi Minh City) results of GFI APAC's Decoding Demand survey, including sample size and the blended-meat question wording?",The 93 percent blended figure is regional and stated; the Vietnam breakout and exact wording decide how much weight it can carry.,"Download the gated report with a registration, or ask GFI APAC for the Vietnam slide.",GFI APAC,High
Will precision-fermented proteins that contain no DNA have to carry a GMO (biến đổi gen) label on consumer products under Decree 43/2026 and the new Food Safety Law?,A GMO label is a strong negative in Vietnam (84 percent premium for non-GM soymilk; non-GMO claims by VitaDairy and Vinasoy). The answer decides whether PF can go direct to consumers or only B2B.,Written query to the regulator; review the draft Food Safety Law text when tabled in October to November 2026.,Vietnam Food Administration (Ministry of Health); Ministry of Agriculture and Environment,High
"How much lactoferrin (and whey protein isolate) do Vietnamese formula and nutrition makers import each year, at what price, and would they accept a precision-fermented source?","Lactoferrin is the clearest premium PF ingredient and VitaDairy, Nutifood and Morinaga already market it in Vietnam; volume and price set the addressable B2B market.",Customs data query by HS code plus two procurement interviews.,"VitaDairy, Nutifood, Vinamilk procurement; Vietnam Dairy Association; Vietnam customs data",High
"What is the soy protein and other functional protein inclusion rate in Vietnamese processed meats, and what price per kg do processors pay for these proteins?",It defines the existing B2B slot that fungal or fermented proteins could take and the price to beat.,Two to three interviews with processor R&D managers; ingredient distributor price lists.,"Vissan, CJ Foods Vietnam, SG Food, Cholimex; ingredient distributors",High
"Is GOOD Meat 3 still on sale at Huber's Butchery, and what volumes and repeat purchases did it achieve?",It is the only retail cultivated product in Asia; its fate is the best revealed test of consumer pull.,Email Huber's Butchery and Eat Just; check shelf in person in Singapore.,Huber's Butchery; Eat Just,Medium
"How many of Vow's Singapore restaurant partners kept Forged on the menu after launch, and what were repeat orders?",Dish counts are company claims without retention data; retention is the demand signal that matters.,Ask Vow; call a sample of listed Singapore restaurants.,Vow; Singapore restaurant partners,Medium
What happened to Vinh Hoan's stakes in Avant Meats and Shiok Meats and to Minh Phu's R&D MOU with Shiok Meats?,They are the only Vietnamese corporate demand signals for cultivated seafood; their status shows whether incumbents still see value.,Check Vinh Hoan annual reports and investor presentations; email investor relations.,Vinh Hoan Corporation; Minh Phu Seafood; Umami Bioworks,Medium
Would the Vietnam Buddhist Sangha or leading chay restaurants regard cultivated meat or precision-fermented dairy as chay?,Chay consumers are the largest group already buying meat substitutes; a negative view would close that segment for cultivated products.,Interview two or three senior monastics and chay restaurant owners; review Sangha publications.,Vietnam Buddhist Sangha; Au Lac and other chay brands,Medium
"Does the word lên men (fermented) on a protein product raise acceptance compared with vi sinh (microbial), nấm men (yeast) or công nghệ sinh học (biotechnology)?",Fermentation looks like a positive frame in Vietnamese media and marketing but has not been tested on protein labels.,Add a four-arm label test to the naming survey above.,Same survey provider as the naming test,Medium
"What is Vietnam's actual edible mushroom output: about 250,000 t or about 25,000 t per year?",The two figures differ tenfold; the size of the mushroom habit and of substrate supply depend on it.,Ask the Ministry of Agriculture and Environment crop department; check FAOSTAT for Vietnam.,Ministry of Agriculture and Environment; FAO,Low
"What volume of processed meats (xúc xích, giò chả, chả lụa, nuggets) does Vietnam produce and eat per year?",Needed to size the blend route; we found no figure.,Statistics office industrial output tables; processor annual reports.,National Statistics Office; Vissan and Masan MEATLife annual reports,High
Would Malaysian or Indonesian buyers accept a halal-certified blended or fermented protein made in Vietnam?,Export demand for halal proteins could matter more than domestic demand for some products.,Two importer interviews; check JAKIM and BPJPH rules for foreign-made novel proteins.,JAKIM; BPJPH Indonesia; Vietnam halal certifiers,Low
