source_id,citation,title,author_or_publisher,date,url,doi,source_type,accessed,notes
APR-01,Prime Minister of Viet Nam. Quyet dinh 02/QD-TTg phe duyet Chien luoc quoc gia ve dinh duong giai doan 2021-2030 va tam nhin den nam 2045. 5 Jan 2022. Full text read via LuatVietnam.,"Quyết định 02/QĐ-TTg: Chiến lược quốc gia về dinh dưỡng giai đoạn 2021-2030, tầm nhìn 2045",Prime Minister of Viet Nam,2022-01-05,https://luatvietnam.vn/y-te/quyet-dinh-02-qd-ttg-thu-tuong-chinh-phu-215313-d1.html,,gov/statistics,2026-09-25,"Full operative text read and word-searched: no occurrence of dam, protein, thit, thuc vat, dong vat or dau. School-meal menu target 60% urban and 40% rural by 2025, 90% and 80% by 2030. Duties: MOLISA workers' nutrition incl. industrial parks; MOIT markets for fortified and healthy foods; MARD integrate nutrition into food systems policy; MOST fund S&T on nutrition and food."
APR-02,"Prime Minister of Viet Nam. Quyet dinh 300/QD-TTg phe duyet Ke hoach hanh dong quoc gia chuyen doi he thong luong thuc thuc pham minh bach, trach nhiem va ben vung o Viet Nam den nam 2030. 28 Mar 2023.",Quyết định 300/QĐ-TTg: Kế hoạch hành động quốc gia chuyển đổi hệ thống lương thực thực phẩm đến 2030,Prime Minister of Viet Nam,2023-03-28,https://thuvienphapluat.vn/van-ban/The-thao-Y-te/Quyet-dinh-300-QD-TTg-2023-chuyen-doi-he-thong-luong-thuc-thuc-pham-minh-bach-560858.aspx,,gov/statistics,2026-09-25,"Read through the fetch tool (direct download blocked): targets, section III.5 sub-points a to e and appendix tasks 5.1 to 5.6 quoted verbatim. Task 5(a): food balance sheets at national, regional and provincial level (MARD lead, 2023 to 2030). Task 5(d): healthy, balanced, environmentally responsible eating (MOH lead). No protein, meat or plant-protein target found in the parts read."
APR-03,"Bao Chinh phu. Hanh dong chuyen doi he thong luong thuc thuc pham minh bach, trach nhiem va ben vung. 28 Mar 2023.","Hành động chuyển đổi hệ thống lương thực thực phẩm minh bạch, trách nhiệm và bền vững",Bao Chinh phu (Government newspaper),2023-03-28,https://baochinhphu.vn/hanh-dong-chuyen-doi-he-thong-luong-thuc-thuc-pham-minh-bach-trach-nhiem-va-ben-vung-102230328154048079.htm,,gov/statistics,2026-09-25,"Official summary of Decision 300: objectives, 2030 targets (stunting below 15%, food exports over USD 30 billion, GHG 10% below 2020), five task groups incl. sustainable consumption; nutrition-sensitive agriculture in ethnic minority and mountain areas."
APR-04,Ministry of Health (Bo Y te). Quyet dinh 3958/QD-BYT ban hanh Huong dan dinh duong doi voi bua an hoc duong. 25 Dec 2025 (PDF posted on the NIN website 26 May 2026).,Quyết định 3958/QĐ-BYT: Hướng dẫn dinh dưỡng đối với bữa ăn học đường,Ministry of Health; signed by Vice Minister Nguyen Thi Lien Huong,2025-12-25,https://viendinhduong.vn/storage/app/uploads/public/2026/05/26/q_3958qbyt_huong_dan_dinh_duong_bua_an_hoc_uong.pdf,,gov/statistics,2026-09-25,"Primary PDF read in full (15 pages). Protein 13 to 20% of energy; lunch 30 to 40% of daily energy; animal protein at least 4 to 5 days a week alternating with plant protein (legumes, tofu) at least twice a week; limit processed meats and sausages; prefer local and fortified foods; menus not repeated within 2 weeks; menu software to be updated. Energy needs cite the 2016 RNI. No animal share of protein target."
APR-05,"Politburo (Bo Chinh tri). Nghi quyet 72-NQ/TW ve mot so giai phap dot pha, tang cuong bao ve, cham soc va nang cao suc khoe nhan dan. 9 Sep 2025. Full text on the Government portal.","Nghị quyết 72-NQ/TW: giải pháp đột phá bảo vệ, chăm sóc và nâng cao sức khỏe nhân dân",Politburo of the Communist Party of Viet Nam,2025-09-09,https://xaydungchinhsach.chinhphu.vn/nghi-quyet-72-nq-tw-cua-bo-chinh-tri-ve-mot-so-giai-phap-dot-pha-tang-cuong-bao-ve-cham-soc-va-nang-cao-suc-khoe-nhan-dan-119250912060746502.htm,,gov/statistics,2026-09-25,"Full text read and word-searched: nutrition over the life course, balanced diets and meal quality 'suited to Vietnamese physique, culture and economic conditions'; calls for Laws on Disease Prevention and Food Safety. No protein, meat or plant term. Confirms date 9 Sep 2025."
APR-06,Politburo. Nghi quyet 71-NQ/TW ve dot pha phat trien giao duc va dao tao. 22 Aug 2025. Full text on the Government portal.,Nghị quyết 71-NQ/TW về đột phá phát triển giáo dục và đào tạo,Politburo of the Communist Party of Viet Nam,2025-08-22,https://xaydungchinhsach.chinhphu.vn/toan-van-nghi-quyet-so-71-nq-tw-cua-bo-chinh-tri-ve-dot-pha-phat-trien-giao-duc-va-dao-tao-119250828110759964.htm,,gov/statistics,2026-09-25,Requires legal rules 'de nang cao dinh duong hoc duong va the chat nguoi Viet Nam' (to improve school nutrition and physique). No protein terms.
APR-07,"Dan Tri. Chu tich Quoc hoi: Sua luat, thuc pham den tay nguoi dan co an toan khong? 24 Sep 2026.","Chủ tịch Quốc hội: Sửa luật, thực phẩm đến tay người dân có an toàn không?",Dan Tri,2026-09-24,https://dantri.com.vn/thoi-su/chu-tich-quoc-hoi-sua-luat-thuc-pham-den-tay-nguoi-dan-co-an-toan-khong-20260924191904561.htm,,press,2026-09-25,NA Standing Committee session 24 Sep 2026: draft Food Safety Law (amended) has 76 articles in 9 chapters; first comments at the 2nd session (October 2026) and consideration for passage at the 3rd session (May 2027).
APR-08,VnExpress. Giao do an truc tuyen se phai dap ung dieu kien an toan. 24 Sep 2026.,Giao đồ ăn trực tuyến sẽ phải đáp ứng điều kiện an toàn,VnExpress,2026-09-24,https://vnexpress.net/giao-do-an-truc-tuyen-se-phai-dap-ung-dieu-kien-an-toan-5124387.html,,press,2026-09-25,"Draft Food Safety Law: risk-based classification, traceability for high-risk foods, duties for non-commercial collective meal providers, online food delivery conditions, single lead agency. No mention of new foods in the article."
APR-09,"Bao Chinh phu. Ho tro bua an trua cho hoc sinh tieu hoc, THCS o cac xa bien gioi (Nghi dinh 339/2025/ND-CP). 26 Dec 2025.","Chính sách hỗ trợ bữa ăn trưa cho học sinh tiểu học, THCS ở các xã biên giới (Nghị định 339/2025/NĐ-CP)",Government of Viet Nam via Bao Chinh phu,2025-12-26,https://baochinhphu.vn/ho-tro-bua-an-trua-cho-hoc-sinh-tieu-hoc-thcs-o-cac-xa-bien-gioi-102251226175349539.htm,,gov/statistics,2026-09-25,"VND 450,000 per pupil per month and 8 kg rice per month for up to 9 months; school support VND 2,369,000 per month per 45 pupils eating together; electricity and water allowances. Pupil numbers and budget not stated."
APR-10,"Prime Minister. Quyet dinh 1520/QD-TTg phe duyet Chien luoc phat trien chan nuoi giai doan 2021-2030, tam nhin 2045. 6 Oct 2020.",Quyết định 1520/QĐ-TTg: Chiến lược phát triển chăn nuôi 2021-2030,Prime Minister of Viet Nam,2020-10-06,https://thuvienphapluat.vn/van-ban/Linh-vuc-khac/Quyet-dinh-1520-QD-TTg-2020-phe-duyet-chien-luoc-phat-trien-chan-nuoi-giai-doan-2021-2030-454658.aspx,,gov/statistics,2026-09-25,"Targets read through the fetch tool: 2030 per person 58 to 62 kg carcass meat, 220 to 225 eggs, 24 to 26 kg fresh milk; meat 6.0 to 6.5 Mt. Same document as package source NTS-07 and REG-54."
