source_id,citation,title,author_or_publisher,date,url,doi,source_type,accessed,notes
NOV-01,"Lin M.-T., Conroy D., Fahn H., Gan C. (2026). Segmenting Asian consumer values in novel food technologies and their association with acceptance of cell cultured foods. Discover Food. https://doi.org/10.1007/s44187-026-01163-w",Segmenting Asian consumer values in novel food technologies and their association with acceptance of cell cultured foods,"Lin, Conroy, Fahn, Gan (Bioeconomy Science Institute and Unitec, New Zealand)",2026-07-20,https://doi.org/10.1007/s44187-026-01163-w,10.1007/s44187-026-01163-w,peer-reviewed,2026-09-24,"Abstract and funding statement read; full text blocked by publisher challenge. Five countries (Singapore, Vietnam, China, Japan, South Korea), n = 3005. Funded by NZ Institute for Bioeconomy Science (Plant and Food Research) and NZ MBIE. Country-level segment shares not retrieved."
NOV-02,"Nguyen M.Q., Nguyen T.N.M., Nguyen T.C., Vu H.S., Luong T.H. (2025). Exploring factors influencing the willingness to try novel alternative protein products in Hanoi. Engineering and Technology for Sustainable Development 35(5): 69 to 77. https://doi.org/10.51316/jst.186.etsd.2025.35.5.9",Exploring Factors Influencing the Willingness to Try Novel Alternative Protein Products in Hanoi,Hanoi University of Science and Technology,2025-10-20,https://jst.vn/index.php/etsd/article/download/1135/1123,10.51316/jst.186.etsd.2025.35.5.9,peer-reviewed,2026-09-24,"Full text read. n = 288, aged 18 to 25, Hanoi; funded by SHiFT (Sustainable Healthy Diets) project work package 5. Same HUST group as RD-32."
NOV-03,Nghiem-Phu B. (2023). A segmentation of the expected future in vitro meat market: a study in Vietnam. Food Research 7(4): 184 to 193. https://doi.org/10.26656/fr.2017.7(4).935,A segmentation of the expected future in vitro meat market: a study in Vietnam,Nghiem-Phu Binh (Kobe Gakuin University),2023-08-18,https://doi.org/10.26656/fr.2017.7(4).935,10.26656/fr.2017.7(4).935,peer-reviewed,2026-09-24,Abstract only; publisher PDF link returned 404. n = 393 young Vietnamese consumers.
NOV-04,"Ngo T.T.A., Phan T.Y.N., Le T.N.T. (2024). Impacts of knowledge and trust on consumer perceptions and purchase intentions towards genetically modified foods. PLoS ONE 19(10): e0311257. https://doi.org/10.1371/journal.pone.0311257",Impacts of knowledge and trust on consumer perceptions and purchase intentions towards genetically modified foods,FPT University,2024,https://doi.org/10.1371/journal.pone.0311257,10.1371/journal.pone.0311257,peer-reviewed,2026-09-24,Full text read in part. n = 424 online convenience sample skewed young (authors' own limitation). Structural model only; descriptive levels in S1 appendix not retrieved. No editorial notices.
NOV-05,"Ngo T.T.A., Le T.N.T., Phan T.Y.N. (2026). How knowledge influences the purchase intention of generation Z toward genetically modified foods. Journal of Agriculture and Food Research 26: 102694. https://doi.org/10.1016/j.jafr.2026.102694",How knowledge influences the purchase intention of generation Z toward genetically modified foods,FPT University,2026-01-18,https://doi.org/10.1016/j.jafr.2026.102694,10.1016/j.jafr.2026.102694,peer-reviewed,2026-09-24,Abstract read. n = 416 Vietnamese Generation Z.
NOV-06,"Nguyen T.H., Ben Taieb S., Moritaka M., Fukuda S. (2024). Consumer acceptance and valuation of quality-improved food products derived by genome editing technology: a case study of rice in Vietnam. Agribusiness 42(1): 29 to 50. https://doi.org/10.1002/agr.21929",Consumer acceptance and valuation of quality-improved food products derived by genome editing technology. A case study of rice in Vietnam,National Economics University and Kyushu University,2024-03-15,https://doi.org/10.1002/agr.21929,10.1002/agr.21929,peer-reviewed,2026-09-24,Abstract read; double-bounded contingent valuation with information treatments. Closed access.
NOV-07,"Nguyen T.H., Ben Taieb S., Moritaka M., Fukuda S. (2022). Implicit and explicit attitudes toward foods derived from genome editing and genetic modification technologies under different information treatments. Journal of Food Products Marketing 28(1): 1 to 30. https://doi.org/10.1080/10454446.2022.2037487",Implicit and Explicit Attitudes toward Foods Derived from Genome Editing and Genetic Modification Technologies under Different Information Treatments,Kyushu University and Vietnam National University of Agriculture,2022-01-02,https://doi.org/10.1080/10454446.2022.2037487,10.1080/10454446.2022.2037487,peer-reviewed,2026-09-24,Abstract read. n = 407 Vietnamese consumers; implicit association test.
NOV-08,"Tong Y.D., Khuu D., Truong D.T., Nguyen P.D., Pham N. (2021). Consumer responses towards non-GM food: evidence from experimental auctions in Vietnam. International Journal of Food and Agricultural Economics 9(4): 297 onwards. https://doi.org/10.22004/ag.econ.316274",Consumer Responses Towards Non-GM Food: Evidence From Experimental Auctions In Vietnam,IJFAEC,2021-10,https://ideas.repec.org/a/ags/ijfaec/316274.html,10.22004/ag.econ.316274,peer-reviewed,2026-09-24,Abstract read via RePEc and DOAJ; PDF download blocked. Sample size and city not retrieved.
NOV-09,"Brookes G., Dinh T.X. (2020). The impact of using genetically modified (GM) corn/maize in Vietnam: results of the first farm-level survey. GM Crops and Food 12(1): 71 to 83. https://doi.org/10.1080/21645698.2020.1816800",The impact of using genetically modified (GM) corn/maize in Vietnam: Results of the first farm-level survey,Brookes (PG Economics) and Dinh (MARD),2020-09-30,https://doi.org/10.1080/21645698.2020.1816800,10.1080/21645698.2020.1816800,peer-reviewed,2026-09-24,Abstract and introduction excerpt read. Has a published correction (10.1080/21645698.2021.1843218). Lead author frequently industry-funded; funding not checked.
NOV-10,Green Queen (2024). Good Meat: Eat Just debuts cultivated chicken in Singapore retail. 16 May 2024. https://www.greenqueen.com.hk/eat-just-good-meat-cultivated-chicken-retail-hubers-butchery-singapore/,Good Meat: Eat Just Debuts Cultivated Chicken in Singapore Retail,Green Queen,2024-05-16,https://www.greenqueen.com.hk/eat-just-good-meat-cultivated-chicken-retail-hubers-butchery-singapore/,,press,2026-09-24,Price S$7.20 (US$5.35) per 120 g; 3 percent cultivated cells; 28.6 g protein per 100 g; company claim of more than 2000 servings sold in Singapore to date; Huber's Bistro survey scores. Price also in GOOD Meat press release of 15 May 2024.
NOV-11,FoodNavigator (2024). Hard cell? Expert opinions clash over GOOD Meat's 3% cultivated chicken launch in Singapore. 21 May 2024. https://www.foodnavigator.com/Article/2024/05/21/expert-opinions-clash-over-good-meat-s-3-cultivated-chicken-launch-in-singapore/,Hard cell? Expert opinions clash over GOOD Meat's 3% cultivated chicken launch in Singapore,FoodNavigator Asia,2024-05-21,https://www.foodnavigator.com/Article/2024/05/21/expert-opinions-clash-over-good-meat-s-3-cultivated-chicken-launch-in-singapore/,,press,2026-09-24,Critique by Monash University professor that the product is 97 percent plant-based.
NOV-12,"Just Food (2024). Eat Just explains Singapore production pause. 6 March 2024, modified 15 May 2024. https://www.just-food.com/news/eat-just-explains-singapore-production-pause/",Eat Just explains Singapore production 'pause',Just Food,2024-03-06,https://www.just-food.com/news/eat-just-explains-singapore-production-pause/,,press,2026-09-24,Sales to Huber's Bistro paused December 2023; production through a third party 'has never been continuous'.
NOV-13,"Just Food (2025). The countries that have approved lab-grown meat. 19 June 2025, updated 23 December 2025. https://www.just-food.com/features/protein-pioneers-the-countries-which-have-approved-cultivated-meat/",The countries that have approved lab-grown meat,Just Food,2025-12-23,https://www.just-food.com/features/protein-pioneers-the-countries-which-have-approved-cultivated-meat/,,press,2026-09-24,"Approval tracker. No approvals listed for Korea, Thailand, Japan, China as of update."
NOV-14,FoodNavigator (2025). Vow eyes APAC growth with cultured quail candles and cocktails. 14 August 2025. https://www.foodnavigator.com/Article/2025/08/14/vow-eyes-apac-growth-with-cultured-quail/,Vow eyes APAC growth with cultured quail candles and cocktails,FoodNavigator Asia,2025-08-14,https://www.foodnavigator.com/Article/2025/08/14/vow-eyes-apac-growth-with-cultured-quail/,,press,2026-09-24,Company claim: more than 25000 dishes served in Singapore since April 2024.
NOV-15,"Green Queen (2025). In Australia, you can now cook Vow's lab-grown meat at home. 30 October 2025. https://www.greenqueen.com.hk/vow-cultured-quail-lab-grown-cultivated-meat-australia-forged/","In Australia, You Can Now Cook Vow's Lab-Grown Meat at Home",Green Queen,2025-10-30,https://www.greenqueen.com.hk/vow-cultured-quail-lab-grown-cultivated-meat-australia-forged/,,press,2026-09-24,Retail prices A$14.99 per 180 g jar; 12 restaurants in Sydney and Melbourne; capacity claims.
