line_id,question_ids,line,kind,method,closable_by_desk_now,result_that_would_change_a_conclusion,conclusion_or_recommendation_affected,priority,notes
APR-L01,APR-Q01; APR-Q02; APR-Q05; APR-Q16,"School menu slot audit: how the 'plant protein at least twice a week' rule is filled today, by what, at what cost",different-kind,"Collect published two-week menus from 40 to 60 schools in five provinces (Hanoi, HCMC, Son La, Dien Bien, Khanh Hoa); code each protein dish (source, grams, cost); three calls to DOETs or caterers for costs; check the Ajinomoto menu software recipe list",partly (menus online; costs need calls),"If schools already buy chay mock meat or textured soy for the plant days, schools become an existing plant-protein buyer and move from 'not first' to a second route for TPP-01 and TPP-02; if the plant days are tofu only at VND 20,000 to 30,000 per 100 g protein, that price becomes the ceiling for any school product",ch25.3 and ch25.6 channel table; channel_ranking.csv; TPP-04; DMV-17,High,
APR-L02,APR-Q07; APR-Q08; APR-Q22; APR-Q23,"Public-meal rule window: track and feed the Food Safety Law, the school-nutrition rule, the unified national menu and shift-meal guidance",different-kind,"Desk tracking of drafts (NA portal, MOH and MOET consultations); two calls (MOH Department of Disease Prevention; MOET Department of Students); a short technical note offered to drafters",partly,"If the school rule or unified menu limits all processed protein foods, blends and textured products are shut out of schools; if it names legume products or sets protein-quality rather than source norms, schools open. The Food Safety Law vote is now May 2027, not late 2026",brief-policy timing and option 1; ch29.4 set-rules list; DMV-17; brief-investors 'watch October to November 2026',High,
APR-L03,APR-Q09,Sugary-drink excise and plant milks: does the 2027 tax fall on sweetened soy and nut milks while dairy is exempt?,different-kind,Read the decree implementing Law 66/2025/QH15 and the TCVN definition of 'nước giải khát'; audit sugar per 100 ml on the top 10 soy and nut milk SKUs; compute the price effect at 8% and 10%,yes,"If sweetened plant milks are taxed and dairy is not, ch23's finding that plant milk sells at or below dairy prices weakens from 2027 and plant-milk makers face reformulation pressure (a new buyer need for protein and texture in low-sugar drinks); if exempt, no change",ch23; ch26 plant-milk buyers; TPP-05; play T10,High,
APR-L04,APR-Q16; APR-Q24; APR-Q01; APR-Q22,Cost of 25 g of quality protein in a public meal: a costing and cost-effectiveness model for schools and canteens,different-kind,"Desk model combining the Part VI price ladder, school and canteen budgets (Decree 339, Hanoi subsidy, canteen floors), the guidance's energy and protein shares, composition data for zinc and iron, and published DIAAS values",yes (first version),"If a fortified textured-soy or blended dish gives 25 g protein and adequate zinc below the cost of eggs or chicken, a public-meal product profile becomes a lead brief for UNICEF and provinces; if not, tofu stays the plant slot and school products are dropped",TPP-04; ch25.3; brief-international 'separate two protein problems',High,
APR-L05,APR-Q04; APR-Q24,Child-nutrition equivalence test of plant and blended school dishes,different-kind,"Laboratory protein quality and phytate to zinc ratios for three or four candidate dishes (NIN or a university lab), plus a two-week acceptability trial in two to four schools",no (lab and field),"If plant or blended dishes match meat dishes on digestible protein and fortified zinc, NIN and UNICEF could name them in guidance; if zinc bioavailability is poor, confine plant products to adults and canteens",brief-research; brief-international; TPP-04,Medium,Needs a partner such as NIN; cost not estimated.
APR-L06,APR-Q31; APR-Q06,Diet surveillance piggyback: analyse DQQ microdata now and add a plant-protein and chay module later,different-kind,"Download DQQ microdata for Viet Nam (Harvard Dataverse); tabulate pulses, processed meat and red meat by urban or rural, income, age and sex; propose a chay-day and tofu item to GAIN, Gallup and NIN",yes (analysis); no (new module),"Gives a national base rate for plant-protein and processed-meat occasions: if processed meat is concentrated in young urban adults, hybrids target them; if pulses are a low-income rural food, plant protein carries a status penalty for positioning",ch22 (chay days unmeasured); ch28 R3 (5% processed-meat assumption); DMV-01; DMV-09,High,
APR-L07,APR-Q12; APR-Q10; APR-Q06; APR-Q13,"Protein policy coherence audit across health, livestock, dairy and food-systems instruments",different-kind,Tabulate the protein stance of every current instrument (Ten tips; Decision 3958; Decision 1982; livestock strategy per-person targets; dairy strategy 40 litres; Decision 300; expired Decision 1340) and compute the protein mix each implies,yes,Would reframe the policy brief from 'no protein target' to 'health guidance already favours plant protein while sector targets hold meat per person near 60 kg'; changes which ministry to approach first,brief-policy; ch21.8; app-y 'no protein norm',Medium,
APR-L08,APR-Q10; APR-Q17; APR-Q20,"NAP-FST entry: can protein by source enter the food balance sheets, M&E framework and provincial plans?",different-kind,"Calls with the MAE FST Partnership secretariat, the national convenor (PHANO), the BDN country coordinator and the Dong Thap and Son La working groups",no (calls),"If the M&E framework and food balance sheets can take a protein-by-source indicator, Part V's national protein balance gains a government home; if not, it stays an NGO product",brief-policy; ch20 robust move on a protein and feed balance; brief-international,Medium,
APR-L09,APR-Q03; APR-Q21,Parent trust survey after the 2026 school pork case,different-kind,"Omnibus module (about 1,000 parents) on acceptance of tofu, legume, plant and blended protein dishes against certified meat, and willingness to pay for certified-safe protein",no (survey),"If parents prefer more plant dishes after the case, schools can be an early route for higher-protein chay; if they prefer certified meat, schools stay 'not first'",ch25.3; channel_ranking.csv,Medium,Stated evidence only; pair with L01 revealed menus.
APR-L10,APR-Q02; APR-Q16,National bán trú count and meal prices,deeper,Written requests to MOET and five provincial DOETs; Decree 339 beneficiary lists,no (requests),"If national school lunches exceed 1 billion a year, the R4 route and the school channel rank rise",ch28 R4 (0.8 billion assumption); ch25,Medium,Deeper version of OQ-219.
