rank_order,institution,topics,evidence_dois,paper_count_openalex,method,source_ids,evidence_label,confidence,notes
1,VNU Hanoi University of Science (HUS),Aspergillus oryzae and Cordyceps genetic tools,10.1007/s11274-021-03060-z; 10.1007/s11274-017-2275-9; 10.1007/s11274-016-2168-3,not available (OpenAlex blocked),Qualitative order from wave 1 attributions plus DOIs surfaced by OpenAIRE top-cited lists; NOT a count-based ranking,BIB-01; BIB-06,[VN-direct],Medium,Accounts for most of the top-cited VN A. oryzae items (23 VN-tagged A. oryzae records).
2,VNU-HCM University of Science,"Pichia expression (growth factors, bacteriocins, phytase)",see wave 1 RD-36 to RD-40,not available (OpenAlex blocked),Qualitative order from wave 1 attributions plus DOIs surfaced by OpenAIRE top-cited lists; NOT a count-based ranking,BIB-01; BIB-06,[VN-direct],Medium,"25 VN-tagged Pichia records; top-cited items are enzymes, vaccine antigens and yeast display, institution not verified per paper."
3,"Institute of Biotechnology, VAST",Microalgae; enzymes in Pichia and A. niger; rice bran protein,10.15625/2525-2518/58/3a/14363 (VAST journal),not available (OpenAlex blocked),Qualitative order from wave 1 attributions plus DOIs surfaced by OpenAIRE top-cited lists; NOT a count-based ranking,BIB-01; BIB-06,[VN-direct],Medium,Microalgae cultivation strength; protein-as-ingredient thin.
4,Hanoi University of Science and Technology (HUST),Rice DDG protein; spent brewer's yeast protein; SCP nucleic acid reduction,"see wave 1 RD-22, RD-23, RD-31, RD-32",not available (OpenAlex blocked),Qualitative order from wave 1 attributions plus DOIs surfaced by OpenAIRE top-cited lists; NOT a count-based ranking,BIB-01; BIB-06,[VN-direct],Medium,HUST papers mostly not captured by OpenAIRE's VN country tag (coverage gap).
5,Can Tho University,Aquafeed fishmeal replacement; seaweed in shrimp feed; duckweed survey,10.1111/are.13147; 10.1007/s10811-018-1457-7,not available (OpenAlex blocked),Qualitative order from wave 1 attributions plus DOIs surfaced by OpenAIRE top-cited lists; NOT a count-based ranking,BIB-01; BIB-06,[VN-direct],Medium,Deepest applied field (fishmeal replacement).
6,Nha Trang University,Aquafeed (barramundi with Deakin); by-product protein hydrolysates,10.1371/journal.pone.0232278 (probable),not available (OpenAlex blocked),Qualitative order from wave 1 attributions plus DOIs surfaced by OpenAIRE top-cited lists; NOT a count-based ranking,BIB-01; BIB-06,[VN-direct],Low,Attribution probable only.
7,Vietnam National University of Agriculture (VNUA),Arthrospira; black soldier fly feed trials; mushrooms,see wave 1 RD list,not available (OpenAlex blocked),Qualitative order from wave 1 attributions plus DOIs surfaced by OpenAIRE top-cited lists; NOT a count-based ranking,BIB-01; BIB-06,[VN-direct],Medium,BSF feed trials; not the source of the top-cited BSF biodiesel papers.
8,"Ho Chi Minh City University of Technology (HCMUT, VNU-HCM)",Rice protein ultrafiltration,10.1016/j.ifset.2021.102692,not available (OpenAlex blocked),Qualitative order from wave 1 attributions plus DOIs surfaced by OpenAIRE top-cited lists; NOT a count-based ranking,BIB-01; BIB-06,[VN-direct],Medium,Only rice protein hit in OpenAIRE.
9,VNU Hanoi Institute of Microbiology and Biotechnology (IMBT) / VTCC,Methanotroph for SCP; culture collection,10.15625/1811-4989/14/3/9876,not available (OpenAlex blocked),Qualitative order from wave 1 attributions plus DOIs surfaced by OpenAIRE top-cited lists; NOT a count-based ranking,BIB-01; BIB-06,[VN-direct],Medium,Single 2016 paper; no follow-up.
10,HCMC University of Technology and Education (HCMUTE),Spirulina protein extraction; spirulina with boiler CO2,10.54644/jte.70b.2022.1213; 10.54644/jte.67.2021.1085,not available (OpenAlex blocked),Qualitative order from wave 1 attributions plus DOIs surfaced by OpenAIRE top-cited lists; NOT a count-based ranking,BIB-01; BIB-06,[VN-direct],Low,"Inferred from the journal publisher, not the paper header."
