line_t_per_h,utilisation,output_t_per_year,cost_case,raw_material_usd_per_t,electricity_usd_per_t,dryer_heat_usd_per_t,water_usd_per_t,packaging_usd_per_t,outbound_delivery_usd_per_t,labour_usd_per_t,rent_usd_per_t,qa_overhead_usd_per_t,maintenance_usd_per_t,cash_cost_usd_per_t,capital_charge_usd_per_t,working_capital_interest_usd_per_t,full_cost_usd_per_t,full_cost_vnd_per_kg,full_cost_vnd_per_100g_protein_at_52pct,raw_material_share_of_full_cost,source_ids,evidence_label,confidence,demand_evidence_type,notes
0.5,0.5,2000,low,646,11,7,2,10,10,50,44,30,6,816,17,26,858,22300.0,4290.0,0.75,TIC-12; TIC-13; COST-01; COST-16; COST-17; COST-19; COST-20; COST-21; TIC-02; TIC-03; TIC-07,VN-direct,Low,inferred,"our calculation; low case pairs all low inputs and high case all high inputs; 8,000 h a year at 100%; working capital interest at the 0% duty low-freight price"
0.5,0.5,2000,high,990,26,27,7,20,30,173,61,75,30,1439,91,43,1573,40900.0,7860.0,0.63,TIC-12; TIC-13; COST-01; COST-16; COST-17; COST-19; COST-20; COST-21; TIC-02; TIC-03; TIC-07,VN-direct,Low,inferred,"our calculation; low case pairs all low inputs and high case all high inputs; 8,000 h a year at 100%; working capital interest at the 0% duty low-freight price"
0.5,0.7,2800,low,646,11,7,2,10,10,36,32,21,4,779,12,26,816,21200.0,4080.0,0.79,TIC-12; TIC-13; COST-01; COST-16; COST-17; COST-19; COST-20; COST-21; TIC-02; TIC-03; TIC-07,VN-direct,Low,inferred,"our calculation; low case pairs all low inputs and high case all high inputs; 8,000 h a year at 100%; working capital interest at the 0% duty low-freight price"
0.5,0.7,2800,high,990,26,27,7,20,30,124,44,54,22,1343,65,43,1450,37700.0,7250.0,0.68,TIC-12; TIC-13; COST-01; COST-16; COST-17; COST-19; COST-20; COST-21; TIC-02; TIC-03; TIC-07,VN-direct,Low,inferred,"our calculation; low case pairs all low inputs and high case all high inputs; 8,000 h a year at 100%; working capital interest at the 0% duty low-freight price"
0.5,0.9,3600,low,646,11,7,2,10,10,28,25,17,3,758,9,26,793,20600.0,3970.0,0.81,TIC-12; TIC-13; COST-01; COST-16; COST-17; COST-19; COST-20; COST-21; TIC-02; TIC-03; TIC-07,VN-direct,Low,inferred,"our calculation; low case pairs all low inputs and high case all high inputs; 8,000 h a year at 100%; working capital interest at the 0% duty low-freight price"
0.5,0.9,3600,high,990,26,27,7,20,30,96,34,42,17,1289,50,43,1382,35900.0,6910.0,0.72,TIC-12; TIC-13; COST-01; COST-16; COST-17; COST-19; COST-20; COST-21; TIC-02; TIC-03; TIC-07,VN-direct,Low,inferred,"our calculation; low case pairs all low inputs and high case all high inputs; 8,000 h a year at 100%; working capital interest at the 0% duty low-freight price"
1.0,0.5,4000,low,646,11,7,2,10,10,31,29,15,3,764,9,26,800,20800.0,4000.0,0.81,TIC-12; TIC-13; COST-01; COST-16; COST-17; COST-19; COST-20; COST-21; TIC-02; TIC-03; TIC-07,VN-direct,Low,inferred,"our calculation; low case pairs all low inputs and high case all high inputs; 8,000 h a year at 100%; working capital interest at the 0% duty low-freight price"
1.0,0.5,4000,high,990,26,27,7,20,30,105,46,38,21,1309,62,43,1414,36800.0,7070.0,0.7,TIC-12; TIC-13; COST-01; COST-16; COST-17; COST-19; COST-20; COST-21; TIC-02; TIC-03; TIC-07,VN-direct,Low,inferred,"our calculation; low case pairs all low inputs and high case all high inputs; 8,000 h a year at 100%; working capital interest at the 0% duty low-freight price"
1.0,0.7,5600,low,646,11,7,2,10,10,22,21,11,2,742,7,26,774,20100.0,3870.0,0.83,TIC-12; TIC-13; COST-01; COST-16; COST-17; COST-19; COST-20; COST-21; TIC-02; TIC-03; TIC-07,VN-direct,Low,inferred,"our calculation; low case pairs all low inputs and high case all high inputs; 8,000 h a year at 100%; working capital interest at the 0% duty low-freight price"
1.0,0.7,5600,high,990,26,27,7,20,30,75,33,27,15,1250,44,43,1337,34800.0,6680.0,0.74,TIC-12; TIC-13; COST-01; COST-16; COST-17; COST-19; COST-20; COST-21; TIC-02; TIC-03; TIC-07,VN-direct,Low,inferred,"our calculation; low case pairs all low inputs and high case all high inputs; 8,000 h a year at 100%; working capital interest at the 0% duty low-freight price"
1.0,0.9,7200,low,646,11,7,2,10,10,17,16,8,2,730,5,26,761,19800.0,3800.0,0.85,TIC-12; TIC-13; COST-01; COST-16; COST-17; COST-19; COST-20; COST-21; TIC-02; TIC-03; TIC-07,VN-direct,Low,inferred,"our calculation; low case pairs all low inputs and high case all high inputs; 8,000 h a year at 100%; working capital interest at the 0% duty low-freight price"
1.0,0.9,7200,high,990,26,27,7,20,30,58,25,21,12,1216,34,43,1294,33600.0,6470.0,0.77,TIC-12; TIC-13; COST-01; COST-16; COST-17; COST-19; COST-20; COST-21; TIC-02; TIC-03; TIC-07,VN-direct,Low,inferred,"our calculation; low case pairs all low inputs and high case all high inputs; 8,000 h a year at 100%; working capital interest at the 0% duty low-freight price"
