source_id,citation,title,author_or_publisher,date,url,doi,source_type,accessed,notes
FUF-01,"Animal Charity Evaluators. Movement Grants: Call for Applications and Introducing Our New Grants Manager. Blog post, 24 September 2026.",Movement Grants: Call for Applications and Introducing Our New Grants Manager,Animal Charity Evaluators,2026-09-24,https://animalcharityevaluators.org/blog/call-for-movement-grants-applications/,,advocacy,2026-09-25,"12th round; deadline 18 October 2026 (5 pm PT); emerging-markets focus Africa this round, and Asia. Excludes 'diet change and meat reduction programs, or standalone corporate campaigns, in any region' and alternative protein work except policy. Read through a fetch summary."
FUF-02,Animal Charity Evaluators. Movement Grants: Apply for funding (application guidelines). Accessed 25 September 2026.,Apply for Funding,Animal Charity Evaluators,undated,https://animalcharityevaluators.org/movement-grants/apply-for-funding/,,advocacy,2026-09-25,"Eligibility: organisations under 3 years old or with budgets under USD 500,000 (or incubation or MEL work); grants of USD 100,000 or less; especially interested in Africa and Asia; will not fund diet change and meat reduction programmatic work, alternative proteins (except policy), or projects that plausibly increase the number of animals farmed. The older application-guidelines URL returned HTTP 404."
FUF-03,"FAO. FAOSTAT Crops and livestock products (QCL), bulk file Production_Crops_Livestock_E_Asia (file dated 23 December 2025). Viet Nam rows for meat of pig, chickens, ducks, cattle, buffalo and goat, 2022 to 2024.","Production: Crops and livestock products (bulk download, Asia)",Food and Agriculture Organization of the United Nations,2025-12-23,https://bulks-faostat.fao.org/production/Production_Crops_Livestock_E_Asia.zip,,database,2026-09-25,"Carcass yield per animal (2022, 2023, 2024): pig 65, 66, 67 kg; chicken 2,129, 2,358, 1,833 g; duck 1,341, 1,200, 1,200 g; cattle 140, 145, 148 kg; buffalo 171, 183, 196 kg. 2024 production: pig meat 3,785,000 t; chicken 1,259,484 t; duck 164,682 t; cattle 270,000 t; buffalo 68,900 t. 2024 slaughter: 56.45 million pigs, 687.0 million chickens, 137.2 million ducks. 2023 and 2024 values flagged estimated or imputed. The FAOSTAT API returned 'Missing Authorization Header', so the public bulk file was used."
FUF-04,"MacLeod, M., Gerber, P., Mottet, A., Tempio, G., Falcucci, A., Opio, C., Vellinga, T., Henderson, B. and Steinfeld, H. (2013). Greenhouse gas emissions from pig and chicken supply chains: a global life cycle assessment. FAO, Rome.",Greenhouse gas emissions from pig and chicken supply chains: a global life cycle assessment,Food and Agriculture Organization of the United Nations (GLEAM),2013,https://www.fao.org/4/i3460e/i3460e.pdf,,intergovernmental,2026-09-25,"Full PDF read. Reference year 2005. Table 33, E and SE Asia humid zone, kg CO2e per kg carcass (10% lowest, average, 10% highest): pigs backyard 5.32, 5.99, 7.05; intermediate 6.28, 7.09, 8.42; industrial 5.37, 6.15, 7.94. Table 34 broilers 4.19, 5.18, 6.84. Table 20 Monte Carlo means for Viet Nam: backyard pigs 6.8, intermediate pigs 5.6 kg CO2e per kg carcass. Table 29 backyard chickens Viet Nam 40.3 kg CO2e per kg protein. Table 31 global: pig meat 6.1 (51.8 per kg protein), chicken meat 5.4 (39.5). Boundary includes feed, soy land-use change, manure, on-farm energy and post-farm transport and processing to retail."
FUF-05,"Opio, C., Gerber, P., Mottet, A., Falcucci, A., Tempio, G., MacLeod, M., Vellinga, T., Henderson, B. and Steinfeld, H. (2013). Greenhouse gas emissions from ruminant supply chains: a global life cycle assessment. FAO, Rome.",Greenhouse gas emissions from ruminant supply chains: a global life cycle assessment,Food and Agriculture Organization of the United Nations (GLEAM),2013,https://www.fao.org/4/i3461e/i3461e.pdf,,intergovernmental,2026-09-25,"Full PDF read. Table 7, E and SE Asia humid zone, kg CO2e per kg carcass (10% lowest, average, 10% highest): mixed beef 40.1, 54.5, 81.0; grassland beef 53.3, 62.4, 70.1. Buffalo meat, E and SE Asia regional average 70.2 kg CO2e per kg carcass."
FUF-06,"Heller, M.C., Walchale, A., Heard, B.R., Hoey, L., Khoury, C.K., de Haan, S., Burra, D.D., Duong, T.T., Osiemo, J., Trinh, H.T. and Jones, A.D. (2020). Environmental analyses to inform transitions to sustainable diets in developing countries: case studies for Vietnam and Kenya. International Journal of Life Cycle Assessment 25(7): 1183 to 1196 (online 29 June 2019).",Environmental analyses to inform transitions to sustainable diets in developing countries: case studies for Vietnam and Kenya,Heller et al. (University of Michigan; CIAT),2019-06-29,https://hdl.handle.net/10568/101990,10.1007/s11367-019-01656-0,peer-reviewed,2026-09-25,"Author version read from CGSpace. Uses global LCA-literature averages (farm gate, mostly industrialised north) applied to FAO supply: beef 33 kg CO2e per kg boneless edible (dedicated beef); beef intensity 6 times pork and 9.8 times poultry. Regional factors (Porter et al.) raise per capita diet GHG by 14 to 22%."
FUF-07,"Our World in Data. Greenhouse gas emissions per 100 grams of protein (dataset from Poore, J. and Nemecek, T. (2018). Reducing food's environmental impacts through producers and consumers. Science 360(6392): 987 to 992; erratum 2019). Data downloaded 25 September 2026.",Greenhouse gas emissions per 100 grams of protein,Our World in Data; Poore and Nemecek,2019-10-08,https://ourworldindata.org/grapher/ghg-per-protein-poore,10.1126/science.aaq0216,database,2026-09-25,"Global averages, kg CO2e per 100 g protein: beef (beef herd) 49.89; pig meat 7.61; poultry meat 5.70; tofu 1.98; groundnuts 1.23; other pulses 0.84; peas 0.44. The original paper is not open access and was not read directly (Scite metadata only)."
FUF-08,"Bongiovanni, R., Tuninetti, L., Cavagnaro, M.R. and others (2026). Life Cycle Assessment and Carbon Footprint of Feed-Grade Soy Protein Concentrate for Environmentally Improved Animal Nutrition. Preprints.org, April 2026.",Life Cycle Assessment and Carbon Footprint of Feed-Grade Soy Protein Concentrate for Environmentally Improved Animal Nutrition,Bongiovanni et al.,2026-04,https://doi.org/10.20944/preprints202604.0466.v1,10.20944/preprints202604.0466.v1,preprint,2026-09-25,"Abstract only (via Scite). 0.608 to 0.851 kg CO2e per kg feed-grade soy protein concentrate, Cordoba, Argentina, cradle to gate plus end of life. Feed grade, not food-grade textured protein; not peer reviewed. Low."
FUF-09,"Le Dang Quynh Nhu, Le Thi Tuyet, Le Minh Quang and others (2025). Assessing the Carbon Footprint and Environmental Impacts of Pork Production: A Case Study in Binh Phuoc, Vietnam Using Life Cycle Assessment. IOP Conference Series: Earth and Environmental Science 1540: 012011.","Assessing the Carbon Footprint and Environmental Impacts of Pork Production: A Case Study in Binh Phuoc, Vietnam Using Life Cycle Assessment",Le Dang Quynh Nhu et al.,2025-09-01,https://doi.org/10.1088/1755-1315/1540/1/012011,10.1088/1755-1315/1540/1/012011,peer-reviewed,2026-09-25,"Abstract and excerpts via Scite. Six large farms (191,413 pigs) in former Binh Phuoc province (now part of Dong Nai): about 8.38 kg CO2e per pig per month on farm, mostly feed digestion. Farm boundary, per pig-month; cannot be converted to per kg carcass from what we read, so not used in calculations. Clean negative: no Vietnamese cradle-to-carcass pork or poultry LCA found."
FUF-10,"FAO. FAOSTAT Emissions intensities (EI), bulk file Environment_Emissions_intensities_E_Asia. Viet Nam rows, 2021 to 2023.","Emissions intensities (bulk download, Asia)",Food and Agriculture Organization of the United Nations,2025,https://bulks-faostat.fao.org/production/Environment_Emissions_intensities_E_Asia.zip,,database,2026-09-25,"Viet Nam 2023, kg CO2e (AR5) per kg meat: cattle 40.0; buffalo 65.0; goat 30.4; pig 1.62; chicken 0.90. Farm-gate agricultural emissions only (enteric fermentation and manure); excludes feed production and land-use change, so it understates pork and poultry. Used as a boundary check only."
