record_id,study,country,ages,design_and_size,intervention_and_comparator,duration,main_result,relevance_to_plant_protein,source_ids,evidence_label,confidence,demand_evidence_type,notes
NQR-TR01,Nga et al. 2009,Vietnam (rural),6 to 8 years,"double-blind RCT, 510 children","Biscuits fortified with iron 6 mg, zinc 5.6 mg, iodine and vitamin A, 5 days a week, with or without albendazole, against unfortified biscuits",4 months,"Haemoglobin +1.87 g/L, plasma zinc +0.61 umol/L; risk of anaemia, zinc and iodine deficiency cut by more than 40%; cost under USD 0.08 a serving",A school food vehicle with about 5.6 mg zinc works in Vietnamese schoolchildren; the protein source is irrelevant to the result,NQR-22,VN-direct,High,tested,
NQR-TR02,Pinkaew et al. 2013,Thailand (south),school children with low serum zinc,"RCT, 203 children","Extruded rice fortified with zinc, iron and vitamin A in school lunch (about 8 mg extra zinc a day) against normal rice",5 months,Zinc deficiency fell to 29% (fortified) and 39% (control); control also improved through the lunch and milk programmes,School lunch fortification raises zinc status; ordinary lunch plus milk also helps,NQR-23,VN-adjacent,High,tested,
NQR-TR03,Winichagoon et al. 2006,Thailand (north east),5.5 to 13.4 years,"cluster RCT, 569 children, 10 schools","Seasoning powder fortified with zinc 5 mg, iron 5 mg, vitamin A and iodine in a central school lunch",31 weeks,Odds of zinc deficiency 0.63 and iodine deficiency 0.52 against unfortified; no effect on anaemia,Fortifying a lunch component works for zinc; iron is harder,NQR-24,VN-adjacent,High,tested,
NQR-TR04,Lien et al. 2009,Vietnam (northern delta),7 to 8 years,"controlled trial, 454 children in 3 schools",Regular milk or fortified milk with inulin against a reference group,6 months,Weight-for-age and height-for-age improved; underweight and stunting fell by 10%; anaemia fell and zinc improved in all groups including control,The dairy comparator any plant product faces in schools; allocation method not stated in the abstract,NQR-25,VN-direct,Medium,tested,Abstract only (OpenAlex).
NQR-TR05,Zhao et al. 2021,China (rural south west),6 to 13 years,"RCT, 955 pupils (769 completed)",200 g milk and a 50 g egg every school day against control,2 years,"No height difference; boys gained 0.6 to 0.7 kg more; better vitamin D, broad jump and shuttle run",Even daily milk and egg did not change school-age height: school protein is not a stunting lever,NQR-26,VN-adjacent,Medium,tested,Read through the fetch tool.
NQR-TR06,Murayama et al. 2018,Bangladesh (rural),primary school children,"two schools, one per arm (school randomised), 400 children","Local-food school meal with soybean, over one third of daily needs, 5 days a week, against no meal",8 months,"Height gain 3.8 against 3.3 cm; haemoglobin improved; no effect on serum zinc, ferritin or retinol",The only soy school-meal trial found; weak design; soy meal did not raise zinc status,NQR-27,VN-adjacent,Low,tested,Two clusters only.
NQR-TR07,Krebs et al. 2012,"Guatemala, Pakistan, DR Congo, Zambia",6 to 18 months,"RCT, multi-country",Meat against micronutrient-fortified cereal as first complementary food,12 months,No difference in linear growth; stunting rose in both arms,Fortified cereal performed as well as meat for growth,NQR-28,general,High,tested,
NQR-TR08,Tang et al. 2014,China (rural),6 to 18 months,"cluster RCT, 1,471 infants",Daily meat against cereal,12 months,Length gain 13.01 against 12.75 cm; smaller fall in length-for-age; more than half of the 18-month deficit was present at 6 months,Modest meat advantage; stunting is largely set early,NQR-29,VN-adjacent,High,tested,
NQR-TR09,Skau et al. 2015 (WinFood),Cambodia,6 to 15 months,RCT,Local products with small fish (and spiders) against corn-soy blends CSB+ and CSB++,9 months,No difference between local animal-source products and corn-soy blends,Micronutrient fortification may matter more than the protein source; CSB++ contains milk,NQR-30,VN-adjacent,High,tested,Insect ingredients are benchmark only and not recommended.
NQR-TR10,Manary et al. 2024 (review of two large trials),not stated in the abstract we read,children with moderate acute malnutrition,review,Supplements differing in protein quality and source,,Protein quality scores alone did not predict recovery; milk protein gave advantages over vegetable proteins,Plant-only supplements for malnourished children face evidence favouring milk,NQR-31,general,Medium,tested,Abstract only; countries and sample sizes not read.
NQR-TR11,"Search for trials of textured soy, plant-meat or blended protein foods in children",Asia including Vietnam,school age and under 5,,,,None found in OpenAlex and Scite searches on 25 September 2026,Clean negative: no efficacy evidence for the product types Part III proposes,,general,Low,,Four semantic and keyword searches; not a systematic review.
