source_id,citation,title,author_or_publisher,date,url,doi,source_type,accessed,notes
AIB-01,"Vinamilk (Vietnam Dairy Products JSC). Báo cáo thường niên 2025 (Annual Report 2025), PDF, digitally signed 19 Mar 2026.",Báo cáo thường niên Vinamilk 2025: 50 Năm Để Tâm Phụng Sự,Vinamilk,2026-03-19,https://static2.vietstock.vn/data/HOSE/2025/BCTN/VN/VNM_Baocaothuongnien_2025.pdf,,company,2026-09-25,"Full text searched. Industry outlook (plant milk no longer a substitute; high-protein adult trend; traceability mandatory), R&D launches 2025 (oat milk, two plant yoghurts), marketing (Green Farm and plant milk impressive growth), supplier criteria, Net Zero 2050, beef plant operating."
AIB-02,"CafeF. Vinamilk lên kế hoạch doanh thu 2026 cao kỷ lục, trả cổ tức tối thiểu 50% lợi nhuận. 1 Apr 2026.",Vinamilk lên kế hoạch doanh thu 2026 cao kỷ lục,CafeF,2026-04-01,https://cafef.vn/vinamilk-len-ke-hoach-doanh-thu-2026-cao-ky-luc-tra-co-tuc-toi-thieu-50-loi-nhuan-188260401212747314.chn,,press,2026-09-25,"2026 plan revenue VND 66,477 billion, profit VND 9,828 billion; AGM 22 Apr 2026. No plant or protein content."
AIB-03,Thanh Niên. Vinamilk Green Farm Cao Đạm: Giải pháp dinh dưỡng giúp chăm sóc sức khỏe chủ động. 31 Oct 2025.,Vinamilk Green Farm Cao Đạm: Giải pháp dinh dưỡng giúp chăm sóc sức khỏe chủ động,Thanh Niên,2025-10-31,https://thanhnien.vn/vinamilk-green-farm-cao-dam-giai-phap-dinh-duong-giup-cham-soc-suc-khoe-chu-dong-185251031140512167.htm,,press,2026-09-25,Sponsored-style article. 25 g protein per two 250 ml cartons; milk protein 'dễ hấp thu hơn so với đạm có nguồn gốc thực vật'. Read via fetch summary with quotes.
AIB-04,Mekong ASEAN. Sojitz khai trương nhà máy chế biến thịt bò mát 10.000 tấn tại Tam Đảo. 18 Dec 2024.,Sojitz khai trương nhà máy chế biến thịt bò mát 10.000 tấn tại Tam Đảo,Mekong ASEAN,2024-12-18,https://mekongasean.vn/sojitz-khai-truong-nha-may-che-bien-thit-bo-mat-10000-tan-tai-tam-dao-36762.html,,press,2026-09-25,"Vinabeef Tam Dao chilled beef plant 10,000 t a year; Vinamilk group 51%, Sojitz 49%; USD 500 million complex. Operation confirmed in AIB-01."
AIB-05,"Công ty CP Đường Quảng Ngãi (QNS). Báo cáo của Hội đồng Quản trị tại ĐHĐCĐ thường niên năm 2026 (Board report to the 2026 AGM), 11 Mar 2026.",Báo cáo hoạt động của HĐQT năm 2025 và định hướng năm 2026,QNS,2026-03-11,https://www.qns.com.vn/upload/product/5-bao-cao-hdqt-vi-1773363872.pdf,,company,2026-09-25,"Soy milk and plant nutrition results 2025 (264 million litres, +4%; revenue +14%; Veyo +50%; premium Fami +36%; e-commerce +135%; exports +126%); 2026 direction (renew core soy milk, expand new categories, soybean sourcing; rising plant-nutrition marketing costs)."
AIB-06,"Công ty CP Đường Quảng Ngãi (QNS). Báo cáo thường niên 2025 (Annual Report 2025), Mar 2026.",Báo cáo thường niên 2025,QNS,2026-03,https://www.qns.com.vn/upload/product/vibaocaothuongnien2025nen-1773655442.pdf,,company,2026-09-25,"Soy research centre VSAC (2,072 soybean lines; VINASOY 05 over 2.5 t per ha); Vietnam Soy Milk Study Fund (13.8 million boxes since 2016; 900,000 in 2025)."
AIB-07,Dân trí. Vinasoy mở rộng phát triển dinh dưỡng thực vật. 8 May 2026.,Vinasoy mở rộng phát triển dinh dưỡng thực vật,Dân trí,2026-05-08,https://dantri.com.vn/kinh-doanh/vinasoy-mo-rong-phat-trien-dinh-duong-thuc-vat-20260508170811922.htm,,press,2026-09-25,New message 'Kiến tạo dưỡng chất lành từ đậu nành và hạt'; 90.1% share of packaged soy milk (company claim); non-GMO varieties.
AIB-08,"Giáo dục Việt Nam. 30 trường, 1 triệu hộp sữa: tiếp nối hành trình mang dưỡng chất lành đến những mầm xanh tương lai. 18 Sep 2026.","30 trường, 1 triệu hộp sữa (title punctuation normalised)",Giáo dục Việt Nam (giaoduc.net.vn),2026-09-18,https://giaoduc.net.vn/30-truong-1-trieu-hop-sua-tiep-noi-hanh-trinh-mang-duong-chat-lanh-den-nhung-mam-xanh-tuong-lai-post262825.gd,,press,2026-09-25,"Vinasoy donates 1 million boxes of Fami Canxi (VND 4.6 billion) to 16,700 primary pupils in 30 schools in 4 provinces for 2026 to 2027."
AIB-09,Nhà Đầu Tư. Tập đoàn TH: Tiên phong những xu hướng dinh dưỡng lành mạnh. 19 Feb 2025.,Tập đoàn TH: Tiên phong những xu hướng dinh dưỡng lành mạnh,Nhà Đầu Tư,2025-02-19,https://nhadautu.vn/tap-doan-th-tien-phong-nhung-xu-huong-dinh-duong-lanh-manh-d93780.html,,press,2026-09-25,"TH true NUT (2018, sweetened with dates), TH true OAT (2023; 2024 variants); low sugar and organic positioning; no protein claim."
AIB-10,"Nutifood eShop (Ngôi nhà dinh dưỡng). Thực phẩm bổ sung sữa hạt công thức Värna Life pha sẵn (hộp combi 200 ml), product page.",Värna Life sữa hạt công thức pha sẵn,Nutifood,accessed 2026-09-25,https://ngoinhadinhduong.com/products/thuc-pham-bo-sung-sua-hat-cong-thuc-varna-life-pha-san-hop-combi-200ml,,company,2026-09-25,"Soy extract, oat, almond and peanut base; 2.35 g protein per 100 ml; lactose-free; diabetic positioning. Price display on page unclear, not used."
