source_id,citation,title,author_or_publisher,date,url,doi,source_type,accessed,notes
ECR-01,"Metric.vn (3 Apr 2026). Thi truong Sua nuoc Viet Nam qua lang kinh san TMDT Shopee: Quy mo, xu huong va co hoi tang truong 2026. Metric blog.","Thị trường Sữa nước Việt Nam qua lăng kính sàn TMĐT Shopee: Quy mô, xu hướng & cơ hội tăng trưởng 2026",Metric.vn (Cong ty CP Khoa hoc Du lieu),2026-04-03,https://metric.vn/resource/blog/thi-truong-sua-nuoc-viet-nam-qua-lang-kinh-san-tmdt-shopee-quy-mo-xu-huong-co-hoi-tang-truong-2026,,market-research,2026-09-25,"Liquid milk on Shopee, 1 Jan to 28 Mar 2026: GMV VND 561.7 billion (up 62%), 1.6 million units (up 79%), about 1,900 shops (down 17%); top 10 brands 80%; Vinamilk 53.6%, TH True Milk 16.6%, Milo 6.7%, Dalat Milk 6%; Mall shops 84.7% of revenue. Data from Metric Analytics; method not described. No plant-milk figure."
ECR-02,Metric.vn (29 Jul 2026). Metric: Bao cao thuong mai dien tu Viet Nam 6 thang dau nam 2026 duoi goc nhin cac san. Metric blog.,Metric: Báo cáo thương mại điện tử Việt Nam 6 tháng đầu năm 2026 dưới góc nhìn các sàn,Metric.vn,2026-07-29,https://metric.vn/resource/blog/metric-bao-cao-thuong-mai-dien-tu-viet-nam-6-thang-dau-nam-2026,,market-research,2026-09-25,"Four platforms (Shopee, Lazada, Tiki, TikTok Shop), H1 2026: VND 291.6 trillion (up 44.11%). Grocery and food (Bach hoa, Thuc pham): VND 19.55 trillion (up 151.08%), 188.3 million units (up 98.91%); drinks VND 4,274.85 billion; under VND 100,000 is 31% of the category; top brands Vinamilk, Ensure, TH True Milk, Trung Nguyen, Milo. Method not described."
ECR-03,Metric.vn (28 Jan 2026). Metric chinh thuc cong bo Bao cao Thuong mai Dien tu Viet Nam 2025. Metric blog.,Metric chính thức công bố Báo cáo Thương mại Điện tử Việt Nam 2025,Metric.vn,2026-01-28,https://metric.vn/resource/blog/cong-bo-bao-cao-thuong-mai-dien-tu-viet-nam-2025,,market-research,2026-09-25,"2025, four platforms: VND 429.7 trillion (up 34.75%); 601,780 shops with orders; health category VND 19.4 trillion, functional foods about VND 7,200 billion. No grocery or plant split in the free post."
ECR-04,Metric.vn. Blog listing pages 1 to 8 (80 posts) and E-report library page. Accessed 25 September 2026.,Blog | Metric; eReport,Metric.vn,2026-09,https://metric.vn/resource/blog?page=1,,market-research,2026-09-25,"Scanned all 80 listed posts: none on plant milk, soy milk, oat milk, chay, plant-based food or protein powder. Food posts: liquid milk (ECR-01), snacks 2025, mooncakes 2026, milk formula H1 2026, milk powder. The e-report library (https://metric.vn/ereport/community) loads by script and requires registration."
ECR-05,"YouNet Media. Market report category (bao-cao-thi-truong, pages 1 to 4) and WordPress site search for sua hat, sua dau nanh, thuc vat, chay, protein. Accessed 25 September 2026.",Báo cáo thị trường | YouNet Media,YouNet Media,2026-09,https://younetmedia.com/category/bao-cao-thi-truong/,,market-research,2026-09-25,"Clean negative: no e-commerce or social report on plant milk, chay, plant-based food or protein powder. Reports cover Tet campaigns, banking, real estate, universities, coffee chains, films and brand indices."
ECR-06,"Kamereo. Product pages read through their embedded page data (price incl. VAT, stock, origin, category, cumulative totalSold counter, description) for 142 plant-milk, dairy-milk, tofu, chay and processed-meat SKUs selected from the sitemap (CPC-13), fetched 10 seconds apart. Accessed 25 September 2026.",Kamereo product pages,Kamereo,2026-09,https://kamereo.vn/products/sua-dau-nanh-goldsoy-giau-dam-khong-duong-1l-D019,,company,2026-09-25,"Extends CPC-12 (Meat Zero, Panko, Vissan chay, some tofu, meat and egg comparators) to 25 dairy milks, 29 plant milks, 32 soy tofus, 4 egg tofus, 2 fish tofus, 24 sausages, 5 gio and cha, 6 spring rolls and 2 pates. Counter start dates not stated. One URL (xuc-xich-bo-vissan-40g-M100) returned no data."
ECR-07,"AVAKids (Mobile World Group). Category pages Sua tuoi (page 1) and Sua hat, read through the fetch tool. Accessed 25 September 2026.",Sữa tươi; Sữa hạt | AVAKids,Mobile World Investment Corp (AVAKids),2026-09,https://www.avakids.com/sua-hat,,company,2026-09-25,"Prices and ""Da ban"" counters per product group (shared by 4-pack and case variants, rounded above 1,000). Nut milk: Vinamilk 9 loai hat it duong 9.5k, khong duong 693. Fresh milk page 1: TH true MILK 110 ml 10.9k, Dalat Milk 220 ml 8.6k, Dutch Lady it duong 180 ml 2.6k, Dalat Milk 180 ml 2.6k and others. Direct requests got an empty reply, so the fetch tool summary could not be checked against raw HTML."
ECR-08,WheyShop. Product sitemap (146 URLs) and product pages. Accessed 25 September 2026.,WheyShop.vn,WheyShop,2026-09,https://wheyshop.vn/sitemap_products_1.xml,,company,2026-09-25,"Sapo-platform shop with four stores (Hanoi, Vinh, Da Nang, Ho Chi Minh City). Product pages show price and a ""da ban"" figure set in the shop theme; 24 figures are shared by 55 of 144 products. Protein facts from page text: Rule 1 Proteins 25 g per 31 g scoop; Mutant Whey 22 g per 38 g; Rule 1 Whey Blend 24 g x 70 servings; Orgain Organic Protein 21 g x 20 servings (920 g); NuGo Plant Protein 20 g per 37 g, 25 servings (907 g, pea)."
ECR-09,"Co.op Online (Saigon Co.op). Sitemaps (collection products, milk collection: 1,007 URLs) and product pages for Fami soy milk (bich 200 ml; 36 x 200 ml) and Vinamilk Super Nut (4 x 180 ml), structured data. Accessed 25 September 2026.",Co.op Online product pages,Saigon Co.op,2026-09,https://cooponline.vn/sua-dau-nanh-fami-36-hop-x-200ml--s250107944,,company,2026-09-25,"Rating block present (averageRating, totalReviews) but 0 and 0 on every page checked; no sales counter. Search is disallowed in robots.txt."
ECR-10,"Bach Hoa Xanh (Mobile World Group). Home page, Sua cho ca nha collection and Sua tuoi category page, read through the fetch tool; search page (robots.txt). Accessed 25 September 2026.",Bách hoá XANH,Mobile World Investment Corp (Bach Hoa Xanh),2026-09,https://www.bachhoaxanh.com/sua-tuoi,,company,2026-09-25,"Category page lists nine fresh-milk items with prices; no sales counter, rating or review count. Search disallowed by robots.txt; collection page shows placeholders; direct requests got an empty reply."
ECR-11,Shopee Vietnam. Nut-milk category page and robots.txt. Accessed 25 September 2026.,Shopee Việt Nam,Shopee,2026-09,https://shopee.vn/S%E1%BB%AFa-h%E1%BA%A1t-cat.11036194.11036195,,other,2026-09-25,Page returned a JavaScript shell with no product data. Not worked round.
ECR-12,Lazada Vietnam. Catalogue search (q=sua hat) and brand store page. Accessed 25 September 2026.,Lazada Việt Nam,Lazada,2026-09,https://www.lazada.vn/catalog/?q=sua+hat,,other,2026-09-25,Empty through the fetch tool; raw page is a captcha redirect. Not worked round.
