record_id,indicator,value,unit,year,geography,measured_or_estimated,source_ids,evidence_label,confidence,notes
MI-001,"Pork production, live weight",5389.2,thousand t,2025,Vietnam,measured (official estimate),MAC-14; MAC-12,VN-direct,High,"+3.9% y/y. Implied 2024 about 5,187 kt."
MI-002,"Pork production, live weight",2860,thousand t,2026 H1,Vietnam,measured (official estimate),MAC-18,VN-direct,High,+4.8% y/y.
MI-003,"Poultry meat production, live weight",2601.9,thousand t,2025,Vietnam,measured (official estimate),MAC-14; MAC-12,VN-direct,High,+5.9% y/y.
MI-004,"Poultry meat production, live weight",1300,thousand t,2026 H1,Vietnam,measured (official estimate),MAC-18,VN-direct,High,+5.6% y/y.
MI-005,"Beef production, live weight",499.1,thousand t,2025,Vietnam,measured (official estimate),MAC-12,VN-direct,Medium,+1.7% y/y. Livestock Department figure via VnEconomy.
MI-006,"Buffalo meat production, live weight",125.2,thousand t,2025,Vietnam,measured (official estimate),MAC-12,VN-direct,Medium,Slight decline.
MI-007,"Total meat production, live weight",8660,thousand t,2025,Vietnam,measured (official estimate),MAC-12,VN-direct,Medium,"+4.3% y/y. Sum of four meats above is 8,615 kt; remainder presumably other species."
MI-008,Pork share of live-weight meat output,62.6,%,2025,Vietnam,derived,MAC-14; MAC-12,VN-direct,High,"Our calculation: 5,389.2 / (5,389.2 + 2,601.9 + 499.1 + 125.2)."
MI-009,"Meat production, carcass-weight equivalent (our estimate)",5.85-6.50 (central 6.18),million t,2025,Vietnam,estimated,MAC-14; MAC-12,VN-direct,Low,"Our conversion using assumed dressing yields: pigs 72-78%, poultry 65-75%, cattle and buffalo 45-55%. Assumptions not sourced. Compare Decision 1520 targets of 5.0-5.5 Mt (2025) and 6.0-6.5 Mt (2030) carcass meat."
MI-010,Eggs,21.4,billion eggs,2025,Vietnam,measured (official estimate),MAC-14,VN-direct,High,+5.3% y/y.
MI-011,Eggs,10.8,billion eggs,2026 H1,Vietnam,measured (official estimate),MAC-18,VN-direct,High,+2.6% y/y.
MI-012,Fresh milk,1.3,million t,2025,Vietnam,measured (official estimate),MAC-14,VN-direct,High,+5.5% y/y. Decision 1520 target for 2025 was 1.7-1.8 Mt.
MI-013,Pig herd,31.4,million head,2025 (end),Vietnam,measured (official estimate),MAC-12,VN-direct,Medium,+0.6% y/y (Livestock Department). NSO did not publish herd levels in the summary read; it reported herd falling sharply from Q3 2025 due to ASF.
MI-014,Pig herd change,2.2,% y/y,2026 (end June),Vietnam,measured,MAC-17,VN-direct,High,NSO.
MI-015,Poultry flock,584.9,million head,2025 (end),Vietnam,measured (official estimate),MAC-12,VN-direct,Medium,+3.0% y/y.
MI-016,Cattle herd,6.14,million head,2025 (end),Vietnam,measured (official estimate),MAC-12,VN-direct,Medium,-1.2% y/y; -2.8% y/y at end June 2026 (NSO).
MI-017,Dairy cows,321.8,thousand head,2025 (end),Vietnam,measured (official estimate),MAC-12,VN-direct,Medium,-1.2% y/y.
MI-018,Buffalo herd,1.95,million head,2025 (end),Vietnam,measured (official estimate),MAC-12,VN-direct,Medium,-3.9% y/y; -6.6% y/y at end June 2026 (NSO).
MI-019,Pigs slaughtered,53.53,million head,2024,Vietnam,reported,MAC-22,VN-direct,Low,Press report; underlying source not named in extract.
MI-020,Pigs culled due to ASF,1.2-1.3,million head,2025,Vietnam,reported,MAC-01; MAC-12,VN-direct,Medium,USDA about 1.2 M; Livestock Department 1.3 M.
MI-021,Pigs dead or culled due to ASF,about 6,million head,2019,Vietnam,estimated,MAC-37,VN-direct,High,More than 20% of national pig population (peer-reviewed).
MI-022,Poultry dead or culled (disease),3.68,million head,2025,Vietnam,reported,MAC-12,VN-direct,Medium,Livestock Department via VnEconomy.
MI-023,Total fisheries output,9947.5,thousand t,2025,Vietnam,measured (official estimate),MAC-15; MAC-13,VN-direct,High,"+3.0% y/y. 2024 preliminary was 9,547 kt; implied revised 2024 about 9,658 kt."
MI-024,Aquaculture output,6116.8,thousand t,2025,Vietnam,measured (official estimate),MAC-15,VN-direct,High,"+5.1%. Fish 4,035.0; shrimp 1,381.7; other 700.1."
MI-025,Capture fisheries output,3830.7,thousand t,2025,Vietnam,measured (official estimate),MAC-15,VN-direct,High,"-0.2%. Marine 3,638.6."
MI-026,Pangasius (ca tra) output,1938.8,thousand t,2025,Vietnam,measured (official estimate),MAC-15; MAC-14,VN-direct,High,+5.0%. 31.7% of aquaculture output.
MI-027,Pangasius output,935.4,thousand t,2026 H1,Vietnam,measured (official estimate),MAC-18,VN-direct,High,+5.0%.
MI-028,Whiteleg shrimp output,994.4,thousand t,2025,Vietnam,measured (official estimate),MAC-15; MAC-16,VN-direct,High,"+6.9%. One NSO page prints 944.4; 9-month (719.7) + Q4 (274.7) = 994.4, so 944.4 is a typo."
MI-029,Black tiger shrimp output,296.7,thousand t,2025,Vietnam,measured (official estimate),MAC-15,VN-direct,High,+3.6%. H1 2026: 167.6 kt (+4.3%).
MI-030,Tilapia output,,thousand t,2025,Vietnam,,MAC-15,VN-direct,Low,GAP: NSO release mentions tilapia as rising but gives no tonnage.
MI-031,Aquaculture output change,5.7,% y/y,2026 H1,Vietnam,measured,MAC-17,VN-direct,High,"Total fisheries H1 2026 4,954.2 kt, +3.6%."
MI-032,Industrial compound feed output (livestock and poultry),21.5,million t,2024,Vietnam,measured (official estimate),MAC-28; MAC-02; MAC-26,VN-direct,High,"+3.4% y/y. Split: pig 55.3%, poultry 40.9%, other livestock 3.7%. Aquafeed NOT included."
MI-033,Industrial compound feed output (livestock and poultry),about 22,million t,2025,Vietnam,measured (official estimate),MAC-01,VN-direct,High,+3% (USDA); +2.9% per Vietnamese trade press headline.
MI-034,Industrial feed output,12.43,million t,2026 H1,Vietnam,reported,MAC-03,VN-direct,Medium,"+7.5% y/y, media figure cited by USDA."
MI-035,Total feed demand (animal + aquafeed),28.6,million t,2025,Vietnam,estimated,MAC-01,VN-direct,Medium,USDA Post estimate: animal 22.12 + aquaculture 6.5.
MI-036,Total feed demand forecast,29.5,million t,2026,Vietnam,projected,MAC-01,VN-direct,Medium,Animal 22.77 + aquaculture 6.73.
MI-037,Total feed demand forecast,30.6,million t,2027,Vietnam,projected,MAC-01,VN-direct,Medium,Animal 23.48 + aquaculture 7.12.
MI-038,Aquafeed volume (USDA),6.5,million t,2025,Vietnam,estimated,MAC-01,VN-direct,Medium,Method not disclosed. 6.2 Mt for 2024 (MAC-02).
MI-039,"Aquafeed volume (industry, by species)",3.9-4.8,million t,2025,Vietnam,estimated,MAC-06,VN-direct,Low,Sum of shrimp up to 0.92 Mt + fish 3.0-3.9 Mt (pangasius 2.0-2.5; tilapia 0.4-0.5; snakehead up to 0.3; marine 0.08-0.10). Installed capacity up to 5.5 Mt at 60-70% use implies 3.3-3.85 Mt.
MI-040,"Shrimp feed, top six producers combined",640,thousand t,2025,Vietnam,estimated,MAC-06,VN-direct,Low,"Sheng Long, CP Vietnam, Uni-President Vietnam, Tongwei, Grobest, Gromax."
MI-041,FDI share of industrial feed output,more than 60,%,2025,Vietnam,reported,MAC-25,VN-direct,Low,Vietnam Report survey via Tuoi Tre. 2017 MARD figure 60-65% (MAC-29). More than 260 feed companies.
MI-042,Share of feed raw materials imported,65 to 85,%,2024-2025,Vietnam,reported (conflicting),MAC-25; MAC-27; MAC-28; MAC-43,VN-direct,Low,"More than 65% (Vietnam Report 2025; VietDVM 2024); 85% or about 17 Mt/yr (Livestock Department, 2024); 70-80% (review 2024). Definitions differ."
MI-043,Feed share of livestock production cost,60-70,%,2026,Vietnam,claimed (industry),MAC-24,VN-direct,Low,"Vietnam Poultry Association chair, April 2026. Review (MAC-43) gives more than 70% for pigs."
MI-044,Feed share of pangasius operating cost,70-90,%,2007-2011 studies,Vietnam,estimated,MAC-42,VN-direct,Medium,"Cited in peer-reviewed paper (2016); older data, flag currency."
MI-045,Feed price change since start of 2026,10-14,%,2026 (to April),Vietnam,claimed (industry),MAC-24,VN-direct,Low,Attributed to Middle East conflict; association warned of 20-25% if prolonged.
MI-046,Corn production,4.1,million t,MY2025/26,Vietnam,estimated,MAC-01,VN-direct,Medium,"810,000 ha. MY2024/25 4.105 Mt on 820,000 ha (USDA Post)."
