record_id,province,school_en,school_week_id,week_start,weekday,protein_dishes_vi,protein_codes,n_protein_dishes,plant_protein_in_protein_dishes,plant_role,animal_free_day,minced_or_processed_meat_or_fish_dish,fish_or_seafood,plant_protein_in_soup,textured_soy_or_mock_meat,menu_author,price_per_meal_vnd,source_ids,evidence_label,confidence,demand_evidence_type,notes
PMR-M001,Ho Chi Minh City,Nguyen Binh Khiem Primary (Sai Gon ward),HCM-NBK-W2,2026-09-14,Mon,Cá lóc chiên giòn,fish,1,none,none,no,no,yes,none,none,not stated,,PMR-10,VN-direct,High,revealed,
PMR-M002,Ho Chi Minh City,Nguyen Binh Khiem Primary (Sai Gon ward),HCM-NBK-W2,2026-09-14,Tue,Gà nấu nấm đông cô,chicken,1,none,none,no,no,no,none,none,not stated,,PMR-10,VN-direct,High,revealed,
PMR-M003,Ho Chi Minh City,Nguyen Binh Khiem Primary (Sai Gon ward),HCM-NBK-W2,2026-09-14,Wed,Thịt kho trứng cút,pork+egg,1,none,none,no,no,no,none,none,not stated,,PMR-10,VN-direct,High,revealed,
PMR-M004,Ho Chi Minh City,Nguyen Binh Khiem Primary (Sai Gon ward),HCM-NBK-W2,2026-09-14,Thu,Thịt bò sốt vang,beef,1,none,none,no,no,no,none,none,not stated,,PMR-10,VN-direct,High,revealed,
PMR-M005,Ho Chi Minh City,Nguyen Binh Khiem Primary (Sai Gon ward),HCM-NBK-W2,2026-09-14,Fri,Bánh canh tôm thịt,mixed,1,none,none,no,no,no,none,none,not stated,,PMR-10,VN-direct,High,revealed,
PMR-M006,Ho Chi Minh City,Nguyen Binh Khiem Primary (Sai Gon ward),HCM-NBK-W3,2026-09-21,Mon,Sườn non kho đậu hủ,pork+tofu,1,tofu,mixed into meat dish,no,no,no,none,none,not stated,,PMR-10,VN-direct,High,revealed,
PMR-M007,Ho Chi Minh City,Nguyen Binh Khiem Primary (Sai Gon ward),HCM-NBK-W3,2026-09-21,Tue,Cốt lết rim dầu hào,pork,1,none,none,no,no,no,none,none,not stated,,PMR-10,VN-direct,High,revealed,
PMR-M008,Ho Chi Minh City,Nguyen Binh Khiem Primary (Sai Gon ward),HCM-NBK-W3,2026-09-21,Wed,Gà chiên sốt bơ tỏi,chicken,1,none,none,no,no,no,none,none,not stated,,PMR-10,VN-direct,High,revealed,
PMR-M009,Ho Chi Minh City,Nguyen Binh Khiem Primary (Sai Gon ward),HCM-NBK-W3,2026-09-21,Thu,Xíu mại sốt cà,pork_proc,1,none,none,no,yes,no,none,none,not stated,,PMR-10,VN-direct,High,revealed,
PMR-M010,Ho Chi Minh City,Nguyen Binh Khiem Primary (Sai Gon ward),HCM-NBK-W3,2026-09-21,Fri,Bún bò Huế,beef,1,none,none,no,no,no,none,none,not stated,,PMR-10,VN-direct,High,revealed,
PMR-M011,Ho Chi Minh City,Nguyen Binh Khiem Primary (Sai Gon ward),HCM-NBK-W4,2026-09-28,Mon,Cá basa chiên muối sả,fish,1,none,none,no,no,yes,none,none,not stated,,PMR-10,VN-direct,High,revealed,
PMR-M012,Ho Chi Minh City,Nguyen Binh Khiem Primary (Sai Gon ward),HCM-NBK-W4,2026-09-28,Tue,Đậu hủ Tứ Xuyên,tofu,1,tofu,animal-free day,yes,no,no,none,none,not stated,,PMR-10,VN-direct,High,revealed,"Sichuan-style tofu; usually cooked with minced pork, coded tofu only"
PMR-M013,Ho Chi Minh City,Nguyen Binh Khiem Primary (Sai Gon ward),HCM-NBK-W4,2026-09-28,Wed,Trứng đúc thịt sốt mayonnaise,egg+pork,1,none,none,no,no,no,none,none,not stated,,PMR-10,VN-direct,High,revealed,
PMR-M014,Ho Chi Minh City,Nguyen Binh Khiem Primary (Sai Gon ward),HCM-NBK-W4,2026-09-28,Thu,Bò hầm đậu trắng,beef+legume,1,legume,mixed into meat dish,no,no,no,none,none,not stated,,PMR-10,VN-direct,High,revealed,
PMR-M015,Ho Chi Minh City,Nguyen Binh Khiem Primary (Sai Gon ward),HCM-NBK-W4,2026-09-28,Fri,Bún riêu,mixed+tofu,1,tofu,mixed into meat dish,no,no,no,none,none,not stated,,PMR-10,VN-direct,High,revealed,crab and tomato noodle soup that normally contains fried tofu
PMR-M016,Ho Chi Minh City,Tran Hung Dao Primary (Cau Ong Lanh ward),HCM-THD-W2,2026-09-14,Mon,Cá kho rau răm,fish,1,none,none,no,no,yes,none,none,not stated,,PMR-11,VN-direct,High,revealed,
