instrument_name,number,type,issuer,date_issued,effective_date,status,topic,relevance_to_alt_protein,key_provisions,url,source_ids,evidence_label,confidence,notes
"Circular on aquaculture breeds, aquafeed and environment-treatment products (aquafeed permitted list, re-read)",16/2026/TT-BNNMT,circular,Ministry of Agriculture and Environment,2026-03-09,2026-03-09,in force,aquafeed,"High: the aquafeed permitted list has no raw-material section, so the status of insect meal, SCP, microalgae, duckweed and fermented soybean meal in aquafeed is legally ambiguous","Art 12(2): Appendix II is the list of 'chemicals, biological products, microorganisms and feed raw materials' permitted in aquaculture. Appendix II has only I Chemicals (minerals; environment chemicals; preservatives and antioxidants) and II Biological products, microorganisms, vitamins, amino acids (II.1 bioactives and extracts, 17 entries incl. chitosan-oligosaccharide, FOS, low-MW chitosan, beta-glucan; II.2 microorganisms, 30 entries incl. Aspergillus niger/oryzae, many Bacillus spp., Candida utilis (no. 8), Pichia farinosa (no. 22), Saccharomyces boulardii/cerevisiae (no. 27); II.3 vitamins; II.4 enzymes). Art 18(2)(c): feed imported for research needs an approved research outline. Art 19(1)(d): DFFI reviews, updates and submits the list. Art 20(2) repeals Circular 26/2018, Circular 01/2022 Art 8 and Annexes XX to XXII, Circular 10/2025 Art 3 to 6",https://thuvienphapluat.vn/van-ban/Linh-vuc-khac/Thong-tu-16-2026-TT-BNNMT-quan-ly-giong-thuy-san-san-pham-xu-ly-moi-truong-nuoi-trong-thuy-san-697177.aspx,REG2-01,VN-direct,High,"Updates wave 1 row (REG-40). No entry for insect meal, yeast protein, SCP, microalgae biomass, duckweed or fermented soybean meal. No body article says livestock-list materials may be used in aquafeed"
"Law on Fisheries, Art 35(1) (aquafeed trial trigger)",18/2017/QH14,law,National Assembly,2017-11-21,2019-01-01,in force (amended by Law 146/2025/QH15; fisheries amendments not visible),aquafeed,High: literal trigger for trials of any unlisted aquafeed raw material,"Art 35(1): aquafeed must be trialled where it contains 'hóa chất, chế phẩm sinh học, vi sinh vật, nguyên liệu sản xuất thức ăn thủy sản không có tên trong danh mục quy định'",https://thuvienphapluat.vn/van-ban/Tai-nguyen-Moi-truong/Luat-Thuy-san-338490.aspx,REG2-02,VN-direct,High,"Read with Circular 16/2026 (no raw-material section), this literally catches every raw material, including conventional ones; practice evidently differs. Needs DFFI written interpretation"
Decree on administrative penalties in animal husbandry,211/2026/ND-CP,decree,Government,2026-06-16,2026-08-05,in force,feed enforcement,High: raises the cost of using an unlisted novel feed ingredient without a recognised trial,"Art 22(1): fine VND 10 to 15 million for using each type of raw material not in the permitted list (value under VND 200 million or illicit profit under VND 100 million); Art 22(2): VND 15 to 20 million at higher values; additional penalty: suspension of feed production for 1 to 3 months; remedial: surrender of illicit profit, destruction of materials",https://thuvienphapluat.vn/van-ban/Vi-pham-hanh-chinh/Nghi-dinh-211-2026-ND-CP-xu-phat-vi-pham-hanh-chinh-chan-nuoi-710863.aspx,REG2-10;REG2-07,VN-direct,High,Replaced instrument not visible in extract (probably Decree 14/2021/ND-CP; not verified). Fines are per material type
"Decision announcing new, amended and abolished administrative procedures in nature conservation and biodiversity",375/QĐ-BNNMT,decision,Ministry of Agriculture and Environment,2026-01-29,2026-01-29 (assumed),in force,GMO biosafety procedures,Medium: publishes the procedure for the closed-production GMO certificate needed for precision fermentation with GM strains made in Vietnam,"Lists new procedure 'Cấp Giấy chứng nhận sinh vật biến đổi gen đủ điều kiện sử dụng trong sản xuất khép kín'; food/feed GMO certificate procedure amended under Decree 43/2026, implemented by MAE Department of Science and Technology",https://thuvienphapluat.vn/van-ban/Bo-may-hanh-chinh/Quyet-dinh-375-QD-BNNMT-2026-cong-bo-thu-tuc-hanh-chinh-bao-ton-thien-nhien-va-da-dang-sinh-hoc-694623.aspx,REG2-12,VN-direct,Medium,"Extract placed the closed-production procedure under a provincial-level section (Department of Agriculture and Environment), which conflicts with Decree 43/2026 naming MAE. Steps, time limit and fee not visible"
"Decree 43/2026 Art 37a (closed-production GMO certificate), re-read",43/2026/ND-CP,decree,Government,2026-01-26,2026-01-26,in force,GMO biosafety; precision fermentation,High: gate for producing with GM microbes in Vietnam,"GMO conditions: safe donor and recipient organisms; history of safety in closed production under OECD or G20 standards. Facility: closed system preventing release; waste and emission treatment licensed by environmental authority; operation per OECD/G20 closed-production standards. Dossier: application (Form 32) and technical description (Form 33); receipt check within 1 working day for postal or online filing; MAE issues, re-issues and revokes. Art 5 definition: product of a GMO contains GM genetic material or protein from the modified gene",https://thuvienphapluat.vn/van-ban/Tai-nguyen-Moi-truong/Nghi-dinh-43-2026-ND-CP-sua-doi-cac-Nghi-dinh-trong-linh-vuc-da-dang-sinh-hoc-692586.aspx,REG2-11,VN-direct,High,"Clauses on appraisal, time limits and validity were cut off in the extract. No provision found on GMO-derived products that are not GMOs"
"Decrees guiding the Law on Science, Technology and Innovation",263/2025/ND-CP; 265/2025/ND-CP; 267/2025/ND-CP; 268/2025/ND-CP,decree,Government,2025-10-14,not read,in force,"S&T finance, tasks, innovation, startups",Medium: funding and task routes (e.g. public feed trials as state S&T tasks); none sets up the Art 21 to 23 controlled-testing procedure,"263: autonomy, human resources, talent. 265: finance and investment for STI. 267: programmes, tasks, promotion of research (mentions reporting for tasks with controlled experimental production). 268: innovation tasks, loan interest support, commercialisation vouchers, startup recognition; no controlled-testing provisions",https://thuvienphapluat.vn/van-ban/Linh-vuc-khac/Nghi-dinh-268-2025-ND-CP-huong-dan-Luat-Khoa-hoc-cong-nghe-khuyen-khich-hoat-dong-khoa-hoc-677733.aspx,REG2-14;REG2-15,VN-direct,Medium,No general sandbox decree under Law 93/2025 Art 21(6) found as of 23 Sep 2026
"Law on Science, Technology and Innovation, Art 21 to 23 (controlled testing), re-read",93/2025/QH15,law,National Assembly,2025-06-27,2025-10-01,in force,sandbox,High: only national legal basis for a novel-food pilot,"Art 21(1): permission by the 'competent state agency' (no single body named). Art 21(3): test plan must set objectives, conditions and criteria, risk management, participant protection. Duration set on the firm's proposal, up to 3 years, extendable once by up to 3 years. Art 22: liability exemptions for regulators and implementers who follow the rules, except where they knew or should have known of risks; implementers stay liable to third parties. Art 21(6): Government may issue detailed rules, including sector application and conflicts with other laws",https://thuvienphapluat.vn/van-ban/Linh-vuc-khac/Luat-Khoa-hoc-Cong-nghe-va-Doi-moi-sang-tao-2025-so-93-2025-QH15-581164.aspx,REG2-13,VN-direct,High,Refines wave 1 row REG-48
Hanoi resolution on controlled testing of new technologies (sandbox),29/2025/NQ-HĐND,resolution (provincial),Hanoi People's Council,2025-09-29,not read,in force,sandbox,High: the only operating sandbox found that lists biotech among priority fields,"Criteria and conditions for selection; procedures for registration, appraisal, permission, adjustment, extension and termination of controlled testing in Hanoi",https://thuvienphapluat.vn/page/tim-van-ban.aspx?keyword=c%C6%A1%20ch%E1%BA%BF%20th%E1%BB%AD%20nghi%E1%BB%87m%20c%C3%B3%20ki%E1%BB%83m%20so%C3%A1t&sort=1,REG2-16,VN-direct,Medium,"Legal basis: Law on the Capital 2024 (39/2024/QH15, number from background knowledge) Art 25(9). Full text not read; whether a Hanoi sandbox can derogate from national food safety law is untested"
Hanoi decision on priority fields for controlled testing,6150/QĐ-UBND,decision (provincial),Hanoi People's Committee,2025-12-11,2025-12-11 (assumed),in force,sandbox,"High: names 'công nghệ sinh học' (biotech), 'công nghệ y - sinh học tiên tiến' and 'công nghệ cao trong nông nghiệp' as priority fields","Four groups of priority fields: Capital Law key S&T fields (digital, ICT, biotech, new materials, manufacturing and automation, environment); Resolution 34/2025/NQ-HĐND fields (smart city, education, health, advanced bio-medical, fintech, high-tech agriculture); strategic technologies under Decision 1131/QĐ-TTg; cultural and creative innovation. Approving body: Hanoi People's Committee",https://thuvienphapluat.vn/van-ban/Linh-vuc-khac/Quyet-dinh-6150-QD-UBND-2025-linh-vuc-uu-tien-dang-ky-thuc-hien-thu-nghiem-co-kiem-soat-Ha-Noi-684718.aspx,REG2-17,VN-direct,High,Decision 1131/QĐ-TTg was replaced by Decision 21/2026/QĐ-TTg from 1 Jul 2026 (wave 1 REG-56)
Other sector and provincial sandboxes (precedents),94/2025/ND-CP; 248/2025/QĐ-UBND (Hai Phong); 20/2026/NQ-HĐND (Da Nang),decree; provincial decisions,Government; Hai Phong People's Committee; Da Nang People's Council,2025-04-29; 2025-12-26; 2026-05-29,not read,in force,sandbox,Low to Medium: templates for a food or biotech sandbox,94/2025: controlled testing in banking (fintech). Hai Phong: technology-solution sandbox. Da Nang: new-technology sandbox,https://thuvienphapluat.vn/van-ban/Tien-te-Ngan-hang/Nghi-dinh-94-2025-ND-CP-Co-che-thu-nghiem-co-kiem-soat-trong-linh-vuc-ngan-hang-584706.aspx,REG2-16,VN-direct,Medium,Titles and dates only; scope for food not checked
