record_id,wave,line,kind,method,question,yield_class,what_changed,key_finding,next_step_needs,further_desk_work,source_prefix,working_paper,evidence_label,confidence,source_ids,notes
W7-A1,7,Actor check: funders and field-builders,different kind,"desk: RFPs, strategy pages, benchmarks","What do 20 funders and field-builders need before allocating to Vietnam, and does Part III tell them?",check (not a line),Funder advice; public-meal decision map; corporate commitments; Asian institutional precedents,"No major funder names Vietnam; market-shaping funders count decisions, not attitudes; Nova Vista excludes diet change and whole-food plant-based work",Funder calls,not applicable,AFN,working-papers/wave7/actors/funders/actors.md,VN-direct,Medium,AFN-05; AFN-18; AFN-42,"30 questions: 0 answered, 19 partly, 10 not, 1 out of scope"
W7-A2,7,Actor check: investors and startups,different kind,"desk: investor sites, reports, company pages","What do 20 investors and startups need, and does Part III tell them?",check (not a line),T1 economics; firm base rates; competitors; stale seafood advice,Investors fund offtake and unit economics; regional startups pivoted to B2B and private label,Priced offer test to buyers,not applicable,AIS,working-papers/wave7/actors/investors_startups/actors.md,VN-adjacent,Medium,AIS-01; AIS-28; AIS-34,"25 questions: 1 answered, 19 partly, 3 not, 2 out of scope"
W7-A3,7,Actor check: incumbents and first buyers,different kind,"desk: annual reports, AGM documents, rules, tenders","What do 20 Vietnamese makers, retailers and caterers need, and does Part III tell them?",check (not a line),School rules; private label; integrators as competitors; hospital and army data,No incumbent states a plant-based target; Decision 3958 reserves plant-protein school days; Co.op private label,Private-label and caterer interviews,not applicable,AIB,working-papers/wave7/actors/incumbents/actors.md,VN-direct,High,AIB-01; AIB-28; AIB-39,"30 questions: 0 answered, 16 partly, 14 not"
W7-A4,7,"Actor check: policy, research and international bodies",different kind,"desk: laws, decisions, programme documents","What do 20 policy, research and international actors need, and does Part III tell them?",check (not a line),School and shift-meal rules; Food Safety Law timing; excise; nutrition quality,Food Safety Law vote moved to May 2027; school guidance has no animal share; no plan targets meat intake,Rule tracking; UNICEF and NIN calls,not applicable,APR,working-papers/wave7/actors/policy_intl/actors.md,VN-direct,High,APR-04; APR-07; APR-27,"33 questions: 0 answered, 17 partly, 15 not, 1 out of scope"
W7-L1,7,"Public meals: rulebook, menu authority and menu audit",different kind,desk: primary rules; 48 coded school-weeks,"Who decides the protein on public plates, and what fills the plant-protein slot?",changed a conclusion; added a constraint,School verdict (ch15); route R4 logic; DMV-05 and DMV-17; TPP-04,Plant protein on 15.1% of school days; 9 of 48 weeks meet the rule; tofu beside meat; menu software prints a 48% animal-protein floor,Software default and food list; MOET circular; caterer cost sheets; plate-waste trial,noise (more menus),PMR,working-papers/wave7/lines/L1-public-meals/L1-public-meals.md,VN-direct,High,PMR-10; PMR-26; AIB-39,
W7-L2,7,Fiscal and tariff rules,different kind,"desk: laws, tariff schedules, labels","Do tariffs protect domestic protein makers, and does the sugary-drink excise reach plant milks?",added a constraint; corrections,"Tariff shelter (ch16, T1, TPP-01); plant-milk design (TPP-05, T10); new move DMV-20","0% duty on Chinese, ASEAN and Korean protein ingredients; 8% to 10% excise from 2027 may hit sweetened plant milks, dairy exempt",Written MOF ruling; VAT invoices; Form E use,noise (import tariffs),FTR,working-papers/wave7/lines/L2-fiscal-tariff/L2-fiscal-tariff.md,VN-direct,Medium,FTR-01; FTR-32; FTR-33,
W7-L3,7,Funder units and funder fit,different kind,"desk: model outputs, conversion factors, funder documents","What do the demand routes achieve in animals, CO2e and meals, and who would pay for each move?",changed a conclusion; added a constraint,"Funder advice (ch18.6, ch25.4, brief-international); new funder-units table",About 2.4 to 2.7 million animals and 0.14 Mt CO2e a year by 2035 on the benchmark path; import substitution delivers none; 4 of 19 moves have a fitting funder,Funder calls; canteen dish species,"noise (emission factors, costs)",FUF,working-papers/wave7/lines/L3-funder-units/L3-funder-units.md,general,Low,FUF-01; FUF-03; FUF-04,
W7-L4,7,"Commitments, private label and competitors",different kind,"desk: company policies, retailer and HoReCa sites","Do corporate commitments pull volume, can private label carry a protein upgrade, and who already competes in B2B channels?",added a route; added constraints; clean negative on commitments,"Private label route (ch15.6, TPP-02); TPP-04 price benchmark; LE-09; buyer map",Only Accor binds Vietnamese units; Co.op Select chay made by GN Foods; CP Meat Zero listed but not orderable; dry soy-gluten pieces already feed kitchens,Co.op pitch test; kitchen baseline,noise (more policies),CPC,working-papers/wave7/lines/L4-commitments-competitors/L4-commitments-competitors.md,VN-direct,Medium,CPC-12; CPC-15; AFN-40,
W7-L5,7,Unit economics of domestic textured protein (T1) and non-entry,different kind,"desk: equipment listings, trade data, cost build-up","Can a domestic textured-soy line pay, and why has nobody built one?",changed a conclusion; added a constraint,T1 thesis (not venture); kill test; TPP-01 price; lines supported by 2035,"Chinese lines listed at USD 11,000 to 100,000; flour price decides the margin; about one line by 2035, not three to four",Delivered flour quotes; conditional orders; customs declarations,noise (equipment listings),TIC,working-papers/wave7/lines/L5-t1-economics/L5-t1-economics.md,VN-direct,Low,TIC-02; TIC-12; TIC-13,
W7-L6,7,"Base rates: firms, diet surveillance and trade seasons",different kind,"desk: firm records, Diet Quality Questionnaire, monthly trade data","What do revealed base rates say about firm routes, chay days and import seasonality?",added constraints,Startup advice reworded; chay-day ceiling; 3504 feed reading; seasonal swing,Channel did not predict survival; 7.9% flesh-free adult days; 2106.10 rises 33% before Vu Lan; 3504 behaves like feed,Lunar-date tabulation of the diet survey; survey items for gio and cha,noise (more firms),BRD,working-papers/wave7/lines/L6-base-rates/L6-base-rates.md,VN-direct,Medium,BRD-01; BRD-05; AIS-28,
