driver,indicator,value,unit,horizon_year,scenario_or_source_model,foresight_type,source_ids,evidence_label,confidence,notes
demography,Population,101.6,million,2025,UN WPP 2024 medium variant (via OWID),projection,GEO-31; QNT (balance model uses same series),VN-direct,Medium,Same series as QNT and edition 1.0 GT-12. GSO 2025 = 102.3 M (MI-083); do not mix series.
demography,Population,104.25,million,2030,UN WPP 2024 medium variant (via OWID),projection,GEO-31; QNT (balance model uses same series),VN-direct,Medium,Same series as QNT and edition 1.0 GT-12. GSO 2025 = 102.3 M (MI-083); do not mix series.
demography,Population,106.53,million,2035,UN WPP 2024 medium variant (via OWID),projection,GEO-31; QNT (balance model uses same series),VN-direct,Medium,Same series as QNT and edition 1.0 GT-12. GSO 2025 = 102.3 M (MI-083); do not mix series.
demography,Population,108.44,million,2040,UN WPP 2024 medium variant (via OWID),projection,GEO-31; QNT (balance model uses same series),VN-direct,Medium,Same series as QNT and edition 1.0 GT-12. GSO 2025 = 102.3 M (MI-083); do not mix series.
demography,Population,109.69,million,2045,UN WPP 2024 medium variant (via OWID),projection,GEO-31; QNT (balance model uses same series),VN-direct,Medium,Same series as QNT and edition 1.0 GT-12. GSO 2025 = 102.3 M (MI-083); do not mix series.
demography,Population,110.01,million,2050,UN WPP 2024 medium variant (via OWID),projection,GEO-31; QNT (balance model uses same series),VN-direct,Medium,Same series as QNT and edition 1.0 GT-12. GSO 2025 = 102.3 M (MI-083); do not mix series.
demography,Share of population aged 65+,9.5,%,2025,UN WPP 2024 medium variant (via OWID),projection,GEO-31,VN-direct,Medium,Our calculation from age-group counts. Crosses 14% ('aged society') around 2036.
demography,Share of population aged 65+,11.8,%,2030,UN WPP 2024 medium variant (via OWID),projection,GEO-31,VN-direct,Medium,Our calculation from age-group counts. Crosses 14% ('aged society') around 2036.
demography,Share of population aged 65+,13.8,%,2035,UN WPP 2024 medium variant (via OWID),projection,GEO-31,VN-direct,Medium,Our calculation from age-group counts. Crosses 14% ('aged society') around 2036.
demography,Share of population aged 65+,15.7,%,2040,UN WPP 2024 medium variant (via OWID),projection,GEO-31,VN-direct,Medium,Our calculation from age-group counts. Crosses 14% ('aged society') around 2036.
demography,Share of population aged 65+,17.6,%,2045,UN WPP 2024 medium variant (via OWID),projection,GEO-31,VN-direct,Medium,Our calculation from age-group counts. Crosses 14% ('aged society') around 2036.
demography,Share of population aged 65+,20.0,%,2050,UN WPP 2024 medium variant (via OWID),projection,GEO-31,VN-direct,Medium,Our calculation from age-group counts. Crosses 14% ('aged society') around 2036.
demography,Working-age population (15 to 64),68.74,million,2025,UN WPP 2024 medium variant (via OWID),projection,GEO-31,VN-direct,Medium,Our calculation: total minus 0-14 minus 65+. Share of population 67.7%. Peaks about 2035 to 2040.
demography,Working-age population (15 to 64),71.18,million,2030,UN WPP 2024 medium variant (via OWID),projection,GEO-31,VN-direct,Medium,Our calculation: total minus 0-14 minus 65+. Share of population 68.3%. Peaks about 2035 to 2040.
demography,Working-age population (15 to 64),72.32,million,2035,UN WPP 2024 medium variant (via OWID),projection,GEO-31,VN-direct,Medium,Our calculation: total minus 0-14 minus 65+. Share of population 67.9%. Peaks about 2035 to 2040.
demography,Working-age population (15 to 64),72.3,million,2040,UN WPP 2024 medium variant (via OWID),projection,GEO-31,VN-direct,Medium,Our calculation: total minus 0-14 minus 65+. Share of population 66.7%. Peaks about 2035 to 2040.
demography,Working-age population (15 to 64),71.34,million,2045,UN WPP 2024 medium variant (via OWID),projection,GEO-31,VN-direct,Medium,Our calculation: total minus 0-14 minus 65+. Share of population 65.0%. Peaks about 2035 to 2040.
demography,Working-age population (15 to 64),69.37,million,2050,UN WPP 2024 medium variant (via OWID),projection,GEO-31,VN-direct,Medium,Our calculation: total minus 0-14 minus 65+. Share of population 63.1%. Peaks about 2035 to 2040.
demography,Old-age dependency ratio (65+ per 100 aged 15 to 64),14.0,per 100,2025,UN WPP 2024 medium variant (via OWID),projection,GEO-31,VN-direct,Medium,Our calculation.
demography,Old-age dependency ratio (65+ per 100 aged 15 to 64),17.3,per 100,2030,UN WPP 2024 medium variant (via OWID),projection,GEO-31,VN-direct,Medium,Our calculation.
demography,Old-age dependency ratio (65+ per 100 aged 15 to 64),23.6,per 100,2040,UN WPP 2024 medium variant (via OWID),projection,GEO-31,VN-direct,Medium,Our calculation.
demography,Old-age dependency ratio (65+ per 100 aged 15 to 64),31.7,per 100,2050,UN WPP 2024 medium variant (via OWID),projection,GEO-31,VN-direct,Medium,Our calculation.
demography,Children aged 0 to 14,23.2,million,2025,UN WPP 2024 medium variant (via OWID),projection,GEO-31,VN-direct,Medium,Falls to 18.7 M in 2050.
demography,Children aged 0 to 14,18.7,million,2050,UN WPP 2024 medium variant (via OWID),projection,GEO-31,VN-direct,Medium,
demography,Urban share of population,38.8,%,2025,"UN World Urbanization Prospects (national definitions), via OWID",projection,GEO-32,VN-direct,Medium,Our calculation from urban and rural counts; totals match WPP 2024. GSO 2025 = 38.6% (MI-084). Definition may change after 2025 administrative reform.
demography,Urban share of population,40.5,%,2030,"UN World Urbanization Prospects (national definitions), via OWID",projection,GEO-32,VN-direct,Medium,Our calculation from urban and rural counts; totals match WPP 2024. GSO 2025 = 38.6% (MI-084). Definition may change after 2025 administrative reform.
demography,Urban share of population,42.1,%,2035,"UN World Urbanization Prospects (national definitions), via OWID",projection,GEO-32,VN-direct,Medium,Our calculation from urban and rural counts; totals match WPP 2024. GSO 2025 = 38.6% (MI-084). Definition may change after 2025 administrative reform.
demography,Urban share of population,43.7,%,2040,"UN World Urbanization Prospects (national definitions), via OWID",projection,GEO-32,VN-direct,Medium,Our calculation from urban and rural counts; totals match WPP 2024. GSO 2025 = 38.6% (MI-084). Definition may change after 2025 administrative reform.
