university,programme,code,quota_year,quota,url,source_ids,evidence_label,confidence,notes
Can Tho University,Food Technology (standard),7540101,2026,220,https://tuyensinh.ctu.edu.vn/chuong-trinh-dai-tra/177-thong-tin/841-danh-muc-nganh-va-chi-tieu-tuyen-sinh-dhcq.html,INF-15,VN-direct,High,Plus 80 in high-quality programme (CTCLC) = 300 total food technology
Can Tho University,Food Technology (high-quality programme),7540101,2026,80,https://tuyensinh.ctu.edu.vn/chuong-trinh-dai-tra/177-thong-tin/841-danh-muc-nganh-va-chi-tieu-tuyen-sinh-dhcq.html,INF-15,VN-direct,High,
Can Tho University,Biotechnology (standard),7420201,2026,160,https://tuyensinh.ctu.edu.vn/chuong-trinh-dai-tra/177-thong-tin/841-danh-muc-nganh-va-chi-tieu-tuyen-sinh-dhcq.html,INF-15,VN-direct,High,Plus 80 in advanced programme (CTTT) = 240
Can Tho University,Biotechnology (advanced programme),7420201,2026,80,https://tuyensinh.ctu.edu.vn/chuong-trinh-dai-tra/177-thong-tin/841-danh-muc-nganh-va-chi-tieu-tuyen-sinh-dhcq.html,INF-15,VN-direct,High,
Can Tho University,Aquaculture (standard),7620301,2026,280,https://tuyensinh.ctu.edu.vn/chuong-trinh-dai-tra/177-thong-tin/841-danh-muc-nganh-va-chi-tieu-tuyen-sinh-dhcq.html,INF-15,VN-direct,High,Plus 40 advanced = 320
Can Tho University,Aquaculture (advanced programme),7620301,2026,40,https://tuyensinh.ctu.edu.vn/chuong-trinh-dai-tra/177-thong-tin/841-danh-muc-nganh-va-chi-tieu-tuyen-sinh-dhcq.html,INF-15,VN-direct,High,
Can Tho University,Aquatic Pathology,7620302,2026,100,https://tuyensinh.ctu.edu.vn/chuong-trinh-dai-tra/177-thong-tin/841-danh-muc-nganh-va-chi-tieu-tuyen-sinh-dhcq.html,INF-15,VN-direct,High,"Related programme, not in the three-code sum"
Can Tho University,Seafood Processing Technology,7540105,2026,140,https://tuyensinh.ctu.edu.vn/chuong-trinh-dai-tra/177-thong-tin/841-danh-muc-nganh-va-chi-tieu-tuyen-sinh-dhcq.html,INF-15,VN-direct,High,"Related programme, not in the three-code sum"
Can Tho University,Animal Husbandry,7620105,2026,100,https://tuyensinh.ctu.edu.vn/chuong-trinh-dai-tra/177-thong-tin/841-danh-muc-nganh-va-chi-tieu-tuyen-sinh-dhcq.html,INF-15,VN-direct,High,"Related programme, not in the three-code sum"
Can Tho University,ALL PROGRAMMES (total),all,2026,11850,https://tuyensinh.ctu.edu.vn/chuong-trinh-dai-tra/177-thong-tin/841-danh-muc-nganh-va-chi-tieu-tuyen-sinh-dhcq.html,INF-15; INF-16,VN-direct,High,"University page: 11,850 across 127 admission codes. Aggregator tuyensinh247 says 'about 12,000, up about 1,400 on 2025' (INF-16). Use 11,850"
Vietnam National University of Agriculture (VNUA),"ALL PROGRAMMES (total, 23 programme groups)",all,2026,8284,https://tuyensinh.vnua.edu.vn/tuyen-sinh-dai-hoc/,INF-21,VN-direct,High,"Per-programme quotas are in infographic images not machine-readable; food technology, biotechnology, aquaculture and animal husbandry are offered"
