record_id,hs_code,description,relevance,mfn_rate,acfta_china_2025_2026_2027,rcep_china_2025_2026_2027,atiga_asean,akfta_korea_2025_2026_2027,rcep_asean_2026,evfta_eu_2026,cptpp_2026,vat_2026,vat_2027,source_ids,evidence_label,confidence,demand_evidence_type,notes
FTR-TR-01,2106.10.00,Protein concentrates and textured protein substances,Imported textured soy and soy concentrate (T1 competitor); some isolates,5%,0%; 0%; 0%,0%; 0%; 0%,0%,0%; 0%; 0%,0%,0%,0%,8% (our reading of Decree 174/2025; reduced rate to 31 Dec 2026),10%,FTR-32; FTR-33; FTR-37; COST-24; REG2-20,VN-direct,Medium,"n/a (rule or tariff, not demand)","Package used the 5% MFN rate. Chinese product with a Form E or RCEP certificate of origin pays 0%. MFN applies to non-FTA origins, chiefly the United States (the largest supplier by value)."
FTR-TR-02,3504.00.00,Peptones; other protein substances,Soy isolate and pea protein (T10 competitor),3%,0%; 0%; 0%,0%; 0%; 0%,0%,0%; 0%; 0%,0%,0%,0%,8% (our reading of Decree 174/2025; reduced rate to 31 Dec 2026),10%,FTR-32; FTR-33; FTR-37; COST-24; REG2-23,VN-direct,Medium,"n/a (rule or tariff, not demand)","Chinese, French (EVFTA) and Canadian (CPTPP) pea protein pay 0%; United States pea protein pays 3% MFN."
FTR-TR-03,1109.00.00,Wheat gluten,Seitan and chay rolls; T1 soy-gluten blends,10%,0%; 0%; 0%,0%; 0%; 0%,0%,0%; 0%; 0%,0%,not checked,0%,8% (our reading of Decree 174/2025; reduced rate to 31 Dec 2026),10%,FTR-32; FTR-33; REG2-23,VN-direct,Medium,"n/a (rule or tariff, not demand)","China supplies most imported gluten; it pays 0% under ACFTA, not 10%."
FTR-TR-04,1208.10.00,Flours and meals of soya beans (full fat),Input for a domestic textured-protein line,8%,0%; 0%; 0%,0%; 0%; 0%,0%,0%; 0%; 0%,0%,not checked,0%,8% (our inference: processed food ingredient),10%,FTR-32,VN-direct,Medium,"n/a (rule or tariff, not demand)",A domestic maker buying full-fat soy flour from the United States would pay 8% MFN while Chinese textured protein enters at 0%.
FTR-TR-05,2304.00.10 (defatted soy flour for human food); 2304.00.90,Oil-cake of soya beans,"Defatted soy flour, the usual extrusion input; soybean meal",0% (VNTR); package records 2% for 2304.00.21 kept by Decree 73/2025,0%,0%,0%,0%,0%,not checked,0%,not read,not read,FTR-32; REG2-21; FTR-34,VN-direct,Low,"n/a (rule or tariff, not demand)",VNTR mixes two nomenclature versions for heading 2304 and its MFN column predates Decree 73/2025. Treat the MFN rate as 0 to 2%.
FTR-TR-06,2102.10; 2102.20.10; 2102.20.90,Yeasts; dead single-cell micro-organisms,"Imported single-cell protein for feed and food (T2, T3 competitors)",10%; 7%; 7%,0%,0%,0%,not checked,0%,not checked,not checked,feed: not subject to VAT; food: 8%,feed: not subject; food: 10%,FTR-32; COST-24; REG2-23,VN-direct,Medium,"n/a (rule or tariff, not demand)","Closes OQ-150. Chinese microbial protein pays 0%, so a local SCP maker has no tariff edge over it."
FTR-TR-07,0713.31.90,Mung beans (other than for sowing),Raw material for a mung bean isolate (T10),15%,0%; 0%; 0%,0%; 0%; 0%,0%,not checked,0%,not checked,0%,not subject at import (unprocessed crop),not subject at import,FTR-32; COST-24,VN-direct,Medium,"n/a (rule or tariff, not demand)","Beans from Myanmar, China or Australia enter duty-free; the 15% MFN applies only to non-FTA origins."
FTR-TR-08,2202.99.20,Soya milk drinks (Đồ uống sữa đậu nành),Imported soy milk competing with Vinasoy,30%,0%; 0%; 0%,18%; 15%; 12% (0% from 2031),0%,0%; 0%; 0%,15%,3.7%,0%,10% if above 5 g sugar (no VAT cut); otherwise 8%,10%,FTR-32; FTR-09; FTR-37,VN-direct,Medium,"n/a (rule or tariff, not demand)","Customs classes soy milk as a non-alcoholic beverage in heading 2202, not as dairy. Regional imports are duty-free."
FTR-TR-09,2202.99.50,Other non-aerated beverages ready to drink,"Nut, oat and other plant milks",30%,0%; 0%; 0%,18%; 15%; 12% (0% from 2031),0%,0%; 0%; 0%,15%,3.7%,0%,10% if above 5 g sugar; otherwise 8%,10%,FTR-32; FTR-09; FTR-37,VN-direct,Medium,"n/a (rule or tariff, not demand)",Classification of individual plant milks between 2202.99.50 and 2202.99.90 not verified.
FTR-TR-10,2202.99.90,Other non-alcoholic beverages,Some plant milks,20%,0%,10% (2026),0%,0%,10%,not checked,0%,as above,10%,FTR-32,VN-direct,Medium,"n/a (rule or tariff, not demand)",
FTR-TR-11,2106.90.19; 2106.90.99,Other soy-based preparations; other food preparations,Imported chay foods and plant-based meat analogues,15%,0%; 0%; 0%,9%; 7.5%; 6% (0% from 2031),0%,0%; 0%; 0%,7.5%,not checked,0%,8% (our reading of Decree 174/2025; reduced rate to 31 Dec 2026),10%,FTR-32; FTR-37,VN-direct,Medium,"n/a (rule or tariff, not demand)","Finished chay foods and analogues from China, ASEAN and Korea enter duty-free."
FTR-TR-12,0802.12.90; 0802.51.00,"Almonds, shelled; macadamia in shell",Nut-milk inputs,"5% (cut from 10% and 15% by Decree 73/2025, 31 Mar 2025)",not checked,not checked,not checked,not checked,not checked,not checked,not checked,not read,not read,REG2-21,VN-direct,Medium,"n/a (rule or tariff, not demand)","VNTR still shows the pre-March 2025 10% for 0802.12.90, which shows its MFN column is out of date."
