record_id,agreement,markets_served,hs_line,product_example,rule,tolerance,imported_chinese_textured_soy,imported_wheat_flour_or_gluten,meat_or_seafood_filling,binds_on_domestic_textured_soy,source_ids,evidence_label,confidence,demand_evidence_type,notes
ORR-01,EU-Viet Nam FTA (EVFTA),EU27,"Chapter 19 incl. 1902.20 stuffed pasta, 1902.30, 1905","Dumpling, gyoza, wonton, bao, spring roll with pasta wrapper","Manufacture from materials of any heading except that of the product, in which non-originating materials of headings 1006 and 1101 to 1108 are at most 20% of product weight; chapters 2, 3 and 16 at most 20%; chapter 4 at most 20%; sugar at most 40%; sugar plus chapter 4 at most 50%",General tolerance may not be used to exceed these caps (Article 5(4)),No effect: textured soy (2106.10) is another heading and is not capped,"Flour, starch or rice that is non-originating counts toward the 20% cap; flour milled in Viet Nam from imported wheat is non-originating (ORR-03); wheat gluten (1109) is not capped; Vietnamese rice flour and cassava starch are originating","Non-originating meat, fish or shrimp above 20% of weight breaks origin; Vietnamese farmed pork and shrimp are wholly obtained",No,ORG-01,VN-direct,High,revealed (rule),Note 3.5: non-originating cereals of chapter 10 milled in the same production are not limited by the 20% cap; flour bought from a mill is.
ORR-02,EU-Viet Nam FTA (EVFTA),EU27,Chapter 21 incl. 2106.10 and 2106.90,"Chay food preparation (vegetarian meat analogue), seasoned textured soy pieces",Manufacture from materials of any heading except that of the product; chapter 4 at most 20% of weight; sugar at most 40%; combined at most 50%,Non-originating materials of the same heading may be used up to 10% of the weight of the product or ex-works price (Article 5(3)(a)),"Counts, because textured soy is also heading 2106. Passes if at most 10% of product weight, or on our reading of the text at most 10% of ex-works price (about 32 to 46% of weight at USD 4.27 to 5.87 per kg). Seasoning imported textured soy (2106.10 to 2106.10) never confers origin","Wheat gluten (1109), soy isolate (3504) and soy flour (1208) are other headings: allowed without limit",Not relevant to 2106 (meat preparations are chapter 16),"Only for 2106.90 products above 10% imported dry textured soy by weight if the value option is not accepted, and for dry textured products made from imported textured soy or concentrate",ORG-01,VN-direct,High (rule); Medium (value reading),revealed (rule),Value of materials is the customs value at import (Article 1(o)); Chinese textured soy CIF about USD 1.27 to 1.34 per kg (our calculation from TIC-12).
ORR-03,EU-Viet Nam FTA (EVFTA),EU27,"Chapter 11 (1101 wheat flour, 1108 starches, 1109 gluten)",Wheat flour and gluten made in Viet Nam,"All materials of chapters 10 and 11 (and 0701, 0714.10, 2303, 0710.10) used must be wholly obtained",Tolerance applies to the sum of such materials (Article 5(5)),n/a,Flour or gluten from imported wheat is non-originating; flour from Vietnamese rice and starch from Vietnamese cassava are originating,n/a,No,ORG-01,VN-direct,High,revealed (rule),
ORR-04,EU-Viet Nam FTA (EVFTA),EU27,Chapter 16 (1602 meat preparations),Spring roll with more than 20% pork if not classed as stuffed pasta,"All materials of chapters 2, 3 and 16 used must be wholly obtained",10% of weight or ex-works price for the sum of such materials,n/a,Allowed (other chapters),"Meat must be Vietnamese-raised; entry of meat products also needs EU listing, which Viet Nam lacks (ORG-10)",No,ORG-01; ORG-10,VN-direct,High,revealed (rule),
ORR-05,EU-Viet Nam FTA (EVFTA),EU27,"Chapter 20 (2004.90, 2005.99 prepared vegetables)",Vegetable spring roll or vegetable mix classed as prepared vegetables,Manufacture from materials of any heading except that of the product; sugar at most 20% of weight,10% of weight or ex-works price,Allowed (other heading),Allowed (other heading),n/a,No,ORG-01,VN-direct,High,revealed (rule),"Classification of a given spring roll (1902, 1602, 2004, 2005 or 2106) decides which rule applies."
ORR-06,EU-Viet Nam FTA (EVFTA),EU27,2106.10 made in Viet Nam from 1208 or 2304,Domestic textured soy (T1),Manufacture from materials of any heading except that of the product,10% of weight or ex-works price,Domestic textured soy extruded from imported defatted soy flour (1208) or meal (2304) is originating; extruded from imported concentrate (2106.10) it is not,n/a,n/a,"Design condition for T1, not a demand",ORG-01,VN-direct,High,revealed (rule),Soy flour milled in Viet Nam from imported soybeans is also originating (chapter 12: change of heading).
ORR-07,UK-Viet Nam FTA (UKVFTA),United Kingdom,Same lines as ORR-01 to ORR-06,Same,"Identical to EVFTA (UK-Viet Nam Origin Reference Document v1.1, Article 5 and Annex II)",Identical: 10% of the weight of the product or ex-works price,As ORR-02,As ORR-01 and ORR-03,As ORR-04,No,XBA-30; ORG-04,VN-direct,High,revealed (rule),"UK exporters can instead claim UK-CPTPP (ORR-08, ORR-09)."
ORR-08,CPTPP (UK-CPTPP and CPTPP Annex 3-D),"United Kingdom, Japan, Canada, Australia, other members",1902 to 1904; 1905; 1101,"Dumpling, spring roll, bao; wheat flour",1902 to 1904: change from any other chapter. 1905: change from any other heading. 1101: change from any other chapter,10% of value (UK CPTPP ORD tolerance article),Allowed,Allowed; flour milled in Viet Nam from imported wheat is originating,Allowed for 1902 (change of chapter),No,XBA-30; ORG-04,VN-direct,High,revealed (rule),Read from the UK CPTPP Origin Reference Document; CPTPP product-specific rules are common to members.
ORR-09,CPTPP (UK-CPTPP and CPTPP Annex 3-D),"United Kingdom, Japan, Canada, Australia, other members",2106.10; 2106.90; 1602.41 to 1602.50,Textured soy; chay food preparation; pork preparation,"2106.10: change from any other subheading. 2106.90 (other goods): change from any other subheading, or regional value content of 30% (build-up) or 40% (build-down). 1602.41 to 1602.50: change from any other chapter except chapter 2, or 45% (build-down)",10% of value,2106.10 to 2106.90 is a change of subheading: allowed. Textured soy made from imported concentrate (2106.10 to 2106.10) fails,Allowed,Pork preparations from imported pork need 45% regional value content,No,XBA-30; ORG-04,VN-direct,High,revealed (rule),
ORR-10,RCEP,"Japan, Korea, China, Australia, New Zealand, ASEAN",1101; 1602; 1902; 1905; 2106.10; 2106.90,All,1101 CC; 1602 CC; 1902 CC; 1905 CTH or RVC40; 2106.10 CC or RVC40; 2106.90 CTH or RVC40,Not read,1902: allowed. 2106.90: needs 40% regional value content if more than the de minimis,Allowed,1602 CC: imported meat allowed,No,ORG-06,VN-direct,High,revealed (rule),CC = change of chapter; CTH = change of heading; RVC40 = regional value content of 40%.
