country,iso3,fieldwork,meat_poultry_fish_pct,flesh_free_day_pct,flesh_free_lower_95_ci,flesh_free_upper_95_ci,pulses_pct,processed_meats_pct,unprocessed_red_meat_pct,eggs_pct,n,source_ids,evidence_label,confidence,demand_evidence_type,notes
Viet Nam,VNM,2021-11-13 to 2021-12-12,92.12,7.9,5.3,11.0,40.01,18.1,76.07,65.12,1007,APR-36; BRD-03,VN-direct,Medium,revealed,"Country questionnaires name different local foods, and rounds differ in year and season, so comparisons are indicative. Flesh-free day is our calculation (100 minus meat, poultry or fish)."
China,CHN,2021-09-26 to 2021-12-16,85.12,14.9,13.0,16.8,57.83,32.81,70.67,65.52,3499,APR-36; BRD-03,VN-adjacent,Medium,revealed,"Country questionnaires name different local foods, and rounds differ in year and season, so comparisons are indicative. Flesh-free day is our calculation (100 minus meat, poultry or fish)."
Thailand,THA,2023-09-04 to 2023-11-19,90.19,9.8,7.3,12.6,31.55,24.77,64.18,77.63,1000,APR-36; BRD-03,VN-adjacent,Medium,revealed,"Country questionnaires name different local foods, and rounds differ in year and season, so comparisons are indicative. Flesh-free day is our calculation (100 minus meat, poultry or fish)."
Cambodia,KHM,2021-08-28 to 2021-10-05,96.72,3.3,2.2,4.5,23.87,5.46,60.55,51.12,1000,APR-36; BRD-03,VN-adjacent,Medium,revealed,"Country questionnaires name different local foods, and rounds differ in year and season, so comparisons are indicative. Flesh-free day is our calculation (100 minus meat, poultry or fish)."
Lao PDR,LAO,2021-08-30 to 2021-12-14,89.36,10.6,7.6,14.1,19.27,33.14,64.84,44.56,1000,APR-36; BRD-03,VN-adjacent,Medium,revealed,"Country questionnaires name different local foods, and rounds differ in year and season, so comparisons are indicative. Flesh-free day is our calculation (100 minus meat, poultry or fish)."
Myanmar,MMR,2023-09-05 to 2023-10-07,82.66,17.3,13.6,21.4,36.81,10.49,33.19,50.67,1000,APR-36; BRD-03,VN-adjacent,Medium,revealed,"Country questionnaires name different local foods, and rounds differ in year and season, so comparisons are indicative. Flesh-free day is our calculation (100 minus meat, poultry or fish)."
Malaysia,MYS,2023-08-21 to 2023-11-10,85.29,14.7,11.6,18.2,25.06,16.4,22.59,63.97,1000,APR-36; BRD-03,VN-adjacent,Medium,revealed,"Country questionnaires name different local foods, and rounds differ in year and season, so comparisons are indicative. Flesh-free day is our calculation (100 minus meat, poultry or fish)."
Indonesia,IDN,2021-07-07 to 2021-10-15,86.16,13.8,10.7,17.3,78.65,19.82,27.62,81.24,1062,APR-36; BRD-03,VN-adjacent,Medium,revealed,"Country questionnaires name different local foods, and rounds differ in year and season, so comparisons are indicative. Flesh-free day is our calculation (100 minus meat, poultry or fish)."
Philippines,PHL,2021-08-17 to 2021-10-13,94.24,5.8,3.8,8.1,39.44,35.73,38.14,65.34,1000,APR-36; BRD-03,VN-adjacent,Medium,revealed,"Country questionnaires name different local foods, and rounds differ in year and season, so comparisons are indicative. Flesh-free day is our calculation (100 minus meat, poultry or fish)."
Mongolia,MNG,2023-07-31 to 2023-09-22,95.3,4.7,2.4,7.7,6.1,21.84,91.9,33.94,1000,APR-36; BRD-03,VN-adjacent,Medium,revealed,"Country questionnaires name different local foods, and rounds differ in year and season, so comparisons are indicative. Flesh-free day is our calculation (100 minus meat, poultry or fish)."
