record_id,measure,group_type,definition,n_firms,active,pivoted,exited,dormant,share_active_pct,share_operating_pct,firm_ids,source_ids,evidence_label,confidence,demand_evidence_type,notes
FBR-001,all startups and scale-ups,total,24 firms in the startup base rate (FO-07 has no known first channel),24,7,4,2,11,29,46,FO-01; FO-02; FO-03; FO-04; FO-05; FO-06; FO-07; FO-08; FO-09; FO-10; FO-11; FO-12; FO-13; FO-14; FO-15; FO-16; FO-17; FO-18; FO-19; FO-20; FO-21; FO-22; FO-23; FO-24,data_firm_outcomes.csv (row sources),VN-adjacent,Low,revealed,"Our calculation. Operating = active or pivoted. For the pivot row, share_operating_pct holds the share of all 24 firms that pivoted. Groups A to D are mutually exclusive; requested rates overlap (B is in both). Dormant means no evidence found after the last date, not proof of closure."
FBR-002,"A: own brand first sold in shops, online or own outlets",exclusive group,first_channel_class b2c_brand or mixed (some also wholesale to HoReCa),5,4,0,0,1,80,80,FO-02; FO-03; FO-04; FO-06; FO-14,data_firm_outcomes.csv (row sources),VN-adjacent,Low,revealed,"Our calculation. Operating = active or pivoted. For the pivot row, share_operating_pct holds the share of all 24 firms that pivoted. Groups A to D are mutually exclusive; requested rates overlap (B is in both). Dormant means no evidence found after the last date, not proof of closure."
FBR-003,B: own brand first placed on restaurant or cafe menus,exclusive group,"first_channel_class foodservice: branded product supplied to restaurants, cafes or chains",12,2,3,0,7,17,42,FO-01; FO-05; FO-09; FO-10; FO-11; FO-12; FO-13; FO-15; FO-16; FO-17; FO-20; FO-21,data_firm_outcomes.csv (row sources),VN-adjacent,Low,revealed,"Our calculation. Operating = active or pivoted. For the pivot row, share_operating_pct holds the share of all 24 firms that pivoted. Groups A to D are mutually exclusive; requested rates overlap (B is in both). Dormant means no evidence found after the last date, not proof of closure."
FBR-004,"C: no own brand at launch; B2B ingredient, technology or OEM",exclusive group,first_channel_class b2b_ingredient or oem_private_label,6,1,1,2,2,17,33,FO-08; FO-18; FO-19; FO-22; FO-23; FO-24,data_firm_outcomes.csv (row sources),VN-adjacent,Low,revealed,"Our calculation. Operating = active or pivoted. For the pivot row, share_operating_pct holds the share of all 24 firms that pivoted. Groups A to D are mutually exclusive; requested rates overlap (B is in both). Dormant means no evidence found after the last date, not proof of closure."
FBR-005,D: first channel unknown,exclusive group,first_channel_class unknown,1,0,0,0,1,0,0,FO-07,data_firm_outcomes.csv (row sources),VN-adjacent,Low,revealed,"Our calculation. Operating = active or pivoted. For the pivot row, share_operating_pct holds the share of all 24 firms that pivoted. Groups A to D are mutually exclusive; requested rates overlap (B is in both). Dormant means no evidence found after the last date, not proof of closure."
FBR-006,"started B2C (own brand at launch, A plus B)",requested rate,the brief requested rate: started with a consumer brand,17,6,3,0,8,35,53,FO-02; FO-03; FO-04; FO-06; FO-14; FO-01; FO-05; FO-09; FO-10; FO-11; FO-12; FO-13; FO-15; FO-16; FO-17; FO-20; FO-21,data_firm_outcomes.csv (row sources),VN-adjacent,Low,revealed,"Our calculation. Operating = active or pivoted. For the pivot row, share_operating_pct holds the share of all 24 firms that pivoted. Groups A to D are mutually exclusive; requested rates overlap (B is in both). Dormant means no evidence found after the last date, not proof of closure."
FBR-007,business customer first (B plus C),requested rate,Part III reading of foodservice or B2B first,18,3,4,2,9,17,39,FO-01; FO-05; FO-09; FO-10; FO-11; FO-12; FO-13; FO-15; FO-16; FO-17; FO-20; FO-21; FO-08; FO-18; FO-19; FO-22; FO-23; FO-24,data_firm_outcomes.csv (row sources),VN-adjacent,Low,revealed,"Our calculation. Operating = active or pivoted. For the pivot row, share_operating_pct holds the share of all 24 firms that pivoted. Groups A to D are mutually exclusive; requested rates overlap (B is in both). Dormant means no evidence found after the last date, not proof of closure."
FBR-008,B excluding cultivated,sensitivity,restaurant-first plant-based and plant-milk firms,10,2,1,0,7,20,30,FO-01; FO-05; FO-09; FO-10; FO-11; FO-12; FO-13; FO-15; FO-16; FO-17,data_firm_outcomes.csv (row sources),VN-adjacent,Low,revealed,"Our calculation. Operating = active or pivoted. For the pivot row, share_operating_pct holds the share of all 24 firms that pivoted. Groups A to D are mutually exclusive; requested rates overlap (B is in both). Dormant means no evidence found after the last date, not proof of closure."
FBR-009,C excluding cultivated and microalgae,sensitivity,plant-based OEM or ingredient firms,1,1,0,0,0,100,100,FO-08,data_firm_outcomes.csv (row sources),VN-adjacent,Low,revealed,"Our calculation. Operating = active or pivoted. For the pivot row, share_operating_pct holds the share of all 24 firms that pivoted. Groups A to D are mutually exclusive; requested rates overlap (B is in both). Dormant means no evidence found after the last date, not proof of closure."
FBR-010,cultivated or microalgae,sensitivity,frontier technology firms,7,0,3,2,2,0,43,FO-18; FO-19; FO-20; FO-21; FO-22; FO-23; FO-24,data_firm_outcomes.csv (row sources),VN-adjacent,Low,revealed,"Our calculation. Operating = active or pivoted. For the pivot row, share_operating_pct holds the share of all 24 firms that pivoted. Groups A to D are mutually exclusive; requested rates overlap (B is in both). Dormant means no evidence found after the last date, not proof of closure."
FBR-011,"plant-based meat, seafood or egg analogue makers",sensitivity,any first channel,12,2,1,0,9,17,25,FO-01; FO-05; FO-06; FO-07; FO-08; FO-09; FO-10; FO-12; FO-13; FO-15; FO-16; FO-17,data_firm_outcomes.csv (row sources),VN-adjacent,Low,revealed,"Our calculation. Operating = active or pivoted. For the pivot row, share_operating_pct holds the share of all 24 firms that pivoted. Groups A to D are mutually exclusive; requested rates overlap (B is in both). Dormant means no evidence found after the last date, not proof of closure."
FBR-012,Vietnam-founded analogue makers,sensitivity,"VMEAT, Is It Meat?, Yukino, Bien Phuong",4,0,0,0,4,0,0,FO-01; FO-05; FO-06; FO-07,data_firm_outcomes.csv (row sources),VN-adjacent,Low,revealed,"Our calculation. Operating = active or pivoted. For the pivot row, share_operating_pct holds the share of all 24 firms that pivoted. Groups A to D are mutually exclusive; requested rates overlap (B is in both). Dormant means no evidence found after the last date, not proof of closure."
FBR-013,Vietnam-founded traditional or whole-food formats,sensitivity,"Emmay, Kashew, Ong Tempeh",3,3,0,0,0,100,100,FO-02; FO-03; FO-04,data_firm_outcomes.csv (row sources),VN-adjacent,Low,revealed,"Our calculation. Operating = active or pivoted. For the pivot row, share_operating_pct holds the share of all 24 firms that pivoted. Groups A to D are mutually exclusive; requested rates overlap (B is in both). Dormant means no evidence found after the last date, not proof of closure."
FBR-014,"pivoted to private label, co-manufacturing, B2B or non-food",requested rate,"TiNDLE, Vow, Avant parent, UMAMI Bioworks; GOOD Meat moved to a 3% blend and is not counted",24,,4,,,,17,FO-12; FO-21; FO-22; FO-24,data_firm_outcomes.csv (row sources),VN-adjacent,Low,revealed,"Our calculation. Operating = active or pivoted. For the pivot row, share_operating_pct holds the share of all 24 firms that pivoted. Groups A to D are mutually exclusive; requested rates overlap (B is in both). Dormant means no evidence found after the last date, not proof of closure."
