dg_id,topic,claim_a,claim_b,position_taken,from_note,notes
DG-001,Aquafeed volume 2025,"6.5 Mt (USDA Post, MAC-01)","3.9 to 4.8 Mt (industry via ACAP, MAC-06); 3.3 to 3.85 Mt (capacity x utilisation, same article)",Report both. The ACAP species split is more transparent. Neither closes with NSO output at plausible FCRs. Do not use a single number.,wave1/macro/m1-protein-economy.md,Same or related disagreement: DG-120.
DG-002,Shrimp output 2025,"1,291 kt whiteleg plus black tiger (NSO, MAC-15)","""Nearly 800,000 tonnes"" supported by 920 kt of feed (industry, MAC-06)",Use NSO for output. Flag that feed-based and statistical estimates diverge by about 40%.,wave1/macro/m1-protein-economy.md,
DG-003,Whiteleg shrimp 2025,994.4 kt (NSO fisheries release),944.4 kt (NSO highlights page),994.4 kt: 9-month 719.7 + Q4 274.7 = 994.4.,wave1/macro/m1-protein-economy.md,
DG-004,Pig herd trend 2025,"+0.6% to 31.4 M (Livestock Department, MAC-12)","Herd ""fell sharply"" from Q3 2025 (NSO, MAC-13)",Unresolved. Possibly different reference dates. Cite both.,wave1/macro/m1-protein-economy.md,
DG-005,Pigs culled for ASF 2025,1.2 M (USDA),1.3 M (Livestock Department),Report 1.2 to 1.3 M.,wave1/macro/m1-protein-economy.md,
DG-006,Share of feed raw materials imported,More than 65% (Vietnam Report 2025; VietDVM),"85%, about 17 Mt/yr (Livestock Department 2024, via VnEconomy); 70% to 80% (review 2024)","Definitions differ (volume vs value; with or without domestic rice bran and cassava). Prefer ingredient-specific figures: corn 74%, soy protein about 99%, wheat and DDGS 100%.",wave1/macro/m1-protein-economy.md,
DG-007,Corn imports 2024,"12.52 Mt (customs, USDA)","10 Mt (Livestock Department feed-ingredient figure, MAC-28)",12.52 Mt is total imports. The lower figure is probably feed-industry-only imports.,wave1/macro/m1-protein-economy.md,
DG-008,Wheat imports 2024,5.5 Mt (USDA),about 5.74 Mt (derived from customs growth rates),Minor. Use 5.5 to 5.7 Mt.,wave1/macro/m1-protein-economy.md,
DG-009,Corn feed use,14.4 Mt feed and residual (USDA PSD MY2024/25),"9.2 Mt corn in industrial feed (USDA Table 2, CY2025)",Different scope (PSD includes on-farm feed and residual). Use 9.2 Mt for compound feed and 14.4 Mt for total feed use.,wave1/macro/m1-protein-economy.md,
DG-010,Soybean meal origins 2025,Argentina 69% (our reading of the table),Brazil 69% (first automated summary),"Argentina, pending a direct PDF check.",wave1/macro/m1-protein-economy.md,
DG-011,Population 2025,102.3 M (NSO),101.9 M (USDA),Use NSO.,wave1/macro/m1-protein-economy.md,Same or related disagreement: DG-125.
DG-012,GDP per person 2025,"USD 5,026 (NSO)","USD 5,048 (USDA)",Use NSO.,wave1/macro/m1-protein-economy.md,
DG-013,Fisheries 2024,"9,547 kt preliminary (NSO Feb 2025)","about 9,658 kt implied by 2025 growth rate",NSO revised 2024 upward. Use the revised figure for growth calculations.,wave1/macro/m1-protein-economy.md,
DG-014,Fishmeal pool,350 to 450 kt (prior draft),about 80 to 270 kt (this note),Prior figure not supported by sourced inputs.,wave1/macro/m1-protein-economy.md,Same or related disagreement: DG-117.
DG-015,Starch factory count,"~100 industrial (MOIT, 2021; FS-04)","~120 in 27 provinces (ACC, 2023; FS-02); 150+ (VCA, Oct 2025; FS-07)","Unresolved. Likely different size thresholds and new builds. Use ""120 to 150"" and cite both.",wave1/feedstock/feedstock.md,
DG-016,Cassava pulp volume,"~4 Mt/yr; 10 to 15% of roots ""= 3.8 to 5.4 Mt"" (FS-17). That arithmetic implies 38 to 54 Mt roots, so it is internally wrong","1.7 to 2.1 Mt wet (prior draft, uncited)","Ours: ~6.2 Mt wet (range 4 to 8), about 1.3 Mt DM, 2025, from the Thai material balance. The 1.7 to 2.1 Mt figure is rejected as too low for wet pulp.",wave1/feedstock/feedstock.md,
DG-017,Pulp ratio per t roots,10 to 15% (FS-18); 20 to 30% (FS-20),"40 to 60% wet (FS-04, FS-16); 57% wet (FS-05/06)",Different moisture bases. Adopt 0.57 t wet (80% moisture) or 0.12 t DM per t roots.,wave1/feedstock/feedstock.md,
DG-018,Pulp protein,"0.2% (FS-16, wet basis)","1.5 to 2.6% DM (FS-18, FS-19, FS-20)",Consistent once moisture is accounted for. Use DM figures.,wave1/feedstock/feedstock.md,
DG-019,Cassava chip exports 2025,"967,460 t in 10 months (FS-13)","955,670 t in 11 months (FS-01)","Cannot both be chips-only. Probably different product definitions (all raw cassava vs dried chips). Not averaged. Use FS-01 for chips, flag.",wave1/feedstock/feedstock.md,
DG-020,Cassava area/output,"499,100 ha, 10.24 Mt (2025; FS-01)","~517,000 ha, ~10.5 Mt (FS-08, published Aug 2026)",FS-08 repeats 2024 figures. Use FS-01 for 2025.,wave1/feedstock/feedstock.md,
DG-021,Ethanol plants,"""6 ethanol plants"" (FS-08)","3 operating, 830 m3/day (FS-09)","Both true: 6 built, 3 operating in mid-2026.",wave1/feedstock/feedstock.md,
DG-022,Paddy,"43.5 Mt (NSO, CY2025)",42.96 Mt (USDA MY2024/25); prior draft 43.12 Mt,Different periods. Use NSO for calendar 2025.,wave1/feedstock/feedstock.md,
DG-023,Maize,"4.4 Mt (NSO, 2025)","4.1 Mt (USDA, MY2025/26)",Different periods and methods. Show both.,wave1/feedstock/feedstock.md,
DG-024,Rice bran volume,"~4.35 Mt (derived, 10%)","~5 Mt (FS-28, claim)",Use derived 4.35 Mt. It is consistent with USDA use plus exports of about 4 Mt.,wave1/feedstock/feedstock.md,
DG-025,Bran + broken in feed,"730 kt (prior draft, citing an earlier USDA report)",2.8 Mt local supply CY2025 (USDA VM2026-0012),Use the current USDA table. The 730 kt figure is probably a different table (imports) or outdated.,wave1/feedstock/feedstock.md,
DG-026,BSG price,"6,000 to 6,500 VND/kg fresh (FS-42)","Dry rice bran 7,300 to 7,650 VND/kg (FS-26)",The BSG quote is implausibly high per kg of DM. Treat as retail and Low.,wave1/feedstock/feedstock.md,
DG-027,Molasses ethanol at QNS,"60 M L/yr, target 2026 (FS-35, 2024)","An Khe ethanol plant 200 m3/day, Q1 2028 (FS-09, 2026)","Probably the same project, delayed. Use the 2026 government source.",wave1/feedstock/feedstock.md,
DG-028,Fuel ethanol total capacity,"About 600,000 m3/yr, 6 plants (prior lead)","450,000 m3/yr (IND-19, September 2025); 41,000 m3/month, about 492,000/yr (IND-18, March 2026); 480,000 m3/yr with 7 plants (IND-20, July 2026)","Use 450,000 to 490,000 m3/yr. The 600,000 figure probably assumed 6 plants of 100 million L each, but actual nameplates range from 72 to 125 million L and some are much smaller.",wave1/industry/industry.md,
DG-029,E10 start date,Nationwide from 1 January 2026 (IND-19),From 1 June 2026 under Circular 50/2025/TT-BCT (IND-22),"Not in this agent's scope. Passed to the regulation agent. The later source cites a specific circular, so it is more likely right.",wave1/industry/industry.md,Same or related disagreement: DG-122.
DG-030,C.P. Vietnam plant count,"9 plants (IND-47, 2023)","21 plants (IND-43, 2026)",Both may be right on different bases (feed mills only vs all facilities). Record both. Verify with C.P.,wave1/industry/industry.md,
DG-031,Vinasoy market share,"About 80% of soy milk (company, 2025, IND-48)","84.2% (2017, IND-49); over 90% of boxed soy milk (2022, IND-50)","Segment definitions differ. Use ""about 80% of soy milk"" as the conservative figure.",wave1/industry/industry.md,Same or related disagreement: DG-041.
DG-032,VNVC plant investment,"VND 2,000 bn (IND-31, May 2025)","VND 2,500 bn (IND-32, July 2026)",Probably a revised budget. Use the later figure with its date.,wave1/industry/industry.md,
DG-033,Daesang plant locations,"Bac Giang MSG plant, Thai Nguyen starch (IND-13, Korean press)","Viet Tri (Phu Tho) MSG plant, Tay Ninh starch (IND-11, Daesang Vietnam)","Trust the company page. The Korean press translation is garbled, so its 35,000 t/yr figure is also Low confidence.",wave1/industry/industry.md,
DG-034,Dong Nai status,"Vedan website gives addresses as ""Dong Nai City"" (IND-01)",Wikipedia snapshot: Dong Nai remains a province after merging with Binh Phuoc (IND-66),"We use ""Dong Nai"". The status should be checked by the regulation or ecosystem agent.",wave1/industry/industry.md,
DG-035,Carlsberg Phu Bai investment,"VND 3,406 bn, about USD 169 million (IND-27)",About USD 90 million (IND-28),Different scopes or phases. Capacity (600 million L/yr) agrees across both.,wave1/industry/industry.md,
DG-036,De Heus and CJ feed,De Heus has 17 plants from buying CJ Feed & Care in early 2026 (IND-43),No second source,Unverified. Low confidence. Ask De Heus or CJ.,wave1/industry/industry.md,Same or related disagreement: DG-129.
DG-037,Entobel funding,"USD 33 m Series B (company PR, 2023; ECO-01, ECO-06)",Series B USD 30 m (Mekong USD 25 m + Dragon USD 5 m) plus IFC USD 2.5 m = USD 32.5 m project cost (IFC disclosure; ECO-03),"Use IFC's breakdown (primary DFI document). ""USD 33 m"" is rounded and includes IFC. Prior lead ""about USD 36 m"" not supported. One trade article's ""about USD 10 m from IFC"" is wrong (ECO-04 paraphrase).",wave1/ecosystem/ecosystem.md,"Same or related disagreement: DG-062, DG-063."
DG-038,Entobel capacity,"""12x since 2022"" (ECO-02)","1,000 + 10,000 = 11,000 t/yr design (ECO-03)","Consistent within rounding. All are design capacity, not output.",wave1/ecosystem/ecosystem.md,
DG-039,Cricket One volume,More than 100 million crickets/month (2020),"About 100 t fresh/month at full capacity (Feb 2023); about 150 t live/month (Oct 2024); 1,000 t/yr processing (Oct 2023)","Units differ and all are company claims. Use ""1,000 t/yr processing capacity (2023, claimed)"" as the scale anchor.",wave1/ecosystem/ecosystem.md,
DG-040,Vinh Hao spirulina area,"5,000 m2 (prior lead)","More than 12,000 m2 (company page, undated)","Prefer the company figure as more recent, but it is unaudited. Output figure (17 t/yr) is from 2013.",wave1/ecosystem/ecosystem.md,
DG-041,Vinasoy share,"82.7% (Dec 2014, ECO-42)","About 80% (2024, ECO-41)",Not a conflict: stable share over time. Both company-sourced.,wave1/ecosystem/ecosystem.md,Same or related disagreement: DG-031.
DG-042,Bewina,"Imports Taiwan and US brands, founder Ho Thanh Nhien (ECO-17)","Sells ""Romania"" products (ECO-19)",Possibly both (the Romanian brand Verdino plus others). Low confidence.,wave1/ecosystem/ecosystem.md,
DG-043,Market size,"About VND 1,000 bn (2022, ECO-17, ECO-19)","USD 500 m ""within several years"" (ECO-18); USD 500 m by 2025 (ECO-15)",Reject both for decisions: no traceable method.,wave1/ecosystem/ecosystem.md,
DG-044,"""Xuan Hong""",Industrial do chay maker (prior lead),"Cassava starch processor, Tay Ninh (ECO-39)",The lead is probably wrong; another Xuan Hong may exist but was not found.,wave1/ecosystem/ecosystem.md,
