species,ingredient,inclusion_low_pct,inclusion_high_pct,basis,region,year,doi_or_url,source_ids,evidence_label,confidence,notes
"Fed freshwater fish (carps, tilapia, catfish)",fishmeal,1,2,global review; industry-average estimate,global,2017,https://doi.org/10.1038/s41586-021-03308-6,FM-05;MAC-39,general,High,"Naylor et al. 2021: 'fishmeal inclusion rates dropped for these species to 1-2%'. Used here for pangasius and tilapia."
"Marine and brackish finfish and crustaceans",fishmeal,n/a,n/a,global review; relative change only,global,1997 to 2017,https://doi.org/10.1038/s41586-021-03308-6,FM-05;MAC-39,general,High,"Rates 'decreased by one-half to two-thirds over the period'. No current value in excerpts read. Table 1 of the paper was not accessible (robots block)."
Shrimp (all farmed),fishmeal,11,23,industry survey cited in secondary source,global,2014,https://doi.org/10.21077/ijf.2021.68.1.95994-20,FM-07;MAC-41,general,Medium,"Salin et al. 2018 as cited in MAC-41. I did not read Salin et al. directly. 2000 range was 19 to 40%."
Shrimp (all farmed),fishmeal,6,6,projection,global,2025 (projected in 2018),https://doi.org/10.21077/ijf.2021.68.1.95994-20,FM-07;MAC-41,general,Low,"A projection, not a measurement. Used as the low bound only."
Whiteleg shrimp (L. vannamei),fishmeal,10,25,experimental: practical control diet 25% and low-fishmeal diet 10% with no growth loss,China (not verified),2018,https://doi.org/10.1111/anu.12657,FM-08,general,Medium,"Xie et al. 2018: fishmeal 'could be reduced from 250 g/kg to 100 g/kg without affecting the growth performance'. Trial, not survey."
Whiteleg shrimp (L. vannamei),fishmeal,10,25,experimental control diets in recent trials (20 to 25% 'normal'; 10% 'low fishmeal'),China (not verified),2021 to 2024,https://doi.org/10.3389/fimmu.2024.1501753,FM-27;FM-33;FM-34,general,Low,"Controls: 25% (BSF trial), 25% (CAP/CDCA trial), 20% with 10% low-FM diet (Haematococcus trial). Shows what researchers treat as commercial practice; not a market survey."
"Commercial shrimp feeds (several species)",fishmeal,25,50,older review statement,global,pre-2013,https://doi.org/10.1111/are.12201,FM-40,general,Low,"Cited in a 2013 kuruma shrimp paper (Lim and Dominy). Outdated; kuruma shrimp needs more protein than whiteleg. Upper bound only for history."
Striped catfish (pangasius),fishmeal,1,2,global freshwater-fish average applied to pangasius,Vietnam (volume) / global (rate),2017,https://doi.org/10.1038/s41586-021-03308-6,FM-05;MAC-39,general,Medium,"No Vietnam-specific commercial rate found. Prior lead of 2 to 5% is unsourced; treated as sensitivity only."
Tilapia,fishmeal,1,2,global freshwater-fish average,global,2017,https://doi.org/10.1038/s41586-021-03308-6,FM-05;MAC-39,general,Medium,
Snakehead (Channa striata),fishmeal,20,40,HYPOTHESIS: carnivorous species; experimental diets use fishmeal as the main protein at 42% crude protein,Southeast Asia,2018 to 2023,https://doi.org/10.3390/life13020594,FM-23;FM-24,general,Low,"No commercial rate found. Experimental control diets are fishmeal-based. Treat as hypothesis, not finding."
Marine finfish (Vietnam cage culture),fishmeal,15,30,HYPOTHESIS based on Naylor's 'one-half to two-thirds' reduction,global,2017,https://doi.org/10.1038/s41586-021-03308-6,FM-05,general,Low,Hypothesis for sensitivity only.
"All aquafeeds (global average)",fishmeal,5.8,5.8,derived by a 2022 review from Naylor et al. 2021 data,global,2017,https://doi.org/10.1007/s12571-021-01246-9,FM-44,general,Medium,"Same review: global fishmeal supply from by-products alone would allow only 2.6% average inclusion."
