record_id,indicator,year,geography,group,value,unit,source_ids,evidence_label,confidence,demand_evidence_type,notes
DFS-001,"Share of eating, drinking and smoking in household consumption spending",2012,Vietnam,all households,56.0,%,DIE-05,VN-direct,High,revealed,VHLSS table 6.5
DFS-002,"Share of eating, drinking and smoking in household consumption spending",2012,"Vietnam, urban",all households,53.0,%,DIE-05,VN-direct,High,revealed,VHLSS table 6.5
DFS-003,"Share of eating, drinking and smoking in household consumption spending",2012,"Vietnam, rural",all households,58.3,%,DIE-05,VN-direct,High,revealed,VHLSS table 6.5
DFS-004,"Share of eating, drinking and smoking in household consumption spending",2014,Vietnam,all households,52.6,%,DIE-05,VN-direct,High,revealed,VHLSS table 6.5
DFS-005,"Share of eating, drinking and smoking in household consumption spending",2014,"Vietnam, urban",all households,50.3,%,DIE-05,VN-direct,High,revealed,VHLSS table 6.5
DFS-006,"Share of eating, drinking and smoking in household consumption spending",2014,"Vietnam, rural",all households,54.3,%,DIE-05,VN-direct,High,revealed,VHLSS table 6.5
DFS-007,"Share of eating, drinking and smoking in household consumption spending",2016,Vietnam,all households,51.0,%,DIE-05,VN-direct,High,revealed,VHLSS table 6.5
DFS-008,"Share of eating, drinking and smoking in household consumption spending",2016,"Vietnam, urban",all households,48.6,%,DIE-05,VN-direct,High,revealed,VHLSS table 6.5
DFS-009,"Share of eating, drinking and smoking in household consumption spending",2016,"Vietnam, rural",all households,52.9,%,DIE-05,VN-direct,High,revealed,VHLSS table 6.5
DFS-010,"Share of eating, drinking and smoking in household consumption spending",2018,Vietnam,all households,47.3,%,DIE-05,VN-direct,High,revealed,VHLSS table 6.5
DFS-011,"Share of eating, drinking and smoking in household consumption spending",2018,"Vietnam, urban",all households,45.3,%,DIE-05,VN-direct,High,revealed,VHLSS table 6.5
DFS-012,"Share of eating, drinking and smoking in household consumption spending",2018,"Vietnam, rural",all households,48.9,%,DIE-05,VN-direct,High,revealed,VHLSS table 6.5
DFS-013,"Share of eating, drinking and smoking in household consumption spending",2020,Vietnam,all households,49.6,%,DIE-05,VN-direct,High,revealed,VHLSS table 6.5
DFS-014,"Share of eating, drinking and smoking in household consumption spending",2020,"Vietnam, urban",all households,48.1,%,DIE-05,VN-direct,High,revealed,VHLSS table 6.5
DFS-015,"Share of eating, drinking and smoking in household consumption spending",2020,"Vietnam, rural",all households,50.9,%,DIE-05,VN-direct,High,revealed,VHLSS table 6.5
DFS-016,"Share of eating, drinking and smoking in household consumption spending",2022,Vietnam,all households,48.2,%,DIE-05,VN-direct,High,revealed,VHLSS table 6.5
DFS-017,"Share of eating, drinking and smoking in household consumption spending",2022,"Vietnam, urban",all households,47.0,%,DIE-05,VN-direct,High,revealed,VHLSS table 6.5
DFS-018,"Share of eating, drinking and smoking in household consumption spending",2022,"Vietnam, rural",all households,49.3,%,DIE-05,VN-direct,High,revealed,VHLSS table 6.5
DFS-019,"Share of eating, drinking and smoking in household consumption spending",2024,Vietnam,all households,49.1,%,DIE-05,VN-direct,High,revealed,VHLSS table 6.5
DFS-020,"Share of eating, drinking and smoking in household consumption spending",2024,"Vietnam, urban",all households,47.7,%,DIE-05,VN-direct,High,revealed,VHLSS table 6.5
DFS-021,"Share of eating, drinking and smoking in household consumption spending",2024,"Vietnam, rural",all households,50.4,%,DIE-05,VN-direct,High,revealed,VHLSS table 6.5
DFS-022,"Share of household food spending (VHLSS food structure, incl. eating out)",2010,Vietnam,Meat,21.3,%,DIE-05,VN-direct,High,revealed,VHLSS table 6.17
DFS-023,"Share of household food spending (VHLSS food structure, incl. eating out)",2010,"Vietnam, urban",Meat,20.0,%,DIE-05,VN-direct,High,revealed,VHLSS table 6.17
DFS-024,"Share of household food spending (VHLSS food structure, incl. eating out)",2010,"Vietnam, rural",Meat,22.2,%,DIE-05,VN-direct,High,revealed,VHLSS table 6.17
DFS-025,"Share of household food spending (VHLSS food structure, incl. eating out)",2014,Vietnam,Meat,21.9,%,DIE-05,VN-direct,High,revealed,VHLSS table 6.17
DFS-026,"Share of household food spending (VHLSS food structure, incl. eating out)",2014,"Vietnam, urban",Meat,19.9,%,DIE-05,VN-direct,High,revealed,VHLSS table 6.17
DFS-027,"Share of household food spending (VHLSS food structure, incl. eating out)",2014,"Vietnam, rural",Meat,23.4,%,DIE-05,VN-direct,High,revealed,VHLSS table 6.17
DFS-028,"Share of household food spending (VHLSS food structure, incl. eating out)",2018,Vietnam,Meat,21.3,%,DIE-05,VN-direct,High,revealed,VHLSS table 6.17
DFS-029,"Share of household food spending (VHLSS food structure, incl. eating out)",2018,"Vietnam, urban",Meat,18.7,%,DIE-05,VN-direct,High,revealed,VHLSS table 6.17
DFS-030,"Share of household food spending (VHLSS food structure, incl. eating out)",2018,"Vietnam, rural",Meat,23.4,%,DIE-05,VN-direct,High,revealed,VHLSS table 6.17
DFS-031,"Share of household food spending (VHLSS food structure, incl. eating out)",2020,Vietnam,Meat,24.5,%,DIE-05,VN-direct,High,revealed,VHLSS table 6.17
DFS-032,"Share of household food spending (VHLSS food structure, incl. eating out)",2020,"Vietnam, urban",Meat,21.3,%,DIE-05,VN-direct,High,revealed,VHLSS table 6.17
DFS-033,"Share of household food spending (VHLSS food structure, incl. eating out)",2020,"Vietnam, rural",Meat,27.3,%,DIE-05,VN-direct,High,revealed,VHLSS table 6.17
DFS-034,"Share of household food spending (VHLSS food structure, incl. eating out)",2022,Vietnam,Meat,27.0,%,DIE-05,VN-direct,High,revealed,VHLSS table 6.17
DFS-035,"Share of household food spending (VHLSS food structure, incl. eating out)",2022,"Vietnam, urban",Meat,24.9,%,DIE-05,VN-direct,High,revealed,VHLSS table 6.17
DFS-036,"Share of household food spending (VHLSS food structure, incl. eating out)",2022,"Vietnam, rural",Meat,28.6,%,DIE-05,VN-direct,High,revealed,VHLSS table 6.17
DFS-037,"Share of household food spending (VHLSS food structure, incl. eating out)",2024,Vietnam,Meat,26.7,%,DIE-05,VN-direct,High,revealed,VHLSS table 6.17
DFS-038,"Share of household food spending (VHLSS food structure, incl. eating out)",2024,"Vietnam, urban",Meat,23.4,%,DIE-05,VN-direct,High,revealed,VHLSS table 6.17
DFS-039,"Share of household food spending (VHLSS food structure, incl. eating out)",2024,"Vietnam, rural",Meat,29.7,%,DIE-05,VN-direct,High,revealed,VHLSS table 6.17
DFS-040,"Share of household food spending (VHLSS food structure, incl. eating out)",2010,Vietnam,Fish and shrimp,7.3,%,DIE-05,VN-direct,High,revealed,VHLSS table 6.17
DFS-041,"Share of household food spending (VHLSS food structure, incl. eating out)",2010,"Vietnam, urban",Fish and shrimp,6.5,%,DIE-05,VN-direct,High,revealed,VHLSS table 6.17
DFS-042,"Share of household food spending (VHLSS food structure, incl. eating out)",2010,"Vietnam, rural",Fish and shrimp,7.9,%,DIE-05,VN-direct,High,revealed,VHLSS table 6.17
DFS-043,"Share of household food spending (VHLSS food structure, incl. eating out)",2018,Vietnam,Fish and shrimp,8.3,%,DIE-05,VN-direct,High,revealed,VHLSS table 6.17
DFS-044,"Share of household food spending (VHLSS food structure, incl. eating out)",2018,"Vietnam, urban",Fish and shrimp,8.1,%,DIE-05,VN-direct,High,revealed,VHLSS table 6.17
DFS-045,"Share of household food spending (VHLSS food structure, incl. eating out)",2018,"Vietnam, rural",Fish and shrimp,8.4,%,DIE-05,VN-direct,High,revealed,VHLSS table 6.17
DFS-046,"Share of household food spending (VHLSS food structure, incl. eating out)",2020,Vietnam,Fish and shrimp,8.2,%,DIE-05,VN-direct,High,revealed,VHLSS table 6.17
DFS-047,"Share of household food spending (VHLSS food structure, incl. eating out)",2020,"Vietnam, urban",Fish and shrimp,7.9,%,DIE-05,VN-direct,High,revealed,VHLSS table 6.17
DFS-048,"Share of household food spending (VHLSS food structure, incl. eating out)",2020,"Vietnam, rural",Fish and shrimp,8.5,%,DIE-05,VN-direct,High,revealed,VHLSS table 6.17
DFS-049,"Share of household food spending (VHLSS food structure, incl. eating out)",2022,Vietnam,Fish and shrimp,7.8,%,DIE-05,VN-direct,High,revealed,VHLSS table 6.17
DFS-050,"Share of household food spending (VHLSS food structure, incl. eating out)",2022,"Vietnam, urban",Fish and shrimp,8.1,%,DIE-05,VN-direct,High,revealed,VHLSS table 6.17
DFS-051,"Share of household food spending (VHLSS food structure, incl. eating out)",2022,"Vietnam, rural",Fish and shrimp,7.6,%,DIE-05,VN-direct,High,revealed,VHLSS table 6.17
DFS-052,"Share of household food spending (VHLSS food structure, incl. eating out)",2024,Vietnam,Fish and shrimp,8.4,%,DIE-05,VN-direct,High,revealed,VHLSS table 6.17
DFS-053,"Share of household food spending (VHLSS food structure, incl. eating out)",2024,"Vietnam, urban",Fish and shrimp,8.5,%,DIE-05,VN-direct,High,revealed,VHLSS table 6.17
DFS-054,"Share of household food spending (VHLSS food structure, incl. eating out)",2024,"Vietnam, rural",Fish and shrimp,8.3,%,DIE-05,VN-direct,High,revealed,VHLSS table 6.17
DFS-055,"Share of household food spending (VHLSS food structure, incl. eating out)",2010,Vietnam,Eggs,1.4,%,DIE-05,VN-direct,High,revealed,VHLSS table 6.17
DFS-056,"Share of household food spending (VHLSS food structure, incl. eating out)",2010,"Vietnam, urban",Eggs,1.2,%,DIE-05,VN-direct,High,revealed,VHLSS table 6.17
DFS-057,"Share of household food spending (VHLSS food structure, incl. eating out)",2010,"Vietnam, rural",Eggs,1.6,%,DIE-05,VN-direct,High,revealed,VHLSS table 6.17
DFS-058,"Share of household food spending (VHLSS food structure, incl. eating out)",2018,Vietnam,Eggs,1.2,%,DIE-05,VN-direct,High,revealed,VHLSS table 6.17
DFS-059,"Share of household food spending (VHLSS food structure, incl. eating out)",2018,"Vietnam, urban",Eggs,0.9,%,DIE-05,VN-direct,High,revealed,VHLSS table 6.17
DFS-060,"Share of household food spending (VHLSS food structure, incl. eating out)",2018,"Vietnam, rural",Eggs,1.4,%,DIE-05,VN-direct,High,revealed,VHLSS table 6.17
DFS-061,"Share of household food spending (VHLSS food structure, incl. eating out)",2024,Vietnam,Eggs,1.3,%,DIE-05,VN-direct,High,revealed,VHLSS table 6.17
DFS-062,"Share of household food spending (VHLSS food structure, incl. eating out)",2024,"Vietnam, urban",Eggs,1.1,%,DIE-05,VN-direct,High,revealed,VHLSS table 6.17
DFS-063,"Share of household food spending (VHLSS food structure, incl. eating out)",2024,"Vietnam, rural",Eggs,1.6,%,DIE-05,VN-direct,High,revealed,VHLSS table 6.17
DFS-064,"Share of household food spending (VHLSS food structure, incl. eating out)",2010,Vietnam,Tofu,1.0,%,DIE-05,VN-direct,High,revealed,VHLSS table 6.17
DFS-065,"Share of household food spending (VHLSS food structure, incl. eating out)",2010,"Vietnam, urban",Tofu,0.7,%,DIE-05,VN-direct,High,revealed,VHLSS table 6.17
DFS-066,"Share of household food spending (VHLSS food structure, incl. eating out)",2010,"Vietnam, rural",Tofu,1.1,%,DIE-05,VN-direct,High,revealed,VHLSS table 6.17
DFS-067,"Share of household food spending (VHLSS food structure, incl. eating out)",2018,Vietnam,Tofu,0.7,%,DIE-05,VN-direct,High,revealed,VHLSS table 6.17
DFS-068,"Share of household food spending (VHLSS food structure, incl. eating out)",2018,"Vietnam, urban",Tofu,0.5,%,DIE-05,VN-direct,High,revealed,VHLSS table 6.17
DFS-069,"Share of household food spending (VHLSS food structure, incl. eating out)",2018,"Vietnam, rural",Tofu,0.8,%,DIE-05,VN-direct,High,revealed,VHLSS table 6.17
DFS-070,"Share of household food spending (VHLSS food structure, incl. eating out)",2024,Vietnam,Tofu,0.7,%,DIE-05,VN-direct,High,revealed,VHLSS table 6.17
DFS-071,"Share of household food spending (VHLSS food structure, incl. eating out)",2024,"Vietnam, urban",Tofu,0.6,%,DIE-05,VN-direct,High,revealed,VHLSS table 6.17
DFS-072,"Share of household food spending (VHLSS food structure, incl. eating out)",2024,"Vietnam, rural",Tofu,0.8,%,DIE-05,VN-direct,High,revealed,VHLSS table 6.17
DFS-073,"Share of household food spending (VHLSS food structure, incl. eating out)",2010,Vietnam,Beans and peas,0.4,%,DIE-05,VN-direct,High,revealed,VHLSS table 6.17
DFS-074,"Share of household food spending (VHLSS food structure, incl. eating out)",2010,"Vietnam, urban",Beans and peas,0.3,%,DIE-05,VN-direct,High,revealed,VHLSS table 6.17
DFS-075,"Share of household food spending (VHLSS food structure, incl. eating out)",2010,"Vietnam, rural",Beans and peas,0.4,%,DIE-05,VN-direct,High,revealed,VHLSS table 6.17
DFS-076,"Share of household food spending (VHLSS food structure, incl. eating out)",2024,Vietnam,Beans and peas,0.2,%,DIE-05,VN-direct,High,revealed,VHLSS table 6.17
DFS-077,"Share of household food spending (VHLSS food structure, incl. eating out)",2024,"Vietnam, urban",Beans and peas,0.2,%,DIE-05,VN-direct,High,revealed,VHLSS table 6.17
DFS-078,"Share of household food spending (VHLSS food structure, incl. eating out)",2024,"Vietnam, rural",Beans and peas,0.2,%,DIE-05,VN-direct,High,revealed,VHLSS table 6.17
DFS-079,"Share of household food spending (VHLSS food structure, incl. eating out)",2010,Vietnam,Rice,15.7,%,DIE-05,VN-direct,High,revealed,VHLSS table 6.17
DFS-080,"Share of household food spending (VHLSS food structure, incl. eating out)",2010,"Vietnam, urban",Rice,10.0,%,DIE-05,VN-direct,High,revealed,VHLSS table 6.17
DFS-081,"Share of household food spending (VHLSS food structure, incl. eating out)",2010,"Vietnam, rural",Rice,19.7,%,DIE-05,VN-direct,High,revealed,VHLSS table 6.17
DFS-082,"Share of household food spending (VHLSS food structure, incl. eating out)",2018,Vietnam,Rice,9.7,%,DIE-05,VN-direct,High,revealed,VHLSS table 6.17
DFS-083,"Share of household food spending (VHLSS food structure, incl. eating out)",2018,"Vietnam, urban",Rice,6.6,%,DIE-05,VN-direct,High,revealed,VHLSS table 6.17
DFS-084,"Share of household food spending (VHLSS food structure, incl. eating out)",2018,"Vietnam, rural",Rice,12.2,%,DIE-05,VN-direct,High,revealed,VHLSS table 6.17
DFS-085,"Share of household food spending (VHLSS food structure, incl. eating out)",2024,Vietnam,Rice,9.0,%,DIE-05,VN-direct,High,revealed,VHLSS table 6.17
