question,why_it_matters,cheapest_way_to_close,owner_org_to_ask,priority
"What share of Vietnamese adults keep chay days, and how many days a month (0, 2, 4, 8 to 10, whole months)?",It sets the size of the chay channel and the displacement arithmetic; no probability survey exists,Add three questions to an existing nationally representative omnibus or the next VHLSS round; or buy a question on a face-to-face omnibus,General Statistics Office (NSO); Institute for Religious Studies (VASS); Pew Research Center; Kantar Worldpanel Vietnam,High
"How much do household purchases of tofu, mushrooms and đồ chay rise on lunar 1st and 15th and in lunar months 1 and 7?",Revealed demand by calendar day would replace press quotes with measured uplift,Request a lunar-calendar cut of existing household panel or retailer scan data,Kantar Worldpanel Vietnam; NielsenIQ Vietnam; Saigon Co.op; Bach Hoa Xanh (Mobile World); WinCommerce,High
"What are annual sales (tonnes and VND) of industrial đồ chay, by maker?",No audited figure exists; needed to size the B2B ingredient opportunity,Ask the five largest makers for chay line volumes under NDA; check annual reports and AGM documents,Vissan; CJ Cau Tre; SG Food; Au Lac; An Nhien; Thoai An,High
"How much protein do street, market and supermarket chay foods actually contain?",The protein gap is the product opening; labels are sparse and unverified,Buy 50 to 100 samples across three cities and run Kjeldahl protein tests,National Institute for Food Control (NIFC); university food labs; AltProtein Vietnam,High
How common is meat DNA or unsafe additives in chay products?,Trust is the category's weak point; a prevalence figure would size the value of verified supply,Apply the Can Tho University PCR kit to a stratified sample before Vu Lan,Can Tho University Biotechnology Institute; NIFC; provincial market surveillance,Medium
Would periodic chay eaters and strict vegetarians accept a higher-protein fungal or textured ingredient inside familiar chay formats at the same price?,Stated interest is high but untested; this decides the ingredient strategy,"Blind sensory and choice test of reformulated chả, giò and há cảo chay at pagodas and chay shops",University food science departments; a chay manufacturer partner,High
What share of chay buyers require allium-free or egg-free products?,Decides whether allium-free variants are a niche SKU or a requirement,"Short intercept survey at pagodas, chay shops and supermarket chay aisles in three regions",AltProtein Vietnam; Vietnam Buddhist Sangha contacts,Medium
"How many chay restaurants are active on ShopeeFood, GrabFood and Google Maps by city, including Hue?",Foody counts are cumulative and thin outside big cities,"Scripted count of platform listings with an 'chay' category or keyword, with a manual check of a sample",Platform data teams; any analyst with browser access,Medium
How many meals do pagoda kitchens serve and who supplies them?,"18,544 Buddhist sites are a possible institutional buyer that nobody has sized","Interview a sample of pagoda kitchens in Ho Chi Minh City, Hue and Hanoi",Vietnam Buddhist Sangha; provincial Sangha committees,Medium
"Is chay observance rising among young urban people, or only chay dining supply?","Rising observance would make chay a displacement route, not just a channel",Repeat-panel questions in an existing youth or consumer tracker,Decision Lab; Q&Me; Cimigo; university survey units,Medium
Do people who eat chay on set days eat more meat on other days?,Compensation would reduce the impact value of adding chay days,Food diary study across a lunar month in 200 households,National Institute of Nutrition; university nutrition departments,Medium
"What is the true national tofu output, including craft villages?","USSEC implies about 31,500 t, which looks far too low against craft village volumes",Count craft village output from provincial industry and trade departments; buy the USSEC report,Hanoi Department of Industry and Trade; USSEC; soybean importers,Medium
"How much mushroom is consumed domestically, and what share is eaten on chay days?",Mushrooms are the chay protein that spikes in price; they compete with any fungal product,Ask the mushroom association and wholesale markets for volumes by month,Vietnam mushroom producers; Binh Dien and Long Bien wholesale markets,Low
Did Vissan set any chay-specific target for 2026?,The brief refers to Vissan 2026 chay targets; we found none in AGM coverage,Read the 2026 AGM documents directly or ask Vissan investor relations,Vissan investor relations,Low
"How large are Vietnamese vegan online communities and festivals, verified?",Only self-reported figures exist,Read public follower counts on platforms; ask organisers for attendance records,Song Thuan Chay; festival organisers,Low
