source_id,citation,title,author_or_publisher,date,url,doi,source_type,accessed,notes
CPC-01,Marriott International. Sustainability and Social Impact Goals 2026 to 2030 (PDF uploaded December 2025). Accessed 25 September 2026.,Sustainability and Social Impact Goals 2026 to 2030,Marriott International,2025-12,http://serve360.marriott.com/wp-content/uploads/2025/12/10509_Marriott_Serve_360_Goals.pdf,,company,2026-09-25,"Full text read (308 words). Goals cover volunteering, children, nature, human rights, science-based emission targets, water and single-use products. No food, plant-based, protein or cage-free goal."
CPC-02,Marriott International. Animal Welfare Position Statement (PDF uploaded May 2019). Accessed 25 September 2026.,Animal Welfare Position Statement,Marriott International,2019-05,http://serve360.marriott.com/wp-content/uploads/2019/05/Animal-Welfare-Position-Statement2.pdf,,company,2026-09-25,"Full text read. Principles (Five Freedoms, supplier expectations). No cage-free deadline, no plant-based or protein target. This is the animal-welfare document linked from Marriott's current policies page."
CPC-03,"IHG Hotels and Resorts. Policies and position statements page, section 'Cage Free Eggs'. Accessed 25 September 2026.",Policies and position statements,IHG Hotels and Resorts,undated,https://www.ihgplc.com/en/responsible-business/policies-and-position-statements,,company,2026-09-25,"'we remain committed to sourcing cage-free eggs across our entire global estate by 2025' (earlier US, Canada and Europe commitment for 2022). No plant-based statement on the page."
CPC-04,IHG Hotels and Resorts. Responsible Business Report 2024 (interactive PDF). Accessed 25 September 2026.,Responsible Business Report 2024,IHG Hotels and Resorts,2025,https://www.ihgplc.com/~/media/Files/I/Ihg-Plc/investors/annual-report/2024/ihg_rbr_24-25_interactive.pdf,,company,2026-09-25,"Text searched. Hotels aligned with the cage-free commitment, 2024 (2023): global 70.3% (65.6%), Americas 89.8%, Europe 70.5%, IMEA 5.5%, EAPAC 4.1% (3.6%), Greater China 0.0%. More than 4,600 hotels aligned. No plant-based or protein target. Mentions IHG hotels in Vietnam organising food drives."
CPC-05,Hilton. Responsible Sourcing Goals (Travel with Purpose web page). Accessed 25 September 2026.,Responsible Sourcing Goals,Hilton,undated (2025 progress),https://travelwithpurpose.hilton.com/Responsible-Sourcing-Goals,,company,2026-09-25,"Read through the fetch tool (figures not present in the raw HTML returned to a direct request; page content assembled by script). Goal: 100% cage-free shell, liquid and egg products across owned, managed and franchised hotels by end 2025. 2025 progress, managed hotels: Americas 93%, EMEA 96%, APAC 42%. No plant-based or menu goal on the page."
CPC-06,Hyatt. World of Care page. Accessed 25 September 2026.,World of Care,Hyatt Hotels Corporation,undated,https://www.hyatt.com/world-of-care/en-US,,company,2026-09-25,"Read through the fetch tool. No cage-free, animal-welfare, plant-based or protein commitment on the page; mentions minimising food waste. Policies page could not be located (404); direct download refused (403). Recorded as a gap."
CPC-07,Minor International PCL. Sustainability Report 2025. Accessed 25 September 2026.,2025 Sustainability Report,Minor International PCL,2026,https://www.minor.com/storage/download/sustainability-reports/2025/mint-sd-en.pdf,,company,2026-09-25,"Text searched. Commitment: 100% cage-free egg products for Minor Food and Minor Hotels by 2027. 2025: Minor Food 56% cage-free; Minor Hotels 24% cage-free with 62% data coverage; Minor Hotels Asia Pacific and Indian Ocean region (includes Vietnam) 13% cage-free of 11.1 million eggs. Plant-based mentioned only qualitatively ('integration of plant-based alternatives', 'plant-based menu options'); no target."
CPC-08,Sodexo. Integrated Report Fiscal 2025. Accessed 25 September 2026.,Integrated Report Fiscal 2025,Sodexo,2025,https://edge.sitecorecloud.io/sodexofrance1-sodexocorpsites-prod-e74c/media/Project/Sodexo-Corp/Global/Documents/investors/quarterly-financial-announcements/2025/Sodexo-Integrated-Report-2025.pdf,,company,2026-09-25,Text searched. 'Target of 70% of main dishes labeled low-carbon by 2030'; low-carbon meal defined as 0.9 kg CO2e or less (with WWF); chefs 'rebalancing the portion of plant-based proteins'. No plant-based share target and no Vietnam mention.
CPC-09,"Unilever. Unilever to sell The Vegetarian Butcher to Vivera. Press release, 20 March 2025. Accessed 25 September 2026.",Unilever to sell The Vegetarian Butcher to Vivera,Unilever,2025-03-20,https://www.unilever.com/news/press-and-media/press-releases/2025/unilever-to-sell-the-vegetarian-butcher-to-vivera/,,company,2026-09-25,Read through the fetch tool. Reason: chilled and frozen products 'require a distinct supply chain and sourcing model making them less scalable within the broader Unilever Foods portfolio'. No Asia or Vietnam mention.
CPC-10,Lever Foundation. Home page. Accessed 25 September 2026.,Lever Foundation,Lever Foundation,undated,https://leverfoundation.org/,,advocacy,2026-09-25,"Country programme social accounts listed: Malaysia, Philippines, Thailand, Indonesia, Hong Kong and Taiwan, Korea. No Vietnam. Corporate engagement on 'time-bound commitments to improve their sourcing standards'."
CPC-11,Pizza 4P's. Sustainability page and Sustainability Report 2025 landing page. Accessed 25 September 2026.,Sustainability | Pizza 4P's,Pizza 4P's,undated,https://pizza4ps.com/vn/sustainable/,,company,2026-09-25,"Waste, composting, local and organic sourcing, jar return. No plant-based share, protein, meat-reduction or cage-free target on the pages read. Report landing page (https://pizza4ps.com/vn/sustainabilityreport/2025/) showed no metrics in text."
CPC-12,"Kamereo. Product pages read through their embedded page data (price, stock, origin, category, units-sold counter, description) for plant and comparator products: Suon mieng chay Panko 1 kg and carton of 10; Cha gio Vissan chay 500 g; tofu SKUs (Ichiban, Fuji San, Beany, Vi Nguyen, loose white tofu); fresh tofu skin; CP and JAPFA frozen minced pork; CP frozen pork shoulder; CP eggs 61 g; CP chicken breast fillet. Also the embedded data of the eight Meat Zero pages listed under AIS-25. Accessed 25 September 2026.",Kamereo product pages,Kamereo,2026,https://kamereo.vn/products/suon-mieng-chay-panko-1kg-GRO190,,company,2026-09-25,"Example URLs: https://kamereo.vn/products/thit-heo-xay-dong-lanh-cp-goi-1kg-M172 ; https://kamereo.vn/products/dau-hu-momen-ichiban-330g-GRO521 . 'price' field used (VAT-inclusive where VAT is shown: Meat Zero 1 kg price 244,000 against 221,818 before 10% VAT). Units-sold counter has no stated period. Meat Zero pages: origin Thailand, frozen, out of stock, 'allowPurchase' false."
CPC-13,Kamereo. Sitemap (product URLs). Accessed 25 September 2026.,kamereo.vn sitemap,Kamereo,2026-09,https://kamereo.vn/sitemap.xml,,company,2026-09-25,"6,176 Vietnamese-language product URLs. Plant protein items: 8 Meat Zero SKUs, 2 Panko chay rib SKUs, 1 Vissan chay spring roll, 37 tofu SKUs, 1 fresh tofu skin. No dry textured soy, gluten (mi can) or imported Western analogue brand."
CPC-14,MM Mega Market Vietnam. Online shop sitemap. Accessed 25 September 2026.,online.mmvietnam.com sitemap,MM Mega Market Vietnam,2026-09,https://online.mmvietnam.com/media/sitemap/cng_sitemap.xml,,company,2026-09-25,"13,591 product URLs; categories 'do chay dong lanh' (frozen chay), 'thuc pham chay' and 'co nguon goc thuc vat' (plant origin). About 39 chay prepared-food URLs from named makers (An Nhien, Au Lac, Pham Gia Phat, Cau Tre, Cholimex, Tri Hue and others) and 31 tofu URLs; no Meat Zero or Western analogue. Names only: product and category pages are assembled by script and the site's data service reset the connection, so prices were not retrieved."
CPC-15,"Co.op Online (Saigon Co.op). Product pages (structured product data) for Co.op Select chay and tofu private-label SKUs: ha cao chay 415 g, sui cao chay 530 g, cha gio chay 400 g, mi sui cao chay 200 g, banh cuon chay 290 g, mi chay 300 g, and seven tofu SKUs. Accessed 25 September 2026.",Co.op Select product pages,Saigon Co.op (Co.op Online),2026-09,https://cooponline.vn/sui-cao-chay-coop-select-530g--s250101846,,company,2026-09-25,"Price, availability, ingredients and the unit responsible for manufacture: 'Cong ty CP Thuc pham GN' (GN Foods; Long Hau Extended Industrial Park, Can Giuoc commune, Tay Ninh) for all five frozen chay dishes; Thai Corp Inter.VN and Vi Nguyen for tofu. No protein per 100 g on any page. The ha cao page is AIB-30."
CPC-16,Co.op Online. Sitemap of the 'Nhan hang Co.op' (Co.op brands) collection. Accessed 25 September 2026.,sitemap-collection-products-26607-nhan-hang-coop.xml,Saigon Co.op (Co.op Online),2026-09,https://cooponline.vn/sitemap-collection-products-26607-nhan-hang-coop.xml,,company,2026-09-25,"1,665 product URLs (online assortment, not the whole private-label range). Nine contain 'chay'; two are not vegetarian (the unaccented slug also renders cháy, 'scorched': com chay cha bong, ca chi vang chay toi). Seven are vegetarian: five frozen dishes, one noodle, one vegetarian fish sauce."
CPC-17,Saigon Co.op. Lien he chao hang (supplier product pitch) page. Accessed 25 September 2026.,Lien he chao hang,Saigon Co.op,undated,https://saigonco-op.com.vn/lien-he-chao-hang,,company,2026-09-25,"Read through the fetch tool. Two routes: direct pitch at the office or online through the supplier portal. No document, certificate or category requirements listed."
CPC-18,Saigon Co.op. Supplier portal home page (nhacungcap.saigonco-op.vn). Accessed 25 September 2026.,Saigon Co.op supplier portal,Saigon Co.op,undated,https://nhacungcap.saigonco-op.vn/,,company,2026-09-25,"Read through the fetch tool. Four steps: legal file, product pitch file with samples, review, result 'trong 10 ngay lam viec' (within 10 working days). Detailed requirements sit behind registration."
