record_id,stream,route,volume_now,volume_2030,volume_2040,volume_2050,unit,sugar_equivalent_yield,cost_usd_per_t_sugar,trl_2026,competing_uses,source_ids,evidence_label,confidence,foresight_type,horizon_year,notes
FFU-001,"Rice straw, national",Lignocellulosic: pretreatment plus enzymatic hydrolysis to glucose and xylose,51.8 (2025; 54 on 2019 basis),47.6 to 51.2,44.0 to 50.0,41.6 to 48.8,Mt air-dry straw per yr,0.31 to 0.44 t SE per t air-dry straw (0.35 to 0.50 per t DM; lower value glucose only),"342 to 467 (nth-plant TEAs, US); 1,320 (India, lab-optimised bagasse); straw feedstock alone 57 to 162",7 to 8 (first commercial plants underperform: Panipat 62% of design in Dec 2025; Podari closed 2023),"Mushrooms, cattle fodder, mulch, soil return, straw rolls, biomass power (PDP8 biomass 4.8 to 7.0 GW by 2050), 2G ethanol for E15/E20",NGF-01; NGF-02; NGF-04; NGF-05; NGF-06; NGF-07; NGF-08; NGF-10; NGF-11; NGF-34; NTS-26,"VN-direct (volume); general (conversion, cost)","Medium (volume); Low (conversion, cost)",trend (2025 volume); estimate (2030 to 2050),2030; 2040; 2050,"Paddy path 40 to 43 Mt (2030), 37 to 42 (2040), 35 to 41 (2050), our assumption from the rice-land cut (NTS-15) and the 35 Mt floor (NTS-04); straw-to-grain 1.19 (NGF-01). Mekong Delta over 24 Mt, about 30% collected and 70% burned or buried in 2025 (NGF-04). Technical SE potential 12.8 to 21.5 Mt in 2050."
FFU-002,"Rice straw, 1 million ha low-emission programme",As above,about 14 (2 crops; 30% collected),14 (100% collection target),14,14,Mt straw per yr,0.31 to 0.44 t SE per t,As above,As above,"Mushrooms, fodder, compost, mulch; the programme names reuse, not a use",NGF-04; NTS-32,VN-direct,Medium (target); Low (tonnage),projection (official target),2030,Decision 1490/QD-TTg: 100% of straw collected and reused on 1 Mha by 2030. 14 Mt would hold 4.3 to 6.2 Mt SE; the S-ALT 2050 need equals 21 to 31% of it.
FFU-003,Sugarcane bagasse,Lignocellulosic sugar (surplus after mill energy),1.93 (2025/26),2.03,2.03,2.03,Mt DM per yr,0.35 to 0.50 t SE per t DM,"As rice straw; bagasse-specific lab TEA 1,320 (India)",7 to 8,Mill boilers and power export (QNS An Khe bagasse plant expanding to 135 MW); briquettes,FS-31; FS-35; NGF-08; NGF-09,VN-direct (cane); general (ratios),Low,estimate,2030; 2040; 2050,"Cane 13.3 Mt (2025/26, FS-31) held at about 14 Mt (our assumption); bagasse 0.29 t wet per t cane at 50% moisture (NGF-09 uses 0.3). Surplus depends on mill boiler efficiency; not measured. Cane trash (tops and leaves, about 2.7 Mt at 0.2 t per t cane, NGF-09) could replace bagasse in boilers and free it."
FFU-004,"Cassava pulp, starch fraction",Amylase hydrolysis to glucose (no cellulosic pretreatment needed); fibre fraction by 2G later,0.48 to 0.98 Mt starch (2025),0.48 to 0.98,0.48 to 0.98,0.48 to 0.98,Mt starch in pulp per yr,0.97 t SE per t starch (1.08 x 90% recovery),"about 200 to 700 (implied pulp price VND 1,700 per kg, form unclear: dried pulp gives the low end, wet pulp the high end)",6 to 7 (enzymatic pulp hydrolysis at pilot scale; yeast SCP on cassava hydrolysate in the lab),Fresh pulp to cattle and pig farms; dried pulp to feed mills; biogas; fertiliser,FS-03; FS-05; FS-06; FS-18; SCI-22; SCI-44; edition 1.0 app-c C3,VN-adjacent,Low,estimate,2030; 2040; 2050,"Starch output held at about 2.5 Mt (our assumption); pulp swings with Chinese starch demand (2024 was about 60% of 2025). Diverting pulp removes a feed carbohydrate, so the net gain is the protein made. Technical potential 0.47 to 0.95 Mt SE."
FFU-005,Cassava stems (not replanted),Water extraction of stem starch plus hydrolysis; fibre by 2G,0.86 to 1.29,0.84 to 1.26,0.84 to 1.26,0.84 to 1.26,Mt DM per yr,0.15 to 0.29 t SE per t DM (starch only),not established,4 to 5,"Planting stakes (about 30% kept), fuel, left in field",FS-01; NGF-25; NGF-26; NGF-27,general; VN-adjacent (Guangxi),Low,estimate,2030; 2040; 2050,"Stem DM 0.12 to 0.18 t per t fresh root is our harvest-index assumption; 70% not replanted (NGF-27); stem starch 14 to 42% of DM (NGF-26), 30% with 15% water-extractable (NGF-25). Dispersed upland collection is the main barrier."
FFU-006,Maize stover,Lignocellulosic sugar,4.4,4.2,4.0,4.0,Mt DM per yr,0.35 to 0.50 t SE per t DM,421 to 467 (NREL corn stover TEA),7 to 8,"Cattle fodder and silage ('ngô sinh khối' is the only feed crop named in Decision 1748), burning, soil cover on slopes",FS-25; NGF-06; NTS-22,"VN-direct (grain); general (ratio, cost)",Low,estimate,2030; 2040; 2050,Stover 1.0 t DM per t grain (our assumption). Grain output flat to slightly falling (QNT S-BASE holds it flat). Sloping upland fields make collection costly.
FFU-007,Coffee pulp and husk,Fermentation substrate after decaffeination,0.45 (2016 basis),0.45,0.45,0.45,Mt dried per yr,0.15 to 0.30 t SE per t (our assumption),not established,4,"Coffee dryer fuel, organic fertiliser",FS-46,VN-direct,Low,estimate,2030; 2040; 2050,Caffeine 0.5 to 1.3% limits feed use. Small; Dak Lak and Central Highlands.
FFU-008,Molasses,Direct fermentation,0.55 to 0.72,0.58 to 0.76,0.58 to 0.76,0.58 to 0.76,Mt molasses per yr,"0.50 t SE per t (48% fermentable sugars, our assumption)",no bulk mill-gate price found,9,"MSG, baker's yeast, alcohol, planned QNS An Khe molasses ethanol (about 0.37 Mt a year if built), feed",FS-37; IND-22; VCO-02,general (ratio); VN-direct (uses),Low,estimate,2030; 2040; 2050,"First-generation by-product, already contested; Vedan reported tight molasses in H1 2026. Scales with cane."
FFU-009,"Ethanol stillage fermentables (glycerol, residual sugars, acids)",Direct fungal biomass on thin stillage (PEKILO-type),0.23 Mt ethanol (0.02 to 0.03 Mt SE),0.30 Mt ethanol,0.50 Mt ethanol,0.60 Mt ethanol,Mt ethanol produced per yr (basis for stillage),0.10 to 0.15 t SE per t ethanol (our assumption),near zero feedstock cost; disposal credit,"6 to 7 (Enifer 500 t pilot on corn-ethanol thin stillage in Brazil; historic PEKILO on sulfite liquor was TRL 9, 1975 to 1991)","DDGS-type feed, biogas, fertiliser",FS-09; NGF-17; NGF-31,VN-direct (ethanol); general (route),Low,estimate; signal,2030; 2040; 2050,"Ethanol path is our assumption: E10 from June 2026, E15/E20 discussed (NGF-31), about 80% of E10 ethanol imported mid-2026 (edition 1.0). Co-location required."
FFU-010,Cassava starch wastewater,"Direct yeast SCP on process water, or biogas then methanotroph",0.23 to 0.65 Mt COD,0.23 to 0.65,0.23 to 0.65,0.23 to 0.65,Mt COD per yr,0.66 t SE per t COD (70% fermentable),negative to low (treatment cost avoided) but dilute (7 to 20 g COD per L),"6 to 7 (direct yeast SCP on starch water, historic); 4 to 5 (methanotroph on biogas)",Covered-lagoon biogas for starch drying (replaces fuel oil and coal),NGF-24; NGF-29; FS-04; FS-06,VN-adjacent,Low,estimate,2030; 2040; 2050,"13 m3 per t starch and 12.2 g COD per L at a 500 t per day Thai plant (NGF-24); 2.5 Mt starch gives about 32 million m3 (edition 1.0 had about 22 million m3 from one Vietnamese factory ratio). As biogas: about 45 m3 CH4 per t starch, about 0.08 Mt CH4 a year nationally (our estimate); do not add to the direct route. EU feed law bans waste from wastewater treatment in feed (NGF-14)."
FFU-011,"Food-industry wastewaters (tofu whey, soy milk, brewery)",Direct fermentation or biogas,0.07 to 0.13 Mt SE (technical),0.07 to 0.13,0.07 to 0.13,0.07 to 0.13,Mt SE per yr,as stated,not established,5 to 6,Discharge after treatment; biogas,FS-24; FS-38; FS-44; SCI-25,general,Low,estimate,2030; 2040; 2050,"Our rough estimate: tofu and soy milk lose soluble sugars from about 550 kt of food soy (about 44 kt); brewery wastewater 3 to 5 L per L of beer at 2 to 4 g COD per L. Scattered; only large plants (Vinasoy, breweries) are practical."
FFU-012,Household food waste,Biogas or compost today; microbial protein only for non-feed uses unless rules change,7.72 Mt wet,7.92,8.24,8.36,Mt wet per yr,0.08 to 0.15 t SE per t wet (our assumption),not established (collection cost),"5 (SCP on food waste); 9 (biogas, compost)","Compost, biogas, insects (benchmark only), landfill",NGF-28; NGF-14; NGF-30; QNT (population),VN-direct (per-person figure is UNEP modelled),Low,estimate,2030; 2040; 2050,76 kg per person per year (UNEP Food Waste Index 2021 via NGF-28) x UN WPP 2024 population. EU bans household waste in feed; Vietnam only advises against untreated swill (NGF-30). Technical potential 0.6 to 1.2 Mt SE.
FFU-013,Pig-manure biogas methane,Methanotroph SCP,0.13 Mt CH4 capturable (2025),0.18,0.25,0.29,Mt CH4 per yr,2.35 t SE per t CH4 (1.7 t CH4 per t crude protein),268 to 313 per t SE for the methane at LNG parity (USD 12 to 14 per MMBtu); plant cost extra,"4 to 5 (biogas methanotroph); 8 (natural-gas methanotroph, but Calysseo 20 kt halted 2026)",On-farm heat and power; methane-cut targets (livestock methane 15.2 MtCO2e cap in 2030),MAC-12; FTG-06; FTG-25; FTG-31; CLM-02,VN-direct (herd); general (coefficients),Low,estimate,2030; 2040; 2050,"Herd 31.4 M (2025); 0.3 kg VS per head per day, 0.29 m3 CH4 per kg VS, 60% realised (IPCC-type assumptions); captured share = large-farm share 30% (2025) to 65% (2050), our assumption. Faeces-derived perception and feed-law risk. National biogas figure not found (a 2024 RSER study is closed access)."
FFU-014,e-methanol (captured CO2 plus green H2),Methylotrophic yeast SCP (Pichia pastoris),0,0,0 to 0.1 Mt SE (cases),0 to 0.5 Mt SE (cases),Mt SE per yr,0.87 t SE per t methanol (4.6 t methanol per t protein),"IRENA 2050 e-methanol USD 250 to 630 per t = USD 287 to 724 per t SE; Vietnam at H2 USD 1.5 to 2 per kg: 495 to 695; at 2026 Vietnamese LCOH (USD 2.81 to 3.88): 785 to 1,112",7 to 8 for e-methanol; 7 (pilot) for methanol SCP in China,"Shipping fuel and chemicals for methanol; ammonia, steel, refining for H2",NGF-12; NGF-13; FTG-16; FTG-18; FTG-24,general (cost); VN-direct (H2 inputs),Medium (IRENA projection); Low (Vietnam cost),projection; estimate,2040; 2050,"Not volume-limited: the whole S-ALT 2050 need via methanol takes about 1.5 Mt methanol, 0.29 Mt H2 (1.5 to 2.9% of the 10 to 20 Mt H2 target), 2.1 Mt CO2 and about 16 TWh."
FFU-015,Bio-methanol (biomass gasification),Methylotrophic yeast SCP,0,0,small,small,Mt SE per yr,0.87 t SE per t methanol,IRENA 2050 USD 220 to 560 per t = USD 253 to 643 per t SE,7 to 8,Competes with straw and husk for power,NGF-12,general,Low,projection,2050,Another way to turn straw into a clean fermentation carbon without enzymes; not assessed for Vietnam.
