topic,doi,title,year,cited_by,institutions,notes,source_ids,evidence_label,confidence
T01 Plant-based meat,10.1007/s00217-021-03810-1,Plant-based meat analogue (PBMA) as a sustainable food: a concise review,2021,240,not verified,Most-cited hit. Author team appears Korea/Malaysia-based; VN tag may be a false positive. Verify before citing as VN output. Title truncated as returned by the API summary; cited_by = OpenAIRE citationCount on 2026-09-23.,BIB-01,[VN-direct],Low
T01 Plant-based meat,10.1007/s13668-024-00575-3,Plant-based Meat Analogs: Perspectives on Their Meatiness ...,2024,18,not verified,Review. Title truncated as returned by the API summary; cited_by = OpenAIRE citationCount on 2026-09-23.,BIB-01,[VN-direct],Medium
T01 Plant-based meat,10.1093/ijfood/vvae080,Textural properties of plant-based meat analogue extrudates ...,2025,9,not verified,Only extrusion experiment found for VN; also matched soy protein query. Title truncated as returned by the API summary; cited_by = OpenAIRE citationCount on 2026-09-23.,BIB-01,[VN-direct],Medium
T01 Plant-based meat,10.1111/ijfs.17089,Meat-reduced sausage substituted with germinated mung bean ...,2024,9,not concentrated in one group (wave 1),Hybrid product; matches wave 1 RD list. Title truncated as returned by the API summary; cited_by = OpenAIRE citationCount on 2026-09-23.,BIB-01; BIB-06,[VN-direct],Medium
T01 Plant-based meat,10.17113/ftb.63.01.25.8629,Influence of mangosteen peel extract on oxidative stability ... (soy burgers),2025,3,not verified,Matches wave 1. Title truncated as returned by the API summary; cited_by = OpenAIRE citationCount on 2026-09-23.,BIB-01,[VN-direct],Medium
T01 Plant-based meat,10.1088/1755-1315/1597/1/012003,Effects of methyl cellulose and guar gum on cooking ...,2026,0,not verified,Conference paper (IOP EES). Title truncated as returned by the API summary; cited_by = OpenAIRE citationCount on 2026-09-23.,BIB-01,[VN-direct],Medium
T02 Textured protein,10.1111/jfpe.70365,"Plant-Based Fish Analogues: Advances in Formulation, Processing, ...",2026,0,not verified,Review; only hit for texturisation terms. Title truncated as returned by the API summary; cited_by = OpenAIRE citationCount on 2026-09-23.,BIB-01,[VN-direct],Medium
T04 Rice protein,10.1016/j.ifset.2021.102692,Ultrafiltration for recovery of rice protein: fouling ...,2021,22,HCMUT (wave 1),Only rice protein hit; HUST rice DDG papers missed by OpenAIRE country tag. Title truncated as returned by the API summary; cited_by = OpenAIRE citationCount on 2026-09-23.,BIB-01; BIB-06,[VN-direct],Medium
T05 Soy protein,10.3390/fishes5020014,Alternative feed raw materials modulate intestinal ...,2020,18,not verified,Aquafeed. Title truncated as returned by the API summary; cited_by = OpenAIRE citationCount on 2026-09-23.,BIB-01,[VN-direct],Medium
T05 Soy protein,10.32508/stdj.v20ik7.1210,Substitution of peanut protein for soy protein ...,2018,0,VNU-HCM journal; institution not verified,Food use of peanut protein. Title truncated as returned by the API summary; cited_by = OpenAIRE citationCount on 2026-09-23.,BIB-01,[VN-direct],Medium
