signal_id,date,actor,actor_type,product,claim_or_practice,what_it_reveals,source_ids,evidence_label,confidence,demand_evidence_type,notes
TRU-S01,2023 to 2026,Artisan and online giò sellers (Da Nang market group; OTOFUN; hotel supplier; Instagram; Giò chả Long Đỉnh),artisan seller,"giò lụa, giò chả",không độn bột (no starch filler); 100% thịt tươi; giò nguyên chất 100% (pure),Sellers compete on the absence of filler; purity is the quality promise of artisan giò,TRU-27,VN-direct,Low,revealed,Snippets
TRU-S02,2026,Lạp xưởng seller (Facebook and TikTok),online seller,lạp xưởng (Chinese-style sausage),"Không độn đạm đậu nành, thịt gà công nghiệp; Có công bố sản phẩm (no soy protein filler, no industrial chicken; product declared)","Soy protein is named as a filler to avoid, alongside cheap chicken",TRU-27,VN-direct,Low,revealed,Snippet
TRU-S03,2026,Home sausage makers (Instagram; Facebook),online seller,xúc xích,"90% thịt, ít mỡ, không bột độn; xúc xích ức gà 100%, không độn bột",Meat share and no filler used as selling points,TRU-27,VN-direct,Low,revealed,Snippets
TRU-S04,2018 to 2026,Masan Consumer (Omachi),processor,cup noodles with a sausage stick,"có cây thịt thật (with a real meat stick); stick lists meat, water, modified starch, đạm đậu nành (soy protein)",A 'real meat' claim coexists with listed soy protein and starch without visible controversy,TRU-25; TRU-22,VN-direct,High,revealed,Ingredients read on the retailer page; Dan Tri search found no story on it
TRU-S05,2022,Masan MEATLife (Ponnie),processor,sausage,88% thịt (88% meat),Premium lines sell on meat content,BUY-13,VN-direct,Medium,stated,From the package
TRU-S06,2026,Vissan,processor,processed meat range,19 of 61 unique meat formulations list soy protein,Declared soy is routine in the largest processor's lines,BUY-05,VN-direct,High,revealed,From the package
TRU-S07,2026,Xuxifarm and brand G (at Bach Hoa Xanh),processor (value),sausages,"vị bò hầm đậu nành (braised beef and soy flavour) VND 25,000 per 198 g; bé khỏe heo hầm hạt sen (healthy child, pork with lotus seed) VND 26,000 per 200 g; vị rau củ phô mai (vegetable and cheese flavour)",Value and children's sausages name plant ingredients in the title; soy can appear in a product name,TRU-26,VN-direct,Low,revealed,"Ingredient lists not read; VND 126,000 and 130,000 per kg (our calculation)"
TRU-S08,2026,"Small makers, marketplaces and a food app",artisan seller,xúc xích ức gà nấm hương (chicken breast and shiitake sausage),"Healthy, eat clean, diet; VND 89,000 per 500 g on a marketplace",A named mushroom component is framed as a health positive,TRU-32,VN-direct,Low,revealed,"VND 178,000 per kg (our calculation)"
TRU-S09,2020,Additive supplier (hoachathanoi.com; hoachatnhatrang.vn),additive supplier,giò heo độn gà (pork roll extended with chicken),"Recipe per 1 kg product includes 10 g gluten, phosphates and flavour",Extension is an open trade practice with a filler name,TRU-28,VN-direct,Low,revealed,Snippet
TRU-S10,2026,Additive suppliers (VMC Group; voxucxichcollagen.com.vn),additive supplier,corn starch for giò and sausages,"tăng tính kết dính, tăng trọng và giảm giá thành (binds, adds weight, lowers cost); chất độn giảm giá thành (cost-cutting filler)",Suppliers sell starch explicitly as weight gain and cost cutting,TRU-28,VN-direct,Low,revealed,Snippets
TRU-S11,2026-04-11,Additive supplier (ANPHOS PLUS),additive supplier,phosphate blend,"for thịt độn, phối 20% thịt đông lạnh gà (extended meat, mixed with 20% frozen chicken)",Trade vocabulary uses thịt độn for extended meat mixes,TRU-28,VN-direct,Low,revealed,Snippet
TRU-S12,2025 to 2026,Soy protein sellers (saigonchem; landnutra; hoachatlamdong),ingredient supplier,soy protein isolate and concentrate,chất độn các sản phẩm thịt (filler for meat products); 2% soy protein raises sausage weight by 10%; soy isolate 'overshadowed by the filler label',Suppliers themselves describe soy as a filler and see the label as a handicap,TRU-28,VN-direct,Low,revealed,Snippets
TRU-S13,2026,Retailers (Siêu thị Hải Minh; Tiki blog),retailer,giò lụa; sausages,No air holes is a sign of độn bột; cheap sausages have low real protein and starch fillers,Retail advice repeats the filler test in 2026,TRU-29,VN-direct,Low,revealed,Snippets
