route,organism,feedstock,trl_2026,leading_actors,largest_plant_capacity_t_per_yr,approvals,energy_kwh_per_kg_protein,h2_kg_per_kg_protein,cost_2026_usd_per_kg_protein,cost_2030,cost_2040,cost_2050,vn_window_conditions,signposts,source_ids,evidence_label,confidence,foresight_type,notes
"Hydrogen-oxidising bacteria (power-to-protein), food grade",Xanthobacter sp. SoF1 (Solar Foods); Cupriavidus necator in other programmes,Electrolytic H2 and O2; CO2 from direct air capture or point source; ammonia; minerals,7 (demonstration plant operating; first commercial plant planned),"Solar Foods (Finland) with GEA, Fortum; Ajinomoto as food partner; Air Protein and Kiverdi (US) status not verified","160 to 230 (Factory 01, Finland; company 160, press 230); Factory 02 planned 3,200, opening late 2028","Singapore novel food 29 Sep 2022; US self-affirmed GRAS, FDA notice filed May 2026, pending; EU EFSA opinion pending (Sep 2026)","69 to 83 (2030 design, incl. DAC and on-site NH3); 61 to 70 (2050 design)",0.69,"6.6 to 7.3 (modelled FOAK at best global sites, 2028); real FOAK likely higher",4.8 to 5.4 best global sites; Vietnam 6.9 to 12.6 (our estimate),Vietnam 4.7 to 8.6 (our estimate); best sites 3.7 to 4.2 in 2035,2.5 to 2.8 best global sites; Vietnam 3.3 to 6.5 (our estimate),"Delivered green H2 at or below about USD 1 to 2 per kg at high utilisation; firmed renewable power at or below about USD 30 to 45 per MWh; WACC at or below about 8%; point-source CO2 at USD 20 to 50 per t; a novel-food route (food) or a feed-list entry for bacterial biomass (feed); fishmeal protein above about USD 3,000 per t or a carbon price on competing proteins",Solar Foods FID (2026) and Factory 02 start (late 2028); EFSA opinion and FDA letter; Vietnamese green H2 plant completion (Vinh Long); Vietnamese LCOH quotes below USD 2 per kg; legal track for offshore wind for new energy,FTG-01; FTG-03; FTG-04; FTG-05; FTG-18; FTG-19,general (technology); VN-direct inputs for Vietnam estimates,Medium (published model and company data); Low for Vietnam estimates,projection; estimate,"Best-site costs are Fasihi et al. 2025 (7% WACC, EUR x 1.2 = USD). Vietnam estimates: electricity use x Vietnamese supply price (BNEF solar LCOE x 1.4 to 1.54 balancing) + Fasihi non-energy costs x 1.15 to 1.35 for WACC 9 to 11%; see ftg_estimates.py. Solar Foods Factory 02 plan (EUR 191 M on balance sheet for 3,200 t) implies about EUR 60,000 per annual t of product, far above the TEA capex (our derivation, Low)."
"Hydrogen-oxidising bacteria, feed grade (techno-economic studies only)",Cupriavidus necator and mixed hydrogen-oxidising cultures,H2 from wind or solar electrolysis; point-source CO2 (e.g. ethanol plant) or DAC,5 to 6,Academic TEAs (Iowa State; Weizmann and partners); NovoNutrients closed 2025; no feed plant found,None commercial,None found for feed,About 69 to 83 (same physics as food grade; less downstream processing),0.69 (Fasihi stoichiometry); 0.43 to 0.56 kg per kg biomass in other TEAs,"About 3.2 (Jean and Brown 2024 MSP USD 2,070 per t SCP at 65% protein, electricity USD 11.4 per MWh); 4 to 5 (Leger et al. 2021)",Not separately projected; see food-grade row,Not separately projected,Not separately projected,"As food grade, plus a feed-list entry for bacterial biomass (MAE) and a fishmeal-protein price well above 2025 levels","Any feed-grade hydrogen-oxidiser plant above 1,000 t per year anywhere; MAE listing of bacterial SCP",FTG-01; FTG-02; FTG-10; COST-45 (edition 1.0),general,Medium,projection,Fasihi et al. judge the Jean and Brown power price 'unrealistically low without subsidies'. Leger et al.: cost above fishmeal (about USD 2.5 per kg protein) and soybean meal (about USD 1) at the time.
Methanotroph single-cell protein on natural gas,Methylococcus capsulatus (Bath) with helper strains,"Natural gas (methane), oxygen or air, ammonia",8 (commercial plant built; production halted 2026),"Calysta and Calysseo (Adisseo JV, China); Unibio (Denmark) with SIIG (Saudi Arabia); String Bio (India, not verified)","20,000 nameplate (Calysseo, Chongqing; halted 2026 for upgrades); 50,000 planned (Unibio and SIIG, Saudi Arabia, commercial 2028)","EU feed (natural-gas bacterial protein since the 1990s; UniProtein); China MARA full approval 2024 (FeedKind, aquafeed); Saudi aquaculture (Unibio); EU pet food (Unibio); China pet food expected Q3 2026 (FeedKind)","About 26 (methane energy, HHV, at 1.7 kg CH4 per kg protein); process electricity not found",0,"1.10 to 2.57 (one TEA, cited); real operations loss-making (Calysseo 2025 revenue USD 0.71 M, net loss USD 15.5 M)",No published projection found,No published projection found,No published projection found,Methane below about USD 5 per MMBtu (stranded gas or aggregated biogas); a feed-list entry for methanotroph meal; buyers paying a functional premium in shrimp feed,Calysseo refinancing and restart; Unibio Saudi plant start (2028); Vietnamese industrial gas price path; FeedKind or UniProtein trials in Vietnamese shrimp feed,FTG-06; FTG-07; FTG-25; FTG-26,general,Medium,signal; trend,"Our estimate: gas alone costs USD 0.72 to 1.25 per kg protein at USD 8 to 14 per MMBtu (1.7 kg CH4 per kg protein x 0.0526 MMBtu per kg), close to the whole price of soybean-meal protein (about USD 0.88). A Norwegian plant of the 1990s proved uneconomic because of the gas price (Kuzniar et al. 2019). Fossil methane gives no carbon benefit."
Methanotroph single-cell protein on biogas,"Methanotroph consortia (e.g. Methylomagnum, Methylococcus)","Biogas (about 50 to 65% CH4) from cassava-starch wastewater, pig manure, landfill",4 to 5,"University groups (India, China, Denmark, Australia); Vietnam: one 2016 methanotroph isolation for SCP (VNU Hanoi)",None commercial,None found,Not established,0,Not established,Not established,Not established,Not established,Aggregated biogas from starch factories or large pig farms at one site; low-cost gas cleaning; a feed-list entry,A pilot at a Tay Ninh or Dong Nai starch factory; national biogas inventory,FTG-14; FTG-25,general; VN-direct (research),Low,signal,"Edition 1.0 found cassava-starch wastewater biogas widespread but unquantified. Plants are small and dispersed, which works against the scale economies of gas fermentation."
Acetogen protein from industrial off-gas (CAP),Clostridium autoethanogenum,"Steel-mill and ferroalloy off-gas (CO, CO2, H2); protein is a co-product of ethanol","9 in China (commercial, co-product)","Beijing Shougang LanzaTech (plants in Hebei, Ningxia, Guizhou); CAAS Feed Research Institute; LanzaTech (licensor)","5,000 protein (Hebei plant, with 45,000 ethanol); group protein output 10,200 in 2023",China MARA new feed raw material certificate 29 Aug 2021,Not reported (energy comes from the off-gas),0,Not published; company gross margin negative in H1 2024; priced against imported fishmeal,No published projection,No published projection,No published projection,"A Vietnamese steel or ferroalloy site with surplus off-gas not already used for power, and a gas-to-ethanol or SAF business case; a feed-list entry for CAP",Hoa Phat or Formosa Ha Tinh announcing gas fermentation or SAF; CAP imports into Vietnam; MAE listing,FTG-08; FTG-09; FTG-20; FTG-22; RGN-57 (edition 1.0),general; VN-direct (Hoa Phat),Medium,trend; signal,"Protein is only 0.1 to 0.15 t per t ethanol. The 2022 plan for 120,000 t more protein capacity by 2026 was not met (10,200 t output in 2023). Hoa Phat already burns its off-gases for 80 to 90% power self-sufficiency, so the gas is not free."
"Two-stage off-gas or CO2 to acetate, then aerobic single-cell protein","Acetogens, then yeast or bacteria (e.g. Yarrowia lipolytica, Cupriavidus)",Industrial off-gas or CO2 plus H2,4 to 5,Bio Base Europe Pilot Plant and Ghent University (TEA); Chinese academic groups,None commercial,None found,Not established,Route-dependent,"About 5.9 (USD 4.15 per kg SCP at an assumed 70% protein; 2.78 per kg SCP if intensified, about 4.0 per kg protein)",Not projected,Not projected,Not projected,"As for CAP, plus low-cost H2 if the gas is CO2-rich",A pilot above 1 t per day,COST-44 (edition 1.0); FTG-12,general,Medium,projection,"Vlaeminck et al. 2023: 20,000 t per year feed SCP, USD 320 M capex; facility-dependent costs 58%, utilities 18%. The 70% protein content is our assumption."
Methanol single-cell protein,Pichia pastoris (Komagataella phaffii) in China; historically Methylophilus methylotrophus (ICI Pruteen),Methanol (coal-based today; e-methanol from CO2 and H2 possible later),"7 to 8 in China (10,000 t class demonstration referred to, not verified)",Tianjin Institute of Industrial Biotechnology (CAS) and partners,Not verified,None found this round (MARA lists not fully searched),For e-methanol: electrosynthesis efficiency 50 to 60% vs 65 to 75% for H2 (Leger et al. 2021),"Indirect, via e-methanol","About 4 to 5 (Leger et al. 2021 for PV-methanol SCP, USD 2.8 per kg dry biomass)",Not projected,Not projected,Not projected,Cheap low-carbon methanol (e.g. a Dung Quat e-methanol project); methanol logistics are easier than H2,A Chinese new-feed certificate for methanol protein; BSR low-carbon methanol pilot at Dung Quat,FTG-24; FTG-02,general,Low,signal,TIB reports 67.2% crude protein and 92% of theoretical methanol-to-protein conversion (Jan 2024). Methanol from coal carries a high carbon footprint.
Ethanol-fed single-cell protein,Yeasts or bacteria on ethanol,Ethanol,Not assessed this round,Not assessed,Not assessed,Not assessed,Not assessed,0,Not assessed,Not assessed,Not assessed,Not assessed,"Not favourable: Vietnam imported 81,500 of 103,700 m3 of ethanol supplied in July 2026 for E10 (edition 1.0), so ethanol is not a cheap local feedstock",Domestic ethanol surplus after E10 demand,IND-18 to IND-21 (edition 1.0),VN-direct,Low,signal,Gap: route not researched in depth this round.
"Electro-microbial protein (CO2 electrolysis to acetate or formate, then microbes)","Yeasts, algae or bacteria growing on electro-acetate or formate","CO2, water, electricity",3 to 4,Tianjin Institute of Industrial Biotechnology; Xi'an Jiaotong University; US academic groups,Laboratory only,None,Higher than the H2 route (formate electrosynthesis efficiency 30 to 50%),0 (electrons delivered as formate or acetate),Not established; formate route 'considerably more expensive' than H2 (Leger et al. 2021),Not projected,Not projected,Not projected,Only after about 2035 if CO2 electrolysers mature; no Vietnamese capability found,Any pilot above 1 t per day; electrolyser efficiency above 60% for acetate,FTG-02; FTG-12; FTG-13,general,Low,signal,China leads publications on this route.
Microalgae on CO2 (photoautotrophic),"Spirulina (Arthrospira), Chlorella","Sunlight, CO2 (flue gas or purified), nutrients",9 on purchased CO2 (spirulina); 6 to 7 on flue gas,Many global producers; small Vietnamese spirulina producers,Not assessed this round,Spirulina is an ordinary food; algae are on Vietnam's feed list (edition 1.0),Not established,0,Not established this round,Not projected,Not projected,Not projected,Near-pure CO2 from ethanol or brewing; land near CO2 sources; a buyer for high-value biomass,A Vietnamese spirulina or chlorella plant using captured CO2,FTG-30,general,Low,trend,"Janssen et al. 2022 give a potential of 22 to 44 t protein per ha per year in closed systems, similar to or above PV-driven SCP (about 13 to 22 t per ha in Vietnam, our estimate). Edition 1.0 rates microalgae a niche with incumbents."
