record_id,date,country,company,product,category,regulator,form_of_approval,source_ids,evidence_label,confidence,notes
APR-001,2019-05-21,Singapore,Triton Algae Innovations,Chlamydomonas reinhardtii THN6 (green) algae biomass,other (microalgae),Singapore Food Agency,Listed as approved novel food (pre-market approval),RGN-04,VN-adjacent,High,Date = SFA 'date allowed to be used as food' on list dated 14 Aug 2026.
APR-002,2020-11-26,Singapore,"Eat Just, Inc.",Cultured chicken cells (UMNSAH/DF1),cultivated,Singapore Food Agency,Listed as approved novel food (pre-market approval),RGN-04,VN-adjacent,High,Date = SFA 'date allowed to be used as food' on list dated 14 Aug 2026.
APR-003,2021-08-06,Singapore,Nature's Fynd,"Mycelial biomass, Fusarium strain flavolapis (Fy)",biomass,Singapore Food Agency,Listed as approved novel food (pre-market approval),RGN-04,VN-adjacent,High,Date = SFA 'date allowed to be used as food' on list dated 14 Aug 2026.
APR-004,2022-09-29,Singapore,Solar Foods Oy,Protein powder from Xanthobacter sp. SOF1 (Solein),biomass,Singapore Food Agency,Listed as approved novel food (pre-market approval),RGN-04,VN-adjacent,High,Date = SFA 'date allowed to be used as food' on list dated 14 Aug 2026. Some press (RGN-06) mislabels Solein as precision fermentation; it is gas-fermented bacterial biomass.
APR-005,2022-10-19,Singapore,Triton Algae Innovations,Chlamydomonas reinhardtii TAI114 (red) algae biomass,other (microalgae),Singapore Food Agency,Listed as approved novel food (pre-market approval),RGN-04,VN-adjacent,High,Date = SFA 'date allowed to be used as food' on list dated 14 Aug 2026.
APR-006,2023-01-11,Singapore,"Eat Just, Inc.","Cultured chicken cells, serum-free media",cultivated,Singapore Food Agency,Listed as approved novel food (pre-market approval),RGN-04,VN-adjacent,High,Date = SFA 'date allowed to be used as food' on list dated 14 Aug 2026.
APR-007,2023-02-20,Singapore,Remilk,Animal-free beta-lactoglobulin (Komagataella phaffii),PF,Singapore Food Agency,Listed as approved novel food (pre-market approval),RGN-04,VN-adjacent,High,Date = SFA 'date allowed to be used as food' on list dated 14 Aug 2026. Only precision-fermented dairy protein on the SFA novel food list; other GM-microbe ingredients may sit on SFA's separate GM food list (not checked).
APR-008,2024-03-14,Singapore,The Protein Brewery B.V.,"Fungal biomass, Rhizomucor pusillus (Fermotein)",biomass,Singapore Food Agency,Listed as approved novel food (pre-market approval),RGN-04,VN-adjacent,High,Date = SFA 'date allowed to be used as food' on list dated 14 Aug 2026.
APR-009,2024-03-22,Singapore,Vow Group Pty Ltd,Cultured Japanese quail fibroblasts,cultivated,Singapore Food Agency,Listed as approved novel food (pre-market approval),RGN-04,VN-adjacent,High,Date = SFA 'date allowed to be used as food' on list dated 14 Aug 2026.
APR-010,2024-10-15,Singapore,The Better Meat Co.,"Mycoprotein, Neurospora crassa Bstr 26 (Rhiza)",biomass,Singapore Food Agency,Listed as approved novel food (pre-market approval),RGN-04,VN-adjacent,High,Date = SFA 'date allowed to be used as food' on list dated 14 Aug 2026.
APR-011,2025-03-13,Singapore,Amazentis SA,Urolithin A,other (chemical synthesis),Singapore Food Agency,Listed as approved novel food (pre-market approval),RGN-04,VN-adjacent,High,Date = SFA 'date allowed to be used as food' on list dated 14 Aug 2026.
APR-012,2025-06-18,Singapore,Chr. Hansen Singapore Pte Ltd,3'-sialyllactose sodium salt (GM E. coli),PF,Singapore Food Agency,Listed as approved novel food (pre-market approval),RGN-04,VN-adjacent,High,Date = SFA 'date allowed to be used as food' on list dated 14 Aug 2026.
APR-013,2025-06-18,Singapore,Chr. Hansen Singapore Pte Ltd,6'-sialyllactose sodium salt (GM E. coli),PF,Singapore Food Agency,Listed as approved novel food (pre-market approval),RGN-04,VN-adjacent,High,Date = SFA 'date allowed to be used as food' on list dated 14 Aug 2026.
APR-014,2025-09-24,Singapore,Infinite Roots,"Mycelium biomass, Pleurotus pulmonarius",biomass,Singapore Food Agency,Listed as approved novel food (pre-market approval),RGN-04,VN-adjacent,High,Date = SFA 'date allowed to be used as food' on list dated 14 Aug 2026.
APR-015,2025-10-17,Singapore,Vital Meat (Parima group),Cultivated chicken biomass (embryonic stem cells),cultivated,Singapore Food Agency,Listed as approved novel food (pre-market approval),RGN-04,VN-adjacent,High,Date = SFA 'date allowed to be used as food' on list dated 14 Aug 2026.
APR-016,2026-04-10,Singapore,"Supreme SAS (Parima group, ex-Gourmey)",Cultured duck (embryonic stem cells),cultivated,Singapore Food Agency,Listed as approved novel food (pre-market approval),RGN-04,VN-adjacent,High,Date = SFA 'date allowed to be used as food' on list dated 14 Aug 2026.
APR-017,2026-04-27,Singapore,Ultimeat International Pte Ltd,"Mycoprotein, Neurospora crassa OR-1 (Noushroom)",biomass,Singapore Food Agency,Listed as approved novel food (pre-market approval),RGN-04,VN-adjacent,High,Date = SFA 'date allowed to be used as food' on list dated 14 Aug 2026.
APR-018,2026-07-22,Singapore,Aleph Farms,Cultivated thin-cut steak (bovine cells; hybrid with plant protein),cultivated,Singapore Food Agency,Listed as approved novel food (pre-market approval),RGN-04; RGN-29; RGN-30; RGN-31,VN-adjacent,High,"Date = SFA 'date allowed to be used as food' on list dated 14 Aug 2026. Publicly announced 4 Aug 2026 (RGN-29, RGN-30, RGN-31 give 4 Aug as approval date; SFA list says 22 Jul). Product is 10-20% cultivated cells in plant-protein base; foodservice launch target H1 2027; produced with Cell AgriTech."
APR-019,2022-11-16,United States,UPSIDE Foods,Cultured chicken cells,cultivated,US FDA,"Pre-market consultation completed, 'no questions' letter",RGN-03,general,High,FDA pre-market consultation completed ('no questions' response letter); for meat and poultry USDA-FSIS inspection also needed; seafood (Wildtype) is FDA-only.
APR-020,2023-03-20,United States,"GOOD Meat, Inc.",Cultured chicken cells,cultivated,US FDA,"Pre-market consultation completed, 'no questions' letter",RGN-03,general,High,FDA pre-market consultation completed ('no questions' response letter); for meat and poultry USDA-FSIS inspection also needed; seafood (Wildtype) is FDA-only.
APR-021,2025-03-07,United States,Mission Barns,Cultured pork fat cells,cultivated,US FDA,"Pre-market consultation completed, 'no questions' letter",RGN-03,general,High,FDA pre-market consultation completed ('no questions' response letter); for meat and poultry USDA-FSIS inspection also needed; seafood (Wildtype) is FDA-only.
APR-022,2025-05-28,United States,Wildtype Inc.,Cultured coho salmon cells (Oncorhynchus kisutch),cultivated,US FDA,"Pre-market consultation completed, 'no questions' letter",RGN-03,general,High,VERIFIED: FDA inventory CCC 005 lists response date 28 May 2025. First cultivated seafood cleared in the US; FDA-only jurisdiction for seafood. FDA pre-market consultation completed ('no questions' response letter); for meat and poultry USDA-FSIS inspection also needed; seafood (Wildtype) is FDA-only.
APR-023,2025-07-24,United States,Believer Meats,Cultured chicken cells,cultivated,US FDA,"Pre-market consultation completed, 'no questions' letter",RGN-03,general,High,FDA pre-market consultation completed ('no questions' response letter); for meat and poultry USDA-FSIS inspection also needed; seafood (Wildtype) is FDA-only.
APR-024,2025-04-07,Australia/New Zealand,Vow Group Pty Ltd,Cultured quail,cultivated,FSANZ,Food Standards Code amendment (approval by FSANZ; Code change in force mid-2025),RGN-18; RGN-19; RGN-20,general,Medium,Wikipedia gives 7 Apr 2025 for approval; GFI APAC reports first approval 'June 2025' (likely gazettal after ministers' review). Both recorded; not a real conflict.
APR-025,2023-12 / 2024-01,Israel,Aleph Farms,Cultivated beef,cultivated,"Ministry of Health, National Food Service",Novel food approval,RGN-18; RGN-29,general,Medium,"Green Queen says Dec 2023, Wikipedia says Jan 2024 (announcement). Reference only."
APR-026,2024-12-05 (filed),Thailand,Aleph Farms,Cultivated beef,cultivated,Thai FDA; BIOTEC as Safety Assessment Unit,"APPLICATION ONLY, not approved as of Sep 2026",RGN-32; RGN-19; RGN-29,VN-adjacent,High,"Date of Aleph press release. GFI India page (RGN-17) says filed 2025; we take the company release. Partners: Thai Union (investor since 2021), BBGI, Fermbox Bio."
APR-027,2025 (exact date not verified),China,Fushine Biotech,Fusarium venenatum mycoprotein,biomass,National Health Commission,New food raw material approval,RGN-20; RGN-24,general,Low,GFI APAC: 'issued first-ever mycoprotein approval' in 2025; GFI China report names Fushine. Exact date not found.
APR-028,not verified,China,Angel Yeast,Yeast protein,biomass,National Health Commission,New food raw material approval (per GFI report),RGN-24,general,Low,"Angel Yeast Yichang plant 11,000 t/yr yeast protein."
APR-029,not verified,India,Perfect Day; Nature's Fynd; Reliance; others,Whey protein (PF); Fy fungal protein; algae ingredient; mycoprotein,PF / biomass,FSSAI,Non-specified food approval,RGN-17,general,Low,From GFI India summary table; dates and exact products not checked.
APR-030,2025-12,Malaysia,n/a (national fatwa),Cultivated meat (category),other (religious ruling),National fatwa authority / JAKIM,Ruling that cultivated meat can be halal under conditions; NOT a food safety approval,RGN-20; RGN-21,VN-adjacent,Medium,First Muslim-majority country to do so. Singapore's Islamic authority has also set a path (RGN-28).
APR-031,none as of 2026-09,South Korea,(applications reported),Cultivated meat,cultivated,MFDS,No approval found,RGN-21; RGN-34; RGN-43,VN-adjacent,Medium,Route open since Feb 2024; GFI State of Global Policy says several applications received.
APR-032,none as of 2026-09,Japan,n/a,Cultivated meat,cultivated,Consumer Affairs Agency,No approval; draft safety checkpoints 28 May 2026,RGN-33,VN-adjacent,Medium,
APR-033,none,Vietnam,n/a,n/a,n/a,MOH / VFA,No novel food route,RGN-01,VN-direct,High,Hawkwood regulatory readiness score 0.
