source_id,citation,title,author_or_publisher,date,url,doi,source_type,accessed,notes
EXP-01,"Mridul, A. Global Plant-Based Food Sales Grew by 3% in 2025: GFI Report. Green Queen, 21 Apr 2026 (updated 23 Apr 2026). https://www.greenqueen.com.hk/gfi-state-of-the-industry-report-2025-2026-plant-based-sales/",Global Plant-Based Food Sales Grew by 3% in 2025: GFI Report,Green Queen (Anay Mridul),2026-04-21,https://www.greenqueen.com.hk/gfi-state-of-the-industry-report-2025-2026-plant-based-sales/,,press,2026-09-24,"Secondary summary of GFI 2026 State of the Industry (Euromonitor, SPINS). Regional split Europe USD 10.1bn, APAC 9.2bn, North America 6.9bn; US category detail."
EXP-02,"The Good Food Institute. U.S. retail market insights for the plant-based industry. GFI, published 22 Jul 2026. https://gfi.org/marketresearch/",U.S. retail market insights for the plant-based industry,The Good Food Institute (data: SPINS; Circana consumer panel),2026-07-22,https://gfi.org/marketresearch/,,advocacy,2026-09-24,"Primary GFI analysis of SPINS 2025 retail data: US plant-based USD 7.9bn; meat and seafood USD 1.0bn (-10% value, -11% units)."
EXP-03,"The Good Food Institute. State of the Industry: Plant-based meat, seafood, eggs, dairy, and ingredients. GFI resource page, updated 5 May 2026. https://gfi.org/resource/plant-based-meat-eggs-and-dairy-state-of-the-industry/","State of the Industry: Plant-based meat, seafood, eggs, dairy, and ingredients",The Good Food Institute (data: Euromonitor International),2026-05-05,https://gfi.org/resource/plant-based-meat-eggs-and-dairy-state-of-the-industry/,,advocacy,2026-09-24,Resource page only; full PDF gated. Global plant-based USD 28.9bn 2025; meat and seafood USD 6.6bn.
EXP-04,vegconomist. GFI's 2026 State of the Industry Reports Detail Mixed Year for Alternative Proteins Across All Three Sectors. 22 Apr 2026. https://vegconomist.com/studies-numbers/gfis-2026-state-of-industry-reports-detail-mixed-year-alternative-proteins-across-three-sectors/,GFI's 2026 State of the Industry Reports Detail Mixed Year for Alternative Proteins Across All Three Sectors,vegconomist,2026-04-22,https://vegconomist.com/studies-numbers/gfis-2026-state-of-industry-reports-detail-mixed-year-alternative-proteins-across-three-sectors/,,press,2026-09-24,Trade press summary; gives USD 6.8bn for plant-based meat and seafood (conflicts with GFI 6.6bn); 2025 investment figures.
EXP-05,"GFI Europe. Plant-based retail sales in six European countries, 2023 to 2025 (European plant-based sales data). Published 10 Jun 2025, last modified 15 Jun 2026. https://gfieurope.org/european-plant-based-sales-data/",European plant-based sales data,GFI Europe (data: Circana retail sales; NIQ Homescan),2026-06-15,https://gfieurope.org/european-plant-based-sales-data/,,advocacy,2026-09-24,"Country tables for France, Germany, Italy, Netherlands, Spain, UK; value, volume, price changes; category detail incl. German plant-based seafood."
EXP-06,Yano Research Institute. Alternative protein global market survey (2025) press release no. 3920. 17 Nov 2025. https://www.yano.co.jp/press/press.php/003920,代替タンパク質世界市場に関する調査を実施（2025年）,Yano Research Institute,2025-11-17,https://www.yano.co.jp/press/press.php/003920,,market research,2026-09-24,Global manufacturer shipment value JPY 572.33bn (2024) and forecasts to 2040; includes insect protein. Used only in rejected claims.
EXP-07,"Satake, A. and Sasatani, D. Gradually Evolving Market for Plant-Based Meat Substitutes in Japan. USDA FAS GAIN report JA2023-0061, 7 Aug 2023. https://apps.fas.usda.gov/newgainapi/api/Report/DownloadReportByFileName?fileName=Gradually+Evolving+Market+for+Plant-Based+Meat+Substitutes+in+Japan_Tokyo_Japan_JA2023-0061.pdf",Gradually Evolving Market for Plant-Based Meat Substitutes in Japan,"USDA Foreign Agricultural Service, Tokyo",2023-08-07,https://apps.fas.usda.gov/newgainapi/api/Report/DownloadReportByFileName?fileName=Gradually+Evolving+Market+for+Plant-Based+Meat+Substitutes+in+Japan_Tokyo_Japan_JA2023-0061.pdf,,gov/statistics,2026-09-24,"Industry-source market estimates (USD 18m 2022, USD 29m 2025 forecast at JPY 140/USD); plant protein imports 35,059 t, USD 149m (2022, Trade Data Monitor)."
EXP-08,"Kim Min-ju. 대체육 대전환, 어디까지 왔나…'300억원 규모' 파이 싸움 격화 (Alternative meat: KRW 30 billion market). Maeil Ilbo, 17 Jan 2024. https://www.m-i.kr/news/articleView.html?idxno=1085136","대체육 대전환, 어디까지 왔나…'300억원 규모' 파이 싸움 격화","Maeil Ilbo (citing aT, Korea Agro-Fisheries and Food Trade Corporation)",2024-01-17,https://www.m-i.kr/news/articleView.html?idxno=1085136,,press,2026-09-24,"aT estimate KRW 25.2bn (2023), KRW 29.5bn forecast (2025)."
EXP-09,식품저널 foodnews. 올해 대체육 시장 212억 규모…전년보다 28.3% 성장 (Alternative meat market KRW 21.2bn this year). 15 Dec 2022. https://www.foodnews.co.kr/news/articleView.html?idxno=100147,올해 대체육 시장 212억 규모…전년보다 28.3% 성장,Food Journal (citing Euromonitor International),2022-12-15,https://www.foodnews.co.kr/news/articleView.html?idxno=100147,,press,2026-09-24,Euromonitor: USD 13.1m (KRW 16.5bn) 2021; USD 16.9m (KRW 21.2bn) 2022; KRW 32.1bn forecast 2025.
EXP-10,"The Good Food Institute. Analyzing plant-based meat and seafood sales. GFI resource page (Euromonitor data), accessed 24 Sep 2026. https://gfi.org/resource/analyzing-plant-based-meat-and-seafood-sales/",Analyzing plant-based meat and seafood sales,The Good Food Institute (data: Euromonitor International),2026,https://gfi.org/resource/analyzing-plant-based-meat-and-seafood-sales/,,advocacy,2026-09-24,Europe USD 3.6bn of USD 6.6bn plant-based meat and seafood 2025; Europe plus North America about 83%; US 28%.
EXP-11,GFI APAC. GFI APAC's 2025 Report Card + 6 Things to Watch in 2026. Jan 2026. https://gfi-apac.org/gfi-apacs-2025-report-card-6-things-to-watch-in-2026/,GFI APAC's 2025 Report Card + 6 Things to Watch in 2026,GFI APAC,2026-01,https://gfi-apac.org/gfi-apacs-2025-report-card-6-things-to-watch-in-2026/,,advocacy,2026-09-24,Malaysia halal ruling on cultivated meat (Dec 2025); China first mycoprotein approval; blended meat outlook; no Vietnam content.
EXP-12,"The Nation (Thailand). Thailand on track to become global leader in future food, say experts. 12 to 13 May 2025. https://www.nationthailand.com/blogs/business/trade/40049897","Thailand on track to become global leader in future food, say experts",The Nation Thailand (quoting Thai Future Food Trade Association),2025-05-12,https://www.nationthailand.com/blogs/business/trade/40049897,,press,2026-09-24,January 2025 future food exports by category incl. alternative protein THB 384m; destination shares.
EXP-13,The Nation (Thailand). Thailand ranked the world's 12th future food exporter. 25 Jul 2024. https://www.nationthailand.com/news/general/40039983,Thailand ranked the world's 12th future food exporter,The Nation Thailand (quoting NXPO),2024-07-25,https://www.nationthailand.com/news/general/40039983,,press,2026-09-24,"Future food exports THB 144bn (2023), 89% functional foods; target THB 500bn by 2027."
EXP-14,"Trade Policy and Strategy Office (TPSO), Thai Ministry of Commerce. พาณิชย์หนุน Plant-Based ไทย บุกตลาดโลก (Commerce backs Thai plant-based to global markets). 20 Aug 2025. https://www.tpso.go.th/news/2508-0000000017",พาณิชย์หนุน Plant-Based ไทย บุกตลาดโลก จับเทรนด์ผู้บริโภครุ่นใหม่,"Trade Policy and Strategy Office, Ministry of Commerce, Thailand",2025-08-20,https://www.tpso.go.th/news/2508-0000000017,,gov/statistics,2026-09-24,"Thai plant-based market THB 45,000m (2024) with unclear definition; downgraded."
EXP-15,MGR Online. โปรตีนทางเลือก โตรับเทรนด์สุขภาพ ตลาดส่งออกรุ่งยอดพุ่งกว่า 5 พันล้าน (Alternative protein export market above THB 5 billion). 6 Apr 2024. https://mgronline.com/daily/detail/9670000030170,โปรตีนทางเลือก โตรับเทรนด์สุขภาพ ตลาดส่งออกรุ่งยอดพุ่งกว่า 5 พันล้าน,"MGR Online (quoting TPSO, Ministry of Commerce)",2024-04-06,https://mgronline.com/daily/detail/9670000030170,,press,2026-09-24,"Thai alternative protein exports THB 4.5bn (2021), projected THB 5.67bn (2024); definitions unclear."
EXP-16,VnEconomy. Xuất khẩu nông lâm thủy sản 2025 kỷ lục hơn 70 tỷ USD (Agro-forestry-fishery exports 2025 record above USD 70 billion). 17 Feb 2026. https://vneconomy.vn/xuat-khau-nong-lam-thuy-san-lap-ky-luc-tao-da-but-pha-nam-2026.htm,"Xuất khẩu nông lâm thủy sản lập kỷ lục, tạo đà bứt phá năm 2026",VnEconomy (Ministry of Agriculture and Environment data),2026-02-17,https://vneconomy.vn/xuat-khau-nong-lam-thuy-san-lap-ky-luc-tao-da-but-pha-nam-2026.htm,,press,2026-09-24,2025 totals: USD 70.09bn; agro USD 37.25bn; fisheries USD 11.32bn; fruit and vegetables USD 8.6bn; coffee USD 8.57bn.
EXP-17,Produce Report. China Overtakes US as Top Importer of Vietnamese Cashews. 4 Sep 2025. https://www.producereport.com/article/china-overtakes-us-top-importer-vietnamese-cashews,China Overtakes US as Top Importer of Vietnamese Cashews,Produce Report (citing Vinacas and Vietnam Customs),2025-09-04,https://www.producereport.com/article/china-overtakes-us-top-importer-vietnamese-cashews,,press,2026-09-24,"Jan to Jul 2025 cashew exports 413,000 t, USD 2.8bn; US volume -27.5%; 2024 base 730,000 t, USD 4.37bn."
EXP-18,MP Logistics. Vietnam: Cashew Exports Hit Record $5.2 Billion in 2025. 28 Jan 2026. https://mplogistics.vn/2026/01/28/vietnam-cashew-exports-hit-record-5-2-billion-in-2025/,Vietnam: Cashew Exports Hit Record $5.2 Billion in 2025,MP Logistics (citing Vietnam Customs and MOIT),2026-01-28,https://mplogistics.vn/2026/01/28/vietnam-cashew-exports-hit-record-5-2-billion-in-2025/,,other,2026-09-24,"Company blog relaying customs data: 766,585 t, USD 5.229bn in 2025; market shares; raw nut import sources. Customs figures consistent with EXP-43 11-month data."
EXP-19,Nhan Dan Online. Vietnamese cashew nuts: From raw exports to plant-based milk opportunities in US. 14 Dec 2025. https://en.nhandan.vn/vietnamese-cashew-nuts-from-raw-exports-to-plant-based-milk-opportunities-in-us-post156744.html,Vietnamese cashew nuts: From raw exports to plant-based milk opportunities in US,Nhan Dan,2025-12-14,https://en.nhandan.vn/vietnamese-cashew-nuts-from-raw-exports-to-plant-based-milk-opportunities-in-us-post156744.html,,press,2026-09-24,Stated opportunity; unsourced cashew milk market size; claims US removed tariffs on cashews in Nov 2025.
EXP-20,Thompson Hine SmarTrade. President Trump Issues Executive Order Exempting Various Agricultural Products from the Reciprocal Tariff Regime. Nov 2025. https://www.thompsonhinesmartrade.com/2025/11/president-trump-issues-executive-order-exempting-various-agricultural-products-from-the-reciprocal-tariff-regime/,President Trump Issues Executive Order Exempting Various Agricultural Products from the Reciprocal Tariff Regime,Thompson Hine LLP,2025-11,https://www.thompsonhinesmartrade.com/2025/11/president-trump-issues-executive-order-exempting-various-agricultural-products-from-the-reciprocal-tariff-regime/,,other,2026-09-24,Law firm summary of 14 Nov 2025 order; product categories exempted.
