record_id,product,hs_code,year,value_usd,volume_t,main_markets,relevance_to_alt_protein,source_ids,evidence_label,confidence,demand_evidence_type,notes
EB-01,"Agro-forestry-fishery exports, total",various,2025,"70,090,000,000",,Asia 45.2% of value; China about 64% of fruit and vegetables,Context: size of the export base that alternative protein would join,EXP-16,VN-direct,Medium,revealed,Ministry of Agriculture and Environment data via VnEconomy; +12% on 2024.
EB-02,"Fisheries products (seafood), total","03, 16 (various)",2025,"11,320,000,000",,"China, US, Japan (11 months 2025: China 20.2%, US 17.6%, Japan 15%)","Buyers of seafood set feed standards that could pull novel feed protein; processors have forming, coating and cold-chain skills",EXP-16; EXP-43,VN-direct,Medium,revealed,Matches supply study figure (USD 11.3 billion). Market shares are for January to November 2025.
EB-03,"Seafood, total (January to August)","03, 16 (various)",2026,"8,000,000,000",,China and Hong Kong USD 2.03bn (+33.4%); US USD 1.24bn (flat); Japan USD 1.11bn (+2.0%); EU USD 749.9m (-1.6%); Korea USD 566.3m; ASEAN USD 544.9m,Shift of buyer mix towards China reduces the share of standards-driven buyers,EXP-31,VN-direct,Medium,revealed,"Shrimp USD 3.29bn, pangasius USD 1.5bn in the same period."
EB-04,Frozen shrimp (warm-water),0306.17,2023,"1,878,090,000",,China 19.5%; US 15.5%; Japan 14.7%; Korea 10.7%; Australia 7.7%; UK 4.3%,ASC and retailer feed requirements apply to farmed shrimp,EXP-39,VN-direct,High,revealed,Vietnam-reported; net weight not reported.
EB-05,Prepared or preserved shrimp,1605.29,2023,"935,570,000","78,742",US 33.3%; Japan 16.7%; UK 8.9%; Canada 7.2%; Korea 6.9%; Australia 6.8%,"Value-added processing capacity (breaded, cooked, formed) transferable to plant-based or hybrid lines",EXP-39,VN-direct,High,revealed,Weight estimated by Comtrade.
EB-06,"Cashew, all forms",0801.32; 2008.19,2025,"5,229,000,000","766,585",China USD 1.115bn (21.3%); US USD 975m (18.6%); Netherlands USD 495m (9.5%),"Platform for cashew milk, cheese, cream and spread bases; cashew kernels already sold to Western nut-dairy makers",EXP-18; EXP-43,VN-direct,Medium,revealed,"Customs data relayed by a logistics firm (EXP-18); consistent with 11-month ministry data (698,100 t, USD 4.76bn, EXP-43). About 90% of raw nuts imported."
EB-07,"Cashew kernels, shelled",0801.32,2023,"2,916,830,000","481,841",US 22.6%; China 16.0%; Netherlands 12.0%; Turkey 3.9%; Germany 3.8%; UAE 3.4%; UK 3.2%,Ingredient for plant-based dairy; EU MFN already 0% so no EVFTA edge on kernels,EXP-39; EXP-23,VN-direct,High,revealed,Weight estimated by Comtrade.
EB-08,Prepared nuts (incl. roasted cashew),2008.19,2023,"936,290,000","137,266",China 43.6%; US 24.3%; Korea 6.8%; Japan 3.7%; Canada 3.1%,Nut processing platform; EVFTA removes 7 to 10.2% EU duty on prepared tropical nuts,EXP-39; EXP-23,VN-direct,High,revealed,Weight estimated by Comtrade.
EB-09,Fruit and vegetables,"07, 08 (various)",2025,"8,600,000,000",,"China about 64% (11 months 2025: China 64.1%, US 6.4%, Korea 3.7%)","Coconut, jackfruit and mushrooms are inputs for plant-based products; mostly fresh exports to China",EXP-16; EXP-43,VN-direct,Medium,revealed,Record high in 2025 (+20%).
EB-10,Rice,1006.30,2023,"4,060,730,000","7,134,383",Philippines 41.7%; Indonesia 15.4%; China 11.0%; Ghana 8.6%; Malaysia 5.0%; Cote d'Ivoire 5.0%,Possible rice protein feedstock; we found no rice protein exports,EXP-39,VN-direct,High,revealed,"2025 (11 months): 7.5 million t, USD 3.83bn, value -27.7% (EXP-43)."
